META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-19 18:27:09 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
Cadiz; 1; 6/5; 10/11; ; 6/5; 21/20; 21/20; 1; ; 21/20; 21/20; ; ; ; ; ; 11/10; ; 1; ; 42/41; ; ; ; 21/20; ; 20/21; 6/5; 
Cadiz; 11/10; 11/10; 1; 1; 37/40; 23/20; 1; 21/20; 15/13; 23/20; 23/20; 23/20; ; 6/5; 11/10; 19/20; ; 11/10; 127/100; 10/9; 24/23; ; ; 11/10; ; 21/20; 21/20; 
Draw; 21/10; 2; 2; 11/5; 21/10; 85/40; 15/8; 28/13; 2; 2; 2; 21/10; ; 19/10; 2; 11/5; ; 21/10; 52/25; 21/10; 21/10; ; ; 21/10; ; 19/10; 2; 
Numancia; 14/5; 13/5; 3; 3; 11/4; 14/5; 13/5; 37/13; 5/2; 5/2; 13/5; 12/5; ; 11/4; 27/10; 29/10; ; 28/11; 57/20; 9/4; 14/5; ; ; 53/20; ; 23/10; 12/5; 
META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-20 22:27:58 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
Cadiz; 11/10; 11/10; 1; 1; 1; 39/40; 23/20; 1; 21/20; 15/13; 23/20; 23/20; 23/20; ; 6/5; 11/10; 1; ; 15/13; 63/50; 10/9; 24/23; ; 1; 11/10; ; 21/20; 21/20; 
Draw; 21/10; 2; 2; 2; 11/5; 19/10; 85/40; 15/8; 28/13; 2; 2; 2; 21/10; ; 19/10; 2; 2; ; 2; 103/50; 21/10; 21/10; ; 2; 21/10; ; 19/10; 2; 
Numancia; 14/5; 13/5; 5/2; 3; 3; 14/5; 14/5; 13/5; 37/13; 5/2; 5/2; 13/5; 12/5; ; 11/4; 27/10; 3; ; 27/10; 29/10; 9/4; 14/5; ; 11/4; 53/20; ; 12/5; 11/5; 
META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-21 02:27:36 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
Cadiz; 11/10; 11/10; 1; 1; 1; 39/40; 23/20; 1; 21/20; 15/13; 23/20; 23/20; 23/20; ; 6/5; 11/10; 1; ; 15/13; 63/50; 10/9; 24/23; 11/10; 11/10; 11/10; ; 21/20; 21/20; 
Draw; 21/10; 2; 2; 2; 11/5; 19/10; 85/40; 15/8; 28/13; 2; 2; 2; 21/10; ; 19/10; 2; 2; ; 2; 103/50; 21/10; 21/10; 2; 2; 21/10; ; 19/10; 2; 
Numancia; 14/5; 13/5; 13/5; 3; 3; 14/5; 14/5; 13/5; 37/13; 5/2; 5/2; 13/5; 12/5; ; 11/4; 27/10; 3; ; 27/10; 29/10; 9/4; 14/5; 5/2; 5/2; 53/20; ; 12/5; 12/5; 
META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-21 10:28:12 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
Cadiz; 11/10; 11/10; 1; 1; 1; 39/40; 23/20; 1; 21/20; 15/13; 23/20; 23/20; 23/20; ; 6/5; 11/10; 1; ; 15/13; 127/100; 10/9; 24/23; 11/10; 11/10; 11/10; ; 21/20; 21/20; 
Draw; 21/10; 2; 2; 2; 11/5; 19/10; 85/40; 15/8; 28/13; 2; 2; 2; 21/10; ; 19/10; 2; 2; ; 2; 52/25; 21/10; 21/10; 2; 2; 21/10; ; 19/10; 2; 
Numancia; 14/5; 13/5; 13/5; 3; 3; 14/5; 14/5; 13/5; 37/13; 5/2; 5/2; 13/5; 12/5; ; 11/4; 27/10; 3; ; 11/4; 57/20; 9/4; 14/5; 5/2; 5/2; 53/20; ; 23/10; 12/5; 
META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-21 14:28:25 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
Cadiz; 11/10; 11/10; 1; 1; 1; 39/40; 23/20; 1; 21/20; 15/13; 23/20; 23/20; 23/20; ; 6/5; 11/10; 1; ; 15/13; 63/50; 10/9; 24/23; 11/10; 11/10; 11/10; ; 21/20; 21/20; 5/4
Draw; 21/10; 2; 2; 2; 11/5; 19/10; 85/40; 15/8; 28/13; 2; 2; 2; 21/10; ; 19/10; 2; 2; ; 2; 103/50; 21/10; 21/10; 2; 2; 21/10; ; 19/10; 2; 2
Numancia; 14/5; 13/5; 13/5; 3; 3; 14/5; 14/5; 13/5; 37/13; 5/2; 5/2; 13/5; 12/5; ; 11/4; 27/10; 3; ; 27/10; 29/10; 9/4; 14/5; 5/2; 5/2; 53/20; ; 23/10; 12/5; 14/5
META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-21 18:28:24 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
Cadiz; 11/10; 11/10; 1; 1; 1; 39/40; 23/20; 1; 21/20; 15/13; 23/20; 23/20; 23/20; ; 6/5; 11/10; 1; ; 15/13; 127/100; 10/9; 24/23; 11/10; 11/10; 6/5; ; 21/20; 21/20; 5/4
Draw; 21/10; 2; 2; 2; 11/5; 19/10; 85/40; 15/8; 28/13; 2; 2; 2; 21/10; ; 19/10; 2; 2; ; 2; 52/25; 21/10; 21/10; 2; 2; 21/10; ; 19/10; 2; 2
Numancia; 14/5; 13/5; 13/5; 3; 3; 14/5; 14/5; 13/5; 37/13; 5/2; 5/2; 13/5; 12/5; ; 11/4; 27/10; 3; ; 27/10; 57/20; 9/4; 14/5; 5/2; 5/2; 53/20; ; 23/10; 12/5; 14/5
META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-21 22:28:50 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
Cadiz; 11/10; 11/10; 1; 1; 1; 39/40; 23/20; 1; 21/20; 15/13; 23/20; 23/20; 23/20; 11/10; 6/5; 11/10; 1; ; 15/13; 127/100; 10/9; 24/23; 11/10; 11/10; 6/5; ; 21/20; 21/20; 5/4
Draw; 21/10; 2; 2; 2; 11/5; 19/10; 85/40; 15/8; 28/13; 2; 2; 2; 21/10; 2; 19/10; 2; 2; ; 2; 52/25; 21/10; 21/10; 2; 2; 21/10; ; 19/10; 2; 2
Numancia; 14/5; 13/5; 5/2; 3; 3; 14/5; 14/5; 13/5; 37/13; 5/2; 5/2; 13/5; 12/5; 13/5; 11/4; 27/10; 3; ; 27/10; 57/20; 9/4; 14/5; 5/2; 5/2; 53/20; ; 12/5; 12/5; 14/5
META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-22 02:28:24 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
Cadiz; 11/10; 11/10; 1; 1; 23/20; 39/40; 23/20; 1; 21/20; 15/13; 23/20; 23/20; 23/20; 11/10; 6/5; 11/10; 1; ; 15/13; 5/4; 10/9; 24/23; 11/10; 11/10; 6/5; ; 21/20; 21/20; 6/5
Draw; 21/10; 2; 2; 2; 2; 19/10; 85/40; 15/8; 28/13; 2; 2; 2; 21/10; 2; 19/10; 2; 2; ; 39/19; 21/10; 21/10; 21/10; 2; 2; 21/10; ; 19/10; 2; 2
Numancia; 14/5; 13/5; 5/2; 3; 11/4; 14/5; 14/5; 13/5; 37/13; 5/2; 5/2; 13/5; 12/5; 13/5; 11/4; 27/10; 3; ; 11/4; 72/25; 9/4; 14/5; 5/2; 5/2; 27/10; ; 12/5; 12/5; 14/5
META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-22 10:28:26 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
Cadiz; 11/10; 11/10; 1; 1; 23/20; 1; 23/20; 1; 21/20; 15/13; 23/20; 23/20; 23/20; 11/10; 6/5; 11/10; 21/20; ; 15/13; 5/4; 10/9; 24/23; 11/10; 11/10; 6/5; ; 21/20; 21/20; 6/5
Draw; 21/10; 2; 2; 2; 2; 15/8; 85/40; 15/8; 28/13; 2; 2; 2; 21/10; 2; 19/10; 2; 2; ; 39/19; 21/10; 21/10; 21/10; 2; 2; 21/10; ; 19/10; 2; 2
Numancia; 14/5; 13/5; 5/2; 3; 11/4; 14/5; 14/5; 13/5; 37/13; 5/2; 5/2; 13/5; 12/5; 13/5; 11/4; 27/10; 31/10; ; 11/4; 72/25; 9/4; 14/5; 5/2; 5/2; 27/10; ; 12/5; 12/5; 14/5
META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-22 14:30:32 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
Cadiz; 11/10; 11/10; 1; 1; 23/20; 1; 23/20; 1; 21/20; 15/13; 23/20; 23/20; 23/20; 11/10; 6/5; 11/10; 21/20; ; 15/13; 31/25; 10/9; 24/23; 11/10; 11/10; 6/5; ; 21/20; 10/9; 6/5
Draw; 21/10; 2; 2; 2; 2; 15/8; 21/10; 15/8; 28/13; 2; 2; 2; 21/10; 2; 19/10; 2; 2; ; 2; 52/25; 21/10; 21/10; 2; 2; 21/10; ; 19/10; 2; 2
Numancia; 14/5; 13/5; 5/2; 3; 11/4; 14/5; 14/5; 13/5; 37/13; 5/2; 5/2; 13/5; 12/5; 13/5; 11/4; 27/10; 31/10; ; 27/10; 73/25; 9/4; 14/5; 5/2; 5/2; 27/10; ; 12/5; 12/5; 14/5
META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-22 18:29:04 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
Cadiz; 1; 11/10; 19/20; 1; 11/10; 1; 11/10; 1; 21/20; 11/10; 11/10; 21/20; 23/20; 11/10; 11/10; 21/20; 21/20; ; 11/10; 121/100; 10/9; 24/23; 21/20; 1; 23/20; ; 21/20; 10/9; 23/20
Draw; 21/10; 2; 41/20; 2; 21/10; 15/8; 21/10; 15/8; 28/13; 2; 2; 11/5; 21/10; 2; 19/10; 39/19; 2; ; 39/19; 103/50; 21/10; 21/10; 2; 2; 21/10; ; 19/10; 2; 2
Numancia; 16/5; 13/5; 27/10; 3; 11/4; 14/5; 3; 13/5; 37/13; 5/2; 5/2; 13/5; 5/2; 13/5; 3; 11/4; 31/10; ; 37/13; 61/20; 9/4; 14/5; 13/5; 11/4; 57/20; ; 11/4; 12/5; 3
META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-22 22:29:04 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
Cadiz; 1; 11/10; 19/20; 1; 11/10; 1; 11/10; 1; 21/20; 11/10; 11/10; 21/20; 23/20; 1; 11/10; 21/20; 21/20; ; 11/10; 119/100; 10/9; 24/23; 21/20; 1; 23/20; ; 21/20; 10/9; 23/20
Draw; 21/10; 2; 41/20; 2; 21/10; 15/8; 21/10; 15/8; 28/13; 2; 2; 11/5; 21/10; 2; 19/10; 39/19; 2; ; 39/19; 21/10; 21/10; 21/10; 2; 2; 21/10; ; 19/10; 19/10; 2
Numancia; 16/5; 13/5; 27/10; 3; 11/4; 14/5; 3; 13/5; 37/13; 5/2; 5/2; 13/5; 5/2; 14/5; 3; 11/4; 31/10; ; 37/13; 61/20; 9/4; 14/5; 13/5; 11/4; 57/20; ; 11/4; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-23 02:28:24 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
Cadiz; 1; 21/20; 19/20; 1; 11/10; 1; 11/10; 1; 21/20; 11/10; 11/10; 21/20; 23/20; 1; 11/10; 21/20; 21/20; ; 11/10; 6/5; 10/9; 24/23; 21/20; 1; 23/20; ; 21/20; 10/9; 23/20
Draw; 21/10; 2; 41/20; 2; 21/10; 15/8; 21/10; 15/8; 28/13; 2; 2; 11/5; 21/10; 2; 19/10; 39/19; 2; ; 39/19; 85/40; 39/19; 21/10; 2; 2; 21/10; ; 19/10; 19/10; 2
Numancia; 16/5; 11/4; 27/10; 3; 11/4; 14/5; 3; 11/4; 37/13; 5/2; 5/2; 13/5; 5/2; 14/5; 3; 11/4; 31/10; ; 37/13; 3; 9/4; 14/5; 13/5; 11/4; 57/20; ; 11/4; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-23 10:28:30 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
Cadiz; 1; 21/20; 19/20; 1; 11/10; 1; 11/10; 1; 21/20; 11/10; 11/10; 21/20; 23/20; 1; 11/10; 21/20; 21/20; ; 11/10; 6/5; 10/9; 24/23; 21/20; 1; 23/20; ; 21/20; 10/9; 23/20
Draw; 21/10; 2; 41/20; 2; 21/10; 15/8; 85/40; 15/8; 28/13; 2; 2; 11/5; 21/10; 2; 19/10; 39/19; 2; ; 39/19; 85/40; 28/13; 21/10; 2; 2; 21/10; ; 19/10; 19/10; 2
Numancia; 16/5; 11/4; 27/10; 3; 11/4; 14/5; 29/10; 11/4; 37/13; 5/2; 5/2; 13/5; 5/2; 14/5; 3; 11/4; 31/10; ; 37/13; 3; 9/4; 14/5; 13/5; 11/4; 57/20; ; 11/4; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-23 14:30:47 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
Cadiz; 1; 21/20; 19/20; 1; 11/10; 1; 11/10; 1; 21/20; 11/10; 11/10; 21/20; 23/20; 1; 11/10; 21/20; 21/20; ; 11/10; 119/100; 10/9; 24/23; 21/20; 1; 23/20; ; 21/20; 10/9; 23/20
Draw; 21/10; 2; 41/20; 2; 21/10; 15/8; 85/40; 15/8; 28/13; 2; 2; 11/5; 21/10; 2; 19/10; 39/19; 2; ; 39/19; 21/10; 28/13; 21/10; 2; 2; 21/10; ; 9/5; 19/10; 2
Numancia; 16/5; 11/4; 27/10; 3; 11/4; 14/5; 29/10; 11/4; 37/13; 5/2; 5/2; 13/5; 5/2; 14/5; 3; 14/5; 31/10; ; 37/13; 61/20; 9/4; 14/5; 13/5; 11/4; 57/20; ; 14/5; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-23 18:29:08 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
Cadiz; 1; 21/20; 19/20; 1; 11/10; 1; 11/10; 1; 21/20; 11/10; 11/10; 21/20; 23/20; 1; 11/10; 21/20; 21/20; ; 11/10; 119/100; 10/9; 24/23; 21/20; 1; 23/20; ; 21/20; 10/9; 23/20
Draw; 21/10; 2; 41/20; 2; 21/10; 15/8; 85/40; 15/8; 28/13; 2; 2; 11/5; 21/10; 2; 19/10; 39/19; 2; ; 39/19; 21/10; 28/13; 21/10; 2; 2; 21/10; ; 9/5; 19/10; 2
Numancia; 16/5; 11/4; 27/10; 3; 11/4; 14/5; 29/10; 11/4; 37/13; 5/2; 5/2; 13/5; 5/2; 14/5; 3; 14/5; 31/10; ; 37/13; 61/20; 9/4; 14/5; 13/5; 11/4; 57/20; ; 14/5; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-23 22:27:43 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
Cadiz; 1; 21/20; 19/20; 1; 11/10; 1; 11/10; 1; 21/20; 11/10; 11/10; 21/20; 11/10; 1; 11/10; 21/20; 21/20; ; 11/10; 121/100; 10/9; 24/23; 21/20; 1; 23/20; ; 21/20; 10/9; 23/20
Draw; 21/10; 2; 41/20; 2; 21/10; 15/8; 85/40; 15/8; 28/13; 2; 2; 21/10; 21/10; 2; 19/10; 2; 2; ; 39/19; 103/50; 28/13; 21/10; 2; 2; 21/10; ; 19/10; 19/10; 2
Numancia; 16/5; 11/4; 27/10; 3; 11/4; 14/5; 29/10; 11/4; 37/13; 13/5; 13/5; 13/5; 5/2; 14/5; 3; 14/5; 31/10; ; 37/13; 61/20; 9/4; 14/5; 13/5; 11/4; 57/20; ; 11/4; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-24 02:27:20 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 19/20; 1; 11/10; 1; 11/10; 1; 21/20; 11/10; 11/10; 21/20; 11/10; 1; 11/10; 21/20; 21/20; ; 11/10; 6/5; 9/8; 24/23; 21/20; 1; 23/20; ; 11/10; 10/9; 23/20
Draw; 21/10; 2; 41/20; 2; 21/10; 15/8; 85/40; 15/8; 28/13; 2; 2; 21/10; 21/10; 2; 19/10; 39/19; 2; ; 39/19; 52/25; 28/13; 21/10; 2; 2; 21/10; ; 2; 2; 2
Numancia; 3; 11/4; 27/10; 3; 11/4; 14/5; 29/10; 11/4; 37/13; 13/5; 13/5; 13/5; 5/2; 14/5; 3; 11/4; 31/10; ; 37/13; 61/20; 28/13; 14/5; 13/5; 11/4; 57/20; ; 14/5; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-24 10:27:21 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 19/20; 1; 11/10; 21/20; 11/10; 1; 21/20; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; ; 11/10; 6/5; 10/9; 24/23; 21/20; 1; 11/10; ; 10/9; 10/9; 23/20
Draw; 21/10; 2; 2; 2; 21/10; 19/10; 85/40; 15/8; 28/13; 2; 2; 21/10; 21/10; 2; 19/10; 2; 2; ; 2; 101/50; 28/13; 21/10; 2; 2; 21/10; ; 2; 19/10; 2
Numancia; 3; 11/4; 27/10; 3; 11/4; 13/5; 29/10; 11/4; 37/13; 13/5; 13/5; 13/5; 5/2; 11/4; 3; 14/5; 31/10; ; 29/10; 63/20; 27/11; 14/5; 13/5; 11/4; 59/20; ; 14/5; 5/2; 3
META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-24 14:27:24 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 19/20; 21/20; 11/10; 21/20; 11/10; 1; 21/20; 11/10; 11/10; 11/10; 11/10; 1; 11/10; 21/20; 21/20; ; 21/20; 113/100; 9/8; 24/23; 21/20; 1; 11/10; ; 10/9; 21/20; 10/9
Draw; 21/10; 2; 2; 2; 21/10; 19/10; 85/40; 15/8; 28/13; 2; 2; 21/10; 21/10; 2; 19/10; 2; 2; ; 21/10; 11/5; 39/19; 21/10; 15/8; 2; 21/10; ; 2; 2; 21/10
Numancia; 3; 14/5; 27/10; 29/10; 11/4; 13/5; 3; 13/5; 37/13; 13/5; 13/5; 13/5; 13/5; 29/10; 3; 14/5; 31/10; ; 29/10; 31/10; 5/2; 14/5; 13/5; 11/4; 59/20; ; 3; 11/4; 3
META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-24 18:26:58 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 10/11; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 21/20; 21/20; 21/20; 11/10; 1; 11/10; 21/20; 21/20; ; 21/20; 28/25; 15/14; 24/23; 21/20; 1; 11/10; ; 11/10; 10/9; 10/9
Draw; 21/10; 2; 2; 2; 21/10; 19/10; 85/40; 15/8; 28/13; 2; 2; 21/10; 21/10; 2; 19/10; 2; 2; ; 21/10; 11/5; 39/19; 21/10; 15/8; 2; 21/10; ; 2; 2; 21/10
Numancia; 3; 11/4; 14/5; 29/10; 3; 13/5; 31/10; 11/4; 37/13; 14/5; 14/5; 11/4; 13/5; 29/10; 3; 29/10; 31/10; ; 56/19; 63/20; 11/4; 14/5; 13/5; 11/4; 3; ; 3; 14/5; 3
META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-24 22:26:53 GMT+3; 2017-09-24 19:00; In Play; Xlenovo
Draw; 4/6; 1/2; 4/7; 11/20; 4/7; 4/7; 8/15; 4/9; 11/17; 3/4; 10/11; 11/20; 7/10; ; 11/20; 4/7; 4/7; ; 14/19; ; ; 11/17; ; 1/2; 8/15; ; ; 4/7; 4/7
Numancia; 13/5; 3; 11/4; 29/10; 3; 5/2; 3; 3; 28/11; 21/10; 19/10; 11/4; 12/5; ; 11/4; 14/5; 13/5; ; 12/5; ; ; 28/11; ; 3; 16/5; ; ; 14/5; 14/5
Cadiz; 9/2; 9/2; 9/2; 9/2; 9/2; 21/5; 5; 9/2; 43/10; 4; 17/5; 4; 4; ; 17/4; 9/2; 9/2; ; 75/19; ; ; 43/10; ; 9/2; 5; ; ; 23/5; 23/5
