META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-04 18:24:57 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Reus Deportiu; 5/4; 13/10; 13/10; 13/10; 11/8; 5/4; 5/4; 6/5; 23/17; ; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; ; 13/10; 71/50; 23/18; 4/3; ; 13/10; 13/10; ; 13/10; 5/4; 7/5
Draw; 21/10; 2; 21/10; 21/10; 2; 15/8; 2; 15/8; 2; ; 2; 2; 21/10; 19/10; 2; 2; ; 39/19; 85/40; 21/10; 37/19; ; 21/10; 21/10; ; 19/10; 19/10; 21/10
Leonesa; 12/5; 85/40; 2; 21/10; 23/10; 11/5; 9/4; 11/5; 9/4; ; 11/5; 11/5; 21/10; 9/4; 23/10; 11/5; ; 9/4; 121/50; 37/19; 9/4; ; 12/5; 11/5; ; 21/10; 2; 12/5
META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-04 22:24:34 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Reus Deportiu; 5/4; 13/10; 13/10; 13/10; 11/8; 5/4; 5/4; 6/5; 23/17; ; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; ; 13/10; 71/50; 23/18; 4/3; ; 13/10; 13/10; ; 13/10; 5/4; 7/5
Draw; 21/10; 2; 21/10; 21/10; 2; 15/8; 2; 15/8; 2; ; 2; 2; 21/10; 19/10; 2; 2; ; 39/19; 85/40; 21/10; 37/19; ; 21/10; 21/10; ; 19/10; 19/10; 21/10
Leonesa; 12/5; 85/40; 2; 21/10; 23/10; 11/5; 9/4; 11/5; 9/4; ; 11/5; 11/5; 21/10; 9/4; 23/10; 11/5; ; 9/4; 121/50; 37/19; 9/4; ; 12/5; 11/5; ; 21/10; 2; 12/5
META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-05 02:24:34 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Reus Deportiu; 5/4; 13/10; 13/10; 13/10; 11/8; 5/4; 5/4; 6/5; 23/17; ; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; ; 13/10; 71/50; 23/18; 4/3; ; 13/10; 13/10; ; 13/10; 5/4; 7/5
Draw; 21/10; 2; 21/10; 21/10; 2; 15/8; 2; 15/8; 2; ; 2; 2; 21/10; 19/10; 2; 2; ; 39/19; 85/40; 21/10; 37/19; ; 21/10; 21/10; ; 19/10; 19/10; 21/10
Leonesa; 12/5; 85/40; 2; 21/10; 23/10; 11/5; 9/4; 11/5; 9/4; ; 11/5; 11/5; 21/10; 9/4; 23/10; 11/5; ; 9/4; 121/50; 37/19; 9/4; ; 12/5; 11/5; ; 21/10; 2; 12/5
META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-05 10:24:53 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Reus Deportiu; 5/4; 13/10; 13/10; 13/10; 11/8; 5/4; 5/4; 6/5; 23/17; ; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; ; 13/10; 71/50; 23/18; 4/3; ; 13/10; 13/10; ; 13/10; 5/4; 7/5
Draw; 21/10; 2; 21/10; 21/10; 2; 15/8; 2; 15/8; 2; ; 2; 2; 21/10; 19/10; 2; 2; ; 39/19; 107/50; 21/10; 37/19; ; 21/10; 21/10; ; 19/10; 19/10; 21/10
Leonesa; 12/5; 85/40; 2; 21/10; 23/10; 11/5; 9/4; 11/5; 9/4; ; 11/5; 11/5; 21/10; 9/4; 23/10; 11/5; ; 9/4; 12/5; 37/19; 9/4; ; 12/5; 11/5; ; 21/10; 2; 12/5
META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-05 14:25:23 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Reus Deportiu; 5/4; 13/10; 13/10; 13/10; 11/8; 5/4; 5/4; 5/4; 23/17; ; 11/8; 27/20; 11/8; 13/10; 13/10; 13/10; ; 7/5; 149/100; 17/13; 4/3; ; 7/5; 27/20; ; 27/20; 13/10; 7/5
Draw; 21/10; 2; 21/10; 21/10; 21/10; 15/8; 2; 15/8; 2; ; 2; 2; 21/10; 2; 2; 2; ; 39/19; 107/50; 21/10; 37/19; ; 21/10; 2; ; 19/10; 19/10; 21/10
Leonesa; 12/5; 21/10; 2; 21/10; 11/5; 11/5; 9/4; 2; 9/4; ; 21/10; 21/10; 2; 21/10; 23/10; 21/10; ; 28/13; 57/25; 19/10; 9/4; ; 11/5; 11/5; ; 19/10; 2; 9/4
META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-05 18:25:50 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Reus Deportiu; 5/4; 13/10; 23/17; 13/10; 11/8; 5/4; 5/4; 5/4; 23/17; ; 11/8; 27/20; 11/8; 13/10; 13/10; 13/10; ; 7/5; 6/4; 17/13; 4/3; ; 7/5; 27/20; ; 27/20; 13/10; 7/5
Draw; 21/10; 2; 2; 21/10; 2; 15/8; 2; 15/8; 2; ; 2; 2; 2; 2; 2; 2; ; 2; 103/50; 21/10; 37/19; ; 21/10; 2; ; 19/10; 19/10; 2
Leonesa; 12/5; 21/10; 21/10; 21/10; 9/4; 11/5; 9/4; 2; 9/4; ; 21/10; 21/10; 2; 21/10; 23/10; 21/10; ; 11/5; 47/20; 19/10; 9/4; ; 11/5; 11/5; ; 19/10; 2; 23/10
META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-05 22:25:04 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Reus Deportiu; 5/4; 13/10; 23/17; 13/10; 11/8; 5/4; 5/4; 5/4; 23/17; 27/20; 11/8; 27/20; 11/8; 13/10; 13/10; 13/10; ; 7/5; 149/100; 17/13; 4/3; ; 7/5; 27/20; ; 11/8; 13/10; 7/5
Draw; 21/10; 2; 2; 21/10; 2; 15/8; 2; 15/8; 2; 2; 2; 2; 2; 2; 2; 2; ; 2; 41/20; 21/10; 37/19; ; 21/10; 2; ; 19/10; 19/10; 2
Leonesa; 12/5; 21/10; 21/10; 21/10; 9/4; 11/5; 9/4; 2; 9/4; 21/10; 21/10; 21/10; 2; 21/10; 23/10; 21/10; ; 11/5; 119/50; 19/10; 9/4; ; 11/5; 11/5; ; 21/10; 2; 23/10
META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-06 02:26:55 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Reus Deportiu; 5/4; 13/10; 23/17; 13/10; 11/8; 5/4; 5/4; 5/4; 23/17; 27/20; 11/8; 27/20; 11/8; 13/10; 13/10; 13/10; ; 7/5; 6/4; 17/13; 4/3; ; 11/8; 27/20; ; 11/8; 13/10; 7/5
Draw; 21/10; 2; 2; 21/10; 2; 15/8; 2; 15/8; 2; 2; 2; 2; 21/10; 2; 2; 2; ; 2; 51/25; 21/10; 37/19; ; 21/10; 2; ; 19/10; 19/10; 2
Leonesa; 12/5; 21/10; 21/10; 21/10; 9/4; 11/5; 9/4; 2; 9/4; 21/10; 21/10; 21/10; 2; 21/10; 23/10; 21/10; ; 11/5; 119/50; 19/10; 9/4; ; 9/4; 11/5; ; 21/10; 2; 23/10
META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-06 10:25:01 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Reus Deportiu; 5/4; 13/10; 23/17; 13/10; 11/8; 5/4; 5/4; 5/4; 23/17; 27/20; 11/8; 27/20; 11/8; 13/10; 13/10; 13/10; ; 7/5; 6/4; 17/13; 4/3; ; 11/8; 27/20; ; 11/8; 13/10; 7/5
Draw; 21/10; 2; 2; 21/10; 2; 15/8; 2; 15/8; 2; 2; 2; 2; 21/10; 2; 2; 2; ; 2; 51/25; 21/10; 37/19; ; 21/10; 2; ; 15/8; 19/10; 2
Leonesa; 12/5; 21/10; 21/10; 21/10; 9/4; 11/5; 9/4; 2; 9/4; 21/10; 21/10; 21/10; 21/10; 21/10; 23/10; 21/10; ; 11/5; 119/50; 19/10; 9/4; ; 9/4; 11/5; ; 21/10; 2; 23/10
META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-06 14:26:09 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Reus Deportiu; 5/4; 11/8; 23/17; 13/10; 11/8; 5/4; 5/4; 5/4; 23/17; 27/20; 13/10; 27/20; 11/8; 13/10; 7/5; 13/10; ; 23/17; 6/4; 17/13; 4/3; ; 7/5; 27/20; ; 7/5; 13/10; 7/5
Draw; 21/10; 19/10; 2; 21/10; 2; 15/8; 15/8; 15/8; 2; 2; 21/10; 2; 2; 2; 15/8; 2; ; 37/19; 199/100; 21/10; 37/19; ; 21/10; 21/10; ; 15/8; 19/10; 19/10
Leonesa; 12/5; 21/10; 21/10; 21/10; 9/4; 11/5; 9/4; 2; 9/4; 21/10; 21/10; 21/10; 21/10; 21/10; 9/4; 21/10; ; 9/4; 61/25; 19/10; 9/4; ; 11/5; 11/5; ; 2; 2; 12/5
META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-06 18:25:44 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Reus Deportiu; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4; 6/5; 6/5; 23/17; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; 5/4; ; 5/4; 33/25; 5/4; 4/3; ; 13/10; 13/10; ; 6/5; 23/20; 13/10
Draw; 21/10; 19/10; 2; 21/10; 2; 15/8; 15/8; 15/8; 2; 2; 2; 2; 2; 19/10; 15/8; 2; ; 2; 51/25; 2; 37/19; ; 21/10; 21/10; ; 19/10; 19/10; 2
Leonesa; 12/5; 23/10; 23/10; 21/10; 5/2; 11/5; 12/5; 11/5; 9/4; 23/10; 9/4; 23/10; 23/10; 12/5; 13/5; 23/10; ; 5/2; 69/25; 21/10; 9/4; ; 12/5; 49/20; ; 12/5; 9/4; 11/4
META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-06 22:26:17 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Reus Deportiu; 5/4; 5/4; 5/4; 13/10; 5/4; 6/5; 6/5; 6/5; 23/17; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; 33/25; 5/4; 4/3; ; 13/10; 13/10; ; 6/5; 23/20; 13/10
Draw; 21/10; 19/10; 2; 21/10; 2; 19/10; 15/8; 15/8; 2; 2; 2; 2; 2; 19/10; 15/8; 2; ; 2; 51/25; 2; 37/19; ; 21/10; 21/10; ; 19/10; 19/10; 2
Leonesa; 12/5; 23/10; 23/10; 21/10; 5/2; 9/4; 12/5; 23/10; 9/4; 23/10; 9/4; 23/10; 23/10; 12/5; 13/5; 23/10; 12/5; 5/2; 69/25; 21/10; 9/4; ; 12/5; 49/20; ; 5/2; 9/4; 11/4
META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-07 02:25:13 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Reus Deportiu; 5/4; 5/4; 5/4; 5/4; 5/4; 6/5; 6/5; 6/5; 23/17; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; 133/100; 5/4; 4/3; ; 13/10; 13/10; ; 6/5; 6/5; 13/10
Draw; 21/10; 19/10; 2; 2; 2; 19/10; 15/8; 15/8; 2; 2; 2; 2; 2; 19/10; 15/8; 2; ; 2; 51/25; 2; 37/19; ; 21/10; 21/10; ; 19/10; 19/10; 2
Leonesa; 12/5; 23/10; 9/4; 23/10; 5/2; 9/4; 12/5; 23/10; 9/4; 9/4; 9/4; 23/10; 9/4; 12/5; 13/5; 23/10; 12/5; 5/2; 11/4; 21/10; 9/4; ; 12/5; 49/20; ; 5/2; 9/4; 11/4
META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-07 10:25:47 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Reus Deportiu; 5/4; 6/5; 5/4; 5/4; 13/10; 6/5; 6/5; 6/5; 23/17; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; 67/50; 23/18; 4/3; ; 13/10; 13/10; ; 13/10; 13/10; 13/10
Draw; 21/10; 2; 2; 2; 2; 19/10; 15/8; 15/8; 2; 2; 21/10; 2; 2; 19/10; 15/8; 2; ; 2; 101/50; 2; 37/19; ; 21/10; 21/10; ; 2; 2; 2
Leonesa; 12/5; 23/10; 9/4; 23/10; 12/5; 9/4; 12/5; 23/10; 9/4; 9/4; 9/4; 9/4; 11/5; 12/5; 13/5; 23/10; 12/5; 5/2; 137/50; 11/5; 9/4; ; 12/5; 49/20; ; 5/2; 12/5; 11/4
META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-07 14:25:46 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Reus Deportiu; 5/4; 6/5; 5/4; 5/4; 13/10; 6/5; 6/5; 6/5; 23/17; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; 67/50; 9/7; 4/3; ; 13/10; 13/10; ; 13/10; 5/4; 13/10
Draw; 21/10; 2; 2; 2; 2; 19/10; 15/8; 15/8; 2; 2; 21/10; 2; 2; 19/10; 15/8; 2; ; 2; 52/25; 2; 37/19; ; 21/10; 21/10; ; 19/10; 2; 2
Leonesa; 12/5; 23/10; 9/4; 23/10; 12/5; 9/4; 12/5; 23/10; 9/4; 9/4; 9/4; 9/4; 11/5; 12/5; 13/5; 23/10; 12/5; 27/11; 133/50; 11/5; 9/4; ; 12/5; 49/20; ; 13/5; 12/5; 27/10
META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-07 18:25:24 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Reus Deportiu; 23/20; 6/5; ; 5/4; 5/4; 6/5; 6/5; 11/10; 6/5; 6/5; 5/4; 5/4; 5/4; 23/20; 6/5; 6/5; 5/4; 6/5; 5/4; 23/18; 13/11; ; 6/5; 6/5; ; 6/5; 6/5; 13/10
Draw; 21/10; 2; ; 2; 2; 19/10; 2; 15/8; 19/10; 2; 15/8; 2; 21/10; 2; 2; 2; ; 2; 107/50; 2; 24/13; ; 21/10; 21/10; ; 19/10; 19/10; 2
Leonesa; 13/5; 23/10; ; 23/10; 13/5; 9/4; 12/5; 23/10; 11/4; 12/5; 5/2; 47/20; 9/4; 12/5; 5/2; 12/5; 12/5; 28/11; 14/5; 11/5; 27/10; ; 13/5; 13/5; ; 14/5; 11/4; 27/10
