META; spain/la-liga-segunda/gijon-v-lorca; 2017-09-19 18:26:59 GMT+3; 2017-09-23 19:00; Nothing; Xlenovo
Gijon; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 27/11; ; ; ; ; ; ; ; ; ; 
Lorca; ; ; ; ; ; ; 19/4; ; ; ; ; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-segunda/gijon-v-lorca; 2017-09-19 22:26:17 GMT+3; 2017-09-23 19:00; Nothing; Xlenovo
Gijon; 13/20; 8/13; 4/6; 7/10; 4/6; 13/20; 4/6; 4/7; ; 4/6; 4/6; ; 4/6; ; ; 4/6; ; ; 11/17; ; 9/13; ; ; 8/13; 13/20; ; 4/7; 4/7; 
Gijon; 13/20; 8/13; 4/6; 7/10; 4/6; 13/20; 4/6; 4/7; 11/17; 4/6; 4/6; 4/6; 4/6; 8/13; 4/6; 8/13; ; ; 11/17; 67/100; 9/13; 11/17; 8/13; 8/13; 4/6; ; 4/7; 4/7; 4/6
Draw; 12/5; 5/2; 49/20; 12/5; 13/5; 5/2; 13/5; 5/2; 27/11; 12/5; 12/5; 5/2; 5/2; 5/2; 13/5; 5/2; 27/10; 12/5; 28/11; 69/25; 5/2; 12/5; 12/5; 5/2; 13/5; ; 5/2; 5/2; 27/10
Lorca; 5; 9/2; 17/4; 4; 9/2; 7/2; 19/4; 4; 19/4; 17/4; 17/4; 4; 4; 9/2; 17/4; 9/2; ; ; 63/13; 26/5; 7/2; 19/4; 4; 9/2; 9/2; ; 23/5; 23/5; 26/5
META; spain/la-liga-segunda/gijon-v-lorca; 2017-09-23 10:28:15 GMT+3; 2017-09-23 17:00; Nothing; Xlenovo
Gijon; 13/20; 6/10; 13/20; 7/10; 8/13; 13/20; 8/13; 4/7; 11/17; 11/18; 8/13; 8/13; 8/13; 4/7; 8/13; 8/13; ; ; 10/17; 16/25; 11/17; 11/17; 4/7; 8/13; 8/13; ; 8/13; 4/7; 4/7
Draw; 12/5; 5/2; 5/2; 12/5; 13/5; 5/2; 27/10; 5/2; 27/11; 5/2; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 27/10; 12/5; 45/17; 141/50; 5/2; 12/5; 5/2; 5/2; 27/10; ; 13/5; 13/5; 14/5
Lorca; 5; 9/2; 9/2; 4; 5; 7/2; 5; 4; 19/4; 9/2; 9/2; 4; 17/4; 9/2; 19/4; 9/2; ; ; 67/13; 11/2; 43/10; 19/4; 17/4; 9/2; 5; ; 24/5; 24/5; 29/5
META; spain/la-liga-segunda/gijon-v-lorca; 2017-09-23 14:30:30 GMT+3; 2017-09-23 17:00; Nothing; Xlenovo
Gijon; 8/13; 6/10; 6/10; 7/10; 8/13; 11/20; 3/5; 8/15; 11/17; 3/5; 6/10; 6/10; 6/10; 4/7; 8/13; 8/13; 4/7; ; 11/18; 16/25; 10/17; 11/17; 8/15; 8/13; 8/13; ; 4/7; 8/13; 4/6
Draw; 13/5; 5/2; 5/2; 12/5; 13/5; 13/5; 14/5; 5/2; 27/11; 5/2; 5/2; 5/2; 13/5; 13/5; 13/5; 13/5; 14/5; 12/5; 45/17; 57/20; 11/4; 12/5; 5/2; 5/2; 27/10; ; 13/5; 13/5; 14/5
Lorca; 5; 9/2; 19/4; 4; 5; 21/5; 21/4; 9/2; 19/4; 19/4; 19/4; 5; 9/2; 9/2; 19/4; 9/2; 19/4; ; 5; 27/5; 22/5; 19/4; 9/2; 9/2; 21/4; ; 5; 24/5; 11/2
META; spain/la-liga-segunda/gijon-v-lorca; 2017-09-23 18:28:52 GMT+3; 2017-09-23 17:00; Nothing; Xlenovo
Gijon; 11/20; 6/10; 4/7; 7/10; 8/13; 11/20; 3/5; 8/15; 3/5; 3/5; 6/10; 6/10; 4/7; 4/7; 8/13; 4/7; 4/7; 3/5; 11/18; 13/20; 6/11; 3/5; 8/15; 4/7; 3/5; ; 8/13; 4/7; 4/7
Draw; 14/5; 5/2; 13/5; 12/5; 13/5; 13/5; 11/4; 5/2; 27/11; 5/2; 5/2; 5/2; 14/5; 13/5; 13/5; 13/5; 27/10; 12/5; 45/17; 14/5; 29/10; 12/5; 5/2; 5/2; 27/10; ; 13/5; 13/5; 11/4
Lorca; 11/2; 9/2; 5; 4; 5; 21/5; 11/2; 9/2; 21/4; 9/2; 19/4; 5; 5; 9/2; 19/4; 5; 19/4; 21/4; 5; 27/5; 23/5; 21/4; 9/2; 5; 11/2; ; 26/5; 5; 11/2
