Gimnastic; 17/4; 7/2; 18/5; 7/2; 7/2; 3; 4; 7/2; 37/10; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; ; 7/2; 19/5; 4; 33/10; 37/10; 10/3; 10/3; 7/2; ; 3; 10/3; 4
META; spain/la-liga-segunda/cadiz-v-gimnastic; 2017-09-06 02:26:37 GMT+3; 2017-09-08 20:00; Nothing; Xlenovo
Cadiz; 3/4; 4/5; 4/5; 17/20; 5/6; 5/6; 5/6; 8/11; 4/5; 4/5; 4/5; 4/5; 17/20; 3/4; 5/6; 4/5; ; 4/5; 4/5; 17/20; 4/5; 4/5; 5/6; 4/5; 4/5; ; 4/5; 4/5; 5/6
Draw; 9/4; 9/4; 11/5; 9/4; 23/10; 11/5; 23/10; 23/10; 23/10; 11/5; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; ; 23/10; 23/10; 123/50; 11/5; 23/10; 23/10; 11/5; 9/4; ; 9/4; 21/10; 12/5
Gimnastic; 17/4; 7/2; 18/5; 7/2; 7/2; 3; 4; 7/2; 37/10; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; ; 7/2; 50/13; 41/10; 33/10; 37/10; 10/3; 10/3; 7/2; ; 7/2; 10/3; 4
META; spain/la-liga-segunda/cadiz-v-gimnastic; 2017-09-06 10:26:36 GMT+3; 2017-09-08 20:00; Nothing; Xlenovo
Cadiz; 3/4; 4/5; 4/5; 5/6; 4/5; 5/6; 4/5; 8/11; 4/5; 4/5; 4/5; 4/5; 17/20; 3/4; 5/6; 4/5; ; 4/5; 4/5; 17/20; 4/5; 4/5; 5/6; 4/5; 4/5; ; 8/11; 4/5; 5/6
Draw; 9/4; 9/4; 11/5; 9/4; 12/5; 11/5; 12/5; 23/10; 23/10; 11/5; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; ; 23/10; 23/10; 123/50; 11/5; 23/10; 23/10; 11/5; 9/4; ; 9/4; 21/10; 12/5
Gimnastic; 17/4; 7/2; 18/5; 18/5; 4; 3; 4; 7/2; 37/10; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; ; 7/2; 19/5; 41/10; 33/10; 37/10; 10/3; 10/3; 7/2; ; 7/2; 10/3; 4
META; spain/la-liga-segunda/cadiz-v-gimnastic; 2017-09-06 14:26:49 GMT+3; 2017-09-08 20:00; Nothing; Xlenovo
Cadiz; 3/4; 4/5; 4/5; 5/6; 4/5; 5/6; 4/5; 8/11; 4/5; 4/5; 4/5; 4/5; 17/20; 3/4; 5/6; 4/5; ; 4/5; 4/5; 17/20; 4/5; 4/5; 5/6; 4/5; 4/5; ; 4/5; 4/5; 5/6
Draw; 9/4; 9/4; 11/5; 9/4; 12/5; 11/5; 12/5; 23/10; 23/10; 11/5; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; ; 23/10; 23/10; 123/50; 11/5; 23/10; 23/10; 11/5; 9/4; ; 9/4; 11/5; 12/5
Gimnastic; 17/4; 7/2; 18/5; 18/5; 4; 3; 4; 7/2; 37/10; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; ; 7/2; 50/13; 41/10; 33/10; 37/10; 10/3; 10/3; 7/2; ; 7/2; 10/3; 4
META; spain/la-liga-segunda/cadiz-v-gimnastic; 2017-09-06 18:26:55 GMT+3; 2017-09-08 20:00; Nothing; Xlenovo
Cadiz; 3/4; 4/5; 4/5; 5/6; 4/5; 5/6; 4/5; 8/11; 4/5; 4/5; 4/5; 4/5; 17/20; 3/4; 5/6; 4/5; ; 4/5; 4/5; 17/20; 4/5; 4/5; 5/6; 4/5; 4/5; ; 8/11; 4/5; 5/6
Draw; 9/4; 9/4; 11/5; 9/4; 12/5; 11/5; 12/5; 23/10; 23/10; 11/5; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; ; 23/10; 23/10; 123/50; 11/5; 23/10; 23/10; 11/5; 9/4; ; 21/10; 11/5; 12/5
Gimnastic; 17/4; 7/2; 18/5; 18/5; 4; 3; 4; 7/2; 37/10; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; ; 7/2; 50/13; 41/10; 33/10; 37/10; 10/3; 10/3; 7/2; ; 3; 10/3; 4
META; spain/la-liga-segunda/cadiz-v-gimnastic; 2017-09-06 22:26:50 GMT+3; 2017-09-08 20:00; Nothing; Xlenovo
Cadiz; 3/4; 4/5; 4/5; 5/6; 4/5; 5/6; 4/5; 8/11; 4/5; 4/5; 4/5; 4/5; 17/20; 3/4; 5/6; 4/5; ; 4/5; 4/5; 17/20; 4/5; 4/5; 5/6; 4/5; 4/5; ; 4/5; 4/5; 5/6
Draw; 9/4; 9/4; 11/5; 9/4; 12/5; 11/5; 12/5; 23/10; 23/10; 11/5; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; ; 23/10; 23/10; 123/50; 11/5; 23/10; 23/10; 11/5; 9/4; ; 23/10; 11/5; 12/5
Gimnastic; 17/4; 7/2; 18/5; 18/5; 4; 3; 4; 7/2; 37/10; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; ; 7/2; 50/13; 41/10; 33/10; 37/10; 10/3; 10/3; 7/2; ; 7/2; 10/3; 4
