Cordoba; 15/4; 10/3; 13/4; 17/5; 16/5; 17/5; 10/3; 10/3; 18/5; 13/4; 7/2; 10/3; ; 16/5; 10/3; 10/3; 7/2; 39/11; 41/10; 3; 18/5; 3; 18/5; 10/3; 18/5; ; 3; ; 7/2
META; spain/la-liga-segunda/oviedo-v-cordoba; 2017-10-21 02:26:55 GMT+3; 2017-10-22 11:00; Nothing; Xlenovo
Oviedo; 4/5; 4/5; 5/6; 5/6; 8/11; 4/5; 4/5; 8/11; 4/5; 5/6; 5/6; 5/6; ; 17/20; 5/6; 5/6; 7/9; 4/5; 22/25; 5/6; 4/5; 4/5; 5/6; 17/20; 13/15; ; 5/6; 4/5; 5/6
Draw; 12/5; 23/10; 23/10; 9/4; 12/5; 23/10; 9/4; 23/10; 40/17; 23/10; 12/5; 23/10; ; 23/10; 12/5; 23/10; 13/5; 27/11; 59/25; 23/10; 23/10; 23/10; 5/2; 51/20; 27/11; ; 11/5; 23/10; 5/2
Cordoba; 15/4; 10/3; 13/4; 17/5; 16/5; 17/5; 10/3; 10/3; 18/5; 13/4; 7/2; 10/3; ; 16/5; 10/3; 10/3; 7/2; 39/11; 41/10; 3; 18/5; 3; 18/5; 10/3; 39/11; ; 3; 3; 7/2
META; spain/la-liga-segunda/oviedo-v-cordoba; 2017-10-21 10:28:06 GMT+3; 2017-10-22 11:00; Nothing; Xlenovo
Oviedo; 4/5; 4/5; 5/6; 5/6; 8/11; 4/5; 4/5; 8/11; 4/5; 5/6; 5/6; 5/6; ; 17/20; 5/6; 5/6; 7/9; 4/5; 43/50; 5/6; 4/5; 4/5; 5/6; 17/20; 13/15; ; 5/6; 4/5; 5/6
Draw; 12/5; 23/10; 23/10; 9/4; 12/5; 23/10; 9/4; 23/10; 40/17; 23/10; 12/5; 23/10; ; 23/10; 12/5; 23/10; 13/5; 27/11; 5/2; 23/10; 23/10; 23/10; 5/2; 51/20; 27/11; ; 11/5; 23/10; 5/2
Cordoba; 15/4; 10/3; 16/5; 17/5; 16/5; 17/5; 10/3; 10/3; 18/5; 16/5; 7/2; 10/3; ; 16/5; 10/3; 10/3; 7/2; 39/11; 79/20; 3; 18/5; 3; 7/2; 10/3; 18/5; ; 3; 3; 7/2
META; spain/la-liga-segunda/oviedo-v-cordoba; 2017-10-21 14:29:23 GMT+3; 2017-10-22 11:00; Nothing; Xlenovo
