META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-19 18:27:06 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; ; ; ; ; ; ; 31/20; ; ; 6/4; ; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; 
Albacete; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 21/10; ; ; 2; ; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-19 22:26:24 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 17/10; 6/4; 6/4; 6/4; 6/4; 6/4; 31/20; 7/5; ; 6/4; 6/4; ; ; ; ; ; 17/11; ; 6/4; ; 24/17; ; ; ; 31/20; ; 7/5; 6/4; 
Oviedo; 6/4; 29/20; 7/5; 6/4; 6/4; 29/20; 6/4; 7/5; 31/21; 7/5; 7/5; 7/5; ; 29/20; 8/5; 16/11; 6/4; 16/11; 16/11; 31/20; 23/17; 16/11; 7/5; 7/5; 6/4; ; 7/5; 11/8; 6/4
Draw; 19/10; 19/10; 2; 21/10; 2; 19/10; 85/40; 15/8; 37/19; 2; 2; 2; ; 2; 19/10; 2; 2; 19/10; 2; 21/10; 28/13; 19/10; 15/8; 2; 2; ; 19/10; 19/10; 2
Albacete; 21/10; 2; 2; 9/5; 21/10; 37/20; 2; 15/8; 28/13; 2; 2; 2; ; 19/10; 19/10; 2; 37/19; 21/10; 21/10; 111/50; 9/5; 21/10; 15/8; 2; 21/10; ; 19/10; 19/10; 11/5
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-23 02:28:21 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 6/4; 29/20; 7/5; 6/4; 6/4; 29/20; 6/4; 7/5; 31/21; 7/5; 7/5; 7/5; ; 29/20; 8/5; 16/11; 6/4; 16/11; 16/11; 31/20; 23/17; 16/11; 7/5; 7/5; 6/4; ; 7/5; 11/8; 6/4
Draw; 19/10; 2; 2; 21/10; 2; 19/10; 85/40; 15/8; 37/19; 2; 2; 2; ; 2; 19/10; 2; 2; 19/10; 2; 21/10; 28/13; 19/10; 15/8; 2; 2; ; 19/10; 19/10; 2
Albacete; 21/10; 19/10; 2; 9/5; 21/10; 37/20; 2; 15/8; 28/13; 2; 2; 2; ; 19/10; 19/10; 2; 37/19; 21/10; 21/10; 111/50; 9/5; 21/10; 15/8; 2; 21/10; ; 19/10; 19/10; 11/5
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-23 10:28:27 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 6/4; 7/5; 7/5; 6/4; 6/4; 29/20; 6/4; 7/5; 31/21; 7/5; 7/5; 7/5; ; 29/20; 8/5; 16/11; 6/4; 16/11; 16/11; 31/20; 23/17; 16/11; 7/5; 7/5; 6/4; ; 7/5; 11/8; 6/4
Draw; 19/10; 2; 2; 21/10; 2; 19/10; 21/10; 15/8; 37/19; 2; 2; 2; ; 2; 19/10; 2; 2; 19/10; 2; 21/10; 28/13; 19/10; 15/8; 2; 2; ; 19/10; 19/10; 2
Albacete; 21/10; 19/10; 2; 9/5; 21/10; 37/20; 21/10; 15/8; 28/13; 2; 2; 2; ; 19/10; 19/10; 2; 37/19; 21/10; 21/10; 111/50; 9/5; 21/10; 15/8; 2; 21/10; ; 19/10; 19/10; 11/5
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-23 14:30:44 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 6/4; 7/5; 7/5; 6/4; 6/4; 29/20; 6/4; 7/5; 31/21; 7/5; 7/5; 7/5; ; 29/20; 8/5; 16/11; 6/4; 16/11; 16/11; 31/20; 23/17; 16/11; 7/5; 7/5; 6/4; ; 7/5; 11/8; 6/4
Draw; 19/10; 2; 2; 21/10; 2; 19/10; 21/10; 15/8; 37/19; 2; 2; 2; ; 2; 19/10; 2; 2; 19/10; 2; 21/10; 28/13; 19/10; 15/8; 15/8; 2; ; 19/10; 19/10; 2
Albacete; 21/10; 19/10; 2; 9/5; 21/10; 37/20; 21/10; 15/8; 28/13; 2; 2; 2; ; 19/10; 19/10; 2; 37/19; 21/10; 21/10; 111/50; 9/5; 21/10; 15/8; 2; 21/10; ; 19/10; 19/10; 11/5
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-23 18:29:06 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 29/20; 7/5; 7/5; 6/4; 6/4; 29/20; 29/20; 7/5; 31/21; 26/19; 11/8; 7/5; ; 29/20; 7/5; 7/5; 6/4; 16/11; 7/5; 39/25; 23/17; 16/11; 7/5; 7/5; 29/20; ; 11/8; 11/8; 7/5
Draw; 2; 2; 2; 21/10; 2; 19/10; 85/40; 15/8; 37/19; 2; 2; 2; ; 2; 2; 2; 2; 19/10; 2; 21/10; 28/13; 19/10; 15/8; 2; 2; ; 19/10; 19/10; 2
Albacete; 21/10; 19/10; 41/20; 9/5; 21/10; 37/20; 85/40; 15/8; 28/13; 2; 2; 2; ; 19/10; 21/10; 2; 37/19; 21/10; 21/10; 11/5; 9/5; 21/10; 15/8; 2; 11/5; ; 2; 19/10; 23/10
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-23 22:27:40 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 27/20; 7/5; 27/20; 6/4; 11/8; 4/3; 11/8; 7/5; 7/5; 13/10; 13/10; 11/8; ; 11/8; 7/5; 13/10; 6/4; 11/8; 23/17; 36/25; 24/19; 11/8; 13/10; 11/8; 11/8; ; 27/20; 27/20; 7/5
Draw; 21/10; 2; 2; 21/10; 21/10; 19/10; 85/40; 15/8; 37/19; 2; 2; 2; ; 2; 2; 2; 2; 19/10; 39/19; 107/50; 28/13; 19/10; 15/8; 2; 2; ; 2; 19/10; 21/10
Albacete; 11/5; 19/10; 21/10; 9/5; 11/5; 2; 9/4; 15/8; 9/4; 21/10; 21/10; 21/10; ; 2; 21/10; 28/13; 37/19; 11/5; 11/5; 59/25; 31/16; 11/5; 2; 2; 9/4; ; 21/10; 19/10; 12/5
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-24 02:27:18 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 27/20; 13/10; 27/20; 13/10; 11/8; 4/3; 11/8; 13/10; 7/5; 13/10; 13/10; 11/8; ; 11/8; 7/5; 13/10; 6/4; 11/8; 23/17; 36/25; 24/19; 11/8; 13/10; 11/8; 11/8; ; 27/20; 13/10; 7/5
Draw; 21/10; 2; 2; 21/10; 21/10; 19/10; 85/40; 15/8; 37/19; 2; 2; 2; ; 2; 2; 2; 2; 19/10; 39/19; 107/50; 28/13; 19/10; 15/8; 2; 2; ; 2; 19/10; 21/10
Albacete; 11/5; 21/10; 21/10; 21/10; 11/5; 2; 9/4; 15/8; 9/4; 21/10; 21/10; 21/10; ; 2; 21/10; 28/13; 37/19; 11/5; 11/5; 59/25; 31/16; 11/5; 2; 2; 9/4; ; 21/10; 19/10; 12/5
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-24 10:27:19 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 27/20; 13/10; 27/20; 13/10; 11/8; 4/3; 11/8; 13/10; 7/5; 23/17; 27/20; 13/10; ; 13/10; 7/5; 13/10; 7/5; 11/8; 23/17; 36/25; 13/10; 11/8; 13/10; 11/8; 11/8; ; 7/5; 27/20; 7/5
Draw; 21/10; 2; 2; 21/10; 21/10; 19/10; 85/40; 15/8; 37/19; 2; 2; 2; ; 2; 2; 2; 2; 19/10; 39/19; 85/40; 28/13; 19/10; 15/8; 2; 2; ; 2; 2; 21/10
Albacete; 11/5; 21/10; 21/10; 21/10; 11/5; 2; 9/4; 15/8; 9/4; 21/10; 21/10; 11/5; ; 21/10; 21/10; 28/13; 21/10; 11/5; 9/4; 119/50; 39/19; 11/5; 2; 2; 9/4; ; 9/4; 21/10; 12/5
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-24 14:27:21 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 27/20; 13/10; 11/8; 13/10; 7/5; 4/3; 7/5; 5/4; 7/5; 26/19; 27/20; 11/8; ; 13/10; 7/5; 11/8; 7/5; 11/8; 23/17; 147/100; 11/8; 11/8; 13/10; 11/8; 11/8; ; 7/5; 27/20; 7/5
Draw; 21/10; 2; 2; 21/10; 21/10; 19/10; 85/40; 15/8; 21/10; 2; 2; 2; ; 2; 2; 39/19; 2; 39/19; 21/10; 111/50; 39/19; 39/19; 15/8; 2; 21/10; ; 2; 2; 11/5
Albacete; 11/5; 21/10; 41/20; 21/10; 21/10; 2; 11/5; 2; 21/10; 2; 21/10; 21/10; ; 21/10; 21/10; 39/19; 21/10; 39/19; 21/10; 111/50; 2; 39/19; 2; 2; 9/4; ; 21/10; 21/10; 11/5
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-24 18:26:56 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 29/20; 11/8; 7/5; 7/5; 6/4; 11/8; 6/4; 5/4; 16/11; 16/11; 29/20; 29/20; ; 29/20; 6/4; 7/5; 6/4; 10/7; 7/5; 39/25; 17/12; 10/7; 13/10; 7/5; 6/4; ; 6/4; 7/5; 6/4
Albacete; 21/10; 2; 2; 2; 2; 19/10; 21/10; 2; 37/19; 19/10; 19/10; 2; ; 19/10; 15/8; 2; 37/19; 19/10; 2; 2; 37/19; 19/10; 15/8; 2; 2; ; 19/10; 2; 2
Draw; 21/10; 2; 2; 2; 21/10; 19/10; 21/10; 15/8; 28/13; 2; 2; 2; ; 2; 21/10; 39/19; 2; 28/13; 28/13; 58/25; 39/19; 28/13; 15/8; 2; 21/10; ; 2; 2; 9/4
