META; english/league-1/portsmouth-v-fleetwood; 2017-09-10 14:23:06 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 1; 1; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Fleetwood; 11/4; 13/5; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/portsmouth-v-fleetwood; 2017-09-10 18:22:56 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 1; 1; ; ; 1; ; 1; 10/11; ; ; ; ; 19/20; ; ; 1; ; ; 1; ; ; ; ; ; 1; ; ; ; 
META; english/league-1/portsmouth-v-fleetwood; 2017-09-13 10:22:08 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 1; 1; 21/20; ; 21/20; 39/40; 21/20; 1; 1; 21/20; 21/20; 1; 1; 11/10; 11/10; 1; 1; ; 1; ; 1; 1; ; 21/20; 1; ; ; ; 
Draw; 12/5; 12/5; 23/10; ; 12/5; 11/5; 12/5; 12/5; 27/11; 9/4; 23/10; 23/10; 49/20; 13/5; 12/5; 12/5; 23/10; ; 40/17; ; 27/11; 27/11; ; 5/2; 12/5; ; ; ; 
Fleetwood; 11/4; 14/5; 14/5; ; 11/4; 13/5; 11/4; 13/5; 27/10; 11/4; 11/4; 14/5; 53/20; 29/10; 12/5; 11/4; 11/4; ; 27/10; ; 27/11; 27/10; ; 11/4; 11/4; ; ; ; 
META; english/league-1/portsmouth-v-fleetwood; 2017-09-13 14:22:43 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 1; 1; 21/20; 21/20; 21/20; 39/40; 21/20; 10/11; 1; 1; 21/20; 21/20; 1; 21/20; 1; 1; 1; ; 1; 53/50; 1; 1; ; 21/20; 1; ; ; 20/21; 21/20
Draw; 12/5; 12/5; 23/10; 12/5; 5/2; 11/5; 12/5; 12/5; 27/11; 9/4; 9/4; 9/4; 47/20; 5/2; 12/5; 12/5; 23/10; ; 23/10; 123/50; 27/11; 27/11; ; 12/5; 9/4; ; ; 9/4; 12/5
Fleetwood; 11/4; 14/5; 14/5; 13/5; 11/4; 13/5; 14/5; 11/4; 27/10; 14/5; 14/5; 14/5; 11/4; 3; 11/4; 11/4; 11/4; ; 11/4; 149/50; 27/11; 27/10; ; 14/5; 11/4; ; ; 11/4; 14/5
META; english/league-1/portsmouth-v-fleetwood; 2017-09-13 18:22:16 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 1; 1; 21/20; 21/20; 21/20; 39/40; 1; 10/11; 1; 1; 21/20; 21/20; 1; 21/20; 1; 21/20; 1; ; 1; 53/50; 1; 1; ; 21/20; 1; ; ; 20/21; 21/20
Draw; 12/5; 23/10; 23/10; 12/5; 12/5; 9/4; 5/2; 12/5; 27/11; 9/4; 9/4; 9/4; 47/20; 13/5; 12/5; 23/10; 23/10; ; 23/10; 123/50; 27/11; 27/11; ; 12/5; 9/4; ; ; 2; 12/5
Fleetwood; 11/4; 29/10; 14/5; 13/5; 11/4; 13/5; 14/5; 11/4; 27/10; 14/5; 29/10; 14/5; 11/4; 29/10; 11/4; 11/4; 27/10; ; 11/4; 149/50; 27/11; 27/10; ; 14/5; 11/4; ; ; 12/5; 14/5
META; english/league-1/portsmouth-v-fleetwood; 2017-09-13 22:22:15 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 1; 1; 21/20; 21/20; 1; 39/40; 1; 10/11; 1; 1; 21/20; 21/20; 1; 21/20; 1; 21/20; 1; ; 1; 53/50; 1; 1; 9/10; 21/20; 1; ; ; 20/21; 21/20
Draw; 12/5; 23/10; 9/4; 12/5; 5/2; 9/4; 5/2; 12/5; 27/11; 11/5; 9/4; 9/4; 47/20; 13/5; 12/5; 23/10; 23/10; ; 23/10; 123/50; 27/11; 27/11; 12/5; 12/5; 9/4; ; ; 2; 12/5
Fleetwood; 11/4; 29/10; 29/10; 13/5; 11/4; 13/5; 14/5; 11/4; 27/10; 29/10; 29/10; 14/5; 11/4; 29/10; 11/4; 11/4; 27/10; ; 14/5; 149/50; 27/11; 27/10; 3; 14/5; 11/4; ; ; 5/2; 14/5
META; english/league-1/portsmouth-v-fleetwood; 2017-09-14 02:21:57 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 1; 1; 21/20; 21/20; 21/20; 39/40; 1; 10/11; 1; 1; 21/20; 21/20; 1; 21/20; 1; 21/20; 1; ; 1; 53/50; 1; 1; 9/10; 21/20; 1; ; ; 20/21; 21/20
Draw; 12/5; 23/10; 9/4; 12/5; 5/2; 9/4; 5/2; 12/5; 27/11; 11/5; 9/4; 9/4; 47/20; 13/5; 12/5; 23/10; 23/10; ; 23/10; 123/50; 27/11; 27/11; 12/5; 12/5; 9/4; ; ; 9/4; 12/5
Fleetwood; 11/4; 29/10; 29/10; 13/5; 11/4; 13/5; 14/5; 11/4; 27/10; 29/10; 29/10; 14/5; 11/4; 29/10; 11/4; 11/4; 27/10; ; 14/5; 149/50; 27/11; 27/10; 3; 14/5; 11/4; ; ; 11/4; 14/5
META; english/league-1/portsmouth-v-fleetwood; 2017-09-14 10:22:12 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 1; 1; 21/20; 21/20; 1; 39/40; 1; 10/11; 1; 1; 21/20; 21/20; 1; 21/20; 1; 21/20; 1; ; 1; 103/100; 1; 1; 9/10; 21/20; 1; ; ; 20/21; 21/20
Draw; 12/5; 23/10; 9/4; 12/5; 5/2; 9/4; 5/2; 12/5; 27/11; 11/5; 9/4; 9/4; 47/20; 13/5; 12/5; 23/10; 23/10; ; 23/10; 123/50; 27/11; 27/11; 12/5; 12/5; 9/4; ; ; 9/4; 12/5
Fleetwood; 11/4; 29/10; 29/10; 13/5; 11/4; 13/5; 14/5; 11/4; 27/10; 29/10; 29/10; 14/5; 11/4; 29/10; 11/4; 14/5; 27/10; ; 14/5; 31/10; 27/11; 27/10; 3; 14/5; 11/4; ; ; 11/4; 14/5
META; english/league-1/portsmouth-v-fleetwood; 2017-09-14 14:22:21 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
