Draw; 3; 14/5; 14/5; 11/4; 31/10; 3; 29/10; 3; 29/10; 14/5; 3; 13/5; ; 14/5; 3; 14/5; 29/10; 56/19; 29/10; 3; 29/10; 3; 3; 57/20; 56/19; ; 14/5; 27/10; 3
Northampton; 19/4; 19/4; 5; 4; 57/10; 5; 5; 5; 21/4; 5; 11/2; 5; ; 5; 19/4; 5; 19/4; 96/19; 19/4; 41/10; 21/4; 19/4; 5; 5; 51/10; ; 5; 24/5; 28/5
META; english/league-1/portsmouth-v-northampton; 2017-12-28 18:22:23 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Portsmouth; 11/20; 3/5; 4/7; 4/7; 59/ 100; 4/7; 8/15; 4/7; 6/11; 4/7; 4/7; 6/10; ; 6/10; 4/7; 8/15; 4/7; 5/9; 4/7; 5/9; 6/11; 8/13; 4/7; 11/20; 5/9; ; 8/15; 8/15; 4/7
Draw; 3; 29/10; 14/5; 11/4; 31/10; 3; 29/10; 3; 29/10; 14/5; 16/5; 13/5; ; 14/5; 3; 14/5; 29/10; 56/19; 29/10; 3; 29/10; 3; 31/10; 57/20; 3; ; 14/5; 11/4; 3
Northampton; 19/4; 19/4; 5; 5; 28/5; 5; 5; 5; 21/4; 5; 5; 5; ; 19/4; 19/4; 5; 19/4; 96/19; 19/4; 9/2; 21/4; 19/4; 5; 5; 51/10; ; 5; 26/5; 28/5
META; english/league-1/portsmouth-v-northampton; 2017-12-28 22:22:20 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Portsmouth ; 11/20; 3/5; 4/7; 4/7; 59/ 100; 4/7; 8/15; 4/7; 6/11; 4/7; 4/7; 6/10; ; 6/10; 4/7; 8/15; 4/7; 5/9; 4/7; 5/9; 6/11; 8/13; 4/7; 11/20; 5/9; ; 8/15; 8/15; 4/7
Draw; 3; 29/10; 14/5; 11/4; 31/10; 3; 29/10; 3; 29/10; 14/5; 16/5; 13/5; ; 14/5; 3; 14/5; 29/10; 56/19; 29/10; 3; 29/10; 3; 31/10; 57/20; 3; ; 14/5; 27/10; 3
Northampton; 19/4; 19/4; 5; 5; 28/5; 5; 5; 5; 21/4; 5; 5; 5; ; 5; 19/4; 5; 19/4; 51/10; 19/4; 9/2; 21/4; 19/4; 5; 5; 67/13; ; 5; 5; 28/5
META; english/league-1/portsmouth-v-northampton; 2017-12-29 02:22:15 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Portsmouth ; 11/20; 3/5; 4/7; 4/7; 59/ 100; 4/7; 8/15; 4/7; 6/11; 4/7; 4/7; 6/10; 4/7; 6/10; 4/7; 8/15; 4/7; 5/9; 4/7; 5/9; 6/11; 8/13; 4/7; 11/20; 5/9; ; 4/7; 8/15; 4/7
Draw; 3; 29/10; 14/5; 11/4; 31/10; 3; 29/10; 3; 29/10; 14/5; 16/5; 13/5; 3; 14/5; 3; 14/5; 29/10; 56/19; 29/10; 3; 29/10; 3; 31/10; 57/20; 3; ; 14/5; 11/4; 3
Northampton; 19/4; 19/4; 5; 5; 28/5; 5; 5; 5; 21/4; 5; 5; 5; 9/2; 5; 19/4; 5; 19/4; 51/10; 19/4; 9/2; 21/4; 19/4; 5; 5; 67/13; ; 11/2; 26/5; 28/5
META; english/league-1/portsmouth-v-northampton; 2017-12-29 10:22:15 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
