META; english/league-1/peterborough-v-walsall; 2018-02-24 22:20:02 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Peterborough; 4/5; 5/6; ; 4/5; ; ; 4/5; 8/11; ; ; 4/5; ; ; ; ; 4/5; 4/5; ; ; ; ; 4/5; 10/13; 4/5; ; 4/7; ; 
Peterborough; 4/5; 17/20; ; 4/5; 89/100; ; 17/20; 5/6; 9/11; ; 17/20; 5/6; ; 9/10; 17/20; 5/6; 13/15; 7/9; ; 9/11; 9/10; 20/23; 9/10; 13/15; ; 4/5; ; 
Draw; 11/4; 11/4; ; 5/2; 68/25; ; 5/2; 13/5; 45/17; ; 13/5; 13/5; ; 5/2; 11/4; 13/5; 28/11; 27/10; ; 45/17; 13/5; 11/4; 53/20; 28/11; ; 5/2; ; 
Walsall; 16/5; 3; ; 3; 17/5; ; 3; 3; 31/10; ; 16/5; 3; ; 3; 3; 3; 58/19; 16/5; ; 31/10; 3; 3; 59/20; 31/10; ; 5/2; ; 
META; english/league-1/peterborough-v-walsall; 2018-02-25 18:20:11 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Peterborough; 4/5; 17/20; ; 4/5; 22/25; 10/11; 17/20; 5/6; 9/11; ; 17/20; 20/23; 10/11; 9/10; 10/11; 5/6; 5/6; 7/9; 6/7; 9/11; 9/10; 20/23; 9/10; 13/15; ; 4/5; ; 5/6
Draw; 11/4; 13/5; ; 5/2; 68/25; 14/5; 5/2; 13/5; 45/17; ; 13/5; 13/5; 5/2; 5/2; 5/2; 13/5; 28/11; 27/10; 28/11; 45/17; 13/5; 11/4; 53/20; 13/5; ; 5/2; ; 23/10
Walsall; 16/5; 16/5; ; 3; 69/20; 16/5; 3; 3; 31/10; ; 16/5; 3; 3; 3; 3; 16/5; 41/13; 16/5; 14/5; 31/10; 3; 3; 59/20; 41/13; ; 3; ; 14/5
META; english/league-1/peterborough-v-walsall; 2018-02-25 22:20:10 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Peterborough; 4/5; 17/20; 13/15; 10/11; 22/25; 10/11; 17/20; 5/6; 9/11; 20/23; 17/20; 20/23; 5/6; 9/10; 10/11; 17/20; 13/15; 7/9; 6/7; 9/11; 9/10; 9/10; 9/10; 13/15; ; 5/6; 5/6; 5/6
Draw; 11/4; 13/5; 5/2; 5/2; 68/25; 14/5; 5/2; 13/5; 45/17; 5/2; 13/5; 5/2; 13/5; 5/2; 5/2; 13/5; 28/11; 27/10; 28/11; 45/17; 13/5; 13/5; 53/20; 28/11; ; 5/2; 5/2; 23/10
Walsall; 16/5; 16/5; 3; 3; 69/20; 16/5; 3; 3; 31/10; 16/5; 16/5; 16/5; 3; 3; 3; 16/5; 41/13; 16/5; 14/5; 31/10; 3; 31/10; 59/20; 41/13; ; 3; 14/5; 3
META; english/league-1/peterborough-v-walsall; 2018-02-26 02:19:47 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Peterborough; 10/11; 17/20; 13/15; 10/11; 9/10; 10/11; 17/20; 5/6; 9/11; 20/23; 9/10; 20/23; 5/6; 9/10; 10/11; 10/11; 13/15; 7/9; 6/7; 9/11; 9/10; 20/23; 9/10; 13/15; ; 5/6; 5/6; 5/6
Draw; 11/4; 13/5; 5/2; 5/2; 67/25; 14/5; 5/2; 5/2; 45/17; 5/2; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 27/10; 28/11; 45/17; 13/5; 11/4; 53/20; 28/11; ; 5/2; 5/2; 23/10
Walsall; 16/5; 16/5; 3; 3; 17/5; 16/5; 3; 3; 31/10; 16/5; 3; 16/5; 3; 3; 3; 3; 41/13; 16/5; 14/5; 31/10; 3; 3; 59/20; 41/13; ; 3; 14/5; 3
META; english/league-1/peterborough-v-walsall; 2018-02-26 10:19:49 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Peterborough; 10/11; 17/20; 13/15; 10/11; 9/10; 10/11; 17/20; 5/6; 9/11; 20/23; 9/10; 20/23; 5/6; 17/20; 10/11; 10/11; 13/15; 7/9; 6/7; 9/11; 9/10; 20/23; 9/10; 13/15; ; 5/6; 5/6; 5/6
Draw; 11/4; 13/5; 5/2; 5/2; 67/25; 14/5; 5/2; 5/2; 45/17; 5/2; 13/5; 5/2; 13/5; 13/5; 5/2; 5/2; 28/11; 27/10; 28/11; 45/17; 13/5; 11/4; 53/20; 28/11; ; 13/5; 5/2; 23/10
Walsall; 16/5; 16/5; 3; 3; 17/5; 16/5; 3; 3; 31/10; 16/5; 3; 16/5; 3; 31/10; 3; 3; 41/13; 16/5; 14/5; 31/10; 3; 3; 59/20; 16/5; ; 3; 3; 3
META; english/league-1/peterborough-v-walsall; 2018-02-26 14:20:26 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Peterborough; 10/11; 17/20; 13/15; 10/11; 9/10; 10/11; 17/20; 5/6; 16/19; 20/23; 17/20; 20/23; 5/6; 17/20; 10/11; 17/20; 13/15; 7/9; 10/11; 16/19; 9/10; 9/10; 13/15; ; 5/6; 5/6; 5/6
Draw; 11/4; 13/5; 13/5; 5/2; 11/4; 14/5; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 28/11; 27/10; 13/5; 13/5; 13/5; 53/20; 13/5; ; 13/5; 13/5; 27/10
Walsall; 16/5; 16/5; 3; 3; 33/10; 10/3; 3; 3; 31/10; 3; 16/5; 3; 3; 31/10; 3; 3; 31/10; 16/5; 27/10; 31/10; 31/10; 59/20; 41/13; ; 3; 14/5; 3
META; english/league-1/peterborough-v-walsall; 2018-02-26 18:20:22 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Peterborough; 10/11; 17/20; 5/6; 5/6; 89/100; 10/11; ; 5/6; 16/19; 5/6; 17/20; 20/23; 5/6; 17/20; 5/6; 17/20; 5/6; 7/9; 11/13; 16/19; 17/20; 9/10; 13/15; ; 5/6; 5/6; 5/6
Draw; 11/4; 13/5; 13/5; 13/5; 69/25; 14/5; 5/2; 13/5; 13/5; 27/10; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 27/10; 27/10; 13/5; 27/10; 53/20; 13/5; ; 13/5; 13/5; 27/10
Walsall; 16/5; 16/5; 3; 16/5; 10/3; 10/3; 16/5; 3; 31/10; 16/5; 16/5; 16/5; 3; 16/5; 16/5; 3; 41/13; 16/5; 37/13; 31/10; 10/3; 59/20; 41/13; ; 3; 10/3; 3
META; english/league-1/peterborough-v-walsall; 2018-02-26 22:20:20 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Peterborough; 10/11; 17/20; 11/13; 5/6; 87/100; 10/11; 17/20; 5/6; 16/19; 17/20; 17/20; 5/6; 5/6; 17/20; 5/6; 17/20; 5/6; 7/9; 13/15; 16/19; 20/23; 9/10; 13/15; ; 5/6; 5/6; 5/6
Draw; 11/4; 13/5; 13/5; 13/5; 68/25; 14/5; 5/2; 13/5; 13/5; 13/5; 13/5; 11/4; 13/5; 13/5; 13/5; 13/5; 13/5; 27/10; 27/10; 13/5; 27/10; 53/20; 13/5; ; 13/5; 13/5; 27/10
Walsall; 16/5; 16/5; 3; 16/5; 7/2; 10/3; 16/5; 3; 31/10; 3; 16/5; 3; 3; 16/5; 16/5; 3; 41/13; 16/5; 11/4; 31/10; 33/10; 59/20; 41/13; ; 3; 10/3; 3
META; english/league-1/peterborough-v-walsall; 2018-02-27 02:20:15 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Peterborough; 10/11; 5/6; 11/13; 5/6; 9/10; 20/23; 17/20; 4/5; 16/19; 17/20; 17/20; 20/23; 17/20; 17/20; 5/6; 17/20; 5/6; 7/9; 6/7; 16/19; 20/23; 9/10; 5/6; ; 5/6; 5/6; 5/6
Draw; 11/4; 13/5; 13/5; 13/5; 68/25; 14/5; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 27/10; 27/10; 13/5; 27/10; 53/20; 45/17; ; 5/2; 5/2; 11/4
Walsall; 16/5; 16/5; 3; 16/5; 67/20; 7/2; 16/5; 16/5; 31/10; 3; 16/5; 3; 3; 31/10; 16/5; 3; 41/13; 16/5; 11/4; 31/10; 33/10; 59/20; 41/13; ; 10/3; 3; 3
META; english/league-1/peterborough-v-walsall; 2018-02-27 10:20:15 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Peterborough; 10/11; 5/6; 11/13; 5/6; 89/100; 20/23; 17/20; 4/5; 16/19; 20/23; 17/20; 20/23; 17/20; 17/20; 5/6; 17/20; 5/6; 7/9; 6/7; 16/19; 20/23; 9/10; 5/6; ; 5/6; 5/6; 5/6
Draw; 11/4; 13/5; 13/5; 13/5; 141/50; 14/5; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 27/10; 45/17; 13/5; 13/5; 53/20; 45/17; ; 13/5; 13/5; 11/4
Walsall; 16/5; 16/5; 3; 16/5; 13/4; 7/2; 16/5; 16/5; 31/10; 16/5; 16/5; 3; 3; 31/10; 16/5; 3; 31/10; 16/5; 29/10; 31/10; 10/3; 59/20; 31/10; ; 3; 3; 3
META; english/league-1/peterborough-v-walsall; 2018-02-27 14:21:10 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Peterborough; 5/6; 4/5; 5/6; 5/6; 43/50; 20/23; 5/6; 4/5; 16/19; 5/6; 5/6; 5/6; 17/20; 5/6; 4/5; 4/5; 4/5; 7/9; 11/13; 16/19; 17/20; 4/5; 4/5; ; 5/6; 5/6; 5/6
Draw; 14/5; 13/5; 13/5; 13/5; 27/10; 14/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 11/4; 13/5; 13/5; 27/10; 45/17; 13/5; 14/5; 11/4; 45/17; ; 13/5; 13/5; 11/4
Walsall; 18/5; 10/3; 16/5; 16/5; 18/5; 7/2; 16/5; 16/5; 31/10; 13/4; 10/3; 10/3; 16/5; 16/5; 16/5; 10/3; 33/10; 16/5; 29/10; 31/10; 16/5; 10/3; 57/17; ; 10/3; 7/2; 10/3
META; english/league-1/peterborough-v-walsall; 2018-02-27 18:20:20 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Peterborough; 5/6; 17/20; 11/13; 5/6; 22/25; 20/23; 17/20; 4/5; 4/5; 17/20; 5/6; 20/23; 17/20; 17/20; 4/5; 5/6; 5/6; 7/9; 6/7; 4/5; 17/20; 5/6; 5/6; ; 5/6; 5/6; 5/6
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 14/5; 5/2; 13/5; 13/5; 13/5; 13/5; 12/5; 13/5; 13/5; 11/4; 13/5; 13/5; 27/10; 45/17; 13/5; 14/5; 27/10; 13/5; ; 13/5; 27/10; 11/4
Walsall; 18/5; 16/5; 16/5; 16/5; 17/5; 7/2; 16/5; 16/5; 57/17; 16/5; 10/3; 16/5; 3; 31/10; 16/5; 16/5; 16/5; 16/5; 37/13; 57/17; 16/5; 16/5; 13/4; ; 10/3; 7/2; 10/3
