Plymouth; 7/4; 9/5; 9/5; 19/10; 97/50; 15/8; 9/5; 9/5; 15/8; ; 9/5; 9/5; 7/4; 9/5; 9/5; 9/5; 9/5; 7/4; 7/4; 15/8; 15/8; 9/5; 9/5; 9/5; ; 7/4; 13/8; 
Draw; 5/2; 12/5; 23/10; 12/5; 5/2; 23/10; 23/10; 11/5; 9/4; ; 12/5; 12/5; 12/5; 47/20; 23/10; 12/5; 40/17; 12/5; 27/11; 9/4; 12/5; 5/2; 47/20; 40/17; ; 23/10; 21/10; 
META; english/league-1/oxford-v-plymouth; 2018-02-15 14:20:36 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 7/5; 7/5; 16/11; 11/8; 149/100; 7/5; 7/5; 13/10; 16/11; 7/5; 29/20; 7/5; 7/5; 6/4; 7/5; 7/5; 16/11; 16/11; 11/8; 16/11; 6/4; 29/20; 7/5; ; ; 7/5; 7/5; 7/5
Plymouth; 7/4; 9/5; 9/5; 19/10; 48/25; 9/5; 9/5; 17/10; 15/8; 9/5; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 9/5; 7/4; 32/19; 15/8; 9/5; 7/4; 9/5; 9/5; ; 7/4; 13/8; 15/8
Draw; 5/2; 12/5; 23/10; 12/5; 51/20; 12/5; 23/10; 23/10; 9/4; 23/10; 5/2; 5/2; 12/5; 47/20; 5/2; 5/2; 12/5; 12/5; 13/5; 9/4; 12/5; 13/5; 47/20; 12/5; ; 23/10; 21/10; 5/2
META; english/league-1/oxford-v-plymouth; 2018-02-15 18:20:28 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 7/5; 7/5; 16/11; 11/8; 77/50; 7/5; 7/5; 13/10; 16/11; 29/20; 29/20; 29/20; 7/5; 6/4; 7/5; 7/5; 16/11; 16/11; 11/8; 16/11; 6/4; 29/20; 29/20; ; ; 6/4; 7/5; 6/4
Plymouth; 7/4; 9/5; 7/4; 19/10; 93/50; 9/5; 7/4; 17/10; 15/8; 7/4; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; 7/4; 32/19; 15/8; 9/5; 9/5; 17/10; 7/4; ; 17/10; 13/8; 9/5
Draw; 5/2; 5/2; 23/10; 12/5; 127/50; 12/5; 23/10; 23/10; 9/4; 23/10; 5/2; 23/10; 12/5; 47/20; 5/2; 12/5; 12/5; 12/5; 28/11; 9/4; 5/2; 5/2; 12/5; 12/5; ; 23/10; 21/10; 
META; english/league-1/oxford-v-plymouth; 2018-02-15 22:20:09 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 7/5; 7/5; 16/11; 11/8; 77/50; 29/20; 7/5; 7/5; 16/11; 29/20; 6/4; 29/20; 7/5; 6/4; 7/5; 7/5; 16/11; 16/11; 11/8; 16/11; 6/4; 29/20; 29/20; 16/11; ; 6/4; 7/5; 6/4
Plymouth; 7/4; 9/5; 7/4; 19/10; 93/50; 9/5; 7/4; 9/5; 15/8; 7/4; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; 7/4; 32/19; 15/8; 9/5; 9/5; 17/10; 7/4; ; 9/5; 13/8; 9/5
Draw; 5/2; 5/2; 23/10; 12/5; 127/50; 23/10; 23/10; 23/10; 9/4; 23/10; 12/5; 23/10; 12/5; 47/20; 5/2; 12/5; 12/5; 12/5; 28/11; 9/4; 5/2; 5/2; 12/5; 12/5; ; 23/10; 21/10; 
META; english/league-1/oxford-v-plymouth; 2018-02-16 02:19:45 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 7/5; 7/5; 16/11; 11/8; 77/50; 29/20; 7/5; 7/5; 16/11; 29/20; 6/4; 29/20; 7/5; 6/4; 7/5; 7/5; 16/11; 16/11; 11/8; 16/11; 6/4; 29/20; 29/20; 16/11; ; 6/4; 6/4; 6/4
Plymouth; 7/4; 9/5; 7/4; 19/10; 93/50; 7/4; 7/4; 7/4; 15/8; 7/4; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; 7/4; 32/19; 15/8; 9/5; 9/5; 17/10; 7/4; ; 7/4; 7/4; 9/5
Draw; 5/2; 5/2; 23/10; 12/5; 127/50; 12/5; 23/10; 23/10; 9/4; 23/10; 12/5; 23/10; 12/5; 47/20; 5/2; 12/5; 12/5; 12/5; 28/11; 9/4; 5/2; 5/2; 12/5; 12/5; ; 23/10; 11/5; 
META; english/league-1/oxford-v-plymouth; 2018-02-16 10:20:29 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 8/5; 7/5; 16/11; 11/8; 29/20; 29/20; 7/5; 7/5; 31/21; 29/20; 6/4; ; 7/5; 6/4; 7/5; 7/5; 7/5; 16/11; 11/8; 31/21; 7/5; 29/20; 7/5; 7/5; ; 7/5; 7/5; 7/5
Plymouth; 9/5; 9/5; 9/5; 19/10; 99/50; 7/4; 9/5; 7/4; 9/5; 9/5; 9/5; ; 7/4; 9/5; 9/5; 9/5; 24/13; 7/4; 32/19; 9/5; 15/8; 9/5; 9/5; 24/13; ; 9/5; 9/5; 19/10
Draw; 5/2; 5/2; 23/10; 12/5; 51/20; 12/5; 23/10; 23/10; 23/10; 23/10; 12/5; 12/5; 12/5; 47/20; 5/2; 12/5; 40/17; 12/5; 28/11; 23/10; 5/2; 5/2; 12/5; 12/5; ; 23/10; 11/5; 
META; english/league-1/oxford-v-plymouth; 2018-02-16 14:20:31 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 13/8; 7/5; 17/11; 6/4; 42/25; 13/8; 6/4; 6/4; 31/21; 31/20; 8/5; 13/8; 7/5; 8/5; 7/5; 6/4; 16/11; 16/11; 17/11; 31/21; 13/8; 17/10; 13/8; 16/11; ; 13/8; 13/8; 13/8
Plymouth; 9/5; 9/5; 28/17; 9/5; 171/100; 9/5; 13/8; 17/10; 7/4; 33/20; 17/10; 13/8; 7/4; 33/20; 9/5; 17/10; 9/5; 7/4; 17/11; 7/4; 13/8; 13/8; 33/20; 9/5; ; 17/10; 17/10; 13/8
Draw; 5/2; 5/2; 23/10; 23/10; 63/25; 5/2; 23/10; 23/10; 40/17; 23/10; 23/10; 23/10; 12/5; 47/20; 5/2; 12/5; 40/17; 12/5; 5/2; 40/17; 12/5; 5/2; 12/5; 40/17; ; 9/4; 9/4; 
META; english/league-1/oxford-v-plymouth; 2018-02-16 18:20:35 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 13/8; 6/4; 17/11; 6/4; 167/100; 13/8; 8/5; 6/4; 31/21; 31/20; 8/5; 31/20; 7/5; 8/5; 7/5; 6/4; 8/5; 17/11; 17/11; 31/21; 13/8; 8/5; 17/10; 8/5; ; 13/8; 13/8; 13/8
Plymouth; 9/5; 13/8; 28/17; 9/5; 17/10; 9/5; 13/8; 13/8; 7/4; 13/8; 17/10; 8/5; 7/4; 33/20; 9/5; 17/10; 8/5; 8/5; 17/11; 7/4; 13/8; 17/10; 8/5; 28/17; ; 13/8; 17/10; 13/8
Draw; 5/2; 5/2; 12/5; 23/10; 64/25; 5/2; 12/5; 23/10; 40/17; 23/10; 12/5; 5/2; 12/5; 12/5; 5/2; 12/5; 12/5; 12/5; 5/2; 40/17; 12/5; ; ; 12/5; ; 23/10; 12/5; 5/2
META; english/league-1/oxford-v-plymouth; 2018-02-16 22:20:30 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 13/8; 6/4; 6/4; 6/4; 13/8; 13/8; 8/5; 6/4; 31/21; 6/4; 8/5; ; 7/5; 31/20; 7/5; 6/4; 17/11; 17/11; 17/11; 31/21; 8/5; 31/20; 8/5; 17/11; ; 6/4; 13/8; 6/4
Plymouth; 9/5; 13/8; 17/10; 9/5; 44/25; 9/5; 13/8; 13/8; 7/4; 33/20; 7/4; 17/10; 7/4; 33/20; 9/5; 17/10; 28/17; 8/5; 17/11; 7/4; ; 7/4; 17/10; 17/10; ; ; 7/4; 17/10
Draw; 5/2; 5/2; ; 23/10; 127/50; 5/2; 12/5; 23/10; 40/17; ; 23/10; 12/5; 12/5; ; 5/2; 12/5; 40/17; 12/5; 5/2; 40/17; 5/2; ; ; ; ; ; 5/2; 5/2
META; english/league-1/oxford-v-plymouth; 2018-02-17 02:20:19 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 13/8; 6/4; 6/4; 8/5; 159/100; 13/8; 6/4; 6/4; 31/21; 29/20; 6/4; 6/4; 7/5; 31/20; 8/5; 6/4; 6/4; 17/11; 17/11; 31/21; 8/5; 6/4; 8/5; 17/11; ; 6/4; 6/4; 6/4
Plymouth; 9/5; 17/10; 17/10; 13/8; 44/25; 9/5; 17/10; 13/8; 7/4; 33/20; 7/4; 13/8; 7/4; 17/10; 13/8; 17/10; ; 8/5; 17/11; 7/4; ; 9/5; 17/10; 17/10; ; 7/4; 7/4; 17/10
Draw; 5/2; 5/2; ; 12/5; 13/5; 5/2; 12/5; 23/10; 40/17; 12/5; 12/5; 13/5; 12/5; ; 5/2; 5/2; 12/5; 12/5; 5/2; 40/17; 5/2; ; ; 27/11; ; 12/5; 12/5; 5/2
META; english/league-1/oxford-v-plymouth; 2018-02-17 10:20:28 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 29/20; 7/5; 23/17; 11/8; 7/5; 29/20; 11/8; 13/10; 23/18; 13/10; 7/5; 7/5; 7/5; 27/20; 11/8; 11/8; 23/17; 23/17; 23/17; 23/18; 13/10; 29/20; 27/20; 23/17; ; 27/20; 11/8; 11/8
Plymouth; 2; 9/5; 28/15; 15/8; 41/20; 2; 19/10; 9/5; 37/19; 15/8; 19/10; 15/8; 15/8; 19/10; 19/10; 15/8; 19/10; 24/13; 16/9; 37/19; 2; 19/10; 2; 37/19; ; 19/10; 19/10; 2
Draw; 5/2; 5/2; ; 5/2; 64/25; 13/5; 12/5; 12/5; 27/11; 12/5; 12/5; 12/5; 12/5; 49/20; 12/5; 12/5; 12/5; 12/5; 5/2; 27/11; 5/2; ; ; 12/5; ; 5/2; 5/2; 5/2
META; english/league-1/oxford-v-plymouth; 2018-02-17 14:21:18 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 29/20; 7/5; 7/5; 11/8; 36/25; 29/20; 7/5; 13/10; 23/18; 11/8; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 23/17; 23/17; 16/11; 23/18; 7/5; 29/20; 7/5; 7/5; ; 7/5; 7/5; 7/5
Plymouth; 2; 9/5; 9/5; 15/8; 97/50; 2; 19/10; 9/5; 37/19; 9/5; 19/10; 15/8; 7/4; 9/5; 9/5; ; 24/13; 24/13; 17/10; 37/19; 15/8; 19/10; 39/20; 24/13; ; 9/5; 15/8; 19/10
Draw; 5/2; 5/2; 5/2; 5/2; 131/50; 13/5; 12/5; 12/5; 27/11; 12/5; 12/5; 12/5; 5/2; 12/5; 5/2; ; 12/5; 12/5; 12/5; 27/11; 5/2; ; ; 12/5; ; 12/5; 5/2; 13/5
META; english/league-1/oxford-v-plymouth; 2018-02-17 18:21:04 GMT+2; 2018-02-17 15:00; In Play; Xlenovo
Plymouth; 1/2; 1/2; 8/15; 4/7; 14/25; 1/2; 467/1000; 1/2; 1/2; ; 1/2; 2/5; 8/15; 1/2; 1/2; 1/2; 6/11; 5/12; 6/13; 1/2; ; 8/15; 1/2; 8/15; ; ; 1/2; 4/9
Draw; 13/5; 11/4; 5/2; 5/2; 147/50; 12/5; 12/5; 12/5; 28/11; ; 11/4; 13/5; 23/10; 27/10; 13/5; 13/5; 27/10; 5/2; 28/11; 28/11; ; 13/5; 27/10; 13/5; ; ; 11/4; 27/10
Oxford; 7; 8; 6; 6; 28/5; 8; 13/2; 8; 13/2; ; 8; 13/2; 11/2; 15/2; 11/2; 7; 26/5; 31/4; 63/10; 7; ; 13/2; 7; 6; ; ; 39/5; 9/4
