META; english/league-1/southend-v-bradford; 2017-12-10 02:20:49 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Bradford; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/southend-v-bradford; 2017-12-10 10:20:51 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Bradford; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/southend-v-bradford; 2017-12-10 14:23:39 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; 8/5; 3/2; ; ; ; ; 8/5; 6/4; ; ; ; ; ; ; ; 6/4; ; ; 17/10; ; ; ; ; 31/20; ; ; 5/6; ; 
Bradford; 2; 15/8; ; 19/10; 19/10; 19/10; 15/8; 15/8; 24/13; ; 19/10; 9/5; 15/8; 37/20; 9/5; 19/10; 19/10; 24/13; 49/25; 9/5; 24/13; 15/8; 15/8; 9/5; 24/13; ; 17/10; 7/4; 19/10
Draw; 9/4; 12/5; 9/4; 9/4; 11/5; 23/10; 9/4; 23/10; 9/4; ; 23/10; 12/5; 23/10; 9/4; 23/10; 23/10; 11/5; 9/4; 12/5; 40/17; 9/4; 23/10; 12/5; 9/4; 9/4; ; 21/10; 21/10; 12/5
META; english/league-1/southend-v-bradford; 2017-12-14 10:21:46 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; 7/5; 7/5; ; 29/20; 7/5; 6/4; 29/20; 7/5; 31/21; 29/20; 29/20; 29/20; 13/10; 6/4; 6/4; 7/5; 7/5; 7/5; 77/50; 7/5; 31/21; 6/4; 29/20; 29/20; 7/5; ; 5/6; 13/10; 6/4
Bradford; 9/5; 15/8; ; 19/10; 19/10; 19/10; 9/5; 15/8; 24/13; 15/8; 15/8; 9/5; 15/8; 37/20; 9/5; 19/10; 19/10; 24/13; 49/25; 9/5; 24/13; 15/8; 15/8; 9/5; 24/13; ; 17/10; 7/4; 19/10
Draw; 12/5; 12/5; 9/4; 9/4; 11/5; 23/10; 9/4; 23/10; 9/4; 23/10; 23/10; 12/5; 23/10; 9/4; 23/10; 23/10; 11/5; 23/10; 12/5; 40/17; 9/4; 23/10; 12/5; 9/4; 9/4; ; 21/10; 21/10; 12/5
META; english/league-1/southend-v-bradford; 2017-12-14 14:21:50 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; 7/5; 7/5; ; 29/20; 7/5; 6/4; 29/20; 7/5; 31/21; 29/20; 29/20; 29/20; 13/10; 6/4; 6/4; 7/5; 7/5; 7/5; 77/50; 7/5; 31/21; 6/4; 29/20; 29/20; 7/5; ; 5/6; 13/10; 6/4
Bradford; 9/5; 15/8; ; 19/10; 19/10; 19/10; 9/5; 15/8; 24/13; 15/8; 15/8; 9/5; 15/8; 37/20; 9/5; 19/10; 19/10; 24/13; 49/25; 9/5; 24/13; 15/8; 15/8; 9/5; 24/13; ; 17/10; 13/8; 19/10
Draw; 12/5; 12/5; 9/4; 9/4; 11/5; 23/10; 9/4; 23/10; 9/4; 23/10; 23/10; 12/5; 23/10; 9/4; 23/10; 23/10; 11/5; 23/10; 12/5; 40/17; 9/4; 23/10; 12/5; 9/4; 9/4; ; 21/10; 21/10; 12/5
META; english/league-1/southend-v-bradford; 2017-12-14 18:21:45 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
