META; english/league-1/bradford-v-rotherham; 2017-09-10 14:22:59 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Bradford; 1; 11/10; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rotherham; 11/4; 23/10; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/bradford-v-rotherham; 2017-09-10 18:22:46 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Bradford; 1; 11/10; ; ; 21/20; ; 21/20; 1; ; ; ; ; 1; ; ; 21/20; ; ; 1; ; ; ; ; ; 1; ; ; ; 
Rotherham; 5/2; 5/2; 49/20; 12/5; 13/5; 27/10; 5/2; 5/2; 27/10; 12/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 11/4; ; 27/10; ; 9/4; 27/10; ; 5/2; 5/2; ; 5/2; ; 
META; english/league-1/bradford-v-rotherham; 2017-09-12 22:22:49 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Bradford; 21/20; 11/10; 11/10; 23/20; 11/10; 19/20; 11/10; 1; 1; 11/10; 11/10; 11/10; 21/20; 11/10; 11/10; 11/10; 19/20; ; 21/20; ; 21/20; 1; ; 11/10; 1; ; 1; ; 
Draw; 12/5; 12/5; 47/20; 23/10; 5/2; 23/10; 5/2; 12/5; 27/11; 23/10; 12/5; 5/2; 12/5; 13/5; 12/5; 12/5; 12/5; ; 12/5; ; 5/2; 27/11; ; 5/2; 12/5; ; 23/10; ; 
Rotherham; 5/2; 5/2; 49/20; 12/5; 13/5; 27/10; 5/2; 5/2; 27/10; 12/5; 5/2; 12/5; 5/2; 11/4; 12/5; 5/2; 11/4; ; 5/2; ; 9/4; 27/10; ; 5/2; 5/2; ; 5/2; ; 
META; english/league-1/bradford-v-rotherham; 2017-09-13 02:21:30 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Bradford; 6/5; 11/10; 6/5; 23/20; 6/5; 19/20; 6/5; 11/10; 8/7; 15/13; 6/5; 6/5; 11/10; 23/20; 6/5; 15/13; 19/20; 8/7; 15/13; ; 9/8; 8/7; ; 11/10; 11/10; ; 10/9; ; 
Draw; 9/4; 12/5; 47/20; 23/10; 12/5; 23/10; 5/2; 12/5; 40/17; 23/10; 23/10; 23/10; 12/5; 13/5; 23/10; 23/10; 12/5; 40/17; 40/17; ; 5/2; 40/17; ; 12/5; 12/5; ; 23/10; ; 
Rotherham; 23/10; 5/2; 9/4; 12/5; 12/5; 27/10; 9/4; 12/5; 12/5; 23/10; 23/10; 23/10; 47/20; 13/5; 23/10; 12/5; 11/4; 12/5; 23/10; ; 39/19; 12/5; ; 12/5; 12/5; ; 23/10; ; 
META; english/league-1/bradford-v-rotherham; 2017-09-13 10:21:55 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
