META; english/league-1/plymouth-v-gillingham; 2017-12-03 02:21:53 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Plymouth; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Gillingham; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/plymouth-v-gillingham; 2017-12-03 10:22:04 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Plymouth; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Gillingham; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/plymouth-v-gillingham; 2017-12-03 14:22:14 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Plymouth; 5/4; 5/4; ; ; ; ; 5/4; 6/5; 16/13; ; 5/4; ; ; ; ; 13/10; ; 6/5; ; ; 16/13; 13/10; 5/4; 5/4; 6/5; ; 5/6; ; 
Gillingham; 2; 21/10; 21/10; ; ; 21/10; 2; 21/10; 28/13; 2; 2; 21/10; 23/10; 41/20; 21/10; ; 2; 2; 9/4; 24/13; 28/13; 9/4; 2; 21/10; 39/19; ; 7/4; 17/10; 
Draw; 12/5; 9/4; 11/5; ; ; 23/10; 11/5; 23/10; 9/4; 21/10; 23/10; 21/10; 23/10; 43/20; 23/10; ; 23/10; 11/5; 59/25; 11/5; 9/4; 9/4; 12/5; 21/10; 9/4; ; 21/10; 21/10; 
META; english/league-1/plymouth-v-gillingham; 2017-12-05 18:22:19 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Plymouth; 13/10; 13/10; 26/19; ; ; 11/8; 13/10; 13/10; 23/18; 11/8; 13/10; 11/8; 23/20; 13/10; 13/10; ; ; 13/10; 139/100; 9/7; 23/18; 7/5; 11/8; 27/20; 23/17; ; 1; 13/10; 11/8
Gillingham; 2; 21/10; 21/10; ; ; 21/10; 2; 21/10; 28/13; 21/10; 21/10; 21/10; 23/10; 41/20; 21/10; ; ; 39/19; 56/25; 24/13; 28/13; 9/4; 2; 21/10; 21/10; ; 2; 2; 11/5
Draw; 12/5; 9/4; 11/5; ; ; 23/10; 11/5; 23/10; 9/4; 11/5; 23/10; 21/10; 23/10; 43/20; 23/10; ; ; 9/4; 47/20; 11/5; 9/4; 9/4; 12/5; 21/10; 23/10; ; 21/10; 21/10; 23/10
META; english/league-1/plymouth-v-gillingham; 2017-12-05 22:22:22 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Plymouth; 13/10; 13/10; 26/19; ; ; 11/8; 13/10; 13/10; 23/18; 11/8; 11/8; 11/8; 23/20; 13/10; 13/10; ; ; 13/10; 139/100; 9/7; 23/18; 7/5; 11/8; 27/20; 13/10; ; 5/4; 13/10; 11/8
Gillingham; 2; 21/10; 21/10; ; ; 21/10; 2; 21/10; 28/13; 21/10; 2; 21/10; 23/10; 41/20; 21/10; ; ; 39/19; 56/25; 24/13; 28/13; 9/4; 2; 21/10; 21/10; ; 7/4; 2; 11/5
Draw; 12/5; 9/4; 11/5; ; ; 23/10; 11/5; 23/10; 9/4; 11/5; 23/10; 21/10; 23/10; 43/20; 23/10; ; ; 9/4; 47/20; 11/5; 9/4; 9/4; 12/5; 21/10; 9/4; ; 21/10; 21/10; 23/10
META; english/league-1/plymouth-v-gillingham; 2017-12-06 02:21:57 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Plymouth; 13/10; 13/10; 26/19; ; ; 11/8; 13/10; 13/10; 23/18; 11/8; 11/8; 11/8; 23/20; 5/4; 13/10; ; ; 13/10; 69/50; 9/7; 23/18; 7/5; 11/8; 27/20; 13/10; ; 5/4; 13/10; 11/8
Gillingham; 2; 21/10; 21/10; ; ; 21/10; 2; 21/10; 28/13; 21/10; 2; 21/10; 23/10; 21/10; 21/10; ; ; 39/19; 113/50; 24/13; 28/13; 9/4; 2; 21/10; 21/10; ; 7/4; 2; 11/5
Draw; 12/5; 9/4; 11/5; ; ; 23/10; 11/5; 23/10; 9/4; 11/5; 23/10; 21/10; 23/10; 43/20; 23/10; ; ; 9/4; 47/20; 11/5; 9/4; 9/4; 12/5; 21/10; 9/4; ; 21/10; 21/10; 23/10
META; english/league-1/plymouth-v-gillingham; 2017-12-06 10:22:03 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
