META; english/league-1/oxford-v-shrewsbury; 2017-08-20 02:20:59 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Oxford; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Shrewsbury; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/oxford-v-shrewsbury; 2017-08-20 10:21:04 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Oxford; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Shrewsbury; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/oxford-v-shrewsbury; 2017-08-24 10:23:42 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Oxford; 10/11; 10/11; 19/20; 10/11; 19/20; 17/20; 10/11; 10/11; 8/9; 10/11; 10/11; 10/11; 9/10; 20/21; 10/11; 19/20; 10/11; ; 19/20; 101/100; 10/11; 8/9; 3/4; 10/11; 10/11; ; 9/10; 10/11; 20/21
Draw; 13/5; 5/2; 12/5; 5/2; 5/2; 12/5; 13/5; 12/5; 27/11; 23/10; 9/4; 13/5; 49/20; 5/2; 5/2; 5/2; 12/5; ; 27/11; 131/50; 12/5; 27/11; 5/2; 5/2; 5/2; ; 12/5; 23/10; 5/2
Shrewsbury; 11/4; 3; 3; 3; 3; 11/4; 3; 3; 31/10; 14/5; 11/4; 14/5; 3; 3; 3; 29/10; 3; ; 37/13; 149/50; 28/11; 31/10; 15/4; 3; 11/4; ; 14/5; 3; 3
META; english/league-1/oxford-v-shrewsbury; 2017-08-24 14:24:10 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Oxford; 10/11; 10/11; 19/20; 10/11; 19/20; 17/20; 10/11; 10/11; 8/9; 19/20; 19/20; 10/11; 9/10; 20/21; 10/11; 19/20; 10/11; ; 19/20; 101/100; 10/11; 8/9; 3/4; 10/11; 10/11; ; 9/10; 10/11; 20/21
Draw; 13/5; 5/2; 12/5; 5/2; 5/2; 12/5; 13/5; 12/5; 27/11; 12/5; 12/5; 13/5; 49/20; 5/2; 5/2; 5/2; 12/5; ; 27/11; 131/50; 12/5; 27/11; 5/2; 5/2; 12/5; ; 12/5; 23/10; 5/2
Shrewsbury; 11/4; 3; 3; 3; 3; 11/4; 3; 3; 31/10; 29/10; 3; 14/5; 3; 3; 3; 29/10; 3; ; 37/13; 149/50; 28/11; 31/10; 15/4; 3; 3; ; 14/5; 3; 3
META; english/league-1/oxford-v-shrewsbury; 2017-08-24 18:25:27 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Oxford; 10/11; 19/20; 1; 19/20; 19/20; 10/11; 20/21; 10/11; 8/9; 1; 1; 1; 9/10; 20/21; 10/11; 19/20; 10/11; ; 19/20; 101/100; 28/29; 8/9; 3/4; 1; 1; ; 10/11; 10/11; 1
Draw; 13/5; 12/5; 12/5; 9/4; 5/2; 12/5; 13/5; 12/5; 27/11; 12/5; 12/5; 12/5; 49/20; 5/2; 5/2; 5/2; 12/5; ; 27/11; 67/25; 12/5; 27/11; 5/2; 5/2; 12/5; ; 12/5; 9/4; 5/2
Shrewsbury; 11/4; 29/10; 29/10; 11/4; 3; 13/5; 14/5; 3; 31/10; 14/5; 14/5; 14/5; 3; 3; 3; 14/5; 3; ; 14/5; 29/10; 12/5; 31/10; 15/4; 14/5; 11/4; ; 14/5; 14/5; 3
META; english/league-1/oxford-v-shrewsbury; 2017-08-24 22:24:04 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Oxford; 10/11; 19/20; 1; 19/20; 19/20; 10/11; 20/21; 10/11; 8/9; 1; 1; 1; 9/10; 20/21; 10/11; 19/20; 10/11; ; 19/20; 51/50; 28/29; 8/9; 4/5; 1; 1; ; 20/21; 10/11; 1
Draw; 13/5; 12/5; 12/5; 9/4; 5/2; 12/5; 5/2; 12/5; 27/11; 12/5; 12/5; 12/5; 49/20; 5/2; 5/2; 5/2; 12/5; ; 27/11; 53/20; 12/5; 27/11; 5/2; 5/2; 12/5; ; 12/5; 11/5; 5/2
Shrewsbury; 11/4; 29/10; 29/10; 11/4; 3; 13/5; 29/10; 3; 31/10; 14/5; 14/5; 14/5; 3; 3; 3; 14/5; 3; ; 14/5; 29/10; 12/5; 31/10; 10/3; 14/5; 11/4; ; 14/5; 5/2; 3
META; english/league-1/oxford-v-shrewsbury; 2017-08-25 02:21:43 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Oxford; 1; 19/20; 1; 19/20; 19/20; 10/11; 20/21; 10/11; 8/9; 1; 1; 1; 9/10; 20/21; 10/11; 19/20; 10/11; ; 19/20; 51/50; 28/29; 8/9; 4/5; 1; 1; ; 20/21; 10/11; 1
Draw; 13/5; 12/5; 12/5; 9/4; 5/2; 12/5; 13/5; 12/5; 27/11; 12/5; 12/5; 12/5; 49/20; 5/2; 5/2; 12/5; 12/5; ; 12/5; 53/20; 12/5; 27/11; 5/2; 5/2; 12/5; ; 12/5; 9/4; 5/2
Shrewsbury; 3; 29/10; 29/10; 11/4; 3; 13/5; 14/5; 3; 31/10; 14/5; 14/5; 14/5; 3; 3; 3; 29/10; 3; ; 14/5; 29/10; 12/5; 31/10; 10/3; 14/5; 11/4; ; 14/5; 14/5; 3
