Peterborough; 9/5; 17/10; 17/10; 9/5; 47/25; 15/8; 7/4; 7/4; 7/4; 17/10; 9/5; 17/10; ; 17/10; ; 7/4; 9/5; 7/4; 9/5; 28/17; 7/4; 7/4; 7/4; 17/10; 9/5; ; ; ; 
Draw; 23/10; 5/2; 12/5; 12/5; 58/25; 5/2; 9/4; 12/5; 40/17; 12/5; 5/2; 12/5; ; 12/5; ; 12/5; 11/5; 9/4; 11/5; 28/11; 40/17; 12/5; 5/2; 47/20; 9/4; ; ; ; 
META; english/league-1/mk-dons-v-peterborough; 2017-12-27 10:21:47 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
MK Dons; 29/20; 6/4; 6/4; 29/20; 83/50; 8/5; 6/4; 6/4; 31/21; 31/20; 6/4; 31/20; ; 31/20; ; 6/4; 6/4; 6/4; 6/4; 17/12; 31/21; 6/4; 6/4; 6/4; 17/11; ; ; ; 
Peterborough; 9/5; 17/10; 17/10; 9/5; 15/8; 15/8; 7/4; 7/4; 7/4; 17/10; 9/5; 17/10; ; 17/10; ; 9/5; 9/5; 7/4; 9/5; 28/17; 7/4; 7/4; 7/4; 17/10; 9/5; ; ; ; 
Draw; 23/10; 5/2; 12/5; 12/5; 58/25; 5/2; 9/4; 12/5; 40/17; 12/5; 5/2; 12/5; ; 12/5; ; 12/5; 11/5; 9/4; 11/5; 28/11; 40/17; 12/5; 5/2; 47/20; 9/4; ; ; ; 
META; english/league-1/mk-dons-v-peterborough; 2017-12-27 14:24:03 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
MK Dons; 29/20; 6/4; 6/4; 29/20; 79/50; 31/20; 6/4; 6/4; 31/21; 31/20; 6/4; 31/20; ; 31/20; 8/5; 6/4; 6/4; 6/4; 6/4; 17/12; 31/21; 6/4; 6/4; 6/4; 17/11; ; 6/4; 7/5; 
Peterborough; 9/5; 17/10; 17/10; 9/5; 89/50; 9/5; 17/10; 7/4; 7/4; 17/10; 9/5; 17/10; ; 17/10; 17/10; 7/4; 9/5; 9/5; 9/5; 28/17; 7/4; 7/4; 7/4; 17/10; 9/5; ; 13/8; 13/8; 
Draw; 23/10; 5/2; 12/5; 12/5; 13/5; 12/5; 23/10; 12/5; 40/17; 12/5; 5/2; 12/5; ; 12/5; 9/4; 5/2; 11/5; 9/4; 11/5; 28/11; 40/17; 12/5; 5/2; 47/20; 9/4; ; 23/10; 19/10; 
META; english/league-1/mk-dons-v-peterborough; 2017-12-27 18:21:53 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Peterborough; 7/5; 7/5; 16/11; 8/5; 77/50; 31/20; 6/4; 6/4; 31/21; 29/20; 6/4; 6/4; ; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 23/17; 31/21; 7/4; 29/20; 29/20; 6/4; ; 7/5; 7/5; 13/8
MK Dons; 15/8; 7/4; 7/4; 8/5; 91/50; 7/4; 17/10; 17/10; 28/17; 7/4; 9/5; 9/5; ; 7/4; 17/10; 17/10; 9/5; 7/4; 9/5; 17/10; 28/17; 6/4; 7/4; 7/4; 7/4; ; 13/8; 13/8; 9/5
Draw; 23/10; 5/2; 12/5; 12/5; 13/5; 12/5; 23/10; 12/5; 5/2; 12/5; 5/2; 12/5; ; 12/5; 12/5; 5/2; 11/5; 12/5; 11/5; 13/5; 5/2; 12/5; 13/5; 12/5; 12/5; ; 11/5; 23/10; 13/5
META; english/league-1/mk-dons-v-peterborough; 2017-12-27 22:22:15 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Peterborough; 7/5; 7/5; 16/11; 8/5; 77/50; 31/20; 6/4; 6/4; 31/21; 29/20; 6/4; 6/4; ; 6/4; 6/4; 6/4; 6/4; 16/11; 6/4; 23/17; 31/21; 7/4; 29/20; 29/20; 16/11; ; 7/5; 7/5; 6/4
