META; english/league-1/fleetwood-v-mk-dons; 2018-02-18 14:21:22 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 21/20; 21/20; ; ; 57/50; ; 21/20; ; ; ; ; ; ; ; 11/10; 11/10; 1; ; ; ; ; ; 21/20; 1; ; ; ; 
Fleetwood; 21/20; 11/10; 11/10; 11/10; 113/100; 11/10; 21/20; 1; 21/20; 11/10; 21/20; 21/20; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 12/11; 21/20; 11/10; 11/10; 21/20; 21/20; ; 1; ; 
Draw; 12/5; 23/10; 11/5; 11/5; 12/5; 12/5; 9/4; 11/5; 40/17; 11/5; 12/5; 23/10; 23/10; 11/5; 23/10; 23/10; 9/4; 5/2; 23/10; 40/17; 12/5; 12/5; 23/10; 9/4; ; 21/10; ; 
MK Dons; 5/2; 13/5; 13/5; 23/10; 141/50; 29/10; 13/5; 13/5; 45/17; 13/5; 13/5; 13/5; 5/2; 27/10; 5/2; 13/5; 13/5; 12/5; 27/11; 45/17; 13/5; 13/5; 51/20; 45/17; ; 13/5; ; 
META; english/league-1/fleetwood-v-mk-dons; 2018-02-20 22:21:12 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 21/20; 11/10; 11/10; 11/10; 113/100; 11/10; 21/20; 1; 21/20; 11/10; 21/20; 21/20; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 12/11; 21/20; 11/10; 11/10; 21/20; 21/20; ; 1; ; 21/20
Draw; 12/5; 23/10; 11/5; 11/5; 12/5; 12/5; 9/4; 11/5; 40/17; 11/5; 12/5; 23/10; 23/10; 11/5; 23/10; 23/10; 9/4; 5/2; 23/10; 40/17; 12/5; 12/5; 23/10; 9/4; ; 21/10; ; 23/10
MK Dons; 5/2; 13/5; 13/5; 23/10; 141/50; 29/10; 13/5; 13/5; 45/17; 13/5; 13/5; 13/5; 5/2; 27/10; 5/2; 13/5; 13/5; 12/5; 27/11; 45/17; 13/5; 13/5; 51/20; 45/17; ; 13/5; ; 14/5
META; english/league-1/fleetwood-v-mk-dons; 2018-02-21 02:20:49 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 21/20; 11/10; 11/10; 11/10; 113/100; 11/10; 21/20; 1; 21/20; 11/10; ; 21/20; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 12/11; 21/20; 11/10; 11/10; 21/20; 21/20; ; 1; ; 21/20
Draw; 12/5; 23/10; 11/5; 11/5; 12/5; 12/5; 9/4; 11/5; 40/17; 11/5; 12/5; 23/10; 23/10; 11/5; 23/10; 23/10; 9/4; 5/2; 23/10; 40/17; 12/5; 12/5; 23/10; 9/4; ; 21/10; ; 23/10
MK Dons; 5/2; 13/5; 13/5; 23/10; 141/50; 29/10; 13/5; 13/5; 45/17; 13/5; 13/5; 13/5; 5/2; 27/10; 5/2; 13/5; 13/5; 12/5; 27/11; 45/17; 13/5; 13/5; 51/20; 45/17; ; 13/5; ; 14/5
META; english/league-1/fleetwood-v-mk-dons; 2018-02-21 10:20:41 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 21/20; 11/10; 11/10; 11/10; 113/100; 11/10; 21/20; 1; 21/20; 11/10; ; 21/20; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 12/11; 21/20; 11/10; 11/10; 21/20; 21/20; ; 1; ; 21/20
Draw; 12/5; 23/10; 11/5; 11/5; 12/5; 12/5; 9/4; 11/5; 40/17; 11/5; 12/5; 23/10; 23/10; 11/5; 23/10; 23/10; 9/4; 5/2; 23/10; 40/17; 12/5; 12/5; 23/10; 9/4; ; 21/10; ; 23/10
MK Dons; 5/2; 13/5; 13/5; 23/10; 141/50; 29/10; 13/5; 13/5; 45/17; 13/5; 13/5; 13/5; 5/2; 27/10; 5/2; 13/5; 13/5; 12/5; 27/11; 45/17; 13/5; 13/5; 51/20; 45/17; ; 13/5; ; 14/5
META; english/league-1/fleetwood-v-mk-dons; 2018-02-21 14:20:45 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 21/20; 11/10; 11/10; 11/10; 113/100; 11/10; 21/20; 1; 21/20; 11/10; ; 21/20; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 12/11; 21/20; 11/10; 11/10; 21/20; ; ; 1; ; 21/20
Draw; 12/5; 23/10; 11/5; 11/5; 12/5; 12/5; 9/4; 11/5; 40/17; 11/5; 12/5; 23/10; 23/10; 11/5; 23/10; 23/10; 9/4; 5/2; 23/10; 40/17; 12/5; 12/5; 23/10; 9/4; ; 21/10; ; 23/10
MK Dons; 5/2; 13/5; 13/5; 23/10; 141/50; 29/10; 13/5; 13/5; 45/17; 13/5; 13/5; 13/5; 5/2; 27/10; 5/2; 13/5; 13/5; 12/5; 27/11; 45/17; 13/5; 13/5; 51/20; 45/17; ; 13/5; ; 14/5
META; english/league-1/fleetwood-v-mk-dons; 2018-02-21 18:20:43 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 21/20; 11/10; 11/10; 11/10; 113/100; 11/10; 21/20; 1; 21/20; 11/10; ; 21/20; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 12/11; 21/20; 11/10; 11/10; 21/20; ; ; 1; ; 21/20
Draw; 12/5; 23/10; 11/5; 11/5; 12/5; 12/5; 9/4; 11/5; 40/17; 11/5; 12/5; 23/10; 23/10; 11/5; 23/10; 23/10; 9/4; 5/2; 23/10; 40/17; 12/5; 12/5; 23/10; 9/4; ; 21/10; ; 23/10
MK Dons; 5/2; 13/5; 13/5; 23/10; 141/50; 29/10; 13/5; 13/5; 45/17; 13/5; 13/5; 13/5; 5/2; 27/10; 5/2; 13/5; 13/5; 12/5; 27/11; 45/17; 13/5; 13/5; 51/20; 45/17; ; 13/5; ; 14/5
META; english/league-1/fleetwood-v-mk-dons; 2018-02-21 22:20:44 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 21/20; 11/10; 11/10; 11/10; 113/100; 11/10; 21/20; 1; 21/20; 11/10; 21/20; 21/20; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 12/11; 21/20; 11/10; 11/10; 21/20; ; ; 1; 21/20; 21/20
Draw; 12/5; 23/10; 11/5; 11/5; 12/5; 12/5; 9/4; 9/4; 40/17; 11/5; 12/5; 23/10; 23/10; 11/5; 23/10; 23/10; 23/10; 5/2; 23/10; 40/17; 12/5; 12/5; 23/10; 23/10; ; 21/10; ; 23/10
MK Dons; 5/2; 13/5; 13/5; 23/10; 141/50; 29/10; 13/5; 13/5; 45/17; 13/5; 13/5; 13/5; 5/2; 27/10; 5/2; 13/5; 45/17; 12/5; 27/11; 45/17; 13/5; 13/5; 51/20; 27/10; ; 13/5; 9/4; 14/5
META; english/league-1/fleetwood-v-mk-dons; 2018-02-22 02:20:28 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 21/20; 11/10; 11/10; 11/10; 113/100; 11/10; 21/20; 1; 21/20; 11/10; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 12/11; 21/20; 11/10; 11/10; 21/20; ; ; 1; 21/20; 21/20
Draw; 12/5; 23/10; 11/5; 11/5; 12/5; 12/5; 9/4; 9/4; 40/17; 11/5; 23/10; 23/10; 23/10; 11/5; 23/10; 23/10; 23/10; 5/2; 23/10; 40/17; 12/5; 12/5; 23/10; 23/10; ; 11/5; ; 23/10
MK Dons; 5/2; 13/5; 13/5; 23/10; 141/50; 29/10; 13/5; 13/5; 45/17; 13/5; 13/5; 13/5; 5/2; 27/10; 5/2; 13/5; 45/17; 12/5; 27/11; 45/17; 13/5; 13/5; 51/20; 27/10; ; 13/5; 9/4; 14/5
META; english/league-1/fleetwood-v-mk-dons; 2018-02-22 10:20:30 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 21/20; 11/10; 6/5; 11/10; 61/50; 6/5; 11/10; 11/10; 21/20; 11/10; 23/20; 23/20; 23/20; 23/20; 23/20; 11/10; 15/13; 21/20; 12/11; 21/20; 11/10; 23/20; 11/10; 15/13; ; 11/10; 10/9; 23/20
Draw; 12/5; 23/10; 11/5; 11/5; 119/50; 12/5; 11/5; 11/5; 40/17; 11/5; 23/10; 11/5; 23/10; 11/5; 23/10; 23/10; 9/4; 5/2; 23/10; 40/17; 23/10; 12/5; 11/5; 9/4; ; 11/5; 21/10; 23/10
MK Dons; 5/2; 13/5; 5/2; 23/10; 129/50; 11/4; 12/5; 13/5; 45/17; 13/5; 5/2; 5/2; 5/2; 13/5; 12/5; 5/2; 27/11; 12/5; 27/11; 45/17; 13/5; 12/5; 51/20; 5/2; ; 5/2; 21/10; 5/2
META; english/league-1/fleetwood-v-mk-dons; 2018-02-22 14:20:58 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 11/10; 23/20; 6/5; 11/10; 63/50; 6/5; 6/5; 11/10; 21/20; 6/5; 6/5; 23/20; 23/20; 6/5; 23/20; 11/10; 15/13; 11/10; 12/11; 21/20; 6/5; 23/20; 6/5; 6/5; ; 10/9; 10/9; 5/4
Draw; 12/5; 9/4; 21/10; 11/5; 59/25; 12/5; 11/5; 11/5; 40/17; 11/5; 23/10; 23/10; 9/4; 43/20; 23/10; 23/10; 9/4; 9/4; 23/10; 40/17; 23/10; 12/5; 11/5; 9/4; ; 21/10; 2; 23/10
MK Dons; 12/5; 5/2; 5/2; 23/10; 5/2; 11/4; 12/5; 13/5; 45/17; 5/2; 12/5; 12/5; 5/2; 5/2; 12/5; 12/5; 40/17; 5/2; 27/11; 45/17; 5/2; 12/5; 5/2; 12/5; ; 23/10; 21/10; 12/5
META; english/league-1/fleetwood-v-mk-dons; 2018-02-22 18:20:49 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 5/4; 13/10; 23/17; 11/10; 139/100; 13/10; 13/10; 5/4; 8/7; 27/20; 13/10; 11/8; 11/8; 27/20; 13/10; 5/4; 13/10; 5/4; 23/18; 8/7; 13/10; 13/10; 13/10; 13/10; ; 13/10; 13/10; 11/8
Draw; 23/10; 11/5; 21/10; 11/5; 59/25; 23/10; 11/5; 21/10; 40/17; 21/10; 9/4; 21/10; 11/5; 21/10; 11/5; 9/4; 11/5; 11/5; 11/5; 40/17; 9/4; 23/10; 9/4; 9/4; ; ; 2; 23/10
