Draw; 12/5; 9/4; 21/10; 11/5; 58/25; 11/5; 11/5; 21/10; 11/5; 21/10; 23/10; 11/5; 9/4; 21/10; 21/10; 11/5; 9/4; 11/5; 9/4; 11/5; 11/5; 9/4; 12/5; 11/5; 11/5; 11/5; 11/5; 23/10
META; english/league-1/scunthorpe-v-doncaster; 2018-01-22 22:20:47 GMT+2; 2018-01-23 19:45; Nothing; Xlenovo
Scunthorpe; 6/4; 11/8; 16/11; 7/5; 6/4; 29/20; 6/4; 11/8; 4/3; 6/4; 6/4; 29/20; 6/4; 6/4; 11/8; 7/5; 13/10; 16/11; 13/10; 16/11; 4/3; 6/4; 6/4; 29/20; 16/11; 7/5; 7/5; 6/4
Doncaster; 21/10; 21/10; 2; 2; 101/ 50; 2; 19/10; 2; 21/10; 2; 2; 19/10; 15/8; 39/20; 19/10; 19/10; 21/10; 19/10; 21/10; 24/13; 21/10; 2; 2; 2; 37/19; 19/10; 19/10; 2
Draw; 23/10; 11/5; 21/10; 11/5; 12/5; 23/10; 11/5; 9/4; 11/5; 21/10; 23/10; 9/4; 11/5; 21/10; 12/5; 11/5; 9/4; 9/4; 9/4; 11/5; 11/5; 9/4; 23/10; 11/5; 9/4; 9/4; 9/4; 12/5
META; english/league-1/scunthorpe-v-doncaster; 2018-01-23 02:20:39 GMT+2; 2018-01-23 19:45; Nothing; Xlenovo
Scunthorpe; 6/4; 6/4; 6/4; 7/5; 6/4; 29/20; 6/4; 11/8; 4/3; 6/4; 6/4; 29/20; 6/4; 6/4; 11/8; 7/5; 16/11; 16/11; 16/11; 16/11; 4/3; 6/4; 6/4; 29/20; 16/11; 7/5; 6/4; 6/4
Doncaster; 21/10; 19/10; 19/10; 2; 101/ 50; 2; 19/10; 2; 21/10; 2; 2; 19/10; 15/8; 39/20; 19/10; 19/10; 24/13; 19/10; 24/13; 24/13; 21/10; 2; 2; 2; 37/19; 19/10; 19/10; 19/10
Draw; 23/10; 11/5; 21/10; 11/5; 12/5; 23/10; 11/5; 9/4; 11/5; 21/10; 23/10; 9/4; 11/5; 21/10; 12/5; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 9/4; 23/10; 11/5; 9/4; 11/5; 11/5; 12/5
META; english/league-1/scunthorpe-v-doncaster; 2018-01-23 10:20:41 GMT+2; 2018-01-23 19:45; Nothing; Xlenovo
Scunthorpe; 6/4; 6/4; 17/11; 7/5; 79/50; 6/4; 6/4; 6/4; 31/21; 31/20; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 16/11; 16/11; 16/11; 22/15; 31/21; 6/4; 31/20; 6/4; 16/11; 6/4; 6/4; 13/8
Doncaster; 21/10; 19/10; 19/10; 2; 2; 2; 19/10; 2; 15/8; 19/10; 2; 19/10; 15/8; 39/20; 9/5; 19/10; 24/13; 19/10; 24/13; 20/11; 15/8; 2; 19/10; 39/20; 37/19; 19/10; 19/10; 19/10
Draw; 23/10; 11/5; 21/10; 11/5; 57/25; 11/5; 21/10; 21/10; 11/5; 21/10; 11/5; 21/10; 11/5; 41/20; 23/10; 21/10; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 23/10; 11/5; 9/4; 11/5; 11/5; 12/5
META; english/league-1/scunthorpe-v-doncaster; 2018-01-23 10:35:24 GMT+2; 2018-01-23 19:45; Nothing; Xlenovo
Scunthorpe; 6/4; 6/4; 17/11; 7/5; 79/50; 6/4; 6/4; 6/4; 31/21; 31/20; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 16/11; 16/11; 16/11; 22/15; 31/21; 6/4; 31/20; 6/4; 16/11; 6/4; 6/4; 13/8
Doncaster; 21/10; 19/10; 19/10; 2; 2; 2; 19/10; 2; 15/8; 19/10; 2; 19/10; 15/8; 39/20; 9/5; 19/10; 24/13; 19/10; 24/13; 20/11; 15/8; 2; 19/10; 39/20; 37/19; 19/10; 19/10; 19/10
Draw; 23/10; 11/5; 21/10; 11/5; 57/25; 11/5; 21/10; 21/10; 11/5; 21/10; 11/5; 21/10; 11/5; 41/20; 23/10; 21/10; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 23/10; 11/5; 9/4; 9/4; 9/4; 12/5
META; english/league-1/scunthorpe-v-doncaster; 2018-01-23 14:20:41 GMT+2; 2018-01-23 19:45; Nothing; Xlenovo
