Blackpool; 6/4; 7/5; 16/11; 7/5; 38/25; 7/5; 7/5; 7/5; 6/4; 29/20; 29/20; 29/20; 31/20; 29/20; 6/4; 7/5; 7/5; 16/11; 7/5; 6/4; 6/4; 29/20; 7/5; 16/11; ; 5/4; 11/8; 7/5
Peterborough; 13/8; 9/5; 7/4; 9/5; 93/50; 17/10; 7/4; 13/8; 8/5; 9/5; 7/4; 9/5; 31/20; 9/5; 9/5; 7/4; 17/10; 28/17; 17/10; 8/5; 9/5; 9/5; 9/5; 7/4; ; 13/8; 7/4; 9/5
Draw; 5/2; 5/2; 12/5; 5/2; 129/50; 12/5; 12/5; 23/10; 28/11; 12/5; 5/2; 12/5; 23/10; 12/5; 23/10; 5/2; 12/5; 5/2; 5/2; 28/11; 12/5; 5/2; 12/5; 12/5; ; 23/10; 2; 21/10
META; english/league-1/blackpool-v-peterborough; 2018-02-15 18:20:40 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Blackpool; 6/4; 7/5; 16/11; 7/5; 38/25; 7/5; 7/5; 7/5; 6/4; 29/20; 29/20; 29/20; 31/20; 29/20; 6/4; 7/5; 16/11; 16/11; 6/4; 6/4; 6/4; 29/20; 7/5; 16/11; ; 5/4; 11/8; 7/5
Peterborough; 13/8; 9/5; 7/4; 9/5; 93/50; 17/10; 7/4; 13/8; 8/5; 9/5; 7/4; 9/5; 31/20; 9/5; 9/5; 7/4; 7/4; 28/17; 8/5; 8/5; 9/5; 9/5; 9/5; 7/4; ; 13/8; 7/4; 9/5
Draw; 5/2; 5/2; 12/5; 5/2; 129/50; 12/5; 12/5; 23/10; 28/11; 12/5; 5/2; 12/5; 23/10; 12/5; 23/10; 5/2; 12/5; 5/2; 5/2; 28/11; 12/5; 5/2; 12/5; 27/11; ; 23/10; 2; 2
META; english/league-1/blackpool-v-peterborough; 2018-02-15 22:20:20 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Blackpool; 6/4; 7/5; 16/11; 7/5; 38/25; 7/5; 7/5; 7/5; 6/4; 29/20; 29/20; 29/20; 31/20; 29/20; 6/4; 7/5; 16/11; 16/11; 6/4; 6/4; 6/4; 29/20; 7/5; 16/11; ; 5/4; 7/5; 7/5
Peterborough; 13/8; 9/5; 7/4; 9/5; 93/50; 17/10; 7/4; 13/8; 8/5; 9/5; 7/4; 9/5; 31/20; 9/5; 9/5; 7/4; 7/4; 28/17; 8/5; 8/5; 9/5; 9/5; 9/5; 9/5; ; 9/5; 7/4; 9/5
Draw; 5/2; 5/2; 12/5; 5/2; 129/50; 12/5; 12/5; 23/10; 28/11; 12/5; 5/2; 12/5; 23/10; 12/5; 23/10; 5/2; 12/5; 5/2; 5/2; 28/11; 12/5; 5/2; 12/5; 12/5; ; 21/10; 9/4; 2
META; english/league-1/blackpool-v-peterborough; 2018-02-16 02:19:55 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Blackpool; 6/4; 7/5; 16/11; 7/5; 38/25; 7/5; 7/5; 7/5; 6/4; 29/20; 29/20; 29/20; 31/20; 29/20; 6/4; 7/5; 16/11; 16/11; 6/4; 6/4; 6/4; 29/20; 7/5; 16/11; ; 5/4; 7/5; 7/5
Peterborough; 13/8; 9/5; 7/4; 9/5; 93/50; 17/10; 7/4; 13/8; 8/5; 9/5; 7/4; 9/5; 31/20; 9/5; 9/5; 7/4; 7/4; 28/17; 8/5; 8/5; 9/5; 9/5; 9/5; 9/5; ; 9/5; 7/4; 9/5
Draw; 5/2; 5/2; 12/5; 5/2; 129/50; 12/5; 12/5; 23/10; 28/11; 12/5; 5/2; 12/5; 23/10; 12/5; 23/10; 5/2; 12/5; 5/2; 5/2; 28/11; 12/5; 5/2; 12/5; 12/5; ; 21/10; 9/4; 2
META; english/league-1/blackpool-v-peterborough; 2018-02-16 10:20:39 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Blackpool; 6/4; 7/5; 16/11; 7/5; 38/25; 7/5; 7/5; 7/5; 31/21; 29/20; 29/20; 29/20; 31/20; 29/20; 6/4; 7/5; 16/11; 16/11; 6/4; 31/21; 6/4; 29/20; 7/5; 16/11; ; 5/4; 11/8; 7/5
Peterborough; 2; 9/5; 7/4; 9/5; 15/8; 17/10; 9/5; 13/8; 15/8; 9/5; 9/5; 7/4; 31/20; 9/5; 9/5; 9/5; 9/5; 28/17; 8/5; 15/8; 9/5; 9/5; 9/5; 24/13; ; 9/5; 7/4; 9/5
Draw; 12/5; 5/2; 12/5; 5/2; 64/25; 12/5; 23/10; 23/10; 11/5; 12/5; 5/2; 5/2; 23/10; 12/5; 23/10; 5/2; 40/17; 5/2; 5/2; 11/5; 12/5; 5/2; 12/5; 40/17; ; 21/10; 2; 2
META; english/league-1/blackpool-v-peterborough; 2018-02-16 14:20:41 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Blackpool; 6/4; 7/5; 16/11; 7/5; 38/25; 31/20; 7/5; 7/5; 31/21; 29/20; 29/20; 29/20; 31/20; 29/20; 6/4; 7/5; 16/11; 16/11; 6/4; 31/21; 6/4; 29/20; 7/5; 16/11; ; 7/5; 11/8; 7/5
Peterborough; 2; 9/5; 7/4; 15/8; 15/8; 15/8; 9/5; 13/8; 15/8; 9/5; 9/5; 7/4; 31/20; 9/5; 9/5; 9/5; 9/5; 28/17; 8/5; 15/8; 9/5; 9/5; 9/5; 24/13; ; 9/5; 7/4; 9/5
Draw; 12/5; 5/2; 12/5; 12/5; 64/25; 13/5; 23/10; 23/10; 11/5; 12/5; 5/2; 5/2; 23/10; 12/5; 23/10; 12/5; 40/17; 5/2; 5/2; 11/5; 12/5; 5/2; 12/5; 40/17; ; 23/10; 2; 5/2
META; english/league-1/blackpool-v-peterborough; 2018-02-16 18:20:46 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Blackpool; 6/4; 7/5; 16/11; 7/5; 38/25; 31/20; 7/5; 7/5; 31/21; 29/20; 29/20; 29/20; 31/20; 29/20; 6/4; 7/5; 16/11; 16/11; 6/4; 31/21; 6/4; 29/20; 7/5; 16/11; ; 7/5; 7/5; 7/5
Peterborough; 2; 9/5; 7/4; 15/8; 15/8; 15/8; 9/5; 13/8; 15/8; 9/5; 9/5; 7/4; 31/20; 9/5; 9/5; 9/5; 9/5; 28/17; 8/5; 15/8; 9/5; 9/5; 9/5; 9/5; ; 9/5; 7/4; 9/5
Draw; 12/5; 5/2; 12/5; 12/5; 64/25; 13/5; 23/10; 23/10; 11/5; 12/5; 5/2; 5/2; 23/10; 12/5; 23/10; 12/5; 40/17; 5/2; 5/2; 11/5; 12/5; 5/2; 12/5; 12/5; ; 23/10; 21/10; 5/2
META; english/league-1/blackpool-v-peterborough; 2018-02-16 22:20:39 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Blackpool; 6/4; 7/5; 16/11; 7/5; 71/50; 31/20; 7/5; 7/5; 31/21; 29/20; 29/20; 29/20; 31/20; 29/20; 6/4; 7/5; 7/5; 16/11; 26/19; 31/21; 7/5; 7/5; 29/20; 7/5; ; 7/5; 7/5; 11/8
Peterborough; 2; 9/5; 9/5; 15/8; 101/50; 15/8; 9/5; 13/8; 15/8; 9/5; 9/5; 7/4; 31/20; 9/5; 9/5; 15/8; 19/10; 28/17; 7/4; 15/8; 15/8; 15/8; 15/8; 19/10; ; 9/5; 7/4; 19/10
Draw; 12/5; 5/2; 12/5; 12/5; 51/20; 13/5; 23/10; 23/10; 11/5; 12/5; 12/5; 5/2; 23/10; 12/5; 23/10; 12/5; 40/17; 5/2; ; 11/5; 5/2; ; ; ; ; ; 21/10; 5/2
META; english/league-1/blackpool-v-peterborough; 2018-02-17 02:20:29 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Blackpool; 6/4; 7/5; 26/19; 7/5; 71/50; 6/4; 11/8; 7/5; 31/21; 11/8; 7/5; 11/8; 31/20; 29/20; 6/4; 7/5; 7/5; 16/11; 26/19; 31/21; 7/5; 7/5; 29/20; 7/5; ; ; 7/5; 11/8
Peterborough; 2; 9/5; 28/15; 15/8; 101/50; 2; 15/8; 9/5; 15/8; 15/8; 19/10; 19/10; 31/20; 9/5; 9/5; 15/8; 19/10; 28/17; 7/4; 15/8; 15/8; 15/8; 15/8; 19/10; ; 19/10; 7/4; 19/10
Draw; 12/5; 5/2; ; 12/5; 51/20; 5/2; 23/10; 23/10; 11/5; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 12/5; 40/17; 5/2; ; 11/5; 5/2; ; ; ; ; 23/10; 21/10; 5/2
META; english/league-1/blackpool-v-peterborough; 2018-02-17 10:20:37 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Blackpool; 6/4; 7/5; 26/19; 7/5; 71/50; 6/4; 11/8; 7/5; 31/21; 11/8; 7/5; 7/5; 31/20; 29/20; 6/4; 7/5; 23/17; 16/11; 26/19; 31/21; 7/5; 7/5; 29/20; 7/5; ; 7/5; 7/5; 11/8
Peterborough; 2; 9/5; 28/15; 15/8; 101/50; 2; 15/8; 9/5; 15/8; 15/8; 19/10; 9/5; 31/20; 9/5; 9/5; 15/8; 19/10; 28/17; 7/4; 15/8; 15/8; 15/8; 15/8; 19/10; ; 19/10; 7/4; 19/10
Draw; 12/5; 5/2; ; 12/5; 51/20; 5/2; 23/10; 23/10; 11/5; 12/5; 12/5; 5/2; 23/10; 12/5; 23/10; 12/5; 40/17; 5/2; ; 11/5; 5/2; ; ; 40/17; ; 23/10; 21/10; 5/2
META; english/league-1/blackpool-v-peterborough; 2018-02-17 14:21:29 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Blackpool; 6/4; 7/5; 26/19; 7/5; 71/50; 6/4; 11/8; 7/5; 31/21; 11/8; 7/5; 7/5; 31/20; 29/20; 6/4; 7/5; 7/5; 16/11; 26/19; 31/21; 7/5; 29/20; 29/20; 7/5; ; 7/5; 7/5; 11/8
Peterborough; 2; 9/5; 28/15; 15/8; 101/50; 2; 15/8; 9/5; 15/8; 15/8; 19/10; 9/5; 31/20; 9/5; 15/8; 15/8; ; 28/17; 7/4; 15/8; 15/8; 19/10; 15/8; 19/10; ; 19/10; 19/10; 19/10
Draw; 12/5; 5/2; ; 12/5; 51/20; 5/2; 23/10; 23/10; 11/5; 12/5; 12/5; 5/2; 23/10; 12/5; 12/5; 12/5; ; 5/2; ; 11/5; 5/2; ; ; 40/17; ; 23/10; 12/5; 5/2
META; english/league-1/blackpool-v-peterborough; 2018-02-17 18:21:15 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Blackpool; 6/4; 7/5; 26/19; 7/5; 71/50; 6/4; 7/5; 7/5; 4/3; 11/8; 29/20; 7/5; 31/20; 29/20; 6/4; 7/5; 23/17; 16/11; 26/19; 4/3; 7/5; 29/20; 29/20; 23/17; ; 7/5; 7/5; 11/8
Peterborough; 2; 9/5; 28/15; 15/8; 101/50; 2; 19/10; 9/5; 19/10; 15/8; 19/10; 9/5; 31/20; 9/5; 15/8; 15/8; ; 28/17; 7/4; 19/10; 15/8; 19/10; 15/8; ; ; 19/10; 19/10; 19/10
Draw; 12/5; 5/2; ; 12/5; 51/20; 5/2; 12/5; 23/10; 27/11; 12/5; 23/10; 5/2; 23/10; 12/5; 12/5; 12/5; ; 5/2; ; 27/11; 5/2; ; ; ; ; 23/10; 12/5; 5/2
META; english/league-1/blackpool-v-peterborough; 2018-02-17 22:20:34 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
