META; english/league-1/bury-v-gillingham; 2018-02-18 14:21:17 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 13/10; 13/10; ; ; 7/5; ; 13/10; ; ; ; ; ; ; ; 5/4; 13/10; 5/4; ; ; ; ; ; 5/4; 5/4; ; ; ; 
Draw; 12/5; 23/10; 11/5; 11/5; 47/20; 12/5; 11/5; 11/5; 40/17; 11/5; 23/10; 11/5; 9/4; ; 23/10; 9/4; 9/4; 23/10; 9/4; 40/17; 23/10; 12/5; 9/4; 9/4; ; 21/10; 21/10; 9/4
Gillingham; 21/10; 21/10; 21/10; 2; ; 12/5; 21/10; 11/5; 39/19; 11/5; 11/5; 11/5; 9/4; ; 21/10; 21/10; 28/13; 2; 39/19; 39/19; 9/4; 85/40; 21/10; 28/13; ; 21/10; 9/4; 23/10
META; english/league-1/bury-v-gillingham; 2018-02-22 02:20:23 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 5/4; 13/10; 13/10; 5/4; ; 13/10; 13/10; 6/5; 23/18; 27/20; 13/10; 13/10; 6/5; ; 13/10; 13/10; 5/4; 13/10; 25/19; 23/18; 13/10; 13/10; 5/4; 13/10; ; 6/5; 5/4; 13/10
Draw; 12/5; 23/10; 11/5; 11/5; 47/20; 12/5; 11/5; 11/5; 40/17; 11/5; 23/10; 11/5; 9/4; ; 23/10; 9/4; 9/4; 23/10; 9/4; 40/17; 23/10; 12/5; 9/4; 9/4; ; 21/10; 2; 9/4
Gillingham; 21/10; 21/10; 21/10; 2; ; 12/5; 21/10; 11/5; 39/19; 11/5; 11/5; 11/5; 9/4; ; 21/10; 21/10; 28/13; 2; 39/19; 39/19; 9/4; 85/40; 21/10; 28/13; ; 21/10; 2; 23/10
META; english/league-1/bury-v-gillingham; 2018-02-22 10:20:25 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 5/4; 13/10; 26/19; 5/4; 36/25; 7/5; 11/8; 13/10; 23/18; 27/20; 11/8; 11/8; 6/5; ; 13/10; 13/10; 23/17; 13/10; 13/10; 23/18; 7/5; 11/8; 27/20; 23/17; ; 13/10; 27/20; 7/5
Gillingham; 21/10; 21/10; 21/10; 2; 9/4; 23/10; 21/10; 21/10; 39/19; 11/5; 21/10; 21/10; 9/4; ; 11/5; 21/10; 21/10; 2; 21/10; 39/19; 11/5; 21/10; 21/10; 21/10; ; 2; 19/10; 11/5
Draw; 12/5; 23/10; 21/10; 11/5; 9/4; 23/10; 21/10; 21/10; 40/17; 11/5; 9/4; 21/10; 9/4; ; 11/5; 9/4; 28/13; 23/10; 11/5; 40/17; 11/5; 23/10; 21/10; 11/5; ; 2; 2; 21/10
META; english/league-1/bury-v-gillingham; 2018-02-22 14:20:52 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 5/4; 7/5; 23/17; 5/4; 141/100; 7/5; 13/10; 13/10; 23/18; 11/8; 11/8; 11/8; 6/5; ; 13/10; 13/10; 13/10; 23/17; 13/10; 23/18; 7/5; 13/10; 27/20; 13/10; ; 5/4; 13/10; 11/8
Gillingham; 21/10; 2; 21/10; 2; 57/25; 23/10; 21/10; 21/10; 39/19; 11/5; 21/10; 21/10; 9/4; ; 11/5; 21/10; 28/13; 21/10; 21/10; 39/19; 11/5; 85/40; 21/10; 28/13; ; 2; 21/10; 9/4
Draw; 12/5; 11/5; 21/10; 11/5; 113/50; 23/10; 11/5; 21/10; 40/17; 21/10; 9/4; 21/10; 9/4; ; 11/5; 9/4; 11/5; 21/10; 11/5; 40/17; 11/5; 12/5; 21/10; 11/5; ; 21/10; 21/10; 11/5
META; english/league-1/bury-v-gillingham; 2018-02-22 18:20:44 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 5/4; 13/10; 26/19; 5/4; 7/5; 7/5; 13/10; 13/10; 23/18; 11/8; 11/8; 11/8; 6/5; 27/20; 13/10; 13/10; 13/10; 23/17; 11/8; 23/18; 7/5; 11/8; 27/20; 13/10; ; 13/10; 27/20; 11/8
Gillingham; 21/10; 21/10; 21/10; 2; 113/50; 23/10; 21/10; 11/5; 39/19; 21/10; 21/10; 21/10; 9/4; 43/20; 11/5; 21/10; 21/10; 21/10; 39/19; 39/19; 11/5; 21/10; 21/10; 28/13; ; 21/10; 11/5; 11/5
Draw; 12/5; 23/10; 21/10; 11/5; 23/10; 23/10; 11/5; 11/5; 40/17; 21/10; 9/4; 21/10; 9/4; 43/20; 11/5; 9/4; 11/5; 21/10; 21/10; 40/17; 11/5; 23/10; 21/10; 9/4; ; 2; 2; 11/5
META; english/league-1/bury-v-gillingham; 2018-02-22 22:20:19 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 5/4; 13/10; 26/19; 5/4; 7/5; 7/5; ; 13/10; 23/18; 11/8; 11/8; 11/8; 6/5; 27/20; 13/10; 13/10; 13/10; 23/17; 11/8; 23/18; 7/5; 11/8; 27/20; 13/10; ; 27/20; 27/20; 27/20
