META; english/league-2/newport-county-v-lincoln; 2017-12-16 22:21:47 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Lincoln; 9/5; 19/10; 19/10; 15/8; 24/13; 19/10; 15/8; 15/8; 15/8; 19/10; 19/10; 19/10; 17/10; 37/20; 2; 19/10; 24/13; 19/10; 51/25; 12/7; 15/8; 15/8; 9/5; 19/10; 19/10; ; 9/5; 7/4; 2
Draw; 12/5; 9/4; 21/10; 11/5; 9/4; 23/10; 11/5; 9/4; 11/5; 21/10; 9/4; 11/5; 9/4; 21/10; 11/5; 9/4; 9/4; 11/5; 23/10; 23/10; 11/5; 9/4; 12/5; 9/4; 11/5; ; 21/10; 2; 9/4
META; english/league-2/newport-county-v-lincoln; 2017-12-21 10:23:28 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Newport County; 7/5; 6/4; 6/4; 6/4; 16/11; 6/4; 6/4; 6/4; 31/21; 6/4; 29/20; 29/20; 31/20; 29/20; 7/5; 7/5; 16/11; 16/11; 77/50; 39/29; 31/21; 7/5; 6/4; 7/5; 16/11; ; 7/5; 11/8; 6/4
Lincoln; 9/5; 9/5; 19/10; 15/8; 24/13; 19/10; 15/8; 15/8; 15/8; 19/10; 15/8; 19/10; 17/10; 37/20; 2; 15/8; 24/13; 19/10; 51/25; 12/7; 15/8; 15/8; 9/5; 19/10; 19/10; ; 9/5; 7/4; 2
Draw; 12/5; 23/10; 21/10; 11/5; 9/4; 23/10; 11/5; 9/4; 11/5; 21/10; 9/4; 11/5; 9/4; 21/10; 11/5; 9/4; 9/4; 11/5; 23/10; 23/10; 11/5; 9/4; 12/5; 9/4; 11/5; ; 21/10; 2; 9/4
META; english/league-2/newport-county-v-lincoln; 2017-12-21 14:23:40 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Newport County; 7/5; 6/4; 6/4; 8/5; 16/11; 6/4; 6/4; 6/4; 31/21; 6/4; 29/20; 29/20; 31/20; 29/20; 7/5; 7/5; 16/11; 16/11; 77/50; 39/29; 31/21; 7/5; 6/4; 7/5; 16/11; ; 7/5; 7/5; 6/4
Lincoln; 9/5; 9/5; 19/10; 13/8; 24/13; 19/10; 15/8; 15/8; 15/8; 19/10; 15/8; 19/10; 17/10; 37/20; 2; 15/8; 24/13; 19/10; 51/25; 12/7; 15/8; 15/8; 9/5; 19/10; 19/10; ; 9/5; 9/5; 2
Draw; 12/5; 23/10; 21/10; 21/10; 9/4; 23/10; 11/5; 9/4; 11/5; 21/10; 9/4; 11/5; 9/4; 21/10; 11/5; 9/4; 9/4; 11/5; 23/10; 23/10; 11/5; 9/4; 12/5; 9/4; 11/5; ; 21/10; 19/10; 9/4
META; english/league-2/newport-county-v-lincoln; 2017-12-21 18:23:31 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Newport County; 29/20; 6/4; 17/11; 8/5; 16/11; 6/4; 6/4; 31/21; 31/20; 29/20; 6/4; 31/20; 6/4; 6/4; 7/5; 16/11; 6/4; 13/8; 10/7; 31/21; 6/4; 6/4; 6/4; 17/11; ; 6/4; 8/5
Lincoln; 9/5; 19/10; 28/15; 13/8; 19/10; 9/5; 15/8; 15/8; 15/8; 19/10; 15/8; 17/10; 19/10; 19/10; 15/8; 19/10; 24/13; 99/50; 25/14; 15/8; 15/8; 15/8; 19/10; 19/10; ; 19/10; 2
Draw; 23/10; 11/5; 21/10; 21/10; 11/5; 21/10; 9/4; 11/5; 2; 9/4; 11/5; 9/4; 2; 11/5; 9/4; 11/5; 28/13; 56/25; 40/17; 11/5; 11/5; 23/10; 9/4; 28/13; ; 19/10; 11/5
META; english/league-2/newport-county-v-lincoln; 2017-12-21 22:23:26 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Newport County; 29/20; 6/4; 17/11; 8/5; 16/11; ; 6/4; 6/4; 31/21; 31/20; 6/4; 6/4; 31/20; 6/4; 6/4; 6/4; 16/11; 6/4; 13/8; 10/7; 31/21; 6/4; 6/4; 6/4; 17/11; ; 6/4; 6/4; 8/5
Lincoln; 9/5; 19/10; 28/15; 13/8; 19/10; ; 9/5; 15/8; 15/8; 15/8; 15/8; 15/8; 17/10; 19/10; 19/10; 15/8; 19/10; 24/13; 99/50; 25/14; 15/8; 15/8; 15/8; 19/10; 19/10; ; 15/8; 19/10; 2
Draw; 23/10; 11/5; 21/10; 21/10; 11/5; ; 21/10; 9/4; 11/5; 2; 11/5; 11/5; 9/4; 2; 11/5; 11/5; 11/5; 28/13; 56/25; 40/17; 11/5; 11/5; 23/10; 9/4; 28/13; ; 21/10; 19/10; 11/5
META; english/league-2/newport-county-v-lincoln; 2017-12-22 02:23:24 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Newport County; 8/5; 6/4; 17/11; 8/5; 16/11; 31/20; 6/4; 6/4; 31/21; 31/20; 6/4; 6/4; 31/20; 6/4; 6/4; 6/4; 16/11; 6/4; 13/8; 10/7; 31/21; 6/4; 6/4; 6/4; 17/11; ; 6/4; 6/4; 8/5
Lincoln; 2; 19/10; 28/15; 13/8; 19/10; 2; 15/8; 15/8; 15/8; 15/8; 19/10; 15/8; 17/10; 19/10; 19/10; ; 19/10; 19/10; 99/50; 25/14; 15/8; 15/8; 15/8; 19/10; 19/10; ; 9/5; 19/10; 2
Draw; 9/4; 11/5; 21/10; 21/10; 11/5; 12/5; 21/10; 9/4; 11/5; 2; 11/5; 11/5; 9/4; 2; 11/5; 21/10; 11/5; 21/10; 56/25; 40/17; 11/5; 85/40; 23/10; 11/5; 28/13; ; 21/10; 2; 11/5
META; english/league-2/newport-county-v-lincoln; 2017-12-22 10:23:37 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Newport County; 8/5; 6/4; 17/11; 8/5; 16/11; 31/20; 6/4; 6/4; 31/21; 31/20; 6/4; 6/4; 31/20; 6/4; 6/4; 6/4; 16/11; 6/4; 13/8; 10/7; 31/21; 6/4; 6/4; 6/4; 17/11; ; 6/4; 6/4; 8/5
Lincoln; 2; 19/10; 28/15; 13/8; 19/10; 2; 15/8; 15/8; 15/8; 15/8; 19/10; 15/8; 17/10; 19/10; 19/10; ; 19/10; 19/10; 99/50; 25/14; 15/8; 15/8; 15/8; 19/10; 19/10; ; 9/5; 19/10; 2
Draw; 9/4; 11/5; 21/10; 21/10; 11/5; 12/5; 21/10; 9/4; 11/5; 2; 11/5; 11/5; 9/4; 2; 11/5; 21/10; 11/5; 21/10; 56/25; 40/17; 11/5; 85/40; 23/10; 11/5; 28/13; ; 21/10; 2; 11/5
META; english/league-2/newport-county-v-lincoln; 2017-12-22 14:23:49 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Newport County; 8/5; 6/4; 17/11; 6/4; 16/11; 31/20; 6/4; 6/4; 31/21; 31/20; 6/4; 6/4; 31/20; 6/4; 6/4; 6/4; 16/11; 6/4; 8/5; 10/7; 31/21; 6/4; 8/5; 6/4; 17/11; ; 6/4; 6/4; 8/5
Lincoln; 2; 19/10; 28/15; 19/10; 19/10; 2; 15/8; 15/8; 15/8; 15/8; 19/10; 15/8; 17/10; 19/10; 19/10; 19/10; 19/10; 19/10; 2; 25/14; 15/8; 15/8; 19/10; 19/10; 19/10; ; 19/10; 19/10; 19/10
Draw; 9/4; 11/5; 21/10; 11/5; 11/5; 12/5; 21/10; 9/4; 11/5; 2; 11/5; 11/5; 9/4; 2; 11/5; 21/10; 11/5; 21/10; 56/25; 40/17; 11/5; 85/40; 23/10; 11/5; 28/13; ; 21/10; 21/10; 11/5
META; english/league-2/newport-county-v-lincoln; 2017-12-22 18:23:54 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
