META; english/league-2/luton-v-exeter; 2018-01-28 02:21:50 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 4/6; 8/13; ; ; 18/25; 4/6; 13/20; ; 4/6; ; 4/6; 8/13; ; ; ; ; ; 11/17; ; ; 4/6; 4/6; 13/20; 13/20; 4/6; ; 4/7; ; 
Draw; 14/5; 14/5; ; ; 74/25; 31/10; 14/5; ; 37/13; ; 11/4; 14/5; ; ; ; ; ; 11/4; ; ; 37/13; 14/5; 14/5; 14/5; 14/5; ; 14/5; ; 
Exeter; 4; 9/2; ; ; 21/5; 9/2; 4; ; 39/10; ; 4; 4; ; ; ; ; ; 50/13; ; ; 39/10; 4; 9/2; 4; 39/10; ; 4; ; 
META; english/league-2/luton-v-exeter; 2018-01-28 22:24:35 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 4/6; 8/13; ; ; 18/25; 4/6; 5/8; ; 4/6; ; 4/6; 8/13; ; ; ; ; ; 11/17; ; ; 4/6; 4/6; 8/13; 13/20; 4/6; ; 4/7; ; 
Draw; 14/5; 14/5; ; ; 74/25; 16/5; 14/5; ; 37/13; ; 11/4; 3; ; ; ; ; ; 11/4; ; ; 37/13; 14/5; 14/5; 14/5; 14/5; ; 14/5; ; 
Exeter; 4; 9/2; ; ; 21/5; 9/2; 4; ; 39/10; ; 4; 4; ; ; ; ; ; 39/10; ; ; 39/10; 4; 9/2; 4; 75/19; ; 4; ; 
META; english/league-2/luton-v-exeter; 2018-01-29 02:21:23 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 3/4; 8/13; ; ; 41/50; 4/6; 7/10; ; 4/6; ; 7/10; 4/6; ; ; ; ; ; 9/13; ; ; 4/6; 8/11; 4/6; 8/11; 9/13; ; 4/7; ; 
Draw; 13/5; 14/5; ; ; 27/10; 29/10; 13/5; ; 37/13; ; 11/4; 14/5; ; ; ; ; ; 45/17; ; ; 37/13; 13/5; 14/5; 13/5; 45/17; ; 13/5; ; 
Exeter; 15/4; 9/2; ; ; 77/20; 4; 15/4; ; 39/10; ; 19/5; 15/4; ; ; ; ; ; 15/4; ; ; 39/10; 19/5; 17/4; 15/4; 19/5; ; 7/2; ; 
META; english/league-2/luton-v-exeter; 2018-01-29 10:21:20 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 3/4; 8/13; ; ; 41/50; 4/6; 7/10; ; 7/10; ; 7/10; 7/10; ; ; 8/11; ; 13/18; 5/7; 13/18; ; 7/10; 8/11; 4/6; 8/11; 5/7; ; 8/13; ; 
Draw; 13/5; 14/5; ; ; 27/10; 29/10; 13/5; ; 27/10; ; 11/4; 14/5; ; ; 13/5; ; 13/5; 13/5; 13/5; ; 27/10; 13/5; 14/5; 13/5; 13/5; ; 13/5; ; 
Exeter; 15/4; 9/2; ; ; 77/20; 4; 15/4; ; 39/10; ; 19/5; 15/4; ; ; 4; ; 15/4; 37/10; 15/4; ; 39/10; 19/5; 21/5; 15/4; 15/4; ; 7/2; ; 
META; english/league-2/luton-v-exeter; 2018-01-29 14:22:00 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 3/4; 8/13; ; ; 41/50; 4/6; 7/10; ; 7/10; ; 7/10; 7/10; ; 7/10; 8/11; ; 13/18; 5/7; 13/18; ; 7/10; 8/11; 4/6; 8/11; 5/7; ; 4/7; ; 
Draw; 13/5; 14/5; ; ; 27/10; 29/10; 13/5; ; 27/10; ; 11/4; 14/5; ; 27/10; 13/5; ; 13/5; 13/5; 13/5; ; 27/10; 13/5; 14/5; 13/5; 13/5; ; 13/5; ; 
Exeter; 15/4; 9/2; ; ; 77/20; 4; 15/4; ; 39/10; ; 19/5; 15/4; ; 7/2; 4; ; 15/4; 37/10; 15/4; ; 39/10; 19/5; 21/5; 15/4; 15/4; ; 7/2; ; 
META; english/league-2/luton-v-exeter; 2018-01-29 18:21:45 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 3/4; 4/6; ; ; 41/50; 8/11; 7/10; 4/6; 7/10; ; 7/10; 7/10; ; 7/10; 8/11; ; 13/18; 5/7; 13/18; ; 7/10; 8/11; 4/6; 8/11; 5/7; ; 4/6; ; 
Draw; 13/5; 3; ; ; 27/10; 29/10; 11/4; 11/4; 27/10; ; 11/4; 14/5; ; 11/4; 13/5; ; 13/5; 13/5; 13/5; ; 27/10; 13/5; 3; 13/5; 45/17; ; 13/5; ; 
Exeter; 15/4; 19/5; ; ; 77/20; 15/4; 15/4; 7/2; 39/10; ; 19/5; 15/4; ; 7/2; 4; ; 15/4; 37/10; 15/4; ; 39/10; 19/5; 4; 15/4; 15/4; ; 3; ; 
META; english/league-2/luton-v-exeter; 2018-01-29 22:21:55 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 3/4; 4/6; ; 7/10; 41/50; 8/11; 7/10; 4/6; 7/10; ; 7/10; 7/10; ; 7/10; 8/11; ; 13/18; 5/7; 13/18; ; 7/10; 8/11; 4/6; 8/11; 5/7; ; 4/6; ; 
Draw; 13/5; 3; ; 13/5; 27/10; 29/10; 13/5; 11/4; 27/10; ; 11/4; 14/5; ; 11/4; 13/5; ; 13/5; 13/5; 13/5; ; 27/10; 13/5; 3; 13/5; 45/17; ; 13/5; ; 
Exeter; 15/4; 19/5; ; 7/2; 77/20; 15/4; 15/4; 7/2; 39/10; ; 19/5; 15/4; ; 7/2; 4; ; 15/4; 37/10; 15/4; ; 39/10; 19/5; 4; 15/4; 15/4; ; 3; ; 
META; english/league-2/luton-v-exeter; 2018-01-30 02:21:36 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 3/4; 4/6; ; 7/10; 41/50; 8/11; 7/10; 4/6; 7/10; ; 7/10; 7/10; ; 7/10; 8/11; ; 13/18; 5/7; 13/18; ; 7/10; 8/11; 4/6; 8/11; 5/7; ; 4/6; ; 
Draw; 13/5; 3; ; 13/5; 27/10; 29/10; 13/5; 11/4; 27/10; ; 11/4; 14/5; ; 11/4; 13/5; ; 13/5; 13/5; 13/5; ; 27/10; 13/5; 3; 13/5; 45/17; ; 13/5; ; 
Exeter; 15/4; 19/5; ; 7/2; 77/20; 15/4; 15/4; 7/2; 39/10; ; 19/5; 15/4; ; 7/2; 4; ; 15/4; 37/10; 15/4; ; 39/10; 19/5; 4; 15/4; 15/4; ; 3; ; 
META; english/league-2/luton-v-exeter; 2018-01-30 10:21:39 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 3/4; 4/6; ; 7/10; 41/50; 8/11; 7/10; 4/6; 7/10; ; 7/10; 7/10; ; 7/10; 8/11; ; 13/18; 5/7; 13/18; ; 7/10; 8/11; 4/6; 8/11; 5/7; ; 4/6; ; 
Draw; 13/5; 3; ; 13/5; 27/10; 29/10; 11/4; 11/4; 27/10; ; 11/4; 14/5; ; 11/4; 13/5; ; 13/5; 13/5; 13/5; ; 27/10; 13/5; 3; 13/5; 45/17; ; 13/5; ; 
Exeter; 15/4; 19/5; ; 7/2; 77/20; 15/4; 15/4; 7/2; 39/10; ; 19/5; 15/4; ; 7/2; 4; ; 15/4; 37/10; 15/4; ; 39/10; 19/5; 4; 15/4; 15/4; ; 3; ; 
META; english/league-2/luton-v-exeter; 2018-01-30 14:21:56 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 3/4; 4/6; ; 7/10; 41/50; 8/11; 7/10; 4/6; 7/10; ; 7/10; 7/10; ; 7/10; 8/11; ; 13/18; 5/7; 13/18; ; 7/10; 8/11; 4/6; 8/11; 5/7; ; 4/6; ; 
Draw; 13/5; 3; ; 13/5; 27/10; 29/10; 11/4; 11/4; 27/10; ; 11/4; 14/5; ; 11/4; 13/5; ; 13/5; 13/5; 13/5; ; 27/10; 13/5; 3; 13/5; 45/17; ; 13/5; ; 
Exeter; 15/4; 19/5; ; 7/2; 77/20; 15/4; 15/4; 7/2; 39/10; ; 19/5; 15/4; ; 7/2; 4; ; 15/4; 37/10; 15/4; ; 39/10; 19/5; 4; 15/4; 15/4; ; 3; ; 
META; english/league-2/luton-v-exeter; 2018-01-30 18:21:49 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 8/13; 4/6; 4/6; 7/10; 67/100; 8/11; ; 4/6; 7/10; 4/6; 4/6; 4/6; ; 13/20; 7/10; 4/6; 13/18; 4/6; 13/18; 11/18; 7/10; 8/13; 4/6; 13/20; 4/6; ; 4/6; 8/13; 
Draw; 14/5; 3; 29/10; 13/5; 147/50; 3; ; 11/4; 27/10; 3; 11/4; 14/5; ; 14/5; 14/5; 14/5; 13/5; 11/4; 13/5; 3; 27/10; 3; 3; 57/20; 11/4; ; 11/4; 13/5; 
Exeter; 9/2; 19/5; 4; 7/2; 24/5; 4; ; 4; 39/10; 4; 4; 4; ; 15/4; 15/4; 4; 15/4; 54/13; 15/4; 17/5; 39/10; 4; 4; 4; 21/5; ; 7/2; 10/3; 
META; english/league-2/luton-v-exeter; 2018-01-30 22:21:56 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 8/13; 4/6; 4/6; 7/10; 67/100; 8/11; ; 4/6; 7/10; 4/6; 4/6; 4/6; ; 13/20; 7/10; 4/6; 4/6; 4/6; 4/6; 5/8; 7/10; 8/13; 4/6; 13/20; 4/6; ; 4/6; 8/13; 
Draw; 14/5; 3; 29/10; 13/5; 147/50; 3; ; 11/4; 27/10; 3; 11/4; 14/5; ; 14/5; 14/5; 14/5; 27/10; 11/4; 27/10; 3; 27/10; 3; 3; 57/20; 14/5; ; 11/4; 5/2; 
Exeter; 9/2; 19/5; 4; 7/2; 24/5; 4; ; 4; 39/10; 4; 4; 4; ; 19/5; 15/4; 4; 4; 77/19; 4; 19/5; 39/10; 4; 4; 4; 41/10; ; 7/2; 3; 
META; english/league-2/luton-v-exeter; 2018-01-31 02:21:01 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 8/13; 4/6; 4/6; 7/10; 67/100; 8/11; ; 4/6; 7/10; 4/6; 4/6; 4/6; ; 13/20; 7/10; 4/6; 4/6; 4/6; 4/6; 5/8; 7/10; 8/13; 4/6; 13/20; 4/6; ; 4/6; 8/13; 
Draw; 14/5; 3; 29/10; 13/5; 147/50; 3; ; 11/4; 27/10; 3; 11/4; 14/5; ; 14/5; 14/5; 14/5; 27/10; 11/4; 27/10; 3; 27/10; 3; 3; 57/20; 14/5; ; 11/4; 13/5; 
Exeter; 9/2; 19/5; 4; 7/2; 24/5; 4; ; 4; 39/10; 4; 4; 4; ; 19/5; 15/4; 4; 4; 77/19; 4; 19/5; 39/10; 4; 4; 4; 41/10; ; 7/2; 3; 
META; english/league-2/luton-v-exeter; 2018-01-31 10:21:11 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 8/13; 4/6; 4/6; 7/10; 67/100; 8/11; ; ; 7/10; 4/6; 4/6; 4/6; ; 13/20; 7/10; 4/6; 4/6; 4/6; 4/6; 5/8; 7/10; 8/13; 4/6; 13/20; 4/6; ; 4/6; 4/7; 
Draw; 14/5; 3; 29/10; 13/5; 147/50; 3; ; ; 27/10; 3; 11/4; 14/5; ; 14/5; 14/5; 14/5; 27/10; 11/4; 27/10; 3; 27/10; 3; 3; 57/20; 14/5; ; 11/4; 27/10; 
Exeter; 9/2; 19/5; 4; 7/2; 24/5; 4; ; ; 39/10; 4; 4; 4; ; 15/4; 15/4; 4; 4; 77/19; 4; 19/5; 39/10; 4; 4; 4; 41/10; ; 7/2; 10/3; 
META; english/league-2/luton-v-exeter; 2018-01-31 14:21:24 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 8/13; 4/6; 4/6; 7/10; 4/6; 7/10; ; ; 7/10; 4/6; 4/6; 4/6; ; 13/20; 7/10; 4/6; 4/6; 4/6; 4/6; 5/8; 7/10; 8/13; 4/6; 13/20; 4/6; ; 8/13; 4/7; 
Draw; 14/5; 3; 29/10; 13/5; 59/20; 31/10; ; ; 27/10; 29/10; 11/4; 14/5; ; 11/4; 14/5; 11/4; 27/10; 11/4; 27/10; 3; 27/10; 3; 3; 59/20; 11/4; ; 14/5; 14/5; 
Exeter; 9/2; 19/5; 4; 7/2; 24/5; 9/2; ; ; 39/10; 4; 4; 15/4; ; 19/5; 15/4; 4; 4; 41/10; 4; 19/5; 39/10; 4; 4; 15/4; 54/13; ; 4; 4; 
META; english/league-2/luton-v-exeter; 2018-01-31 18:22:10 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 8/13; 4/6; 4/6; 7/10; 17/25; 7/10; ; ; 7/10; 4/6; 4/6; 4/6; ; 13/20; 7/10; 4/6; 4/6; 11/17; 4/6; 5/8; 7/10; 8/13; 4/6; 13/20; 11/17; ; 8/13; 4/7; 
Draw; 14/5; 29/10; 29/10; 14/5; 31/10; 31/10; ; ; 27/10; 29/10; 11/4; 14/5; ; 11/4; 14/5; 14/5; 27/10; 37/13; 27/10; 3; 27/10; 3; 3; 59/20; 37/13; ; 14/5; 14/5; 
Exeter; 9/2; 4; 4; 19/5; 22/5; 9/2; ; ; 39/10; 4; 4; 4; ; 19/5; 15/4; 4; 4; 54/13; 4; 19/5; 39/10; 4; 4; 15/4; 21/5; ; 4; 4; 
META; english/league-2/luton-v-exeter; 2018-01-31 22:21:25 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 8/13; 4/6; 4/6; 7/10; 17/25; 7/10; ; 8/13; 7/10; 4/6; 4/6; 4/6; ; 13/20; 7/10; 4/6; 4/6; 11/17; 4/6; 5/8; 7/10; 8/13; 4/6; 13/20; 11/17; ; 8/13; 4/7; 
Draw; 14/5; 29/10; 29/10; 14/5; 31/10; 31/10; ; 11/4; 27/10; 29/10; 11/4; 14/5; ; 11/4; 14/5; 14/5; 27/10; 37/13; 27/10; 3; 27/10; 3; 3; 59/20; 37/13; ; 14/5; 13/5; 
Exeter; 9/2; 4; 4; 19/5; 22/5; 9/2; ; 4; 39/10; 4; 4; 4; ; 19/5; 15/4; 4; 4; 54/13; 4; 19/5; 39/10; 4; 4; 15/4; 21/5; ; 4; 7/2; 
META; english/league-2/luton-v-exeter; 2018-02-01 02:20:44 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 8/13; 4/6; 4/6; 7/10; 17/25; 4/6; ; 8/13; 7/10; 4/6; 4/6; 4/6; ; 13/20; 7/10; 4/6; 11/17; 4/6; 5/8; 7/10; 8/13; 4/6; 13/20; 11/17; ; 4/7; 4/7; 
Draw; 14/5; 29/10; 29/10; 14/5; 31/10; 3; ; 11/4; 27/10; 29/10; 11/4; 14/5; ; 11/4; 14/5; 14/5; 37/13; 27/10; 3; 27/10; 3; 3; 59/20; 37/13; ; 14/5; 13/5; 
Exeter; 9/2; 4; 4; 19/5; 22/5; 4; ; 4; 39/10; 4; 4; 4; ; 19/5; 15/4; 4; 54/13; 4; 19/5; 39/10; 4; 4; 15/4; 21/5; ; 7/2; 7/2; 
META; english/league-2/luton-v-exeter; 2018-02-01 10:20:51 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 8/13; 4/6; 4/6; 7/10; 17/25; 4/6; ; 8/13; 7/10; 4/6; 4/6; 4/6; ; 13/20; 7/10; 4/6; 11/17; 4/6; 5/8; 7/10; 8/13; 4/6; 13/20; 11/17; ; 4/7; 4/7; 
Draw; 14/5; 29/10; 29/10; 14/5; 31/10; 3; ; 11/4; 27/10; 29/10; 11/4; 14/5; ; 11/4; 14/5; 14/5; 37/13; 27/10; 3; 27/10; 3; 3; 59/20; 29/10; ; 14/5; ; 
Exeter; 9/2; 4; 4; 19/5; 22/5; 4; ; 4; 39/10; 4; 4; 4; ; 19/5; 15/4; 4; 54/13; 4; 19/5; 39/10; 4; 4; 15/4; 21/5; ; 7/2; ; 
META; english/league-2/luton-v-exeter; 2018-02-01 14:21:25 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 8/13; 4/6; 4/6; 7/10; 17/25; 4/6; ; 8/13; 7/10; 4/6; 4/6; 4/6; ; 13/20; 7/10; 4/6; 11/17; 4/6; 5/8; 7/10; 8/13; 4/6; 13/20; 11/17; ; 4/7; 4/7; 8/13
Draw; 14/5; 29/10; 29/10; 14/5; 31/10; 3; ; 11/4; 27/10; 29/10; 11/4; 14/5; ; 14/5; 14/5; 14/5; 37/13; 27/10; 3; 27/10; 3; 3; 59/20; 29/10; ; 11/4; 27/10; 3
Exeter; 9/2; 4; 4; 19/5; 22/5; 4; ; 4; 39/10; 21/5; 4; 4; ; 19/5; 15/4; 4; 21/5; 4; 19/5; 39/10; 4; 4; 15/4; 21/5; ; 7/2; ; 21/5
META; english/league-2/luton-v-exeter; 2018-02-01 18:20:48 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 4/7; 8/13; 11/18; 8/13; 16/25; 8/13; ; 8/13; 3/5; 8/13; 3/5; ; ; 6/10; 8/13; 4/7; 10/17; 8/13; 5/8; 3/5; 4/7; 8/13; 3/5; 11/18; ; 4/7; 4/7; 4/7
Draw; 3; 3; 29/10; 14/5; 31/10; 3; ; 3; 29/10; 3; 3; ; ; 14/5; 3; 14/5; 56/19; 29/10; 3; 29/10; 3; 3; 59/20; 56/19; ; 14/5; 14/5; 3
Exeter; 19/4; 17/4; 21/5; 19/5; 24/5; 4; ; 4; 43/10; 17/4; 9/2; ; ; 4; 17/4; 9/2; 9/2; 4; 19/5; 43/10; 17/4; 9/2; 19/4; 50/11; ; 22/5; 23/5; 23/5
META; english/league-2/luton-v-exeter; 2018-02-01 22:20:44 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 4/7; 8/13; 11/18; 8/13; 16/25; 8/13; ; 8/13; 3/5; 8/13; 3/5; ; ; 6/10; 8/13; 8/13; 10/17; 8/13; 3/5; 3/5; 4/7; 8/13; 3/5; 11/18; ; 4/7; 4/7; 4/7
Draw; 3; 3; 29/10; 14/5; 31/10; 3; ; 3; 29/10; 3; 3; ; ; 14/5; 3; 14/5; 56/19; 29/10; 58/19; 29/10; 3; 3; 59/20; 56/19; ; 14/5; 14/5; 3
Exeter; 19/4; 17/4; 17/4; 19/5; 24/5; 4; ; 4; 43/10; 17/4; 9/2; ; ; 4; 17/4; 4; 9/2; 4; 4; 43/10; 17/4; 9/2; 19/4; 50/11; ; 21/5; 22/5; 23/5
META; english/league-2/luton-v-exeter; 2018-02-02 02:20:41 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 4/7; 8/13; 11/18; 8/13; 63/100; 8/13; ; 8/13; 3/5; 8/13; 3/5; ; ; 6/10; 8/13; 8/13; 10/17; 8/13; 3/5; 3/5; 4/7; 8/13; 3/5; 11/18; ; 4/7; 4/7; 4/7
Draw; 3; 3; 29/10; 14/5; 16/5; 3; ; 3; 29/10; 3; 3; ; ; 14/5; 3; 14/5; 56/19; 29/10; 58/19; 29/10; 3; 3; 59/20; 56/19; ; 14/5; 14/5; 3
Exeter; 19/4; 17/4; 17/4; 19/5; 24/5; 4; ; 4; 43/10; 17/4; 9/2; ; ; 4; 17/4; 4; 9/2; 4; 4; 43/10; 17/4; 9/2; 19/4; 50/11; ; 21/5; 22/5; 23/5
META; english/league-2/luton-v-exeter; 2018-02-02 10:20:50 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 4/6; 8/13; 11/18; 8/13; 63/100; 8/13; ; 8/13; 3/5; 8/13; 8/13; ; ; 6/10; 8/13; 8/13; 11/18; 8/13; 3/5; 3/5; 4/7; 8/13; 3/5; 11/18; ; 4/7; 4/7; 4/7
Draw; 3; 3; 29/10; 14/5; 13/4; 31/10; ; 3; 29/10; 3; 3; ; ; 14/5; 3; 14/5; 56/19; 29/10; 58/19; 29/10; 3; 3; 59/20; 56/19; ; 14/5; 14/5; 3
Exeter; 19/4; 17/4; 17/4; 19/5; 47/10; 4; ; 4; 43/10; 17/4; 4; ; ; 4; 17/4; 4; 49/11; 4; 4; 43/10; 17/4; 9/2; 19/4; 9/2; ; 21/5; 22/5; 23/5
META; english/league-2/luton-v-exeter; 2018-02-02 14:21:42 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 3/5; 8/13; 4/7; 8/13; 59/100; 8/13; ; 4/7; 3/5; 4/7; 4/7; ; ; 6/10; 4/7; 4/7; 4/7; 6/11; 4/7; 3/5; 4/7; 8/13; 4/7; ; ; 4/7; 4/7; 4/7
Draw; 16/5; 3; 3; 14/5; 67/20; 10/3; ; 3; 29/10; 3; 3; ; ; 29/10; 16/5; 3; 58/19; 31/10; 31/10; 29/10; 3; 16/5; 16/5; ; ; 3; 3; 3
Exeter; 5; 17/4; 9/2; 9/2; 5; 9/2; ; 4; 43/10; 9/2; 9/2; ; ; 4; 9/2; 9/2; 79/17; 9/2; 21/5; 43/10; 9/2; 9/2; 19/4; 47/10; ; 23/5; 23/5; 24/5
META; english/league-2/luton-v-exeter; 2018-02-02 18:26:23 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 3/5; 3/5; 4/7; 4/7; 59/100; 8/13; ; 4/7; 3/5; 4/7; 4/7; ; ; 4/7; 4/7; 4/7; 5/9; 6/11; 3/5; 3/5; 8/15; 8/13; 11/20; ; ; 4/7; ; 4/7
Draw; 16/5; 3; 3; 16/5; 67/20; 10/3; ; 3; 29/10; 16/5; 3; ; ; 3; 16/5; 3; 58/19; 31/10; 31/10; 29/10; 3; 16/5; 10/3; ; ; 3; ; 3
Exeter; 5; 9/2; 9/2; 9/2; 5; 5; ; 9/2; 43/10; 9/2; 9/2; ; ; 17/4; 9/2; 9/2; 79/17; 9/2; 4; 43/10; 9/2; 9/2; 19/4; 47/10; ; 23/5; ; 24/5
META; english/league-2/luton-v-exeter; 2018-02-02 22:21:27 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 3/5; 3/5; 4/7; 4/7; 59/100; 8/13; ; 4/7; 3/5; 4/7; 4/7; ; 6/10; 4/7; 4/7; 4/7; 5/9; 6/11; 3/5; 3/5; 8/15; 8/13; 11/20; 5/9; ; 4/7; 4/7; 4/7
Draw; 16/5; 3; 3; 16/5; 67/20; 10/3; ; 3; 29/10; 16/5; 3; ; 3; 3; 16/5; 3; 31/10; 31/10; 31/10; 29/10; 3; 16/5; 10/3; ; ; 3; 10/3; 3
Exeter; 5; 9/2; 9/2; 9/2; 5; 5; ; 9/2; 43/10; 9/2; 9/2; ; 9/2; 17/4; 9/2; 9/2; 47/10; 9/2; 4; 43/10; 9/2; 9/2; 19/4; 19/4; ; 23/5; 24/5; 24/5
META; english/league-2/luton-v-exeter; 2018-02-03 02:20:59 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 3/5; 3/5; 3/5; 4/7; 31/50; 8/13; ; 4/7; 3/5; 6/10; 4/7; ; 6/10; 4/7; 4/7; 4/7; 4/7; 6/11; 3/5; 3/5; 4/7; 8/13; 4/7; 10/17; ; 4/7; 4/7; 4/7
Draw; 16/5; 3; 3; 16/5; 33/10; 10/3; ; 3; 29/10; 3; 3; ; 3; 3; 16/5; 3; 58/19; 31/10; 31/10; 29/10; 3; 16/5; 10/3; 58/19; ; 3; 3; 3
Exeter; 5; 9/2; 17/4; 9/2; 47/10; 5; ; 9/2; 43/10; 17/4; 9/2; ; 9/2; 17/4; 9/2; 9/2; 9/2; 9/2; 4; 43/10; 17/4; 9/2; 19/4; 50/11; ; 23/5; 23/5; 23/5
META; english/league-2/luton-v-exeter; 2018-02-03 10:21:12 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 3/5; 3/5; 3/5; 4/7; 31/50; 8/13; ; 4/7; 3/5; 6/10; 4/7; ; 6/10; 6/10; 8/13; 4/7; 4/7; 6/11; 5/9; 4/7; 4/7; 8/13; 4/7; 10/17; ; 4/7; 4/7; 4/7
Draw; 16/5; 3; 3; 16/5; 33/10; 10/3; ; 3; 29/10; 3; 3; ; 3; 29/10; 3; 3; 58/19; 31/10; 31/10; 31/10; 3; 16/5; 10/3; 58/19; ; 3; 3; 3
Exeter; 5; 9/2; 17/4; 9/2; 47/10; 5; ; 9/2; 43/10; 17/4; 9/2; ; 9/2; 4; 17/4; 9/2; 9/2; 9/2; 22/5; 43/10; 17/4; 9/2; 19/4; 50/11; ; 23/5; 23/5; 23/5
META; english/league-2/luton-v-exeter; 2018-02-03 14:22:14 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 8/13; 8/13; 11/18; 4/7; 63/100; 8/13; ; 4/7; ; 8/13; 3/5; ; 8/13; 8/13; 8/13; 8/13; 10/17; 6/11; 3/5; 4/7; 8/13; 13/20; 8/13; 10/17; ; 4/7; 4/7; 4/7
Draw; 10/3; 3; 3; 16/5; 33/10; 10/3; ; 16/5; ; 3; 3; ; 3; 14/5; 3; 3; 58/19; 31/10; 41/13; 31/10; 3; 10/3; 16/5; 58/19; ; 3; 3; 3
Exeter; 19/4; 4; 21/5; 9/2; 23/5; 9/2; ; 4; ; 21/5; 9/2; ; 17/4; 4; 17/4; 4; 74/17; 9/2; 39/10; 43/10; 4; 4; 17/4; 50/11; ; 24/5; 24/5; 9/2
META; english/league-2/luton-v-exeter; 2018-02-03 18:21:17 GMT+2; 2018-02-03 15:00; In Play; Xlenovo
Luton; 1/8; ; 2/17; 1/8; 59/100; ; 1/8; ; 3/19; ; 2/11; ; 2/15; 1/8; 2/15; ; 2/17; 1/8; 1/9; ; ; 2/17; 2/15; 19/29; ; ; 2/13; 2/13
Draw; 13/2; ; 13/2; 13/2; 31/10; ; 11/2; ; 21/4; ; 11/2; ; 6; 11/2; 5; ; 113/19; 19/4; 57/10; ; ; 13/2; 6; 40/17; ; ; 31/5; 
Exeter; 28; ; 33; 25; 24/5; ; 28; ; 15; ; 20; ; 22; 20; 18; ; 24; 22; 19; ; ; 25; 28; 49/10; ; ; 28; 
