META; english/league-2/exeter-v-cambridge-utd; 2017-06-23 22:18:44 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; 1; ; ; ; ; ; ; ; 11/10; 5/4; 5/4; ; ; 1; 21/20; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/league-2/exeter-v-cambridge-utd; 2017-06-24 22:18:40 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; 1; ; ; ; ; ; ; ; 11/10; 5/4; 5/4; ; ; 1; 21/20; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; 12/5; ; ; ; ; ; ; ; 12/5; 9/4; 9/4; ; ; 2; 12/5; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Cambridge Utd; 11/4; ; ; ; ; ; ; ; 13/5; 9/5; 9/5; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/league-2/exeter-v-cambridge-utd; 2017-06-25 02:18:43 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; 1; ; ; ; ; ; ; ; 11/10; 5/4; 5/4; ; ; 1; 21/20; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 12/5; ; ; ; ; ; ; ; 12/5; 9/4; 9/4; ; ; 2; 12/5; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Cambridge Utd; 11/4; ; ; ; ; ; ; ; 13/5; 9/5; 9/5; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-2/exeter-v-cambridge-utd; 2017-06-25 10:18:43 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; 1; ; ; ; ; ; ; ; 11/10; 5/4; 5/4; ; ; 1; 21/20; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 12/5; ; ; ; ; ; ; ; 12/5; 9/4; 9/4; ; ; 2; 12/5; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Cambridge Utd; 11/4; ; ; ; ; ; ; ; 13/5; 9/5; 9/5; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-2/exeter-v-cambridge-utd; 2017-06-25 14:18:45 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; 1; ; ; ; ; ; ; ; 11/10; 5/4; 5/4; ; ; 1; 21/20; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 12/5; ; ; ; ; ; ; ; 12/5; 9/4; 9/4; ; ; 2; 12/5; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Cambridge Utd; 11/4; ; ; ; ; ; ; ; 13/5; 9/5; 9/5; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-2/exeter-v-cambridge-utd; 2017-06-25 18:18:51 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; 1; ; ; ; ; ; ; ; 11/10; 5/4; 5/4; ; ; 1; 21/20; ; ; ; ; ; ; ; ; ; ; ; 2/11; ; 
Draw; 12/5; ; ; ; ; ; ; ; 12/5; 9/4; 9/4; ; ; 2; 12/5; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
Cambridge Utd; 11/4; ; ; ; ; ; ; ; 13/5; 9/5; 9/5; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 2/11; ; 
META; english/league-2/exeter-v-cambridge-utd; 2017-06-25 22:18:39 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; 1; ; ; ; ; ; ; ; 11/10; 5/4; 5/4; ; ; 1; 21/20; ; ; ; ; ; ; ; ; ; ; ; 2/11; ; 
Draw; 12/5; ; ; ; ; ; ; ; 12/5; 9/4; 9/4; ; ; 2; 12/5; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
Cambridge Utd; 11/4; ; ; ; ; ; ; ; 13/5; 9/5; 9/5; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-2/exeter-v-cambridge-utd; 2017-06-26 02:18:38 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; 1; ; ; ; ; ; ; ; 11/10; 5/4; 5/4; ; ; 1; 21/20; ; ; ; ; ; ; ; ; ; ; ; 2/11; ; 
Draw; 12/5; ; ; ; ; ; ; ; 12/5; 9/4; 9/4; ; ; 2; 12/5; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
Cambridge Utd; 11/4; ; ; ; ; ; ; ; 13/5; 9/5; 9/5; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-2/exeter-v-cambridge-utd; 2017-06-26 10:22:45 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; 1; ; ; ; ; ; ; ; 11/10; 5/4; 5/4; ; ; 1; 21/20; ; ; ; ; ; ; ; ; ; ; ; 2/11; ; 
Draw; 12/5; ; ; ; ; ; ; ; 12/5; 9/4; 9/4; ; ; 2; 12/5; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
Cambridge Utd; 11/4; ; ; ; ; ; ; ; 13/5; 9/5; 9/5; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-2/exeter-v-cambridge-utd; 2017-06-26 14:23:42 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; 1; ; ; ; ; ; ; ; 11/10; 5/4; 5/4; ; ; 1; 21/20; ; ; ; ; ; ; ; ; ; ; ; 2/11; ; 
Draw; 12/5; ; ; ; ; ; ; ; 12/5; 9/4; 9/4; ; ; 2; 12/5; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
Cambridge Utd; 11/4; ; ; ; ; ; ; ; 13/5; 9/5; 9/5; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-2/exeter-v-cambridge-utd; 2017-06-26 18:21:23 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; 1; ; ; ; ; ; ; ; 11/10; 5/4; 5/4; ; ; 1; 21/20; ; ; ; ; ; ; ; ; ; ; ; 2/11; ; 
Draw; 12/5; ; ; ; ; ; ; ; 12/5; 9/4; 9/4; ; ; 2; 12/5; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
Cambridge Utd; 11/4; ; ; ; ; ; ; ; 13/5; 9/5; 9/5; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-2/exeter-v-cambridge-utd; 2017-06-26 22:20:56 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; 1; ; ; ; ; ; ; ; 11/10; 5/4; 5/4; ; ; 1; 21/20; ; ; ; ; ; ; ; ; ; ; ; 2/11; ; 
Draw; 12/5; ; ; ; ; ; ; ; 12/5; 9/4; 9/4; ; ; 2; 12/5; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
Cambridge Utd; 11/4; ; ; ; ; ; ; ; 13/5; 9/5; 9/5; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
