Draw; 23/10; 12/5; 23/10; ; 12/5; 21/10; 12/5; 12/5; 40/17; ; ; 13/5; 23/10; ; 23/10; 12/5; 23/10; ; 23/10; ; ; 40/17; ; 23/10; 9/4; ; ; ; 
META; english/league-2/cheltenham-v-colchester; 2017-09-13 10:22:30 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 6/4; 6/4; 29/20; ; 6/4; 7/5; 6/4; 6/4; 6/4; ; ; 29/20; 6/4; ; 6/4; 6/4; 6/4; ; 6/4; ; ; 6/4; ; 6/4; ; ; 10/9; ; 
Colchester; 7/4; 17/10; 17/10; ; 9/5; 33/20; 9/5; 17/10; 7/4; ; ; 17/10; 7/4; ; 17/10; 7/4; 7/4; ; 7/4; ; ; 7/4; ; 9/5; ; ; 13/10; ; 
Draw; 23/10; 12/5; 23/10; ; 12/5; 21/10; 12/5; 12/5; 40/17; ; ; 13/5; 23/10; ; 23/10; 12/5; 23/10; ; 23/10; ; ; 40/17; ; 23/10; ; ; 7/4; ; 
META; english/league-2/cheltenham-v-colchester; 2017-09-13 14:23:07 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 29/20; 6/4; 29/20; 29/20; 6/4; 7/5; 6/4; 6/4; 6/4; ; ; 29/20; 6/4; 13/8; 6/4; 6/4; 6/4; ; 6/4; 39/25; ; 6/4; ; 6/4; 6/4; ; 6/4; 11/8; 
Colchester; 9/5; 17/10; 17/10; 9/5; 9/5; 33/20; 9/5; 17/10; 7/4; ; ; 17/10; 7/4; 9/5; 17/10; 7/4; 7/4; ; 7/4; 19/10; ; 7/4; ; 9/5; 7/4; ; 13/8; 6/4; 
Draw; 23/10; 12/5; 23/10; 12/5; 12/5; 21/10; 12/5; 12/5; 40/17; ; ; 13/5; 23/10; 5/2; 23/10; 12/5; 23/10; ; 23/10; 61/25; ; 40/17; ; 23/10; 9/4; ; 9/4; 19/10; 
META; english/league-2/cheltenham-v-colchester; 2017-09-13 18:22:38 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 5/4; 11/8; 5/4; 29/20; 13/10; 4/3; 13/10; 13/10; 6/4; ; ; 13/10; 11/8; 7/5; 6/4; 11/8; 7/5; ; 7/5; 141/100; 13/11; 6/4; 6/4; 7/5; 11/8; ; 11/8; 6/5; 7/5
Colchester; 11/5; 19/10; 39/20; 9/5; 21/10; 7/4; 21/10; 15/8; 7/4; ; ; 2; 39/20; 21/10; 17/10; 2; 24/13; ; 19/10; 103/50; 29/16; 7/4; 33/20; 2; 15/8; ; 19/10; 15/8; 2
Draw; 23/10; 12/5; 23/10; 12/5; 12/5; 11/5; 5/2; 12/5; 40/17; ; ; 23/10; 23/10; 5/2; 23/10; 23/10; 23/10; ; 23/10; 63/25; 5/2; 40/17; 23/10; 23/10; 9/4; ; 9/4; 11/5; 5/2
META; english/league-2/cheltenham-v-colchester; 2017-09-13 22:22:40 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 5/4; 11/8; 13/10; 29/20; 11/8; 4/3; 11/8; 13/10; 6/4; ; ; 13/10; 11/8; 7/5; 11/8; 11/8; 7/5; ; 23/17; 141/100; 13/11; 6/4; 6/4; 7/5; 11/8; ; 13/10; 5/4; 7/5
Colchester; 11/5; 19/10; 19/10; 9/5; 21/10; 7/4; 19/10; 15/8; 7/4; ; ; 2; 39/20; 21/10; 19/10; 2; 24/13; ; 2; 103/50; 29/16; 7/4; 33/20; 2; 15/8; ; 19/10; 9/5; 2
Draw; 23/10; 12/5; 23/10; 12/5; 23/10; 11/5; 5/2; 12/5; 40/17; ; ; 23/10; 23/10; 5/2; 12/5; 23/10; 23/10; ; 23/10; 63/25; 5/2; 40/17; 23/10; 23/10; 9/4; ; 9/4; 19/10; 5/2
META; english/league-2/cheltenham-v-colchester; 2017-09-14 02:22:19 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 7/5; 11/8; 7/5; 29/20; 29/20; 4/3; 29/20; 7/5; 6/4; ; ; 29/20; 29/20; 6/4; 6/4; 7/5; 7/5; ; 23/17; 38/25; 25/19; 6/4; 6/4; 7/5; 7/5; ; 11/8; 7/5; 7/5
Colchester; 19/10; 19/10; 7/4; 9/5; 19/10; 7/4; 9/5; 15/8; 7/4; ; ; 9/5; 37/20; 2; 9/5; 9/5; 24/13; ; 2; 191/100; 29/18; 7/4; 33/20; 9/5; 7/4; ; 9/5; 9/5; 19/10
Draw; 23/10; 12/5; 23/10; 12/5; 12/5; 11/5; 5/2; 12/5; 40/17; ; ; 12/5; 23/10; 5/2; 23/10; 12/5; 23/10; ; 23/10; 5/2; 5/2; 40/17; 23/10; 12/5; 12/5; ; 9/4; 9/4; 5/2
META; english/league-2/cheltenham-v-colchester; 2017-09-14 10:22:35 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 7/5; 6/4; 7/5; 29/20; 29/20; 4/3; 29/20; 7/5; 6/4; ; ; 29/20; 29/20; 6/4; 6/4; 16/11; 7/5; ; 16/11; 151/100; 25/19; 6/4; 6/4; 7/5; 7/5; ; 11/8; 7/5; 7/5
Colchester; 19/10; 7/4; 7/4; 9/5; 19/10; 7/4; 9/5; 15/8; 7/4; ; ; 9/5; 37/20; 2; 9/5; 9/5; 24/13; ; 9/5; 193/100; 29/18; 7/4; 33/20; 9/5; 7/4; ; 9/5; 9/5; 19/10
Draw; 23/10; 12/5; 23/10; 12/5; 12/5; 11/5; 5/2; 12/5; 40/17; ; ; 12/5; 23/10; 5/2; 23/10; 12/5; 23/10; ; 23/10; 5/2; 5/2; 40/17; 23/10; 12/5; 12/5; ; 9/4; 9/4; 5/2
META; english/league-2/cheltenham-v-colchester; 2017-09-14 14:22:44 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 7/5; 6/4; 27/20; 29/20; 29/20; 4/3; 7/5; 7/5; 6/4; 23/17; 11/8; 11/8; 29/20; 6/4; 6/4; 7/5; 7/5; ; 16/11; 71/50; 25/19; 6/4; 6/4; 7/5; 7/5; ; 11/8; 27/20; 7/5
Colchester; 19/10; 7/4; 37/20; 9/5; 19/10; 7/4; 15/8; 15/8; 7/4; 19/10; 19/10; 2; 39/20; 2; 9/5; 15/8; 24/13; ; 9/5; 103/50; 29/18; 7/4; 33/20; 15/8; 15/8; ; 15/8; 19/10; 2
Draw; 23/10; 12/5; 23/10; 12/5; 12/5; 11/5; 5/2; 12/5; 40/17; 12/5; 12/5; 9/4; 23/10; 5/2; 23/10; 23/10; 23/10; ; 23/10; 5/2; 5/2; 40/17; 23/10; 12/5; 9/4; ; 23/10; 9/4; 5/2
META; english/league-2/cheltenham-v-colchester; 2017-09-14 18:22:32 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 7/5; 6/4; 27/20; 29/20; 7/5; 4/3; 7/5; 7/5; 6/4; 23/17; 11/8; 11/8; 11/8; 6/4; 6/4; 7/5; 7/5; ; 23/17; 141/100; 25/19; 6/4; 6/4; 7/5; 7/5; ; 11/8; 27/20; 7/5
Colchester; 19/10; 7/4; 37/20; 9/5; 2; 7/4; 15/8; 15/8; 7/4; 19/10; 19/10; 2; 39/20; 2; 9/5; 19/10; 24/13; ; 19/10; 52/25; 29/18; 7/4; 33/20; 15/8; 15/8; ; 15/8; 19/10; 2
Draw; 23/10; 12/5; 23/10; 12/5; 12/5; 11/5; 5/2; 12/5; 40/17; 12/5; 12/5; 9/4; 49/20; 5/2; 23/10; 12/5; 23/10; ; 23/10; 5/2; 5/2; 40/17; 23/10; 12/5; 9/4; ; 23/10; 9/4; 5/2
META; english/league-2/cheltenham-v-colchester; 2017-09-14 22:22:44 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 13/10; 7/5; 13/10; 13/10; 11/8; 4/3; 7/5; 11/8; 7/5; 13/10; 27/20; 13/10; 27/20; 29/20; 11/8; 13/10; 7/5; 7/5; 23/17; 27/20; 14/11; 7/5; 6/4; 13/10; 11/8; ; 27/20; 13/10; 27/20
Colchester; 21/10; 19/10; 15/8; 9/5; 2; 7/4; 15/8; 15/8; 15/8; 2; 2; 2; 39/20; 21/10; 19/10; 2; 24/13; 15/8; 37/19; 43/20; 5/3; 15/8; 33/20; 2; 15/8; ; 19/10; 19/10; 21/10
Draw; 23/10; 23/10; 23/10; 12/5; 12/5; 11/5; 5/2; 23/10; 40/17; 12/5; 12/5; 12/5; 49/20; 5/2; 12/5; 12/5; 23/10; ; 40/17; 127/50; 5/2; 40/17; 23/10; 12/5; 12/5; ; 23/10; 23/10; 5/2
META; english/league-2/cheltenham-v-colchester; 2017-09-15 02:21:51 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 13/10; 13/10; 13/10; 13/10; 11/8; 4/3; 7/5; 11/8; 7/5; 13/10; 27/20; 13/10; 27/20; 29/20; 11/8; 13/10; 7/5; 7/5; 23/17; 133/100; 14/11; 7/5; 6/4; 13/10; 11/8; ; 5/4; 5/4; 13/10
Colchester; 21/10; 2; 15/8; 9/5; 2; 7/4; 15/8; 15/8; 15/8; 2; 2; 2; 39/20; 21/10; 19/10; 2; 24/13; 15/8; 37/19; 54/25; 5/3; 15/8; 33/20; 2; 15/8; ; 19/10; 19/10; 21/10
Draw; 23/10; 12/5; 23/10; 12/5; 12/5; 11/5; 5/2; 23/10; 40/17; 12/5; 12/5; 12/5; 49/20; 5/2; 12/5; 12/5; 23/10; ; 40/17; 64/25; 5/2; 40/17; 23/10; 12/5; 12/5; ; 23/10; 23/10; 5/2
META; english/league-2/cheltenham-v-colchester; 2017-09-15 10:21:31 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 11/8; 13/10; 13/10; 13/10; 11/8; 4/3; 7/5; 11/8; 7/5; 13/10; 27/20; 13/10; 27/20; 29/20; 11/8; 13/10; 7/5; 7/5; 13/10; 133/100; 14/11; 7/5; 6/4; 13/10; 11/8; ; 13/10; 5/4; 13/10
Colchester; 21/10; 2; 15/8; 9/5; 2; 7/4; 15/8; 15/8; 15/8; 2; 2; 2; 39/20; 21/10; 19/10; 2; 24/13; 15/8; 2; 43/20; 5/3; 15/8; 33/20; 2; 15/8; ; 19/10; 19/10; 21/10
Draw; 5/2; 12/5; 23/10; 12/5; 12/5; 11/5; 5/2; 23/10; 40/17; 12/5; 12/5; 12/5; 49/20; 5/2; 12/5; 12/5; 23/10; ; 40/17; 129/50; 5/2; 40/17; 23/10; 12/5; 12/5; ; 23/10; 23/10; 5/2
META; english/league-2/cheltenham-v-colchester; 2017-09-15 14:21:47 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 11/8; 11/8; 27/20; 13/10; 11/8; 4/3; 29/20; 13/10; 7/5; 23/17; 27/20; 13/10; 27/20; 11/8; 11/8; 13/10; 7/5; 7/5; 13/10; 133/100; 14/11; 7/5; 11/8; 13/10; 11/8; ; 5/4; 6/5; 13/10
Colchester; 21/10; 19/10; 15/8; 9/5; 2; 7/4; 19/10; 15/8; 15/8; 2; 2; 2; 39/20; 11/5; 19/10; 2; 24/13; 15/8; 2; 43/20; 5/3; 15/8; 2; 2; 15/8; ; 2; 19/10; 21/10
Draw; 5/2; 12/5; 23/10; 12/5; 12/5; 11/5; 5/2; 12/5; 40/17; 12/5; 12/5; 12/5; 49/20; 5/2; 12/5; 12/5; 23/10; ; 40/17; 129/50; 5/2; 40/17; 12/5; 12/5; 12/5; ; 23/10; 2; 5/2
META; english/league-2/cheltenham-v-colchester; 2017-09-15 18:21:58 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 11/8; 11/8; 5/4; 13/10; 13/10; 4/3; 7/5; 13/10; 7/5; 23/17; 13/10; 13/10; 27/20; 7/5; 5/4; 13/10; 7/5; 7/5; 5/4; 131/100; 11/9; 7/5; 13/10; 13/10; 11/8; ; 5/4; 5/4; 13/10
Colchester; 21/10; 19/10; 39/20; 21/10; 21/10; 7/4; 2; 2; 15/8; 2; 2; 2; 39/20; 21/10; 21/10; 2; 24/13; 15/8; 39/19; 11/5; 33/19; 15/8; 2; 2; 2; ; 2; 19/10; 21/10
Draw; 5/2; 12/5; 23/10; 23/10; 12/5; 11/5; 5/2; 12/5; 40/17; 12/5; 12/5; 12/5; 49/20; 5/2; 12/5; 12/5; 23/10; ; 40/17; 129/50; 5/2; 40/17; 12/5; 12/5; 9/4; ; 12/5; 23/10; 5/2
META; english/league-2/cheltenham-v-colchester; 2017-09-15 22:22:48 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 11/8; 11/8; 5/4; 13/10; 11/8; 5/4; 7/5; 13/10; 7/5; 13/10; 13/10; 13/10; 27/20; 7/5; 5/4; 13/10; 13/10; 7/5; 5/4; 131/100; 11/9; 7/5; 13/10; 13/10; 5/4; ; 5/4; 5/4; 13/10
Colchester; 21/10; 19/10; 39/20; 21/10; 2; 15/8; 2; 2; 15/8; 2; 2; 2; 39/20; 21/10; 21/10; 2; 2; 15/8; 39/19; 11/5; 33/19; 15/8; 2; 2; 2; ; 2; 19/10; 21/10
Draw; 5/2; 12/5; 23/10; 23/10; 12/5; 11/5; 5/2; 12/5; 40/17; 12/5; 12/5; 12/5; 49/20; 5/2; 12/5; 12/5; 23/10; ; 40/17; 129/50; 5/2; 40/17; 12/5; 12/5; 12/5; ; 23/10; 23/10; 5/2
META; english/league-2/cheltenham-v-colchester; 2017-09-16 02:23:14 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 11/8; 11/8; 5/4; 13/10; 13/10; 5/4; 7/5; 13/10; 7/5; 13/10; 13/10; 13/10; 27/20; 7/5; 5/4; 13/10; 13/10; 7/5; 5/4; 131/100; 5/4; 7/5; 13/10; 13/10; 5/4; ; 13/10; 5/4; 13/10
