META; english/league-2/port-vale-v-forest-green; 2017-09-10 14:24:11 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 7/5; 7/5; ; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Forest Green; 15/8; 9/5; ; ; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/port-vale-v-forest-green; 2017-09-10 18:24:00 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 7/5; 7/5; ; ; 29/20; ; 29/20; 7/5; ; ; ; ; 7/5; ; ; ; ; ; 7/5; ; ; ; ; ; 7/5; ; ; ; 
Draw; 23/10; 12/5; 23/10; ; 12/5; 21/10; 12/5; 23/10; 40/17; ; ; 12/5; 23/10; ; 23/10; 23/10; 9/4; ; 23/10; ; ; 40/17; ; 23/10; 9/4; ; 7/4; ; 
META; english/league-2/port-vale-v-forest-green; 2017-09-13 14:23:27 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 27/20; 6/4; 7/5; 7/5; 29/20; 4/3; 29/20; 7/5; 7/5; ; ; 29/20; 7/5; 6/4; 7/5; 7/5; 7/5; ; 7/5; 38/25; ; 7/5; ; 7/5; 7/5; ; 11/8; 5/4; 
Forest Green; 2; 17/10; 7/4; 9/5; 19/10; 9/5; 15/8; 9/5; 15/8; ; ; 9/5; 19/10; 19/10; 9/5; 15/8; 19/10; ; 24/13; 199/100; ; 15/8; ; 15/8; 15/8; ; 7/4; 13/8; 
Draw; 23/10; 12/5; 23/10; 5/2; 12/5; 21/10; 12/5; 12/5; 40/17; ; ; 12/5; 23/10; 5/2; 23/10; 23/10; 9/4; ; 23/10; 12/5; ; 40/17; ; 23/10; 9/4; ; 9/4; 19/10; 
META; english/league-2/port-vale-v-forest-green; 2017-09-13 18:22:53 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 5/4; 7/5; 13/10; 13/10; 11/8; 4/3; 13/10; 13/10; 7/5; ; 11/8; 7/5; 11/8; 7/5; 7/5; 11/8; 7/5; ; 7/5; 147/100; 21/17; 7/5; 6/5; 7/5; 11/8; ; 11/8; 7/5; 7/5
Forest Green; 11/5; 19/10; 19/10; 15/8; 21/10; 9/5; 21/10; 15/8; 15/8; ; 19/10; 19/10; 39/20; 21/10; 9/5; 2; 19/10; ; 19/10; 101/50; 23/13; 15/8; 21/10; 2; 15/8; ; 19/10; 15/8; 19/10
Draw; 23/10; 12/5; 9/4; 9/4; 23/10; 21/10; 12/5; 12/5; 40/17; ; 23/10; 23/10; 23/10; 5/2; 23/10; 23/10; 9/4; ; 23/10; 123/50; 27/11; 40/17; 12/5; 23/10; 9/4; ; 9/4; 11/5; 12/5
META; english/league-2/port-vale-v-forest-green; 2017-09-13 22:22:54 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 5/4; 7/5; 27/20; 13/10; 11/8; 4/3; 11/8; 13/10; 7/5; ; 11/8; 13/10; 11/8; 7/5; 11/8; 11/8; 7/5; ; 23/17; 37/25; 21/17; 7/5; 6/5; 7/5; 11/8; ; 11/8; 13/10; 7/5
Forest Green; 11/5; 19/10; 15/8; 15/8; 21/10; 9/5; 2; 15/8; 15/8; ; 19/10; 2; 39/20; 21/10; 19/10; 2; 19/10; ; 37/19; 2; 23/13; 15/8; 21/10; 2; 15/8; ; 19/10; 9/5; 19/10
Draw; 23/10; 12/5; 9/4; 9/4; 23/10; 21/10; 12/5; 12/5; 40/17; ; 23/10; 23/10; 23/10; 5/2; 12/5; 23/10; 9/4; ; 23/10; 123/50; 27/11; 40/17; 12/5; 23/10; 9/4; ; 9/4; 19/10; 12/5
META; english/league-2/port-vale-v-forest-green; 2017-09-14 02:22:33 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 5/4; 7/5; 13/10; 13/10; 11/8; 4/3; 11/8; 13/10; 7/5; ; 27/20; 13/10; 11/8; 7/5; 11/8; 11/8; 7/5; ; 23/17; 69/50; 21/17; 7/5; 6/5; 7/5; 11/8; ; 13/10; 13/10; 11/8
Forest Green; 11/5; 19/10; 19/10; 15/8; 21/10; 9/5; 2; 15/8; 15/8; ; 2; 2; 39/20; 21/10; 19/10; 2; 19/10; ; 37/19; 107/50; 23/13; 15/8; 21/10; 2; 2; ; 19/10; 19/10; 21/10
Draw; 23/10; 12/5; 9/4; 9/4; 23/10; 21/10; 12/5; 12/5; 40/17; ; 12/5; 23/10; 23/10; 5/2; 12/5; 23/10; 9/4; ; 23/10; 62/25; 27/11; 40/17; 12/5; 23/10; 9/4; ; 9/4; 9/4; 12/5
META; english/league-2/port-vale-v-forest-green; 2017-09-14 10:22:49 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 5/4; 5/4; 5/4; 13/10; 13/10; 4/3; 11/8; 5/4; 7/5; ; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 7/5; ; 13/10; 69/50; 21/17; 7/5; 6/5; 13/10; 11/8; ; 5/4; 5/4; 11/8
Forest Green; 11/5; 21/10; 39/20; 15/8; 21/10; 9/5; 2; 2; 15/8; ; 21/10; 21/10; 21/10; 11/5; 21/10; 39/19; 19/10; ; 39/19; 54/25; 23/13; 15/8; 21/10; 2; 2; ; 19/10; 2; 21/10
Draw; 23/10; 12/5; 9/4; 9/4; 12/5; 21/10; 12/5; 12/5; 40/17; ; 12/5; 12/5; 23/10; 5/2; 23/10; 12/5; 9/4; ; 23/10; 123/50; 27/11; 40/17; 12/5; 12/5; 9/4; ; 23/10; 23/10; 12/5
META; english/league-2/port-vale-v-forest-green; 2017-09-14 14:22:58 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 5/4; 5/4; 13/10; 13/10; 13/10; 4/3; 11/8; 5/4; 7/5; 23/17; 27/20; 13/10; 13/10; 13/10; 13/10; 13/10; 7/5; ; 13/10; 69/50; 21/17; 7/5; 6/5; 13/10; 11/8; ; 5/4; 13/10; 11/8
Forest Green; 11/5; 21/10; 39/20; 15/8; 21/10; 9/5; 2; 2; 15/8; 2; 2; 2; 21/10; 11/5; 21/10; 39/19; 19/10; ; 39/19; 54/25; 23/13; 15/8; 21/10; 2; 2; ; 2; 2; 21/10
Draw; 23/10; 12/5; 9/4; 9/4; 12/5; 21/10; 12/5; 12/5; 40/17; 23/10; 23/10; 23/10; 23/10; 5/2; 23/10; 12/5; 9/4; ; 23/10; 123/50; 27/11; 40/17; 12/5; 12/5; 9/4; ; 23/10; 23/10; 12/5
META; english/league-2/port-vale-v-forest-green; 2017-09-14 18:22:47 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 7/5; 5/4; 13/10; 13/10; 13/10; 4/3; 29/20; 13/10; 23/17; 7/5; 7/5; 13/10; 13/10; 13/10; 13/10; 11/8; 7/5; 23/17; 13/10; 143/100; 23/18; 23/17; 6/5; 13/10; 11/8; ; 5/4; 13/10; 11/8
Forest Green; 19/10; 21/10; 39/20; 15/8; 21/10; 9/5; 15/8; 2; 2; 19/10; 19/10; 2; 21/10; 11/5; 21/10; 2; 19/10; 2; 2; 21/10; 22/13; 2; 21/10; 2; 15/8; ; 2; 2; 21/10
Draw; 23/10; 12/5; 9/4; 9/4; 12/5; 21/10; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 49/20; 5/2; 23/10; 23/10; 9/4; 23/10; 23/10; 61/25; 27/11; 23/10; 12/5; 12/5; 9/4; ; 23/10; 23/10; 12/5
