Draw; 11/4; 3; 16/5; ; 33/10; 7/2; 3; 10/3; 41/13; 3; ; 3; ; 31/10; 100/ 30; ; 3; 56/19; 3; 16/5; 41/13; 100/ 30; 16/5; 16/5; 3; ; 9/4; ; 
Bournemouth; 6; 4; 9/2; ; 11/2; 11/2; 5; 5; 19/4; 9/2; ; 5; ; 9/2; 9/2; ; 5; 63/13; 5; 41/10; 23/5; 19/4; 21/4; 5; 49/10; ; 23/5; ; 
META; english/premier-league/bournemouth-v-arsenal; 2018-01-01 14:17:03 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; 8/15; 8/13; 4/7; ; 61/ 100; 4/7; 4/7; 8/15; 6/11; 4/7; ; 4/7; ; 6/10; 4/7; ; 4/7; 5/9; 4/7; 4/7; 6/11; 4/7; 3/5; 8/15; 5/9; ; 1/2; ; 
Draw; 11/4; 3; 3; ; 33/10; 10/3; 3; 16/5; 41/13; 3; ; 16/5; ; 31/10; 16/5; ; 3; 3; 3; 16/5; 41/13; 100/ 30; 16/5; 16/5; 58/19; ; 3; ; 
Bournemouth; 6; 4; 9/2; ; 26/5; 11/2; 5; 5; 19/4; 9/2; ; 9/2; ; 9/2; 19/4; ; 5; 49/10; 5; 41/10; 23/5; 19/4; 5; 5; 94/19; ; 23/5; ; 
META; english/premier-league/bournemouth-v-arsenal; 2018-01-01 18:16:47 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; 8/15; 8/13; 4/7; ; 8/13; 4/7; 4/7; 8/15; 6/11; 4/7; ; 4/7; ; 6/10; 4/7; ; 4/7; 5/9; 4/7; 4/7; 6/11; 4/7; 3/5; 8/15; 4/7; ; 8/15; ; 
Draw; 11/4; 3; 16/5; ; 33/10; 10/3; 3; 16/5; 41/13; 3; ; 16/5; ; 31/10; 16/5; ; 3; 3; 3; 16/5; 41/13; 100/ 30; 16/5; 16/5; 58/19; ; 3; ; 
Bournemouth; 6; 4; 9/2; ; 51/10; 11/2; 5; 5; 19/4; 9/2; ; 9/2; ; 17/4; 19/4; ; 5; 63/13; 5; 41/10; 23/5; 19/4; 5; 19/4; 49/10; ; 23/5; ; 
META; english/premier-league/bournemouth-v-arsenal; 2018-01-01 22:16:34 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; 8/15; 8/13; 4/7; ; 8/13; 4/7; 4/7; 8/15; 6/11; 4/7; ; 4/7; ; 6/10; 4/7; ; 4/7; 5/9; 4/7; 4/7; 6/11; 4/7; 3/5; 8/15; 4/7; ; 8/15; ; 
Draw; 11/4; 3; 16/5; ; 33/10; 10/3; 3; 16/5; 41/13; 3; ; 16/5; ; 16/5; 16/5; ; 3; 3; 3; 16/5; 41/13; 100/ 30; 16/5; 16/5; 58/19; ; 3; ; 
Bournemouth; 6; 4; 9/2; ; 51/10; 11/2; 19/4; 5; 19/4; 17/4; ; 9/2; ; 17/4; 19/4; ; 5; 24/5; 5; 41/10; 23/5; 19/4; 5; 19/4; 63/13; ; 23/5; ; 
META; english/premier-league/bournemouth-v-arsenal; 2018-01-02 02:16:39 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; 8/15; 8/13; 4/7; ; 8/13; 4/7; 4/7; 8/15; 6/11; 4/7; ; 4/7; ; 6/10; 4/7; ; 4/7; 5/9; 4/7; 4/7; 6/11; 4/7; 3/5; 8/15; 4/7; ; 8/15; ; 
Draw; 11/4; 3; 16/5; ; 33/10; 10/3; 16/5; 16/5; 41/13; 3; ; 16/5; ; 16/5; 16/5; ; 3; 3; 3; 16/5; 41/13; 100/ 30; 10/3; 16/5; 58/19; ; 3; ; 
Bournemouth; 6; 4; 9/2; ; 51/10; 11/2; 19/4; 5; 19/4; 9/2; ; 9/2; ; 17/4; 19/4; ; 5; 24/5; 5; 41/10; 23/5; 19/4; 19/4; 19/4; 63/13; ; 23/5; ; 
META; english/premier-league/bournemouth-v-arsenal; 2018-01-02 10:16:35 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; 8/15; 8/13; 4/7; ; 31/50; 4/7; 4/7; 8/15; 6/11; 4/7; ; 4/7; ; 8/13; 4/7; ; 4/7; 5/9; 4/7; 4/7; 6/11; 4/7; 3/5; 8/15; 4/7; ; 8/15; ; 
Draw; 11/4; 3; 16/5; ; 33/10; 10/3; 16/5; 16/5; 41/13; 3; ; 16/5; ; 16/5; 16/5; ; 3; 3; 3; 16/5; 41/13; 100/ 30; 10/3; 16/5; 58/19; ; 3; ; 
Bournemouth; 6; 4; 9/2; ; 51/10; 11/2; 5; 5; 19/4; 9/2; ; 9/2; ; 17/4; 19/4; ; 5; 24/5; 5; 41/10; 23/5; 19/4; 19/4; 19/4; 63/13; ; 23/5; ; 
META; english/premier-league/bournemouth-v-arsenal; 2018-01-02 14:16:37 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; 8/15; 8/13; 4/7; ; 31/50; 4/7; 4/7; 8/15; 6/11; 4/7; ; 4/7; ; 8/13; 4/7; ; 4/7; 5/9; 4/7; 4/7; 6/11; 4/7; 3/5; 8/15; 4/7; ; 8/15; 8/15; 
Draw; 11/4; 3; 16/5; ; 33/10; 10/3; 16/5; 16/5; 41/13; 3; ; 16/5; ; 16/5; 16/5; ; 3; 3; 3; 16/5; 41/13; 100/30; 10/3; 16/5; 58/19; ; 3; 13/5; 
Bournemouth; 6; 4; 9/2; ; 51/10; 11/2; 5; 5; 19/4; 9/2; ; 9/2; ; 17/4; 19/4; ; 5; 24/5; 5; 41/10; 23/5; 19/4; 19/4; 19/4; 63/13; ; 23/5; 10/3; 
META; english/premier-league/bournemouth-v-arsenal; 2018-01-02 18:16:37 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; 8/15; 4/7; 4/7; ; 31/50; 4/7; 4/7; 8/15; 6/11; 4/7; ; 4/7; ; 8/13; 4/7; ; 4/7; 5/9; 4/7; 4/7; 6/11; 4/7; 3/5; 8/15; 4/7; ; 8/15; 8/15; 
Draw; 11/4; 3; 16/5; ; 33/10; 10/3; 16/5; 16/5; 41/13; 3; ; 16/5; ; 16/5; 16/5; ; 3; 3; 3; 16/5; 41/13; 100/30; 10/3; 16/5; 58/19; ; 3; 13/5; 
Bournemouth; 6; 9/2; 9/2; ; 51/10; 11/2; 5; 5; 19/4; 9/2; ; 9/2; ; 17/4; 19/4; ; 5; 63/13; 5; 41/10; 23/5; 19/4; 19/4; 19/4; 63/13; ; 23/5; 10/3; 
META; english/premier-league/bournemouth-v-arsenal; 2018-01-02 22:16:39 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; 8/15; 4/7; 4/7; ; 31/50; 4/7; 4/7; 8/15; 6/11; 4/7; ; 4/7; ; 8/13; 4/7; ; 4/7; 5/9; 4/7; 4/7; 6/11; 4/7; 3/5; 8/15; 4/7; ; 8/15; 8/15; 
Draw; 11/4; 3; 16/5; ; 33/10; 10/3; 16/5; 16/5; 41/13; 3; ; 16/5; ; 16/5; 16/5; ; 3; 3; 3; 16/5; 41/13; 100/30; 10/3; 16/5; 58/19; ; 3; 13/5; 
