META; english/premier-league/stoke-v-arsenal; 2017-06-15 14:15:42 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-17 18:15:41 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-17 22:15:40 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-18 02:15:40 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-18 10:15:39 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-18 14:15:41 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-18 18:15:41 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-18 22:15:41 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-19 02:15:39 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-19 10:15:39 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-19 14:15:40 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-19 18:15:39 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-19 22:15:40 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-20 02:15:39 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-20 10:15:40 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-20 14:15:42 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-20 18:15:40 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-20 22:15:39 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-21 02:15:39 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-21 10:15:41 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-21 14:15:39 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-21 18:16:20 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-21 22:16:20 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-22 02:16:20 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-22 10:16:20 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-22 14:16:22 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-22 18:16:23 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-22 22:16:22 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-23 02:16:20 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-23 10:16:21 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-23 14:16:24 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-23 18:16:25 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-23 22:16:24 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-24 02:16:22 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-24 10:16:27 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-24 14:16:24 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-24 18:16:23 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-24 22:16:20 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-25 02:16:20 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-25 02:21:07 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
