META; english/premier-league/bournemouth-v-chelsea; 2017-10-02 22:17:52 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Bournemouth; ; ; ; ; ; ; 7; 13/2; ; ; ; ; ; ; ; 7; 7; ; 79/10; ; ; 7; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-03 22:17:50 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; ; 2/5; 2/5; ; ; ; ; ; ; ; 4/11; 4/11; ; 2/5; ; ; 2/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 7/2; 10/3; ; ; ; ; ; ; ; 15/4; 15/4; ; 43/10; ; ; 19/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; 7; 13/2; ; ; ; ; ; ; ; 7; 7; ; 79/10; ; ; 7; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-04 02:17:47 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; ; 2/5; 2/5; ; ; ; ; ; ; ; 4/11; 4/11; ; 2/5; ; ; 2/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 7/2; 10/3; ; ; ; ; ; ; ; 15/4; 15/4; ; 43/10; ; ; 19/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; 7; 13/2; ; ; ; ; ; ; ; 7; 7; ; 79/10; ; ; 7; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-04 10:17:53 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; ; 2/5; 2/5; ; ; ; ; ; ; ; 4/11; 4/11; ; 2/5; ; ; 2/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 7/2; 10/3; ; ; ; ; ; ; ; 15/4; 15/4; ; 43/10; ; ; 19/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; 7; 13/2; ; ; ; ; ; ; ; 7; 7; ; 79/10; ; ; 7; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-04 14:17:50 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; ; 2/5; 2/5; ; ; ; ; ; ; ; 4/11; 4/11; ; 2/5; ; ; 2/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 7/2; 10/3; ; ; ; ; ; ; ; 15/4; 15/4; ; 43/10; ; ; 19/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; 7; 13/2; ; ; ; ; ; ; ; 7; 7; ; 79/10; ; ; 7; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-04 18:17:47 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; ; 2/5; 2/5; ; ; ; ; ; ; ; 4/11; 4/11; ; 2/5; ; ; 2/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 7/2; 10/3; ; ; ; ; ; ; ; 15/4; 15/4; ; 43/10; ; ; 19/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; 7; 13/2; ; ; ; ; ; ; ; 7; 7; ; 79/10; ; ; 7; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-04 22:17:47 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; ; 2/5; 2/5; ; ; ; ; ; ; ; 4/11; 4/11; ; 2/5; ; ; 2/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 7/2; 10/3; ; ; ; ; ; ; ; 15/4; 15/4; ; 43/10; ; ; 19/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; 13/2; 13/2; ; ; ; ; ; ; ; 7; 7; ; 79/10; ; ; 7; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-05 02:17:49 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; ; 2/5; 2/5; ; ; ; ; ; ; ; 4/11; 4/11; ; 2/5; ; ; 2/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 7/2; 10/3; ; ; ; ; ; ; ; 15/4; 15/4; ; 43/10; ; ; 19/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; 13/2; 13/2; ; ; ; ; ; ; ; 7; 7; ; 79/10; ; ; 7; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-05 10:17:51 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; ; 2/5; 2/5; ; ; ; ; ; ; ; 4/11; 4/11; ; 2/5; ; ; 2/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 7/2; 10/3; ; ; ; ; ; ; ; 15/4; 15/4; ; 43/10; ; ; 19/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; 13/2; 13/2; ; ; ; ; ; ; ; 7; 7; ; 79/10; ; ; 7; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-05 14:18:02 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; ; 2/5; 2/5; ; ; ; ; ; ; ; 4/11; 4/11; ; 2/5; ; ; 2/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 7/2; 10/3; ; ; ; ; ; ; ; 15/4; 15/4; ; 43/10; ; ; 19/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; 13/2; 13/2; ; ; ; ; ; ; ; 7; 7; ; 79/10; ; ; 7; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-05 18:18:03 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; ; 2/5; 2/5; ; ; ; ; ; ; ; 4/11; 4/11; ; 21/50; ; ; 2/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 7/2; 10/3; ; ; ; ; ; ; ; 15/4; 15/4; ; 21/5; ; ; 19/5; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; 13/2; 13/2; ; ; ; ; ; ; ; 7; 7; ; 37/5; ; ; 7; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-05 22:17:57 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; ; 2/5; 2/5; ; ; ; ; ; ; ; 2/5; 4/11; ; 21/50; ; ; 4/9; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 7/2; 10/3; ; ; ; ; ; ; ; 15/4; 15/4; ; 21/5; ; ; 7/2; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; 13/2; 13/2; ; ; ; ; ; ; ; 13/2; 7; ; 37/5; ; ; 7; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-06 02:18:52 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; ; 2/5; 2/5; ; ; ; ; ; ; ; 4/11; 4/11; ; 21/50; ; ; 2/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 7/2; 10/3; ; ; ; ; ; ; ; 15/4; 15/4; ; 21/5; ; ; 4; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; 13/2; 13/2; ; ; ; ; ; ; ; 7; 7; ; 37/5; ; ; 7; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-06 10:17:53 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; ; 2/5; 2/5; ; ; ; ; ; ; ; 4/11; 4/11; ; 21/50; ; ; 2/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 7/2; 10/3; ; ; ; ; ; ; ; 15/4; 15/4; ; 21/5; ; ; 4; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; 13/2; 13/2; ; ; ; ; ; ; ; 7; 7; ; 37/5; ; ; 7; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-06 14:18:10 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; ; 2/5; 2/5; ; ; ; ; ; ; ; 4/11; 4/11; ; 21/50; ; ; 2/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 7/2; 10/3; ; ; ; ; ; ; ; 15/4; 15/4; ; 21/5; ; ; 4; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; 13/2; 13/2; ; ; ; ; ; ; ; 7; 7; ; 37/5; ; ; 7; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-06 18:17:57 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; ; 2/5; 2/5; ; ; ; ; ; ; ; 4/11; 4/11; ; 21/50; ; ; 2/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 7/2; 10/3; ; ; ; ; ; ; ; 15/4; 15/4; ; 21/5; ; ; 4; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; 13/2; 13/2; ; ; ; ; ; ; ; 7; 7; ; 37/5; ; ; 7; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-06 22:18:10 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; ; 2/5; 2/5; ; ; ; ; ; ; ; 4/11; 4/11; ; 21/50; ; ; 2/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 7/2; 10/3; ; ; ; ; ; ; ; 15/4; 15/4; ; 21/5; ; ; 4; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; 13/2; 13/2; ; ; ; ; ; ; ; 7; 7; ; 37/5; ; ; 7; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-07 02:17:54 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; ; 2/5; 2/5; ; ; ; ; ; ; ; 4/11; 4/11; ; 21/50; ; ; 2/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 7/2; 10/3; ; ; ; ; ; ; ; 15/4; 15/4; ; 21/5; ; ; 4; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; 13/2; 13/2; ; ; ; ; ; ; ; 7; 7; ; 37/5; ; ; 7; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-07 10:18:11 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; 38/100; 2/5; 2/5; ; ; ; ; ; ; ; 4/11; 4/11; ; 21/50; ; ; 2/5; ; ; ; ; ; 
Draw; ; ; ; ; ; 4; 7/2; 10/3; ; ; ; ; ; ; ; 15/4; 15/4; ; 21/5; ; ; 4; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; 15/2; 13/2; 13/2; ; ; ; ; ; ; ; 7; 7; ; 37/5; ; ; 7; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-07 14:18:06 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; 38/100; 2/5; 2/5; ; ; ; ; ; ; ; 4/11; 4/11; ; 21/50; ; ; 2/5; ; ; ; ; ; 
Draw; ; ; ; ; ; 4; 7/2; 10/3; ; ; ; ; ; ; ; 15/4; 15/4; ; 21/5; ; ; 4; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; 15/2; 13/2; 13/2; ; ; ; ; ; ; ; 7; 7; ; 37/5; ; ; 7; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-07 18:17:51 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; 38/100; 2/5; 2/5; ; ; ; ; ; ; ; 4/11; 4/11; ; 21/50; ; ; 2/5; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; 4; 7/2; 10/3; ; ; ; ; ; ; ; 15/4; 15/4; ; 21/5; ; ; 4; ; ; ; 1/100; ; 
Bournemouth; ; ; ; ; ; 15/2; 13/2; 13/2; ; ; ; ; ; ; ; 7; 7; ; 37/5; ; ; 7; ; ; ; 1/25; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-07 22:18:09 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; 38/100; 2/5; 2/5; ; ; ; ; ; ; ; 4/11; 4/11; ; 21/50; ; ; 2/5; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; 4; 7/2; 10/3; ; ; ; ; ; ; ; 15/4; 15/4; ; 21/5; ; ; 4; ; ; ; 1/100; ; 
Bournemouth; ; ; ; ; ; 15/2; 13/2; 13/2; ; ; ; ; ; ; ; 7; 7; ; 37/5; ; ; 7; ; ; ; 1/25; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-08 02:17:52 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; 38/100; 2/5; 2/5; ; ; ; ; ; ; ; 4/11; 4/11; ; 21/50; ; ; 2/5; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; 4; 7/2; 10/3; ; ; ; ; ; ; ; 15/4; 15/4; ; 21/5; ; ; 4; ; ; ; 1/100; ; 
Bournemouth; ; ; ; ; ; 15/2; 13/2; 13/2; ; ; ; ; ; ; ; 7; 7; ; 37/5; ; ; 7; ; ; ; 1/25; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-08 10:18:10 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; 38/100; 2/5; 2/5; ; ; ; ; ; ; ; 4/11; 4/11; ; 21/50; ; ; 2/5; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; 4; 7/2; 10/3; ; ; ; ; ; ; ; 15/4; 15/4; ; 21/5; ; ; 4; ; ; ; 1/100; ; 
Bournemouth; ; ; ; ; ; 15/2; 13/2; 13/2; ; ; ; ; ; ; ; 7; 7; ; 37/5; ; ; 7; ; ; ; 1/25; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-08 14:18:19 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; 38/100; 2/5; 2/5; ; ; ; ; ; ; ; 4/11; 4/11; ; 21/50; ; ; 2/5; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; 4; 7/2; 10/3; ; ; ; ; ; ; ; 15/4; 15/4; ; 21/5; ; ; 4; ; ; ; 1/100; ; 
Bournemouth; ; ; ; ; ; 15/2; 13/2; 13/2; ; ; ; ; ; ; ; 7; 7; ; 37/5; ; ; 7; ; ; ; 1/25; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-08 18:18:08 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; 38/100; 2/5; 2/5; ; ; ; ; ; ; ; ; 4/11; ; 21/50; ; ; 2/5; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; 4; 7/2; 10/3; ; ; ; ; ; ; ; ; 15/4; ; 21/5; ; ; 4; ; ; ; 21/10; ; 
Bournemouth; ; ; ; ; ; 15/2; 13/2; 13/2; ; ; ; ; ; ; ; ; 7; ; 37/5; ; ; 7; ; ; ; 1/25; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-08 22:18:04 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; 38/100; 2/5; 2/5; ; ; ; ; ; ; ; ; 4/11; ; 21/50; ; ; 2/5; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; 4; 7/2; 10/3; ; ; ; ; ; ; ; ; 15/4; ; 21/5; ; ; 4; ; ; ; 21/10; ; 
Bournemouth; ; ; ; ; ; 15/2; 13/2; 13/2; ; ; ; ; ; ; ; ; 7; ; 37/5; ; ; 7; ; ; ; 1/25; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-09 02:17:45 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; 38/100; 2/5; 2/5; ; ; ; ; ; ; ; ; 4/11; ; 21/50; ; ; 2/5; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; 4; 7/2; 10/3; ; ; ; ; ; ; ; ; 15/4; ; 21/5; ; ; 4; ; ; ; 21/10; ; 
Bournemouth; ; ; ; ; ; 15/2; 13/2; 13/2; ; ; ; ; ; ; ; ; 7; ; 37/5; ; ; 7; ; ; ; 1/25; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-09 10:17:49 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; 38/100; 2/5; 2/5; ; ; ; ; ; ; ; ; 4/11; ; 21/50; ; ; 2/5; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; 4; 7/2; 10/3; ; ; ; ; ; ; ; ; 15/4; ; 21/5; ; ; 4; ; ; ; 21/10; ; 
Bournemouth; ; ; ; ; ; 15/2; 13/2; 13/2; ; ; ; ; ; ; ; ; 7; ; 37/5; ; ; 7; ; ; ; 1/25; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-09 14:17:51 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; 38/100; 2/5; 2/5; ; ; ; ; ; ; ; ; 4/11; ; 21/50; ; ; 2/5; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; 4; 7/2; 10/3; ; ; ; ; ; ; ; ; 15/4; ; 21/5; ; ; 4; ; ; ; 21/10; ; 
Bournemouth; ; ; ; ; ; 15/2; 13/2; 13/2; ; ; ; ; ; ; ; ; 7; ; 37/5; ; ; 7; ; ; ; 4/9; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-09 18:18:11 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; 38/100; 2/5; 2/5; ; ; ; ; ; ; ; ; 4/11; ; 21/50; ; ; 2/5; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; 4; 7/2; 10/3; ; ; ; ; ; ; ; ; 15/4; ; 21/5; ; ; 4; ; ; ; 21/10; ; 
Bournemouth; ; ; ; ; ; 15/2; 13/2; 13/2; ; ; ; ; ; ; ; ; 7; ; 37/5; ; ; 7; ; ; ; 4/6; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-09 22:17:53 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; 38/100; 2/5; 2/5; ; ; ; ; ; ; ; ; 4/11; ; 21/50; ; ; 2/5; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; 4; 7/2; 10/3; ; ; ; ; ; ; ; ; 15/4; ; 21/5; ; ; 4; ; ; ; 21/10; ; 
Bournemouth; ; ; ; ; ; 15/2; 13/2; 13/2; ; ; ; ; ; ; ; ; 7; ; 37/5; ; ; 7; ; ; ; 5/6; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-10 02:17:51 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; 38/100; 2/5; 2/5; ; ; ; ; ; ; ; ; 4/11; ; 21/50; ; ; 2/5; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; 4; 7/2; 10/3; ; ; ; ; ; ; ; ; 15/4; ; 21/5; ; ; 4; ; ; ; 21/10; ; 
Bournemouth; ; ; ; ; ; 15/2; 13/2; 13/2; ; ; ; ; ; ; ; ; 7; ; 37/5; ; ; 7; ; ; ; 5/6; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-10 10:17:52 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; 38/100; 2/5; 2/5; ; ; ; ; ; ; ; ; 4/11; ; 21/50; ; ; 2/5; ; ; ; 2/9; ; 
Draw; ; ; ; ; ; 4; 7/2; 10/3; ; ; ; ; ; ; ; ; 15/4; ; 21/5; ; ; 4; ; ; ; 21/10; ; 
Bournemouth; ; ; ; ; ; 15/2; 13/2; 13/2; ; ; ; ; ; ; ; ; 7; ; 37/5; ; ; 7; ; ; ; 5/6; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-10 14:18:05 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; 38/100; 2/5; 2/5; ; ; ; ; ; ; ; ; 4/11; ; 21/50; ; ; 2/5; ; ; ; 2/9; ; 
Draw; ; ; ; ; ; 4; 7/2; 10/3; ; ; ; ; ; ; ; ; 15/4; ; 21/5; ; ; 4; ; ; ; 21/10; ; 
Bournemouth; ; ; ; ; ; 15/2; 13/2; 13/2; ; ; ; ; ; ; ; ; 7; ; 37/5; ; ; 7; ; ; ; 5/6; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-10 18:17:47 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; 38/100; 2/5; 2/5; ; ; ; ; ; ; ; ; 4/11; ; 21/50; ; ; 2/5; ; ; ; 2/9; ; 
Draw; ; ; ; ; ; 4; 7/2; 10/3; ; ; ; ; ; ; ; ; 15/4; ; 21/5; ; ; 4; ; ; ; 21/10; ; 
Bournemouth; ; ; ; ; ; 15/2; 13/2; 13/2; ; ; ; ; ; ; ; ; 7; ; 37/5; ; ; 7; ; ; ; 5/6; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-10 22:17:57 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; 38/100; 2/5; 2/5; ; ; ; ; ; ; ; ; 4/11; ; 21/50; ; ; 2/5; ; ; ; 2/9; ; 
Draw; ; ; ; ; ; 4; 7/2; 10/3; ; ; ; ; ; ; ; ; 15/4; ; 21/5; ; ; 4; ; ; ; 21/10; ; 
Bournemouth; ; ; ; ; ; 15/2; 13/2; 13/2; ; ; ; ; ; ; ; ; 7; ; 37/5; ; ; 7; ; ; ; 20/21; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-11 02:17:47 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; 38/100; 2/5; 2/5; ; ; ; ; ; ; ; ; 4/11; ; 21/50; ; ; 2/5; ; ; ; 2/9; ; 
Draw; ; ; ; ; ; 4; 7/2; 10/3; ; ; ; ; ; ; ; ; 15/4; ; 21/5; ; ; 4; ; ; ; 21/10; ; 
Bournemouth; ; ; ; ; ; 15/2; 13/2; 13/2; ; ; ; ; ; ; ; ; 7; ; 37/5; ; ; 7; ; ; ; 4/5; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-11 10:17:55 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; 38/100; 2/5; 2/5; ; ; ; ; ; ; ; ; 4/11; ; 21/50; ; ; 2/5; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; 4; 7/2; 10/3; ; ; ; ; ; ; ; ; 15/4; ; 21/5; ; ; 4; ; ; ; 21/10; ; 
Bournemouth; ; ; ; ; ; 15/2; 13/2; 13/2; ; ; ; ; ; ; ; ; 7; ; 37/5; ; ; 7; ; ; ; 4/5; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-11 14:19:02 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; 38/100; 2/5; 2/5; ; ; ; ; ; ; ; ; 4/11; ; 21/50; ; ; 2/5; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; 4; 7/2; 10/3; ; ; ; ; ; ; ; ; 15/4; ; 21/5; ; ; 4; ; ; ; 21/10; ; 
Bournemouth; ; ; ; ; ; 15/2; 13/2; 13/2; ; ; ; ; ; ; ; ; 7; ; 37/5; ; ; 7; ; ; ; 4/5; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-11 18:17:45 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; 38/100; 2/5; 2/5; ; ; ; ; ; ; ; ; 4/11; ; 21/50; ; ; 2/5; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; 4; 7/2; 10/3; ; ; ; ; ; ; ; ; 15/4; ; 21/5; ; ; 4; ; ; ; 21/10; ; 
Bournemouth; ; ; ; ; ; 15/2; 13/2; 13/2; ; ; ; ; ; ; ; ; 7; ; 37/5; ; ; 7; ; ; ; 4/5; ; 
META; english/premier-league/bournemouth-v-chelsea; 2017-10-11 22:17:55 GMT+3; 2017-10-28 17:30; Nothing; Xlenovo
Chelsea; ; ; ; ; ; 38/100; 2/5; 2/5; ; ; ; ; ; ; ; ; 4/11; ; 21/50; ; ; 2/5; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; 4; 7/2; 10/3; ; ; ; ; ; ; ; ; 15/4; ; 21/5; ; ; 4; ; ; ; 21/10; ; 
Bournemouth; ; ; ; ; ; 15/2; 13/2; 13/2; ; ; ; ; ; ; ; ; 7; ; 37/5; ; ; 7; ; ; ; 4/5; ; 
