META; english/premier-league/tottenham-v-chelsea; 2017-06-15 14:15:47 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
META; english/premier-league/tottenham-v-chelsea; 2017-06-17 10:15:46 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-17 14:15:47 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-17 18:15:46 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-17 22:15:45 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-18 02:15:44 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-18 10:15:44 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-18 14:15:45 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-18 18:15:46 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-18 22:15:45 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-19 02:15:44 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-19 10:15:44 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-19 14:15:44 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-19 18:15:44 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-19 22:15:45 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-20 02:15:44 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-20 10:15:45 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-20 14:15:47 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-20 18:15:45 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-20 22:15:44 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-21 02:15:44 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-21 10:15:46 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-21 14:15:44 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-21 18:16:25 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-21 22:16:25 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-22 02:16:25 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-22 10:16:24 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-22 14:16:27 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-22 18:16:27 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-22 22:16:27 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-23 02:16:24 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-23 10:16:26 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-23 14:16:29 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-23 18:16:30 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-23 22:16:29 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-24 02:16:27 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-24 10:16:32 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-24 14:16:30 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-24 18:16:28 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-24 22:16:24 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-25 02:16:25 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Tottenham; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Chelsea; ; 7/4; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 10/11; ; 
Draw; ; 9/4; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/premier-league/tottenham-v-chelsea; 2017-06-25 02:21:12 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
