Burnley; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; 13/10; ; ; ; ; 11/10; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; 9/4; ; ; 23/10; ; ; ; ; 11/5; ; ; ; 
Huddersfield; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; 11/4; ; ; 13/5; ; ; ; ; 13/5; ; ; ; 
META; english/premier-league/burnley-v-huddersfield; 2017-08-28 10:22:40 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; 13/10; ; ; ; ; 11/10; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; 9/4; ; ; 23/10; ; ; ; ; 11/5; ; ; ; 
Huddersfield; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; 11/4; ; ; 13/5; ; ; ; ; 13/5; ; ; ; 
META; english/premier-league/burnley-v-huddersfield; 2017-08-28 14:22:54 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; 15/13; 1; ; ; 5/4; ; ; ; 11/10; 11/10; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; 9/4; 9/4; ; ; 58/25; ; ; ; 23/10; 11/5; ; ; ; 
Huddersfield; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; 13/5; 11/4; ; ; 27/10; ; ; ; 11/4; 13/5; ; ; ; 
META; english/premier-league/burnley-v-huddersfield; 2017-08-28 18:23:02 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 1; ; ; ; ; 21/20; ; ; 15/13; 1; ; ; 5/4; ; ; ; 11/10; 11/10; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; 23/10; ; ; 9/4; 9/4; ; ; 58/25; ; ; ; 23/10; 11/5; ; ; ; 
Huddersfield; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; 13/5; 11/4; ; ; 27/10; ; ; ; 11/4; 13/5; ; ; ; 
META; english/premier-league/burnley-v-huddersfield; 2017-08-28 22:21:56 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 1; ; ; ; ; 21/20; ; ; 15/13; 1; ; ; 5/4; ; ; ; 11/10; 11/10; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; 23/10; ; ; 9/4; 9/4; ; ; 58/25; ; ; ; 23/10; 11/5; ; ; ; 
Huddersfield; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; 13/5; 11/4; ; ; 27/10; ; ; ; 11/4; 13/5; ; ; ; 
META; english/premier-league/burnley-v-huddersfield; 2017-08-29 02:21:19 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 1; ; ; ; ; 21/20; ; ; 15/13; 1; ; ; 5/4; ; ; ; 11/10; 11/10; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; 23/10; ; ; 9/4; 9/4; ; ; 58/25; ; ; ; 23/10; 11/5; ; ; ; 
Huddersfield; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; 13/5; 11/4; ; ; 27/10; ; ; ; 11/4; 13/5; ; ; ; 
META; english/premier-league/burnley-v-huddersfield; 2017-08-29 10:21:08 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 1; ; ; ; ; 21/20; ; ; 15/13; 1; ; ; 5/4; ; ; ; 11/10; 11/10; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; 23/10; ; ; 9/4; 9/4; ; ; 58/25; ; ; ; 23/10; 11/5; ; ; ; 
Huddersfield; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; 13/5; 11/4; ; ; 27/10; ; ; ; 11/4; 13/5; ; ; ; 
META; english/premier-league/burnley-v-huddersfield; 2017-08-29 14:21:32 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 1; ; ; ; ; 21/20; ; ; 15/13; 1; ; ; 5/4; ; ; ; 11/10; 11/10; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; 23/10; ; ; 9/4; 9/4; ; ; 58/25; ; ; ; 23/10; 11/5; ; ; ; 
Huddersfield; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; 13/5; 11/4; ; ; 27/10; ; ; ; 11/4; 13/5; ; ; ; 
META; english/premier-league/burnley-v-huddersfield; 2017-08-29 18:21:50 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 1; ; ; ; ; 21/20; ; ; 15/13; 1; ; ; 5/4; ; ; ; 11/10; 11/10; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; 23/10; ; ; 9/4; 9/4; ; ; 58/25; ; ; ; 23/10; 11/5; ; ; ; 
Huddersfield; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; 13/5; 11/4; ; ; 27/10; ; ; ; 11/4; 13/5; ; ; ; 
META; english/premier-league/burnley-v-huddersfield; 2017-08-29 22:21:53 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 1; ; ; ; ; 21/20; ; ; 15/13; 1; ; ; 5/4; ; ; ; 11/10; 11/10; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; 23/10; ; ; 9/4; 9/4; ; ; 58/25; ; ; ; 23/10; 11/5; ; ; ; 
Huddersfield; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; 13/5; 11/4; ; ; 27/10; ; ; ; 11/4; 13/5; ; ; ; 
META; english/premier-league/burnley-v-huddersfield; 2017-08-30 02:19:03 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 1; ; ; ; ; 21/20; ; ; 15/13; 1; ; ; 5/4; ; ; ; 11/10; 11/10; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; 23/10; ; ; 9/4; 9/4; ; ; 58/25; ; ; ; 23/10; 11/5; ; ; ; 
Huddersfield; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; 13/5; 11/4; ; ; 27/10; ; ; ; 11/4; 13/5; ; ; ; 
META; english/premier-league/burnley-v-huddersfield; 2017-08-30 14:20:47 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 1; ; ; ; ; 21/20; ; ; 15/13; 1; ; ; 5/4; ; ; ; 11/10; 11/10; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; 23/10; ; ; 11/5; 9/4; ; ; 58/25; ; ; ; 23/10; 11/5; ; ; ; 
Huddersfield; ; ; ; ; ; ; ; 13/5; ; ; ; ; 27/10; ; ; 13/5; 11/4; ; ; 27/10; ; ; ; 11/4; 13/5; ; ; ; 
META; english/premier-league/burnley-v-huddersfield; 2017-08-30 18:20:36 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
