META; english/premier-league/huddersfield-v-liverpool; 2018-01-03 18:17:01 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
META; english/premier-league/huddersfield-v-liverpool; 2018-01-04 18:17:01 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; ; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 4; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Huddersfield; ; ; ; ; 89/10; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-04 22:17:03 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; ; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 4; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Huddersfield; ; ; ; ; 89/10; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-05 02:16:57 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; ; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 4; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Huddersfield; ; ; ; ; 89/10; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-05 10:16:55 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; ; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 4; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Huddersfield; ; ; ; ; 89/10; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-05 14:17:24 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; ; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 4; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Huddersfield; ; ; ; ; 89/10; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-05 18:18:21 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; ; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 4; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Huddersfield; ; ; ; ; 89/10; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-05 22:17:53 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; ; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; ; ; 4/11; ; ; ; ; 
Draw; ; ; ; ; 4; ; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; ; ; 15/4; ; ; ; ; 
Huddersfield; ; ; ; ; 89/10; ; ; 7; ; ; ; ; ; ; ; ; 7; ; 7; ; ; ; ; 8; ; ; ; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-06 02:17:07 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; ; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; ; ; 4/11; ; ; ; ; 
Draw; ; ; ; ; 4; ; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; ; ; 15/4; ; ; ; ; 
Huddersfield; ; ; ; ; 89/10; ; ; 7; ; ; ; ; ; ; ; ; 7; ; 7; ; ; ; ; 8; ; ; ; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-06 10:17:18 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; ; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; ; ; 4/11; ; ; ; ; 
Draw; ; ; ; ; 4; ; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; ; ; 15/4; ; ; ; ; 
Huddersfield; ; ; ; ; 89/10; ; ; 7; ; ; ; ; ; ; ; ; 7; ; 7; ; ; ; ; 8; ; ; ; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-06 14:17:41 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; ; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; ; ; 
Draw; ; ; ; ; 4; ; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; ; ; 
Huddersfield; ; ; ; ; 89/10; ; ; 7; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; ; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-06 18:17:13 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; ; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; ; ; 
Draw; ; ; ; ; 4; ; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; ; ; 
Huddersfield; ; ; ; ; 89/10; ; ; 7; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; ; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-06 22:17:04 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; ; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; ; ; 
Draw; ; ; ; ; 4; ; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; ; ; 
Huddersfield; ; ; ; ; 89/10; ; ; 7; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; ; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-07 02:16:56 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; ; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; ; ; 
Draw; ; ; ; ; 4; ; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; ; ; 
Huddersfield; ; ; ; ; 89/10; ; ; 7; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; ; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-07 10:16:57 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; ; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; ; ; 
Draw; ; ; ; ; 4; ; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; ; ; 
Huddersfield; ; ; ; ; 89/10; ; ; 7; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; ; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-07 18:17:11 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; 2/11; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 7; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; 1/100; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-07 22:17:15 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; 2/11; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 7; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; 1/25; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-08 02:17:12 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; 1/5; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 7; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; 1/4; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-08 10:16:57 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; 2/9; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 7; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; 4/9; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-08 14:17:19 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; 2/9; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 7; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; 4/9; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-08 18:17:26 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; 2/9; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 7; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; 1/3; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-08 22:17:11 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; 2/9; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 7; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; 1/3; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-09 02:16:55 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; 2/9; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 7; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; 1/3; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-09 10:17:06 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; 2/9; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 7; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; 1/3; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-09 14:17:05 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; 2/9; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 7; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; 1/3; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-09 18:17:02 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; 2/9; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 17/2; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; 1; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-09 22:17:01 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; 2/9; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 17/2; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; 1; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-10 02:16:55 GMT+2; ; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; 2/9; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 17/2; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; 1; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-10 10:16:55 GMT+2; ; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; 2/9; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 17/2; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; 1; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-10 14:16:56 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; 2/9; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 17/2; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; 1; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-10 18:17:06 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; 2/9; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 17/2; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; 1; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-10 22:16:58 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; 2/9; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 17/2; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; 1; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-11 02:16:59 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; 2/9; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 17/2; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; 1; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-11 10:16:59 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; 1/20; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 17/2; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; 1; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-11 14:17:14 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; 1/20; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 17/2; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; 1; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-11 18:17:36 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; 1/20; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 17/2; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; 1; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-11 22:16:56 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; 1/20; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 17/2; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; 1; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-12 02:16:56 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; 1/20; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 17/2; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; 1; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-12 10:16:59 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; 1/20; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 17/2; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; 1; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-12 14:17:11 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; 1/20; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 17/2; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; 1; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-12 18:17:02 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; 1/20; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 17/2; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; 1; ; 
META; english/premier-league/huddersfield-v-liverpool; 2018-01-12 22:17:02 GMT+2; 2018-01-30 20:00; Nothing; Xlenovo
Liverpool; ; ; ; ; 2/5; 4/11; ; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; ; 1/20; ; 
Draw; ; ; ; ; 4; 15/4; ; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; ; 2; ; 
Huddersfield; ; ; ; ; 89/10; 17/2; ; 17/2; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 15/2; ; 8; ; ; 1; ; 
