META; english/premier-league/leicester-v-bournemouth; 2018-02-15 02:16:29 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Leicester; 10/11; 10/11; 10/11; 19/20; 101/100; 10/11; 20/21; 10/11; 10/11; 10/11; ; 20/21; ; 19/20; 10/11; 17/20; 19/20; 19/20; 8/9; 10/11; 10/11; 1; ; 19/20; ; 5/6; ; 
Draw; 13/5; 13/5; 13/5; 13/5; 27/10; 13/5; 13/5; 13/5; 12/5; 13/5; ; 12/5; ; 13/5; 13/5; 12/5; 5/2; 12/5; 13/5; 12/5; 13/5; 13/5; ; 28/11; ; 12/5; ; 
Bournemouth; 11/4; 14/5; 11/4; 11/4; 61/20; 3; 14/5; 11/4; 31/10; 27/10; ; 3; ; 14/5; 3; 13/5; 14/5; 3; 13/5; 31/10; 14/5; 3; ; 37/13; ; 14/5; ; 
META; english/premier-league/leicester-v-bournemouth; 2018-02-15 10:16:27 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Leicester; 10/11; 10/11; 10/11; 19/20; 101/100; 10/11; 20/21; 10/11; 10/11; ; ; 20/21; ; 19/20; 10/11; 17/20; 19/20; 19/20; 8/9; 10/11; 10/11; 1; ; 19/20; ; 5/6; ; 
Draw; 13/5; 13/5; 13/5; 13/5; 27/10; 13/5; 13/5; 13/5; 12/5; ; ; 12/5; ; 13/5; 13/5; 12/5; 5/2; 12/5; 13/5; 12/5; 13/5; 13/5; ; 28/11; ; 12/5; ; 
Bournemouth; 11/4; 14/5; 11/4; 11/4; 61/20; 3; 14/5; 11/4; 31/10; ; ; 3; ; 14/5; 3; 13/5; 14/5; 3; 13/5; 31/10; 14/5; 3; ; 37/13; ; 14/5; ; 
META; english/premier-league/leicester-v-bournemouth; 2018-02-15 14:16:32 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Leicester; 10/11; 10/11; 10/11; 19/20; 101/100; 10/11; 20/21; 10/11; 10/11; 10/11; ; 20/21; ; 19/20; 10/11; 17/20; 19/20; 19/20; 8/9; 10/11; 10/11; 1; ; 19/20; ; 5/6; ; 
Draw; 13/5; 13/5; 13/5; 13/5; 27/10; 13/5; 13/5; 13/5; 12/5; 13/5; ; 12/5; ; 13/5; 13/5; 12/5; 5/2; 12/5; 13/5; 12/5; 13/5; 13/5; ; 28/11; ; 12/5; ; 
Bournemouth; 11/4; 14/5; 11/4; 11/4; 61/20; 3; 14/5; 11/4; 31/10; 27/10; ; 3; ; 14/5; 3; 13/5; 14/5; 3; 13/5; 31/10; 14/5; 3; ; 37/13; ; 14/5; ; 
META; english/premier-league/leicester-v-bournemouth; 2018-02-15 18:16:31 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Leicester; 10/11; 10/11; 10/11; 19/20; 101/100; 10/11; 20/21; 10/11; 10/11; 10/11; ; 20/21; ; 19/20; 10/11; 17/20; 19/20; 19/20; 8/9; 10/11; 10/11; 20/21; ; 19/20; ; 5/6; ; 
Draw; 13/5; 13/5; 13/5; 13/5; 27/10; 13/5; 13/5; 13/5; 12/5; 13/5; ; 12/5; ; 13/5; 13/5; 12/5; 5/2; 12/5; 13/5; 12/5; 13/5; 13/5; ; 28/11; ; 12/5; ; 
Bournemouth; 11/4; 14/5; 11/4; 11/4; 61/20; 3; 14/5; 11/4; 31/10; 27/10; ; 3; ; 14/5; 3; 13/5; 14/5; 3; 13/5; 31/10; 14/5; 31/10; ; 37/13; ; 14/5; ; 
META; english/premier-league/leicester-v-bournemouth; 2018-02-15 22:16:09 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Leicester; 10/11; 10/11; 10/11; 19/20; 101/100; 10/11; 20/21; 10/11; 10/11; 10/11; ; 20/21; ; 19/20; 10/11; 17/20; 19/20; 19/20; 8/9; 10/11; 10/11; 20/21; ; 19/20; ; 5/6; ; 
Draw; 13/5; 13/5; 13/5; 13/5; 27/10; 13/5; 13/5; 13/5; 12/5; 13/5; ; 12/5; ; 13/5; 13/5; 12/5; 5/2; 12/5; 13/5; 12/5; 13/5; 13/5; ; 28/11; ; 12/5; ; 
Bournemouth; 11/4; 14/5; 11/4; 11/4; 61/20; 3; 14/5; 11/4; 31/10; 27/10; ; 3; ; 14/5; 3; 13/5; 14/5; 3; 13/5; 31/10; 14/5; 31/10; ; 37/13; ; 14/5; ; 
