META; english/premier-league/man-city-v-everton; 2017-06-15 14:15:39 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
META; english/premier-league/man-city-v-everton; 2017-06-16 10:15:37 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
META; english/premier-league/man-city-v-everton; 2017-06-16 14:15:38 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
META; english/premier-league/man-city-v-everton; 2017-06-16 18:15:37 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
META; english/premier-league/man-city-v-everton; 2017-06-16 22:15:39 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
META; english/premier-league/man-city-v-everton; 2017-06-17 02:15:38 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-17 10:15:39 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-17 14:15:39 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-17 18:15:38 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-17 22:15:38 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-18 02:15:37 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-18 10:15:37 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-18 14:15:38 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-18 18:15:38 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-18 22:15:38 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-19 02:15:36 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-19 10:15:37 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-19 14:15:37 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-19 18:15:37 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-19 22:15:38 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-20 02:15:37 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-20 10:15:38 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-20 14:15:39 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-20 18:15:37 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-20 22:15:37 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-21 02:15:36 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-21 10:15:39 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-21 14:15:37 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-21 18:16:18 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-21 22:16:18 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-22 02:16:17 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-22 10:16:17 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-22 14:16:19 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-22 18:16:20 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-22 22:16:19 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-23 02:16:17 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-23 10:16:19 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-23 14:16:22 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-23 18:16:23 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-23 22:16:22 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-24 02:16:20 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-24 10:16:24 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-24 14:16:22 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-24 18:16:20 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-24 22:16:17 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-25 02:16:18 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-25 02:21:05 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Everton; ; 11/2; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; english/premier-league/man-city-v-everton; 2017-06-25 10:16:18 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Man City; ; 4/9; ; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 16/5; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
