Draw; 13/5; 14/5; ; ; 57/20; ; ; ; 27/10; 13/5; 5/2; ; 14/5; 27/10; 13/5; 13/5; 45/17; 11/4; 37/13; 27/10; 14/5; 29/10; 27/10; 27/10; ; 27/10; ; 
META; english/premier-league/tottenham-v-arsenal; 2018-02-04 22:16:02 GMT+2; 2018-02-10 12:30; Nothing; Xlenovo
Tottenham; 1; 1; 21/20; ; 109/100; ; ; ; 21/20; 21/20; 19/20; ; 11/10; ; 21/20; 1; 21/20; 1; 30/29; 21/20; 11/10; 11/10; 21/20; 21/20; ; 21/20; ; 
Arsenal; 5/2; 12/5; 23/10; ; 131/50; ; ; ; 12/5; 9/4; 12/5; ; 23/10; 9/4; 5/2; 9/4; 40/17; 5/2; 39/19; 12/5; 12/5; 12/5; 47/20; 40/17; ; 12/5; ; 
Draw; 13/5; 14/5; ; ; 71/25; ; ; ; 27/10; 13/5; 5/2; ; 14/5; 27/10; 13/5; 13/5; 45/17; 11/4; 37/13; 27/10; 14/5; 14/5; 27/10; 27/10; ; 27/10; ; 
META; english/premier-league/tottenham-v-arsenal; 2018-02-05 02:16:14 GMT+2; 2018-02-10 12:30; Nothing; Xlenovo
Tottenham; 21/20; 21/20; 21/20; ; 109/100; ; ; ; 21/20; 21/20; 19/20; ; 11/10; 21/20; 21/20; 1; 1; 1; 15/14; 21/20; 11/10; 21/20; 21/20; 21/20; ; 21/20; ; 
Arsenal; 12/5; 9/4; 23/10; ; 131/50; ; ; ; 12/5; 9/4; 12/5; ; 12/5; 47/20; 5/2; 9/4; 40/17; 5/2; 12/5; 12/5; 12/5; 13/5; 47/20; 12/5; ; 12/5; ; 
Draw; 13/5; 14/5; ; ; 71/25; ; ; ; 27/10; 13/5; 5/2; ; 11/4; 11/4; 13/5; 13/5; 45/17; 11/4; 11/4; 27/10; 14/5; 14/5; 27/10; 27/10; ; 27/10; ; 
META; english/premier-league/tottenham-v-arsenal; 2018-02-05 14:16:03 GMT+2; 2018-02-10 12:30; Nothing; Xlenovo
Tottenham; 21/20; 1; 21/20; ; 111/100; ; ; ; 21/20; 21/20; 11/10; ; 21/20; 21/20; 21/20; 1; 1; 1; 15/14; 21/20; 11/10; 11/10; 21/20; 21/20; ; 21/20; 11/10; 11/10
Arsenal; 12/5; 23/10; 23/10; ; 64/25; ; ; ; 12/5; 9/4; 12/5; ; 12/5; 23/10; 5/2; 9/4; 40/17; 5/2; 12/5; 12/5; 12/5; 12/5; 47/20; 12/5; ; 12/5; 5/2; 12/5
Draw; 13/5; 14/5; ; ; 71/25; ; ; ; 27/10; 27/10; 5/2; ; 11/4; 11/4; 13/5; 13/5; 45/17; 11/4; 11/4; 27/10; 14/5; 14/5; 27/10; 27/10; ; 27/10; 11/4; 11/4
META; english/premier-league/tottenham-v-arsenal; 2018-02-05 18:16:05 GMT+2; 2018-02-10 12:30; Nothing; Xlenovo
Tottenham; 21/20; 1; 1; ; 111/100; ; ; ; 21/20; 1; 21/20; ; 21/20; 21/20; 21/20; 1; 1; 1; 30/29; 21/20; 21/20; 11/10; 1; 21/20; ; 1; 1; 1
Arsenal; 12/5; 5/2; 12/5; ; 64/25; ; ; ; 12/5; 23/10; 5/2; ; 5/2; 47/20; 5/2; 23/10; 40/17; 5/2; 27/11; 12/5; 5/2; 5/2; 49/20; 12/5; ; 5/2; 5/2; 27/10
Draw; 13/5; 11/4; ; ; 71/25; ; ; ; 27/10; 27/10; 5/2; ; 11/4; 11/4; 13/5; 5/2; 45/17; 11/4; 37/13; 27/10; 14/5; 14/5; 27/10; 27/10; ; 27/10; 12/5; 14/5
META; english/premier-league/tottenham-v-arsenal; 2018-02-05 22:16:02 GMT+2; 2018-02-10 12:30; Nothing; Xlenovo
Tottenham; 21/20; 1; 1; 1; 111/100; ; 21/20; ; 21/20; 1; 21/20; ; 21/20; 21/20; 21/20; 1; 1; 1; 30/29; 21/20; 21/20; 21/20; 1; 21/20; ; 1; 1; 1
