Draw; ; ; ; ; 15/2; 19/2; 19/2; 9; ; ; 9; 8; ; ; ; ; 7; ; 21/2; ; ; 9; 21/2; 17/2; ; ; 26/5; ; 
West Ham; ; ; ; ; 18; 22; 22; 20; ; ; 20; 18; ; ; ; ; 18; ; 25; ; ; 22; 25; 22; ; ; 8; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-24 22:17:06 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; ; ; ; ; 3/20; 2/15; 1/10; 1/8; ; ; 1/9; 1/9; ; ; ; ; 1/7; ; 1/8; ; ; 1/10; 1/10; 1/10; ; ; 2/15; ; 
Draw; ; ; ; ; 15/2; 19/2; 19/2; 9; ; ; 9; 8; ; ; ; ; 7; ; 21/2; ; ; 9; 21/2; 17/2; ; ; 26/5; ; 
West Ham; ; ; ; ; 18; 22; 22; 20; ; ; 20; 18; ; ; ; ; 18; ; 25; ; ; 22; 25; 22; ; ; 8; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-25 02:16:56 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; ; ; ; ; 3/20; 2/15; 1/11; 1/8; ; ; 1/9; 1/9; ; ; ; ; 1/7; ; 1/8; ; ; 1/10; 1/10; 1/10; ; ; 2/15; ; 
Draw; ; ; ; ; 15/2; 19/2; 10; 9; ; ; 9; 8; ; ; ; ; 7; ; 21/2; ; ; 9; 21/2; 17/2; ; ; 26/5; ; 
West Ham; ; ; ; ; 18; 22; 25; 20; ; ; 20; 18; ; ; ; ; 18; ; 25; ; ; 22; 25; 22; ; ; 8; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-25 10:17:00 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; ; ; ; ; 3/20; 2/15; 1/11; 1/8; ; ; 1/9; 1/9; ; ; ; ; 1/7; ; 1/8; ; ; 1/10; 1/10; 1/10; ; ; 2/15; ; 
Draw; ; ; ; ; 15/2; 19/2; 10; 9; ; ; 9; 8; ; ; ; ; 7; ; 21/2; ; ; 9; 21/2; 17/2; ; ; 26/5; ; 
West Ham; ; ; ; ; 18; 22; 25; 20; ; ; 20; 18; ; ; ; ; 18; ; 25; ; ; 22; 25; 22; ; ; 8; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-25 14:17:08 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; ; ; ; ; 3/20; 2/15; 1/11; 1/8; ; ; 1/9; 1/9; ; ; ; ; 1/7; ; 1/8; ; ; 1/9; 2/17; 1/10; ; ; 2/15; ; 
Draw; ; ; ; ; 15/2; 19/2; 10; 9; ; ; 9; 8; ; ; ; ; 7; ; 21/2; ; ; 9; 19/2; 8; ; ; 26/5; ; 
West Ham; ; ; ; ; 18; 22; 25; 20; ; ; 20; 18; ; ; ; ; 18; ; 25; ; ; 22; 25; 22; ; ; 8; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-25 18:16:59 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; ; ; ; ; 3/20; 2/15; 1/11; 1/8; ; ; 1/9; 1/9; ; ; ; ; 1/7; ; 1/8; ; ; 1/9; 2/17; 1/10; ; ; 2/15; ; 
Draw; ; ; ; ; 15/2; 19/2; 10; 9; ; ; 9; 8; ; ; ; ; 7; ; 21/2; ; ; 9; 19/2; 8; ; ; 26/5; ; 
West Ham; ; ; ; ; 18; 22; 25; 20; ; ; 20; 18; ; ; ; ; 18; ; 25; ; ; 22; 25; 22; ; ; 8; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-25 22:16:44 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; ; 1/9; ; ; 3/20; 2/15; 1/11; 1/8; ; ; 1/9; 1/9; ; ; ; ; 1/7; ; 1/8; ; ; 1/9; 2/17; 1/10; ; ; 2/15; ; 
Draw; ; 9; ; ; 15/2; 19/2; 10; 9; ; ; 9; 8; ; ; ; ; 7; ; 21/2; ; ; 9; 19/2; 8; ; ; 26/5; ; 
West Ham; ; 16; ; ; 18; 22; 22; 20; ; ; 20; 18; ; ; ; ; 18; ; 25; ; ; 20; 25; 22; ; ; 1/20; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-26 02:16:45 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; ; 1/9; ; ; 3/20; 2/15; 1/10; 1/8; ; ; 1/9; 1/9; ; ; ; ; 1/7; ; 1/8; ; ; 1/9; 2/17; 1/10; ; ; 2/15; ; 
Draw; ; 9; ; ; 15/2; 19/2; 19/2; 9; ; ; 9; 8; ; ; ; ; 7; ; 21/2; ; ; 9; 19/2; 8; ; ; 26/5; ; 
West Ham; ; 16; ; ; 18; 22; 22; 20; ; ; 20; 18; ; ; ; ; 18; ; 25; ; ; 20; 25; 22; ; ; 1/20; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-26 10:16:39 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; ; 1/9; ; ; 3/20; 2/15; 1/10; 1/8; ; ; 1/9; 1/9; ; ; ; ; 1/7; ; 1/8; ; ; 1/9; 2/17; 1/10; ; ; 2/15; ; 
Draw; ; 9; ; ; 15/2; 19/2; 19/2; 9; ; ; 9; 8; ; ; ; ; 7; ; 21/2; ; ; 9; 19/2; 8; ; ; 26/5; ; 
West Ham; ; 16; ; ; 18; 22; 22; 20; ; ; 20; 18; ; ; ; ; 18; ; 25; ; ; 20; 25; 22; ; ; 2/11; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-26 14:16:42 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; ; 1/9; ; ; 3/20; 2/15; 1/10; 1/8; ; ; 1/9; 1/9; ; ; ; ; 1/7; ; 13/100; ; ; 1/9; 2/17; 1/10; ; ; 2/15; ; 
Draw; ; 9; ; ; 15/2; 19/2; 9; 9; ; ; 9; 8; ; ; ; ; 7; ; 10; ; ; 9; 19/2; 8; ; ; 31/5; ; 
West Ham; ; 16; ; ; 18; 22; 22; 20; ; ; 20; 18; ; ; ; ; 18; ; 25; ; ; 20; 25; 22; ; ; 2/11; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-26 18:16:36 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; 1/10; 1/10; 1/14; ; 1/9; 1/10; 1/12; 1/12; ; 1/14; 1/9; 1/12; ; 1/14; 1/11; ; 1/10; 1/11; 1/8; ; ; 1/10; 1/10; 1/11; 1/11; ; 1/8; ; 
Draw; 9; 9; 12; ; 9; 12; 10; 11; ; 12; 9; 9; ; 10; 9; ; 33/4; 35/4; 10; ; ; 10; 21/2; 9; 35/4; ; 17/2; ; 
West Ham; 18; 20; 40; ; 20; 35; 25; 33; ; 40; 20; 25; ; 28; 28; ; 18; 22; 28; ; ; 22; 25; 22; 89/4; ; 26; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-26 22:16:31 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; 1/10; 1/9; 1/11; ; 1/9; 1/9; 1/12; 1/10; 1/10; 1/11; 1/9; 1/10; ; 1/10; 1/10; ; 1/10; 1/10; 1/10; 1/14; 1/10; 1/9; 1/10; 1/10; 1/9; ; 1/9; ; 
Draw; 9; 17/2; 10; ; 9; 10; 11; 10; 9; 10; 9; 17/2; ; 9; 10; ; 33/4; 15/2; 25/2; 19/2; 9; 10; 21/2; 17/2; 31/4; ; 19/2; ; 
West Ham; 18; 18; 33; ; 20; 25; 25; 22; 25; 28; 20; 20; ; 22; 18; ; 18; 43/2; 30; 35/2; 24; 20; 25; 22; 87/4; ; 26; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-27 02:16:29 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; 1/10; 1/9; 1/11; ; 1/9; 1/9; 1/12; 1/10; 1/10; 1/11; 1/9; 1/10; ; 1/10; 1/10; ; 1/10; 1/10; 1/10; 1/14; 1/10; 1/9; 1/10; 1/10; 1/9; ; 1/10; ; 
Draw; 9; 17/2; 10; ; 9; 10; 10; 10; 9; 10; 9; 17/2; ; 9; 10; ; 33/4; 15/2; 25/2; 19/2; 9; 10; 21/2; 17/2; 31/4; ; 54/5; ; 
West Ham; 18; 18; 33; ; 20; 25; 25; 22; 25; 28; 20; 20; ; 22; 18; ; 18; 43/2; 30; 35/2; 24; 20; 25; 22; 87/4; ; 26; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-27 10:16:33 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; 1/10; 1/9; 1/11; 1/10; 1/9; 1/9; 1/12; 1/10; 1/10; 1/11; 1/9; 1/10; ; 1/10; 1/10; ; 1/10; 1/10; 1/10; 1/14; 1/10; 1/9; 1/10; 1/10; 1/9; ; 1/10; ; 
Draw; 9; 17/2; 10; 9; 9; 10; 10; 10; 9; 10; 9; 17/2; ; 9; 10; ; 33/4; 15/2; 25/2; 19/2; 9; 10; 21/2; 17/2; 31/4; ; 54/5; ; 
West Ham; 18; 18; 28; 18; 20; 25; 25; 22; 25; 28; 20; 20; ; 22; 18; ; 18; 43/2; 30; 35/2; 24; 20; 25; 22; 87/4; ; 20; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-27 14:16:36 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
