META; english/premier-league/west-ham-v-southampton; 2017-06-15 14:15:49 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Draw; ; 11/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
West Ham; ; 8/5; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
META; english/premier-league/west-ham-v-southampton; 2017-06-21 02:15:47 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Southampton; ; 8/5; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 11/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
West Ham; ; 8/5; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
META; english/premier-league/west-ham-v-southampton; 2017-06-21 10:15:49 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Southampton; ; 8/5; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 11/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
West Ham; ; 8/5; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
META; english/premier-league/west-ham-v-southampton; 2017-06-21 14:15:46 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Southampton; ; 8/5; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 11/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
West Ham; ; 8/5; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
META; english/premier-league/west-ham-v-southampton; 2017-06-21 18:16:27 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Southampton; ; 8/5; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 11/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
West Ham; ; 8/5; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
META; english/premier-league/west-ham-v-southampton; 2017-06-21 22:16:27 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Southampton; ; 8/5; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 11/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
West Ham; ; 8/5; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
META; english/premier-league/west-ham-v-southampton; 2017-06-22 02:16:27 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Southampton; ; 8/5; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 11/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
West Ham; ; 8/5; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
META; english/premier-league/west-ham-v-southampton; 2017-06-22 10:16:27 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Southampton; ; 8/5; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 11/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
West Ham; ; 8/5; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
META; english/premier-league/west-ham-v-southampton; 2017-06-22 14:16:29 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Southampton; ; 8/5; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 11/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
West Ham; ; 8/5; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
META; english/premier-league/west-ham-v-southampton; 2017-06-22 18:16:30 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Southampton; ; 8/5; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 11/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
West Ham; ; 8/5; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
META; english/premier-league/west-ham-v-southampton; 2017-06-22 22:16:29 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Southampton; ; 8/5; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 11/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
West Ham; ; 8/5; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
META; english/premier-league/west-ham-v-southampton; 2017-06-23 02:16:27 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Southampton; ; 8/5; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 11/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
West Ham; ; 8/5; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
META; english/premier-league/west-ham-v-southampton; 2017-06-23 10:16:29 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Southampton; ; 8/5; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 11/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
West Ham; ; 8/5; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
META; english/premier-league/west-ham-v-southampton; 2017-06-23 14:16:32 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Southampton; ; 8/5; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 11/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
West Ham; ; 8/5; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
META; english/premier-league/west-ham-v-southampton; 2017-06-23 18:16:33 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Southampton; ; 8/5; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 11/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
West Ham; ; 8/5; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
META; english/premier-league/west-ham-v-southampton; 2017-06-23 22:16:31 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Southampton; ; 8/5; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 11/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
West Ham; ; 8/5; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
META; english/premier-league/west-ham-v-southampton; 2017-06-24 02:16:29 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Southampton; ; 8/5; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 11/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
West Ham; ; 8/5; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
META; english/premier-league/west-ham-v-southampton; 2017-06-24 10:16:34 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Southampton; ; 8/5; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 11/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
West Ham; ; 8/5; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
META; english/premier-league/west-ham-v-southampton; 2017-06-24 14:16:32 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Southampton; ; 8/5; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 11/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
West Ham; ; 8/5; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
META; english/premier-league/west-ham-v-southampton; 2017-06-24 18:16:30 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Southampton; ; 8/5; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 11/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
West Ham; ; 8/5; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
META; english/premier-league/west-ham-v-southampton; 2017-06-24 22:16:27 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Southampton; ; 8/5; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 11/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
West Ham; ; 8/5; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
META; english/premier-league/west-ham-v-southampton; 2017-06-25 02:16:28 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Southampton; ; 8/5; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 11/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
West Ham; ; 8/5; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
META; english/premier-league/west-ham-v-southampton; 2017-06-25 02:21:15 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Southampton; ; 8/5; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; 11/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
West Ham; ; 8/5; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
