Barcelona; 1/8; ; 1/7; 1/7; 1/8; 13/100; 2/17; ; ; 2/15; ; 1/8; 1/9; 1/8; 2/15; 2/17; ; 1/8; 2/15; 1/10; 13/100; 1/10; 1/8; ; 1/8; ; 2/15; ; 
Draw; 15/2; ; 7; 15/2; 8; 17/2; 8; ; ; 8; ; 15/2; 15/2; 15/2; 8; 17/2; ; 7; 8; 31/4; 21/2; 41/5; 8; ; 8; ; 33/5; ; 
Real Sociedad; 16; ; 18; 14; 22; 20; 22; ; ; 20; ; 18; 22; 25; 16; 18; ; 31/2; 17; 65/4; 22; 15; 17; ; 17; ; 20; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-08 06:20:54 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/8; ; 1/7; 1/7; 1/8; 13/100; 2/17; ; ; 2/15; ; 1/8; 1/9; 1/8; 2/15; 2/17; 1/10; 1/8; 2/15; 1/10; 13/100; 1/10; 1/8; ; 1/8; ; 1/7; ; 
Draw; 15/2; ; 7; 15/2; 8; 17/2; 8; ; ; 8; ; 15/2; 15/2; 15/2; 8; 17/2; 31/4; 7; 8; 31/4; 21/2; 41/5; 8; ; 8; ; 33/5; ; 
Real Sociedad; 16; ; 18; 14; 22; 20; 22; ; ; 20; ; 18; 22; 25; 16; 18; 33/2; 31/2; 17; 33/2; 22; 15; 17; ; 17; ; 20; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-08 10:18:36 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/8; ; 1/7; 1/7; 1/8; 13/100; 2/17; ; ; 2/15; ; 1/8; 1/9; 1/8; 2/15; 2/17; 1/10; 1/8; 2/15; 1/10; 13/100; 1/10; 1/8; ; 1/8; ; 1/7; ; 
Draw; 15/2; ; 7; 15/2; 8; 17/2; 8; ; ; 8; ; 15/2; 15/2; 15/2; 8; 17/2; 31/4; 7; 8; 31/4; 21/2; 41/5; 8; ; 8; ; 33/5; ; 
Real Sociedad; 16; ; 18; 14; 22; 20; 22; ; ; 20; ; 18; 22; 25; 16; 18; 33/2; 31/2; 17; 33/2; 22; 15; 17; ; 17; ; 20; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-08 14:18:41 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/8; ; 1/7; 1/7; 1/8; 13/100; 2/17; ; ; 2/15; ; 1/8; 1/9; 1/8; 2/15; 2/17; 1/7; 1/8; 2/15; 1/10; 13/100; 1/10; 1/8; 1/8; 1/8; ; 1/7; ; 
Draw; 15/2; ; 7; 15/2; 8; 17/2; 8; ; ; 8; ; 15/2; 15/2; 15/2; 8; 17/2; 25/4; 7; 8; 31/4; 21/2; 41/5; 8; 7; 8; ; 33/5; ; 
Real Sociedad; 16; ; 18; 14; 22; 20; 22; ; ; 20; ; 18; 22; 25; 16; 18; 57/4; 31/2; 17; 33/2; 22; 15; 17; 16; 17; ; 20; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-08 18:19:06 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/8; ; 1/7; 1/7; 1/8; 13/100; 2/17; ; ; 2/15; ; 1/8; 1/9; 1/8; 2/15; 2/17; 1/10; 1/8; 2/15; 1/10; 13/100; 1/10; 1/8; 1/8; 1/8; ; 2/15; ; 
Draw; 15/2; ; 7; 15/2; 8; 17/2; 8; ; ; 8; ; 15/2; 15/2; 15/2; 8; 17/2; 31/4; 7; 8; 31/4; 21/2; 41/5; 8; 7; 8; ; 41/5; ; 
Real Sociedad; 16; ; 18; 14; 22; 20; 22; ; ; 20; ; 18; 22; 25; 16; 18; 33/2; 31/2; 17; 33/2; 22; 15; 17; 16; 17; ; 17; ; 
META; spain/la-liga-primera/barcelona-v-real-sociedad; 2017-04-08 22:20:41 GMT+3; 2017-04-15 19:45; Nothing; Xlenovo
Barcelona; 1/8; ; 1/7; 1/7; 1/8; 1/7; 2/17; ; 2/15; 2/15; ; 1/8; 1/9; 1/8; 2/15; 2/17; 1/10; 1/8; 2/15; 1/10; 13/100; ; 1/8; 1/8; 1/8; ; 2/15; ; 
