META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-20 02:20:33 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/7; ; 6/10; ; ; ; 8/13; ; 4/7; 8/13; ; ; 3/5; ; ; 8/13; 8/13; 11/17; ; 8/13; 7/10; ; ; ; ; ; ; 
Deportivo La Coruna; 5; ; 4; ; ; 5; 19/4; ; 19/4; 5; ; 9/2; 5; ; 9/2; 5; 49/10; 4; ; 49/10; 11/2; 43/10; ; ; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-20 22:19:27 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/7; ; 6/10; ; ; 13/20; 8/13; ; 4/7; 8/13; ; 8/13; 3/5; ; 13/20; 8/13; 4/7; 11/17; 8/13; 4/7; 7/10; 5/8; 11/17; ; ; ; ; 
Draw; 14/5; ; 14/5; ; ; 14/5; 14/5; ; 14/5; 13/5; ; 11/4; 11/4; ; 14/5; 14/5; 27/10; 11/4; 11/4; 27/10; 67/25; 13/5; 11/4; ; ; ; ; 
Deportivo La Coruna; 5; ; 4; ; ; 5; 19/4; ; 19/4; 5; ; 9/2; 5; ; 9/2; 5; 63/13; 4; 9/2; 63/13; 11/2; 43/10; 9/2; ; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-21 02:19:52 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/7; ; 6/10; ; ; 13/20; 8/13; ; 4/7; 8/13; ; 8/13; 3/5; ; 13/20; 8/13; 4/7; 11/17; 8/13; 4/7; 7/10; 5/8; 11/17; ; ; ; ; 
Draw; 14/5; ; 14/5; ; ; 14/5; 14/5; ; 14/5; 13/5; ; 11/4; 11/4; ; 14/5; 14/5; 27/10; 11/4; 11/4; 27/10; 67/25; 13/5; 11/4; ; ; ; ; 
Deportivo La Coruna; 5; ; 4; ; ; 5; 19/4; ; 19/4; 5; ; 9/2; 5; ; 9/2; 5; 63/13; 4; 9/2; 63/13; 11/2; 43/10; 9/2; ; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-21 06:18:59 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/7; ; 6/10; ; ; 13/20; 8/13; ; 4/7; ; ; 8/13; 3/5; ; 13/20; 8/13; 4/7; 11/17; 8/13; 4/7; 7/10; 5/8; 11/17; ; ; ; ; 
Draw; 14/5; ; 14/5; ; ; 14/5; 14/5; ; 14/5; ; ; 11/4; 11/4; ; 14/5; 14/5; 27/10; 11/4; 11/4; 27/10; 67/25; 13/5; 11/4; ; ; ; ; 
Deportivo La Coruna; 5; ; 4; ; ; 5; 19/4; ; 19/4; ; ; 9/2; 5; ; 9/2; 5; 63/13; 4; 9/2; 63/13; 11/2; 43/10; 9/2; ; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-21 10:19:11 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/7; ; 6/10; ; ; 13/20; 8/13; ; 4/7; 8/13; ; 8/13; 3/5; ; 13/20; 8/13; 4/7; 11/17; 8/13; 4/7; 7/10; 5/8; 11/17; ; ; ; ; 
Draw; 14/5; ; 14/5; ; ; 14/5; 14/5; ; 14/5; 13/5; ; 11/4; 11/4; ; 14/5; 14/5; 27/10; 11/4; 11/4; 27/10; 67/25; 13/5; 11/4; ; ; ; ; 
Deportivo La Coruna; 5; ; 4; ; ; 5; 19/4; ; 19/4; 5; ; 9/2; 5; ; 9/2; 5; 49/10; 4; 9/2; 63/13; 11/2; 43/10; 9/2; ; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-21 14:20:27 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/7; ; 6/10; ; ; 13/20; 8/13; ; 4/7; 8/13; ; 8/13; 3/5; ; 13/20; 8/13; 4/7; 11/17; 8/13; 4/7; 8/13; 5/8; 11/17; ; ; ; ; 
Draw; 14/5; ; 14/5; ; ; 14/5; 14/5; ; 14/5; 13/5; ; 11/4; 11/4; ; 14/5; 14/5; 27/10; 11/4; 11/4; 27/10; 149/50; 13/5; 11/4; ; ; ; ; 
Deportivo La Coruna; 5; ; 4; ; ; 5; 19/4; ; 19/4; 5; ; 9/2; 5; ; 9/2; 5; 63/13; 4; 9/2; 63/13; 59/10; 43/10; 9/2; ; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-21 18:20:08 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 8/13; ; 6/10; ; ; 7/10; 4/6; ; 4/6; 4/6; 4/6; 4/6; 13/20; ; 4/6; 4/6; 11/18; 11/17; 8/13; 11/18; 13/20; 13/19; 11/17; ; ; ; ; 
Draw; 11/4; ; 14/5; ; ; 14/5; 11/4; ; 13/5; 13/5; 5/2; 11/4; 27/10; ; 11/4; 11/4; 45/17; 11/4; 11/4; 45/17; 149/50; 5/2; 11/4; ; ; ; ; 
Deportivo La Coruna; 9/2; ; 4; ; ; 9/2; 9/2; ; 17/4; 17/4; 21/5; 4; 9/2; ; 9/2; 9/2; 9/2; 4; 9/2; 9/2; 53/10; 4; 9/2; ; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-21 22:18:59 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 8/13; ; 6/10; ; ; 7/10; 4/6; ; 4/6; 4/6; 4/6; 4/6; 13/20; ; 4/6; 4/6; 8/13; 11/17; 8/13; 8/13; 13/20; ; 11/17; ; ; ; ; 
Draw; 11/4; ; 14/5; ; ; 14/5; 11/4; ; 13/5; 13/5; 5/2; 11/4; 27/10; ; 11/4; 11/4; 45/17; 11/4; 11/4; 45/17; 149/50; ; 11/4; ; ; ; ; 
Deportivo La Coruna; 9/2; ; 4; ; ; 9/2; 9/2; ; 17/4; 17/4; 21/5; 4; 9/2; ; 9/2; 9/2; 49/11; 4; 9/2; 49/11; 53/10; ; 9/2; ; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-22 02:21:00 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 8/13; ; 6/10; ; ; 7/10; 4/6; ; 4/6; 4/6; 4/6; 4/6; 13/20; ; 4/6; 4/6; 8/13; 11/17; 8/13; 8/13; 13/20; 13/19; 11/17; ; ; ; ; 
Draw; 11/4; ; 14/5; ; ; 14/5; 11/4; ; 13/5; 13/5; 5/2; 11/4; 27/10; ; 11/4; 11/4; 45/17; 11/4; 11/4; 45/17; 149/50; 5/2; 11/4; ; ; ; ; 
Deportivo La Coruna; 9/2; ; 4; ; ; 9/2; 9/2; ; 17/4; 17/4; 21/5; 4; 9/2; ; 9/2; 9/2; 49/11; 4; 9/2; 49/11; 53/10; 4; 9/2; ; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-22 06:18:51 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 8/13; ; 6/10; ; ; 7/10; 4/6; ; 4/6; 4/6; 4/6; 4/6; 13/20; ; 4/6; 4/6; 8/13; 11/17; 8/13; 8/13; 13/20; 13/19; 11/17; ; ; ; ; 
Draw; 11/4; ; 14/5; ; ; 14/5; 11/4; ; 13/5; 13/5; 5/2; 11/4; 27/10; ; 11/4; 11/4; 45/17; 11/4; 11/4; 45/17; 149/50; 5/2; 11/4; ; ; ; ; 
Deportivo La Coruna; 9/2; ; 4; ; ; 9/2; 9/2; ; 17/4; 17/4; 21/5; 4; 9/2; ; 9/2; 9/2; 49/11; 4; 9/2; 49/11; 53/10; 4; 9/2; ; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-22 10:19:53 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 8/13; ; 6/10; ; ; 7/10; 4/6; ; 4/6; 4/6; 4/6; 4/6; 13/20; ; 4/6; 4/6; 8/13; 11/17; 8/13; 8/13; 13/20; 13/19; 11/17; ; ; ; ; 
Draw; 11/4; ; 14/5; ; ; 14/5; 11/4; ; 13/5; 13/5; 5/2; 11/4; 27/10; ; 11/4; 11/4; 45/17; 11/4; 11/4; 45/17; 149/50; 5/2; 11/4; ; ; ; ; 
Deportivo La Coruna; 9/2; ; 4; ; ; 9/2; 9/2; ; 17/4; 17/4; 21/5; 4; 9/2; ; 9/2; 9/2; 49/11; 4; 9/2; 49/11; 53/10; 4; 9/2; ; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-22 14:20:12 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 8/13; ; 6/10; ; ; 7/10; 4/6; ; 4/6; 4/6; 4/6; 4/6; 13/20; ; 4/6; 4/6; 8/13; 11/17; 8/13; 8/13; 13/20; 13/19; 11/17; ; ; ; ; 
Draw; 11/4; ; 14/5; ; ; 14/5; 11/4; ; 13/5; 13/5; 5/2; 11/4; 27/10; ; 11/4; 11/4; 45/17; 11/4; 11/4; 45/17; 149/50; 5/2; 11/4; ; ; ; ; 
Deportivo La Coruna; 9/2; ; 4; ; ; 9/2; 9/2; ; 17/4; 17/4; 21/5; 4; 9/2; ; 9/2; 9/2; 49/11; 4; 9/2; 49/11; 53/10; 4; 9/2; ; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-22 18:19:06 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 8/13; ; 6/10; ; ; 7/10; 4/6; ; 4/6; 4/6; 4/6; 4/6; 13/20; ; 4/6; 4/6; 8/13; 11/17; 8/13; 8/13; 13/20; 13/19; 11/17; ; ; ; ; 
Draw; 11/4; ; 14/5; ; ; 14/5; 11/4; ; 13/5; 13/5; 5/2; 11/4; 27/10; ; 11/4; 11/4; 45/17; 11/4; 11/4; 45/17; 149/50; 5/2; 11/4; ; ; ; ; 
Deportivo La Coruna; 9/2; ; 4; ; ; 9/2; 9/2; ; 17/4; 17/4; 21/5; 4; 9/2; ; 9/2; 9/2; 49/11; 4; 9/2; 49/11; 53/10; 4; 9/2; ; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-22 22:19:38 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 8/13; ; 6/10; ; 4/6; 7/10; 4/6; ; 4/6; 4/6; 4/6; 4/6; 13/20; ; 4/6; 4/6; 8/13; 11/17; 8/13; 8/13; 13/20; 13/19; 11/17; ; ; ; ; 
Draw; 11/4; ; 14/5; ; 11/4; 14/5; 11/4; ; 13/5; 13/5; 5/2; 11/4; 27/10; ; 11/4; 11/4; 45/17; 11/4; 11/4; 45/17; 149/50; 5/2; 11/4; ; ; ; ; 
Deportivo La Coruna; 9/2; ; 4; ; 5; 9/2; 9/2; ; 17/4; 17/4; 21/5; 4; 9/2; ; 9/2; 9/2; 49/11; 4; 9/2; 49/11; 53/10; 4; 9/2; ; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-23 02:18:55 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 8/13; ; 6/10; ; 4/6; 7/10; 4/6; ; 4/6; 4/6; 4/6; 4/6; 13/20; ; 4/6; 4/6; 8/13; 11/17; 8/13; 8/13; 13/20; 13/19; 11/17; ; ; ; ; 
Draw; 11/4; ; 14/5; ; 11/4; 14/5; 11/4; ; 13/5; 13/5; 5/2; 11/4; 27/10; ; 11/4; 11/4; 45/17; 11/4; 11/4; 45/17; 149/50; 5/2; 11/4; ; ; ; ; 
Deportivo La Coruna; 9/2; ; 4; ; 5; 9/2; 9/2; ; 17/4; 17/4; 21/5; 4; 9/2; ; 9/2; 9/2; 49/11; 4; 9/2; 49/11; 53/10; 4; 9/2; ; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-23 06:18:50 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 8/13; ; 6/10; ; 4/6; 7/10; 4/6; ; 4/6; 4/6; 4/6; 4/6; 13/20; ; 4/6; 4/6; 8/13; 11/17; 8/13; 8/13; 13/20; 13/19; 11/17; ; ; ; ; 
Draw; 11/4; ; 14/5; ; 11/4; 14/5; 11/4; ; 13/5; 13/5; 5/2; 11/4; 27/10; ; 11/4; 11/4; 45/17; 11/4; 11/4; 45/17; 149/50; 5/2; 11/4; ; ; ; ; 
Deportivo La Coruna; 9/2; ; 4; ; 5; 9/2; 9/2; ; 17/4; 17/4; 21/5; 4; 9/2; ; 9/2; 9/2; 49/11; 4; 9/2; 49/11; 53/10; 4; 9/2; ; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-23 10:18:50 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 8/13; ; 6/10; ; 4/6; 7/10; 4/6; ; 4/6; 4/6; 4/6; 4/6; 13/20; ; 4/6; 4/6; 8/13; 11/17; 8/13; 8/13; 13/20; 13/19; 11/17; ; ; ; ; 
Draw; 11/4; ; 14/5; ; 11/4; 14/5; 11/4; ; 13/5; 13/5; 5/2; 11/4; 27/10; ; 11/4; 11/4; 45/17; 11/4; 11/4; 45/17; 149/50; 5/2; 11/4; ; ; ; ; 
Deportivo La Coruna; 9/2; ; 4; ; 5; 9/2; 9/2; ; 17/4; 17/4; 21/5; 4; 9/2; ; 9/2; 9/2; 49/11; 4; 9/2; 49/11; 53/10; 4; 9/2; ; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-23 14:20:20 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 8/13; ; 6/10; ; 4/6; 7/10; 4/6; ; 4/6; 4/6; 4/6; 4/6; 13/20; ; 4/6; 4/6; 8/13; 11/17; 8/13; 8/13; 13/20; 13/19; 11/17; ; ; ; ; 
Draw; 11/4; ; 14/5; ; 11/4; 14/5; 11/4; ; 13/5; 13/5; 5/2; 11/4; 27/10; ; 11/4; 11/4; 45/17; 11/4; 11/4; 45/17; 149/50; 5/2; 11/4; ; ; ; ; 
Deportivo La Coruna; 9/2; ; 4; ; 5; 9/2; 9/2; ; 17/4; 17/4; 21/5; 4; 9/2; ; 9/2; 9/2; 49/11; 4; 9/2; 49/11; 53/10; 4; 9/2; ; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-23 18:19:18 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 8/13; ; 6/10; ; 4/6; 7/10; 4/6; ; 4/6; 4/6; 4/6; 4/6; 13/20; ; 4/6; 4/6; 11/17; 11/17; 8/13; ; 13/20; 13/19; 11/17; ; ; ; ; 
Draw; 11/4; ; 14/5; ; 3; 14/5; 11/4; ; 13/5; 13/5; 5/2; 11/4; 27/10; ; 11/4; 11/4; 13/5; 11/4; 11/4; ; 149/50; 5/2; 11/4; ; ; ; ; 
Deportivo La Coruna; 9/2; ; 4; ; 9/2; 9/2; 9/2; ; 17/4; 17/4; 21/5; 4; 9/2; ; 9/2; 9/2; 43/10; 4; 9/2; ; 53/10; 4; 9/2; ; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-23 22:20:03 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 8/13; ; 6/10; ; 4/6; 7/10; 4/6; ; 4/6; 4/6; 4/6; 4/6; 13/20; ; 4/6; 4/6; 11/17; 11/17; 8/13; 11/17; 13/20; 13/19; 11/17; ; ; 8/13; ; 
Draw; 11/4; ; 14/5; ; 3; 14/5; 11/4; ; 13/5; 13/5; 5/2; 11/4; 27/10; ; 11/4; 11/4; 13/5; 11/4; 11/4; 13/5; 149/50; 5/2; 11/4; ; ; 5/2; ; 
Deportivo La Coruna; 9/2; ; 4; ; 9/2; 9/2; 9/2; ; 17/4; 17/4; 21/5; 4; 9/2; ; 9/2; 9/2; 43/10; 4; 9/2; 43/10; 53/10; 4; 9/2; ; ; 12/5; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-24 06:18:25 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 8/13; ; 6/10; ; 4/6; 7/10; 4/6; ; 4/6; 4/6; 4/6; 4/6; 13/20; 4/6; 4/6; 4/6; 11/17; 11/17; 8/13; 11/17; 13/20; 13/19; 11/17; ; ; 8/13; ; 
Draw; 11/4; ; 14/5; ; 11/4; 14/5; 11/4; ; 13/5; 13/5; 5/2; 11/4; 27/10; 5/2; 11/4; 11/4; 13/5; 11/4; 11/4; 13/5; 149/50; 5/2; 11/4; ; ; 5/2; ; 
Deportivo La Coruna; 9/2; ; 4; ; 5; 9/2; 9/2; ; 17/4; 17/4; 21/5; 4; 9/2; 9/2; 9/2; 9/2; 43/10; 4; 9/2; 43/10; 53/10; 4; 9/2; ; ; 4; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-24 10:18:30 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 8/13; ; 6/10; ; 4/6; 7/10; 4/6; ; 4/6; 4/6; 4/6; 4/6; 13/20; 4/6; 4/6; 4/6; 11/17; 11/17; 8/13; 11/17; 13/20; 13/19; 11/17; ; ; 8/13; ; 
Draw; 11/4; ; 14/5; ; 11/4; 14/5; 11/4; ; 13/5; 13/5; 5/2; 11/4; 27/10; 5/2; 11/4; 11/4; 13/5; 11/4; 11/4; 13/5; 149/50; 5/2; 11/4; ; ; 5/2; ; 
Deportivo La Coruna; 9/2; ; 4; ; 5; 9/2; 9/2; ; 17/4; 17/4; 21/5; 4; 9/2; 9/2; 9/2; 9/2; 43/10; 4; 9/2; 43/10; 53/10; 4; 9/2; ; ; 4; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-24 14:18:59 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 8/13; ; 6/10; ; 4/6; 7/10; 4/6; ; 4/6; 4/6; 4/6; 4/6; 13/20; 4/6; 4/6; 4/6; 11/17; 11/17; 8/13; 11/17; 13/20; 13/19; 11/17; ; ; 8/13; ; 
Draw; 11/4; ; 14/5; ; 11/4; 14/5; 11/4; ; 13/5; 13/5; 5/2; 11/4; 27/10; 5/2; 11/4; 11/4; 13/5; 11/4; 11/4; 13/5; 149/50; 5/2; 11/4; ; ; 5/2; ; 
Deportivo La Coruna; 9/2; ; 4; ; 5; 9/2; 9/2; ; 17/4; 17/4; 21/5; 4; 9/2; 9/2; 9/2; 9/2; 43/10; 4; 9/2; 43/10; 53/10; 4; 9/2; ; ; 4; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-24 18:19:21 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/6; ; 6/10; ; 7/10; 7/10; 4/6; ; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 8/11; 4/6; 11/17; 11/17; 8/13; 11/17; 33/50; 13/19; 11/17; ; ; 8/13; ; 
Draw; 11/4; ; 14/5; ; 11/4; 14/5; 11/4; ; 13/5; 13/5; 5/2; 11/4; 27/10; 5/2; 13/5; 11/4; 13/5; 11/4; 11/4; 13/5; 149/50; 5/2; 11/4; ; ; 5/2; ; 
Deportivo La Coruna; 17/4; ; 4; ; 9/2; 17/4; 9/2; ; 17/4; 17/4; 4; 4; 17/4; 9/2; 17/4; 9/2; 43/10; 4; 9/2; 43/10; 26/5; 4; 9/2; ; ; 4; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-24 22:21:56 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/6; ; 6/10; 8/11; 7/10; 7/10; 4/6; ; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 8/11; 7/10; 11/17; 11/17; 8/13; ; 4/6; 13/19; 7/10; 7/10; ; 8/13; ; 
Draw; 11/4; ; 14/5; 13/5; 11/4; 14/5; 11/4; ; 13/5; 13/5; 5/2; 13/5; 27/10; 5/2; 13/5; 27/10; 13/5; 11/4; 11/4; ; 149/50; 5/2; 27/10; 13/5; ; 5/2; ; 
Deportivo La Coruna; 17/4; ; 4; 4; 9/2; 17/4; 9/2; ; 17/4; 4; 4; 4; 17/4; 9/2; 17/4; 4; 17/4; 4; 9/2; ; 51/10; 4; 17/4; 4; ; 4; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-25 02:19:27 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/6; ; 6/10; 8/11; 7/10; 7/10; 4/6; ; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 8/11; 7/10; 11/17; 11/17; 4/6; 11/17; 4/6; 13/19; 7/10; 7/10; ; 8/13; ; 
Draw; 11/4; ; 14/5; 13/5; 11/4; 14/5; 11/4; ; 13/5; 13/5; 5/2; 13/5; 53/20; 5/2; 13/5; 27/10; 13/5; 11/4; 27/10; 13/5; 149/50; 5/2; 27/10; 13/5; ; 5/2; ; 
Deportivo La Coruna; 17/4; ; 4; 4; 9/2; 17/4; 9/2; ; 17/4; 4; 4; 4; 17/4; 9/2; 17/4; 4; 17/4; 4; 21/5; 17/4; 51/10; 4; 17/4; 4; ; 4; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-25 06:19:40 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/6; ; 6/10; 8/11; 7/10; 7/10; 4/6; ; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 8/11; 7/10; 11/17; 11/17; 4/6; 11/17; 4/6; 13/19; 7/10; 7/10; ; 8/13; ; 
Draw; 11/4; ; 14/5; 13/5; 11/4; 14/5; 11/4; ; 13/5; 13/5; 5/2; 13/5; 53/20; 5/2; 13/5; 27/10; 13/5; 11/4; 27/10; 13/5; 149/50; 5/2; 27/10; 13/5; ; 5/2; ; 
Deportivo La Coruna; 17/4; ; 4; 4; 9/2; 17/4; 9/2; ; 17/4; 4; 4; 4; 17/4; 9/2; 17/4; 4; 17/4; 4; 21/5; 17/4; 51/10; 4; 17/4; 4; ; 4; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-25 10:19:09 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/6; ; 6/10; 8/11; 7/10; 7/10; 4/6; ; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 8/11; 7/10; 11/17; 11/17; 4/6; 11/17; 4/6; 13/19; 7/10; 7/10; ; 8/13; ; 
Draw; 11/4; ; 14/5; 13/5; 11/4; 14/5; 11/4; ; 13/5; 13/5; 5/2; 13/5; 53/20; 5/2; 13/5; 27/10; 13/5; 11/4; 27/10; 13/5; 149/50; 5/2; 27/10; 13/5; ; 5/2; ; 
Deportivo La Coruna; 17/4; ; 4; 4; 9/2; 17/4; 9/2; ; 17/4; 4; 4; 4; 17/4; 9/2; 17/4; 4; 17/4; 4; 21/5; 17/4; 51/10; 4; 17/4; 4; ; 4; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-atletico-madrid; 2017-02-25 14:20:01 GMT+2; 2017-03-02 19:45; Nothing; Xlenovo
Atletico Madrid; 4/6; ; 6/10; 8/11; 7/10; 7/10; 4/6; ; 4/6; 4/6; 7/10; 7/10; 4/6; 7/10; 8/11; 7/10; 11/17; 11/17; 4/6; 11/17; 4/6; 13/19; 7/10; 7/10; ; 8/13; ; 
