META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-03 02:20:34 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 13/10; ; 9/5; ; ; 29/20; 7/5; ; ; 7/5; 27/20; ; 27/20; 11/8; 7/5; 7/5; 23/17; 6/4; 7/5; 23/17; 163/100; ; 7/5; ; ; 5/4; ; 
Osasuna; 11/5; ; 6/4; ; ; 21/10; 2; ; ; 2; 15/8; 2; 2; 2; 2; 11/5; 37/19; 9/5; 2; 37/19; 2; ; 2; ; ; 15/8; ; 
Draw; 11/5; ; 11/5; ; ; 23/10; 23/10; ; ; 9/4; 11/5; 11/5; 47/20; 23/10; 23/10; 23/10; 11/5; 21/10; 9/4; 11/5; 23/10; ; 9/4; ; ; 9/4; ; 
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-03 18:21:30 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 13/10; ; 9/5; ; ; 29/20; 7/5; ; ; 7/5; 27/20; 11/8; 27/20; 11/8; 7/5; 7/5; 23/17; 6/4; 7/5; 23/17; 163/100; 26/19; 7/5; 11/8; ; 5/4; ; 
Osasuna; 11/5; ; 6/4; ; ; 41/20; 2; ; ; 2; 15/8; 19/10; 2; 2; 2; 11/5; 37/19; 9/5; 2; 37/19; 2; 15/8; 2; 2; ; 9/5; ; 
Draw; 11/5; ; 11/5; ; ; 23/10; 23/10; ; ; 11/5; 11/5; 12/5; 47/20; 23/10; 23/10; 23/10; 11/5; 21/10; 9/4; 11/5; 23/10; 11/5; 9/4; 11/5; ; 2; ; 
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-03 22:21:07 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 13/10; ; 9/5; ; ; 29/20; 7/5; ; ; 7/5; 27/20; 11/8; 27/20; 11/8; 7/5; 7/5; 23/17; 6/4; 7/5; 23/17; 163/100; 26/19; 7/5; 11/8; ; 5/4; ; 
Osasuna; 11/5; ; 6/4; ; ; 41/20; 2; ; ; 2; 15/8; 19/10; 2; 2; 2; 11/5; 37/19; 9/5; 2; 37/19; 2; 15/8; 2; 2; ; 9/5; ; 
Draw; 11/5; ; 11/5; ; ; 23/10; 23/10; ; ; 11/5; 11/5; 12/5; 47/20; 23/10; 23/10; 23/10; 11/5; 21/10; 9/4; 11/5; 23/10; 11/5; 9/4; 11/5; ; 2; ; 
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-04 02:20:03 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 13/10; ; 9/5; ; ; 29/20; 7/5; ; ; 7/5; 27/20; 11/8; 27/20; 11/8; 7/5; 7/5; 23/17; 6/4; 7/5; 23/17; 163/100; 26/19; 7/5; 11/8; ; 5/4; ; 
Osasuna; 11/5; ; 6/4; ; ; 41/20; 2; ; ; 2; 15/8; 19/10; 2; 2; 2; 11/5; 37/19; 9/5; 2; 37/19; 2; 15/8; 2; 2; ; 9/5; ; 
Draw; 11/5; ; 11/5; ; ; 23/10; 23/10; ; ; 11/5; 11/5; 12/5; 47/20; 23/10; 23/10; 23/10; 11/5; 21/10; 9/4; 11/5; 23/10; 11/5; 9/4; 11/5; ; 2; ; 
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-04 06:19:32 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 13/10; ; 9/5; ; ; 29/20; 7/5; ; ; 7/5; 27/20; 11/8; 27/20; 11/8; 7/5; 7/5; 23/17; 6/4; 7/5; 23/17; 163/100; 26/19; 7/5; 11/8; ; 5/4; ; 
Osasuna; 11/5; ; 6/4; ; ; 41/20; 2; ; ; 2; 15/8; 19/10; 2; 2; 2; 11/5; 37/19; 9/5; 2; 37/19; 2; 15/8; 2; 2; ; 9/5; ; 
Draw; 11/5; ; 11/5; ; ; 23/10; 23/10; ; ; 11/5; 11/5; 12/5; 47/20; 23/10; 23/10; 23/10; 11/5; 21/10; 9/4; 11/5; 23/10; 11/5; 9/4; 11/5; ; 2; ; 
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-04 10:19:34 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 13/10; ; 9/5; ; ; 29/20; 7/5; ; ; 7/5; 27/20; 11/8; 27/20; 11/8; 7/5; 7/5; 23/17; 6/4; 7/5; 23/17; 163/100; 26/19; 7/5; 11/8; ; 5/4; ; 
Osasuna; 11/5; ; 6/4; ; ; 41/20; 2; ; ; 2; 15/8; 19/10; 2; 2; 2; 11/5; 37/19; 9/5; 2; 37/19; 2; 15/8; 2; 2; ; 9/5; ; 
Draw; 11/5; ; 11/5; ; ; 23/10; 23/10; ; ; 11/5; 11/5; 12/5; 47/20; 23/10; 23/10; 23/10; 11/5; 21/10; 9/4; 11/5; 23/10; 11/5; 9/4; 11/5; ; 2; ; 
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-04 14:21:27 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 13/10; ; ; ; ; 29/20; 7/5; ; ; 7/5; 27/20; 11/8; 27/20; 11/8; 7/5; 7/5; 23/17; 6/4; 7/5; 23/17; 163/100; 26/19; 7/5; 11/8; ; 5/4; ; 
Osasuna; 11/5; ; ; ; ; 41/20; 2; ; ; 2; 15/8; 19/10; 2; 2; 2; 11/5; 37/19; 9/5; 2; 37/19; 2; 15/8; 2; 2; ; 9/5; ; 
Draw; 11/5; ; ; ; ; 23/10; 23/10; ; ; 11/5; 11/5; 12/5; 47/20; 23/10; 23/10; 23/10; 11/5; 21/10; 9/4; 11/5; 23/10; 11/5; 9/4; 11/5; ; 2; ; 
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-04 18:20:03 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 13/10; ; ; ; ; 29/20; 7/5; ; ; 7/5; 27/20; 7/5; 27/20; 11/8; 7/5; 7/5; 23/17; 6/4; 7/5; 23/17; 29/20; ; 7/5; 11/8; ; ; ; 
Osasuna; 11/5; ; ; ; ; 41/20; 2; ; ; 2; 15/8; 2; 2; 2; 2; 11/5; 37/19; 9/5; 2; 37/19; 43/20; ; 2; 2; ; ; ; 
Draw; 11/5; ; ; ; ; 23/10; 23/10; ; ; 11/5; 11/5; 11/5; 47/20; 23/10; 23/10; 23/10; 11/5; 21/10; 9/4; 11/5; 12/5; ; 9/4; 11/5; ; ; ; 
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-04 22:19:17 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 13/10; ; ; ; ; 29/20; 7/5; 5/4; ; 7/5; 27/20; 11/8; 27/20; 11/8; 7/5; 7/5; ; 6/4; 7/5; 23/17; 29/20; 26/19; 7/5; 11/8; ; 5/4; ; 
Osasuna; 11/5; ; ; ; ; 41/20; 2; 19/10; ; 2; 15/8; 19/10; 2; 2; 2; 11/5; ; 9/5; 2; 37/19; 43/20; 15/8; 2; 2; ; 9/5; ; 
Draw; 11/5; ; ; ; ; 23/10; 23/10; 21/10; ; 11/5; 11/5; 12/5; 47/20; 23/10; 23/10; 23/10; ; 21/10; 9/4; 11/5; 12/5; 11/5; 9/4; 11/5; ; 2; ; 
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-05 02:19:50 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 13/10; ; ; ; ; 29/20; 7/5; 5/4; ; 7/5; 27/20; 11/8; 27/20; 11/8; 7/5; 7/5; ; 6/4; 7/5; 23/17; 29/20; 26/19; 7/5; 11/8; ; 5/4; ; 
Osasuna; 11/5; ; ; ; ; 41/20; 2; 19/10; ; 2; 15/8; 19/10; 2; 2; 2; 11/5; ; 9/5; 2; 37/19; 43/20; 15/8; 2; 2; ; 9/5; ; 
Draw; 11/5; ; ; ; ; 23/10; 23/10; 21/10; ; 11/5; 11/5; 12/5; 47/20; 23/10; 23/10; 23/10; ; 21/10; 9/4; 11/5; 12/5; 11/5; 9/4; 11/5; ; 2; ; 
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-05 06:18:43 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 13/10; ; ; ; ; 29/20; 7/5; 5/4; 7/5; 7/5; 27/20; 11/8; 27/20; 11/8; 7/5; 7/5; ; 6/4; 7/5; 23/17; 73/50; 26/19; 7/5; 11/8; ; 5/4; ; 
Osasuna; 11/5; ; ; ; ; 41/20; 2; 19/10; 2; 2; 15/8; 19/10; 2; 2; 2; 11/5; ; 9/5; 2; 37/19; 43/20; 15/8; 2; 2; ; 9/5; ; 
Draw; 11/5; ; ; ; ; 23/10; 23/10; 21/10; 23/10; 11/5; 11/5; 12/5; 47/20; 23/10; 23/10; 23/10; ; 21/10; 9/4; 11/5; 119/50; 11/5; 9/4; 11/5; ; 2; ; 
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-05 10:20:09 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 13/10; ; ; ; ; 29/20; 7/5; 5/4; 7/5; 7/5; 27/20; 11/8; 27/20; 11/8; 7/5; 7/5; ; 6/4; 7/5; 23/17; 73/50; 26/19; 7/5; 11/8; ; 5/4; ; 
Osasuna; 11/5; ; ; ; ; 41/20; 2; 19/10; 2; 2; 15/8; 19/10; 2; 2; 2; 11/5; ; 9/5; 2; 37/19; 43/20; 15/8; 2; 2; ; 9/5; ; 
Draw; 11/5; ; ; ; ; 23/10; 23/10; 21/10; 23/10; 11/5; 11/5; 12/5; 47/20; 23/10; 23/10; 23/10; ; 21/10; 9/4; 11/5; 119/50; 11/5; 9/4; 11/5; ; 2; ; 
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-05 14:20:26 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 13/10; 7/5; ; ; ; 29/20; 7/5; 5/4; 7/5; 7/5; 27/20; 11/8; 27/20; 11/8; 7/5; 7/5; 23/17; 6/4; 7/5; 23/17; 73/50; 26/19; 7/5; 11/8; ; 5/4; ; 
Osasuna; 11/5; 19/10; ; ; ; 41/20; 2; 19/10; 2; 2; 15/8; 19/10; 2; 2; 2; 11/5; 37/19; 9/5; 2; 37/19; 43/20; 15/8; 2; 2; ; 9/5; ; 
Draw; 11/5; 23/10; ; ; ; 23/10; 23/10; 21/10; 23/10; 11/5; 11/5; 12/5; 47/20; 23/10; 23/10; 23/10; 11/5; 21/10; 9/4; 11/5; 119/50; 11/5; 9/4; 11/5; ; 2; ; 
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-05 18:19:11 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 13/10; 7/5; ; ; ; 29/20; 7/5; 5/4; 7/5; 7/5; 27/20; 11/8; 27/20; 11/8; 7/5; 7/5; 23/17; 6/4; 7/5; 23/17; 73/50; 26/19; 7/5; 11/8; ; 5/4; ; 
Osasuna; 11/5; 19/10; ; ; ; 41/20; 2; 19/10; 2; 2; 15/8; 19/10; 2; 2; 2; 11/5; 37/19; 9/5; 2; 37/19; 43/20; 15/8; 2; 2; ; 9/5; ; 
Draw; 11/5; 23/10; ; ; ; 23/10; 23/10; 21/10; 23/10; 11/5; 11/5; 12/5; 47/20; 23/10; 23/10; 23/10; 11/5; 21/10; 9/4; 11/5; 119/50; 11/5; 9/4; 11/5; ; 2; ; 
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-05 22:18:44 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 6/5; 7/5; 23/20; ; 23/20; 5/4; 11/10; 5/4; 6/5; 23/20; 11/10; 23/20; 11/10; 11/10; 6/5; 5/4; 11/10; 5/4; 10/9; 11/10; 5/4; ; 8/7; 11/10; ; 21/20; ; 
Osasuna; 9/4; 19/10; 12/5; ; 5/2; 23/10; 5/2; 19/10; 23/10; 23/10; 23/10; 12/5; 12/5; 12/5; 23/10; 23/10; 23/10; 21/10; 12/5; 23/10; 5/2; ; 12/5; 23/10; ; 21/10; ; 
Draw; 23/10; 23/10; 12/5; ; 5/2; 12/5; 5/2; 21/10; 12/5; 12/5; 23/10; 23/10; 12/5; 5/2; 12/5; 12/5; 40/17; 11/5; 12/5; 40/17; 49/20; ; 27/11; 12/5; ; 21/10; ; 
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-06 02:19:13 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 11/10; 11/10; 23/20; ; 23/20; 6/5; 11/10; 11/10; 6/5; 11/10; 11/10; 23/20; 11/10; 23/20; 6/5; 15/13; 11/10; 5/4; 10/9; 11/10; 5/4; 8/7; 8/7; 23/20; ; 21/20; ; 
Draw; 12/5; 5/2; 12/5; ; 5/2; 5/2; 5/2; 21/10; 12/5; 23/10; 9/4; 23/10; 49/20; 12/5; 12/5; 5/2; 23/10; 11/5; 12/5; 23/10; 49/20; 23/10; 27/11; 23/10; ; 21/10; ; 
Osasuna; 12/5; 12/5; 12/5; ; 5/2; 23/10; 5/2; 9/4; 23/10; 12/5; 9/4; 5/2; 12/5; 12/5; 23/10; 5/2; 40/17; 21/10; 12/5; 40/17; 5/2; 11/5; 12/5; 12/5; ; 11/5; ; 
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-06 06:18:21 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 11/10; 11/10; 23/20; ; 23/20; 6/5; 23/20; 11/10; 6/5; 11/10; 11/10; 23/20; 11/10; 23/20; 6/5; 15/13; 11/10; 6/5; 10/9; 11/10; 5/4; 8/7; 8/7; 23/20; ; 21/20; ; 
Draw; 12/5; 5/2; 12/5; ; 5/2; 5/2; 5/2; 21/10; 12/5; 23/10; 9/4; 23/10; 49/20; 9/4; 12/5; 5/2; 23/10; 11/5; 12/5; 23/10; 49/20; 23/10; 27/11; 23/10; ; 11/5; ; 
Osasuna; 12/5; 12/5; 12/5; ; 5/2; 12/5; 12/5; 9/4; 23/10; 12/5; 9/4; 5/2; 12/5; 5/2; 23/10; 5/2; 40/17; 11/5; 12/5; 40/17; 5/2; 11/5; 12/5; 12/5; ; 11/5; ; 
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-06 10:18:20 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 11/10; 11/10; 23/20; ; 23/20; 6/5; 23/20; 11/10; 6/5; 11/10; 11/10; 23/20; 11/10; 23/20; 6/5; 15/13; 11/10; 11/10; 10/9; 11/10; 5/4; 8/7; 8/7; 23/20; ; 21/20; ; 
Draw; 12/5; 5/2; 12/5; ; 5/2; 5/2; 5/2; 21/10; 12/5; 23/10; 9/4; 9/4; 49/20; 9/4; 12/5; 5/2; 23/10; 9/4; 12/5; 23/10; 49/20; 23/10; 27/11; 23/10; ; 11/5; ; 
Osasuna; 12/5; 12/5; 12/5; ; 5/2; 12/5; 12/5; 9/4; 23/10; 12/5; 9/4; 5/2; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 11/5; 12/5; 12/5; ; 11/5; ; 
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-06 14:18:36 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 11/10; 11/10; 23/20; ; 23/20; 6/5; 23/20; 11/10; 6/5; 11/10; 11/10; 23/20; 11/10; 23/20; 6/5; 15/13; 11/10; 11/10; 10/9; 11/10; 31/25; 8/7; 8/7; 23/20; ; 1; 10/9; 23/20
Draw; 12/5; 5/2; 12/5; ; 5/2; 5/2; 5/2; 21/10; 12/5; 12/5; 23/10; 12/5; 49/20; 23/10; 12/5; 5/2; 23/10; 9/4; 12/5; 23/10; 49/20; 23/10; 27/11; 23/10; ; 2; 21/10; 5/2
Osasuna; 12/5; 12/5; 47/20; ; 5/2; 12/5; 12/5; 9/4; 23/10; 12/5; 9/4; 23/10; 12/5; 12/5; 23/10; 5/2; 12/5; 5/2; 12/5; 40/17; 129/50; 11/5; 12/5; 23/10; ; 21/10; 11/5; 5/2
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-06 18:18:51 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 11/10; 11/10; 23/20; ; 23/20; 6/5; 23/20; 11/10; 6/5; 11/10; 11/10; 23/20; 11/10; 23/20; 6/5; 15/13; 11/10; 11/10; 10/9; 11/10; 31/25; 8/7; 8/7; 23/20; ; 11/10; 10/9; 23/20
Draw; 12/5; 12/5; 12/5; ; 5/2; 5/2; 5/2; 21/10; 12/5; 12/5; 23/10; 12/5; 49/20; 23/10; 12/5; 5/2; 23/10; 9/4; 23/10; 23/10; 49/20; 23/10; 40/17; 23/10; ; 11/5; 21/10; 12/5
Osasuna; 12/5; 12/5; 47/20; ; 5/2; 12/5; 12/5; 9/4; 23/10; 12/5; 9/4; 23/10; 12/5; 12/5; 23/10; 5/2; 12/5; 5/2; 12/5; 12/5; 129/50; 11/5; 27/11; 23/10; ; 21/10; 21/10; 5/2
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-06 22:18:44 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 11/10; 11/10; 23/20; ; 23/20; 6/5; 23/20; 11/10; 6/5; 11/10; 11/10; 23/20; 11/10; 23/20; 6/5; 15/13; 11/10; 11/10; 10/9; 11/10; 123/100; 8/7; 8/7; 23/20; ; 10/9; 10/9; 23/20
Draw; 12/5; 12/5; 12/5; ; 5/2; 12/5; 5/2; 21/10; 12/5; 12/5; 23/10; 12/5; 49/20; 23/10; 12/5; 5/2; 23/10; 9/4; 23/10; 23/10; 49/20; 23/10; 40/17; 12/5; ; 23/10; 23/10; 12/5
Osasuna; 12/5; 12/5; 47/20; ; 5/2; 12/5; 12/5; 9/4; 23/10; 12/5; 9/4; 23/10; 12/5; 12/5; 23/10; 5/2; 12/5; 5/2; 12/5; 12/5; 13/5; 11/5; 27/11; 12/5; ; 23/10; 23/10; 5/2
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-07 02:19:26 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 11/10; 11/10; 23/20; ; 23/20; 6/5; 23/20; 11/10; 6/5; 11/10; 11/10; 23/20; 11/10; 23/20; 6/5; 15/13; 11/10; 11/10; 10/9; 11/10; 123/100; 8/7; 8/7; 23/20; ; 10/9; 10/9; 23/20
Draw; 12/5; 12/5; 12/5; ; 5/2; 5/2; 5/2; 21/10; 12/5; 12/5; 23/10; 12/5; 49/20; 23/10; 12/5; 5/2; 23/10; 9/4; 23/10; 23/10; 49/20; 23/10; 40/17; 12/5; ; 23/10; 23/10; 12/5
Osasuna; 12/5; 12/5; 47/20; ; 5/2; 12/5; 12/5; 9/4; 23/10; 12/5; 9/4; 23/10; 12/5; 12/5; 23/10; 5/2; 12/5; 5/2; 12/5; 12/5; 13/5; 11/5; 27/11; 12/5; ; 23/10; 23/10; 5/2
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-07 06:18:18 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 11/10; 11/10; 23/20; ; 23/20; 6/5; 23/20; 11/10; 6/5; 11/10; 11/10; 23/20; 11/10; 23/20; 6/5; 15/13; 11/10; 11/10; 10/9; 11/10; 123/100; 8/7; 8/7; 23/20; ; 10/9; 10/9; 23/20
Draw; 12/5; 12/5; 12/5; ; 5/2; 5/2; 5/2; 21/10; 12/5; 12/5; 23/10; 12/5; 49/20; 23/10; 12/5; 5/2; 23/10; 9/4; 23/10; 23/10; 49/20; 23/10; 40/17; 12/5; ; 23/10; 23/10; 12/5
Osasuna; 12/5; 12/5; 12/5; ; 5/2; 12/5; 12/5; 9/4; 23/10; 12/5; 9/4; 23/10; 12/5; 12/5; 23/10; 5/2; 12/5; 5/2; 12/5; 12/5; 13/5; 11/5; 27/11; 12/5; ; 23/10; 23/10; 5/2
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-07 10:18:19 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 11/10; 11/10; 23/20; ; 23/20; 23/20; 23/20; 11/10; 6/5; 11/10; 11/10; 23/20; 11/10; 23/20; 6/5; 15/13; 11/10; 11/10; 10/9; 11/10; 123/100; 8/7; 8/7; 23/20; ; 10/9; 10/9; 23/20
Draw; 12/5; 12/5; 12/5; ; 5/2; 5/2; 5/2; 21/10; 12/5; 12/5; 23/10; 12/5; 49/20; 23/10; 12/5; 5/2; 23/10; 9/4; 23/10; 23/10; 49/20; 23/10; 40/17; 12/5; ; 23/10; 23/10; 5/2
Osasuna; 12/5; 12/5; 12/5; ; 5/2; 5/2; 12/5; 9/4; 23/10; 12/5; 9/4; 23/10; 12/5; 12/5; 23/10; 5/2; 12/5; 5/2; 12/5; 12/5; 13/5; 11/5; 27/11; 12/5; ; 23/10; 23/10; 5/2
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-07 14:19:03 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 11/10; 11/10; 23/20; ; 23/20; 23/20; 23/20; 11/10; 6/5; 11/10; 11/10; 23/20; 11/10; 23/20; 6/5; 15/13; 11/10; 11/10; 10/9; 11/10; 121/100; 8/7; 8/7; 23/20; ; 10/9; 10/9; 23/20
Draw; 12/5; 12/5; 12/5; ; 5/2; 5/2; 5/2; 21/10; 12/5; 12/5; 23/10; 12/5; 49/20; 23/10; 12/5; 5/2; 23/10; 9/4; 23/10; 23/10; 49/20; 23/10; 40/17; 12/5; ; 23/10; 23/10; 5/2
Osasuna; 12/5; 12/5; 12/5; ; 5/2; 5/2; 12/5; 9/4; 23/10; 12/5; 9/4; 23/10; 12/5; 12/5; 23/10; 5/2; 12/5; 5/2; 12/5; 12/5; 66/25; 11/5; 27/11; 12/5; ; 23/10; 23/10; 5/2
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-07 18:19:20 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 11/10; 11/10; 23/20; ; 23/20; 6/5; 23/20; 11/10; 6/5; 11/10; 11/10; 23/20; 11/10; 23/20; 23/20; 15/13; 11/10; 11/10; 10/9; 11/10; 6/5; 8/7; 8/7; 23/20; ; 10/9; 10/9; 23/20
Draw; 12/5; 5/2; 49/20; ; 5/2; 5/2; 5/2; 21/10; 12/5; 12/5; 23/10; 12/5; 49/20; 23/10; 12/5; 5/2; 23/10; 9/4; 23/10; 23/10; 49/20; 23/10; 40/17; 12/5; ; 23/10; 12/5; 5/2
Osasuna; 12/5; 23/10; 47/20; ; 5/2; 12/5; 12/5; 9/4; 23/10; 12/5; 11/5; 23/10; 12/5; 12/5; 12/5; 5/2; 40/17; 5/2; 12/5; 40/17; 67/25; 11/5; 27/11; 12/5; ; 23/10; 23/10; 5/2
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-07 22:20:15 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 11/10; 11/10; 23/20; 23/20; 23/20; 23/20; 23/20; 11/10; 6/5; 11/10; 11/10; 23/20; 11/10; 23/20; 23/20; 15/13; 11/10; 11/10; 10/9; 11/10; 6/5; 8/7; 8/7; 23/20; ; 11/10; 10/9; 23/20
Draw; 12/5; 5/2; 49/20; 12/5; 5/2; 5/2; 5/2; 23/10; 12/5; 12/5; 23/10; 12/5; 49/20; 23/10; 12/5; 5/2; 23/10; 9/4; 23/10; 23/10; 49/20; 23/10; 40/17; 12/5; ; 23/10; 12/5; 12/5
Osasuna; 12/5; 23/10; 47/20; 23/10; 5/2; 5/2; 12/5; 12/5; 23/10; 12/5; 11/5; 23/10; 12/5; 12/5; 12/5; 5/2; 40/17; 5/2; 12/5; 40/17; 67/25; 11/5; 27/11; 12/5; ; 12/5; 23/10; 5/2
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-08 02:18:50 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 11/10; 11/10; 23/20; 23/20; 23/20; 23/20; 23/20; 11/10; 6/5; 11/10; 11/10; 23/20; 11/10; 23/20; 23/20; 15/13; 11/10; 11/10; 10/9; 11/10; 119/100; 8/7; 8/7; 23/20; ; 11/10; 10/9; 23/20
Draw; 12/5; 5/2; 49/20; 12/5; 5/2; 5/2; 5/2; 23/10; 12/5; 12/5; 23/10; 12/5; 49/20; 23/10; 12/5; 5/2; 40/17; 9/4; 23/10; 40/17; 49/20; 23/10; 40/17; 12/5; ; 12/5; 12/5; 5/2
Osasuna; 12/5; 23/10; 47/20; 23/10; 5/2; 5/2; 12/5; 12/5; 23/10; 12/5; 11/5; 23/10; 12/5; 12/5; 12/5; 5/2; 40/17; 5/2; 12/5; 40/17; 68/25; 11/5; 27/11; 12/5; ; 23/10; 23/10; 12/5
META; spain/la-liga-primera/osasuna-v-eibar; 2017-03-08 06:18:12 GMT+2; 2017-03-13 19:45; Nothing; Xlenovo
Eibar; 11/10; 11/10; 23/20; 23/20; 23/20; 23/20; 23/20; 11/10; 6/5; 11/10; 11/10; 23/20; 11/10; 23/20; 23/20; 15/13; 11/10; 11/10; 10/9; 11/10; 119/100; 8/7; 8/7; 23/20; ; 11/10; 10/9; 23/20
