META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-14 14:20:27 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-16 18:19:01 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-16 22:18:42 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-17 02:18:54 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-17 06:18:22 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-17 10:18:36 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-17 14:21:20 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-17 18:21:11 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-17 22:18:39 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-18 02:19:22 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-18 06:19:06 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-18 10:19:30 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/5; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-18 14:21:24 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/5; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-18 18:20:54 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/5; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-18 22:20:17 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/5; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-19 02:19:34 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/5; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-19 06:18:26 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/5; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-19 10:19:33 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/5; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-19 14:19:16 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/5; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-19 18:20:38 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; ; 18/25; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/5; ; ; 47/10; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-19 22:18:40 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/4; ; ; 71/100; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; 57/20; ; ; ; ; ; ; ; 
Espanyol; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18/5; ; ; 24/5; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-20 02:19:03 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 4/5; ; 4/5; ; ; ; 5/6; ; ; 4/5; 3/4; ; ; ; ; 5/6; 10/13; 3/4; ; 10/13; 18/25; ; ; ; ; ; ; ; 
Draw; 13/5; ; 12/5; ; ; ; 13/5; ; ; 13/5; 12/5; ; ; ; ; 27/10; 28/11; 5/2; ; 28/11; 29/10; ; ; ; ; ; ; ; 
Espanyol; 10/3; ; 3; ; ; ; 7/2; ; ; 10/3; 10/3; ; ; ; ; 7/2; 33/10; 18/5; ; 33/10; 23/5; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-20 06:17:30 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 4/5; ; 4/5; ; ; ; 5/6; ; ; 4/5; 3/4; 4/5; ; ; ; 5/6; 10/13; 3/4; ; 10/13; 18/25; ; ; ; ; ; ; ; 
Draw; 13/5; ; 12/5; ; ; ; 13/5; ; ; 13/5; 12/5; 5/2; ; ; ; 27/10; 28/11; 5/2; ; 28/11; 29/10; ; ; ; ; ; ; ; 
Espanyol; 10/3; ; 3; ; ; ; 7/2; ; ; 10/3; 10/3; 7/2; ; ; ; 7/2; 33/10; 18/5; ; 33/10; 23/5; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-20 10:17:58 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 4/5; ; 5/6; ; ; ; 5/6; ; ; 4/5; 3/4; 4/5; ; ; ; 5/6; 10/13; 3/4; ; 10/13; 18/25; ; ; ; ; ; ; ; 
Draw; 13/5; ; 5/2; ; ; ; 13/5; ; ; 13/5; 12/5; 5/2; ; ; ; 27/10; 28/11; 5/2; ; 28/11; 29/10; ; ; ; ; ; ; ; 
Espanyol; 10/3; ; 7/2; ; ; ; 7/2; ; ; 10/3; 10/3; 7/2; ; ; ; 7/2; 33/10; 18/5; ; 33/10; 23/5; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-20 14:18:23 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 7/10; ; 8/11; ; ; ; 8/11; ; ; 8/11; 7/10; 8/11; ; ; 3/4; 8/11; 9/13; 3/4; ; 9/13; 18/25; 7/9; ; ; ; ; ; ; 
Draw; 11/4; ; 13/5; ; ; ; 11/4; ; ; 13/5; 5/2; 13/5; ; ; 11/4; 14/5; 13/5; 5/2; ; 13/5; 29/10; 13/5; ; ; ; ; ; ; 
Espanyol; 15/4; ; 4; ; ; ; 4; ; ; 15/4; 15/4; 15/4; ; ; 15/4; 4; 19/5; 18/5; ; 19/5; 23/5; 31/10; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-20 18:18:38 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; ; ; 8/11; 13/20; ; 8/13; 13/20; 8/13; 4/6; ; ; 4/6; 8/13; 8/13; 3/4; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; ; ; 11/4; 14/5; ; 14/5; 13/5; 13/5; 13/5; ; ; 11/4; 14/5; 27/10; 5/2; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; ; ; 15/4; 9/2; ; 17/4; 9/2; 21/5; 4; ; ; 9/2; 9/2; 43/10; 18/5; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-20 22:18:22 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; ; ; 8/11; 13/20; ; 8/13; 13/20; 8/13; 4/6; ; ; 4/6; 8/13; 8/13; 3/4; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; ; ; 11/4; 14/5; ; 14/5; 11/4; 13/5; 13/5; ; ; 11/4; 14/5; 27/10; 5/2; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; ; ; 15/4; 9/2; ; 17/4; 9/2; 21/5; 4; ; ; 9/2; 9/2; 43/10; 18/5; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-21 02:18:23 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; ; ; 8/11; 13/20; ; 8/13; 13/20; 8/13; 4/6; ; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; ; ; 11/4; 14/5; ; 14/5; 11/4; 13/5; 13/5; ; ; 11/4; 14/5; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; ; ; 15/4; 9/2; ; 17/4; 9/2; 21/5; 4; ; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-21 06:18:03 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; ; ; 8/11; 13/20; ; 8/13; 13/20; 8/13; 4/6; ; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; ; ; 11/4; 14/5; ; 14/5; 11/4; 13/5; 13/5; ; ; 11/4; 14/5; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; ; ; 15/4; 9/2; ; 17/4; 9/2; 21/5; 4; ; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-21 10:17:59 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 8/11; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 11/4; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 15/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-21 14:18:28 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 8/11; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 11/4; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 15/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-21 18:18:27 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 8/11; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 8/13; 7/10; ; 8/13; 18/25; 13/19; ; ; ; ; ; ; 
Draw; 14/5; ; 27/10; 13/5; ; 11/4; 14/5; ; 14/5; 11/4; 13/5; 13/5; 11/4; ; 11/4; 11/4; 27/10; 13/5; ; 27/10; 29/10; 27/10; ; ; ; ; ; ; 
Espanyol; 4; ; 9/2; 9/2; ; 15/4; 9/2; ; 17/4; 9/2; 21/5; 4; 17/4; ; 9/2; 9/2; 43/10; 4; ; 43/10; 23/5; 62/17; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-espanyol; 2017-03-21 22:18:40 GMT+2; 2017-04-04 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/20; ; 4/6; 4/6; ; 8/11; 13/20; ; 8/13; 13/20; 8/13; 4/6; 13/20; ; 4/6; 8/13; 11/18; 7/10; ; 11/18; 18/25; 13/19; ; ; ; ; ; ; 
