META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-14 02:20:20 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 3/5; ; 4/6; ; ; 7/10; 7/10; ; ; 4/6; 4/6; 4/6; 4/6; ; 8/11; 4/6; 11/17; ; 4/6; 11/17; 4/6; 5/7; 7/10; ; ; ; ; 
Draw; 11/4; ; 29/10; ; ; 3; 3; ; 3; 14/5; 11/4; 3; 59/20; ; 3; 3; 11/4; 3; 11/4; ; 67/20; 14/5; 11/4; ; ; ; ; 
Villarreal; 9/2; ; 37/10; ; ; 19/5; 19/5; ; 7/2; 7/2; 7/2; 10/3; 15/4; ; 7/2; 4; 15/4; 18/5; 4; ; 41/10; 33/10; 4; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-15 18:18:47 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; ; 4/6; ; ; 8/11; 4/6; ; 4/6; 7/10; 4/6; 7/10; 4/6; ; 8/11; 7/10; 4/6; 11/17; 4/6; ; 7/10; 5/7; 7/10; ; ; ; ; 
Draw; 11/4; ; 27/10; ; ; 3; 3; ; 3; 14/5; 11/4; 3; 59/20; ; 3; 3; 11/4; 3; 11/4; ; 67/20; 14/5; 11/4; ; ; ; ; 
Villarreal; 9/2; ; 17/5; ; ; 19/5; 19/5; ; 7/2; 7/2; 7/2; 10/3; 15/4; ; 7/2; 4; 15/4; 18/5; 4; ; 41/10; 33/10; 4; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-15 22:19:50 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; ; 8/11; ; ; 8/11; 4/6; ; 4/6; 7/10; 4/6; 8/11; 4/6; ; 8/11; 7/10; 4/6; 11/17; 4/6; 4/6; 71/100; ; 7/10; ; ; ; ; 
Draw; 11/4; ; 29/10; ; ; 3; 3; ; 3; 14/5; 11/4; 14/5; 59/20; ; 3; 3; 14/5; 3; 11/4; 14/5; 13/4; ; 11/4; ; ; ; ; 
Villarreal; 9/2; ; 37/10; ; ; 19/5; 19/5; ; 7/2; 7/2; 7/2; 7/2; 15/4; ; 7/2; 4; 37/10; 18/5; 4; 37/10; 41/10; ; 4; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-16 02:20:44 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; ; 8/11; ; ; 8/11; 4/6; ; 4/6; 7/10; 4/6; 7/10; 4/6; ; 8/11; 7/10; 4/6; 11/17; 4/6; 4/6; 71/100; 5/7; 7/10; ; ; ; ; 
Draw; 11/4; ; 29/10; ; ; 3; 3; ; 3; 14/5; 11/4; 3; 59/20; ; 3; 3; 11/4; 3; 11/4; 11/4; 13/4; 14/5; 11/4; ; ; ; ; 
Villarreal; 9/2; ; 37/10; ; ; 19/5; 19/5; ; 7/2; 7/2; 7/2; 7/2; 15/4; ; 7/2; 4; 15/4; 18/5; 4; 15/4; 41/10; 33/10; 4; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-16 06:18:58 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; ; 8/11; ; ; 8/11; 4/6; ; 4/6; 7/10; 4/6; 7/10; 4/6; ; 8/11; 4/6; 4/6; 11/17; 4/6; 4/6; 71/100; 5/7; 7/10; ; ; ; ; 
Draw; 11/4; ; 29/10; ; ; 3; 3; ; 3; 14/5; 11/4; 3; 59/20; ; 3; 3; 11/4; 3; 11/4; 11/4; 13/4; 14/5; 11/4; ; ; ; ; 
Villarreal; 9/2; ; 37/10; ; ; 19/5; 19/5; ; 7/2; 7/2; 7/2; 7/2; 15/4; ; 7/2; 9/2; 15/4; 18/5; 4; 15/4; 41/10; 33/10; 4; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-16 10:19:22 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; ; 8/11; ; ; 8/11; 4/6; ; 4/6; 7/10; 4/6; 7/10; 4/6; ; 8/11; 7/10; 4/6; 11/17; 4/6; 4/6; 71/100; 5/7; 7/10; ; ; ; ; 
Draw; 11/4; ; 29/10; ; ; 3; 3; ; 3; 14/5; 11/4; 3; 59/20; ; 3; 3; 11/4; 3; 11/4; 11/4; 13/4; 14/5; 11/4; ; ; ; ; 
Villarreal; 9/2; ; 37/10; ; ; 19/5; 19/5; ; 7/2; 7/2; 7/2; 7/2; 15/4; ; 7/2; 4; 15/4; 18/5; 4; 15/4; 41/10; 33/10; 4; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-16 14:20:13 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; ; 8/11; ; ; 8/11; 4/6; ; 4/6; 7/10; 4/6; 7/10; 4/6; ; 8/11; 7/10; 4/6; 11/17; 4/6; 4/6; 71/100; 5/7; 7/10; ; ; ; ; 
Draw; 11/4; ; 29/10; ; ; 3; 3; ; 3; 14/5; 11/4; 3; 59/20; ; 3; 3; 11/4; 3; 11/4; 14/5; 13/4; 14/5; 11/4; ; ; ; ; 
Villarreal; 9/2; ; 37/10; ; ; 19/5; 19/5; ; 7/2; 7/2; 7/2; 7/2; 15/4; ; 7/2; 4; 15/4; 18/5; 4; 15/4; 41/10; 33/10; 4; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-16 18:19:20 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; ; 8/11; ; ; 8/11; 4/6; ; 4/6; 7/10; 4/6; 7/10; 4/6; ; 8/11; 7/10; 4/6; 11/17; 4/6; 4/6; 71/100; 5/7; 7/10; ; ; ; ; 
Draw; 11/4; ; 29/10; ; ; 3; 3; ; 3; 14/5; 11/4; 3; 59/20; ; 3; 3; 14/5; 3; 11/4; 14/5; 13/4; 14/5; 11/4; ; ; ; ; 
Villarreal; 9/2; ; 37/10; ; ; 19/5; 19/5; ; 7/2; 7/2; 7/2; 7/2; 15/4; ; 7/2; 4; 15/4; 18/5; 4; 15/4; 41/10; 33/10; 4; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-16 22:19:51 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; ; 8/11; ; ; 8/11; 4/6; ; 4/6; 7/10; 4/6; 8/11; 4/6; ; 8/11; 7/10; 4/6; 11/17; 4/6; 4/6; 71/100; ; 7/10; ; ; ; ; 
Draw; 11/4; ; 29/10; ; ; 3; 3; ; 3; 14/5; 11/4; 14/5; 59/20; ; 3; 3; 14/5; 3; 11/4; 14/5; 13/4; ; 11/4; ; ; ; ; 
Villarreal; 9/2; ; 37/10; ; ; 19/5; 19/5; ; 7/2; 7/2; 7/2; 7/2; 15/4; ; 7/2; 4; 15/4; 18/5; 4; 15/4; 41/10; ; 4; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-17 02:20:47 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; ; 8/11; ; ; 8/11; 4/6; ; 4/6; 7/10; 4/6; 7/10; 4/6; ; 8/11; 7/10; 4/6; 11/17; 4/6; 4/6; 7/10; 5/7; 7/10; ; ; ; ; 
Draw; 11/4; ; 29/10; ; ; 3; 3; ; 3; 3; 11/4; 14/5; 59/20; ; 3; 3; 14/5; 3; 11/4; 14/5; 13/4; 14/5; 11/4; ; ; ; ; 
Villarreal; 9/2; ; 37/10; ; ; 19/5; 19/5; ; 7/2; 7/2; 7/2; 7/2; 15/4; ; 7/2; 4; 15/4; 18/5; 4; 15/4; 21/5; 33/10; 4; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-17 06:19:11 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; ; 8/11; ; ; 8/11; 4/6; ; 4/6; 7/10; 4/6; 7/10; 4/6; ; 8/11; 7/10; 4/6; 11/17; 4/6; 4/6; 7/10; 5/7; 7/10; ; ; ; ; 
Draw; 11/4; ; 29/10; ; ; 3; 3; ; 3; 3; 11/4; 14/5; 59/20; ; 3; 3; 14/5; 3; 11/4; 14/5; 13/4; 14/5; 11/4; ; ; ; ; 
Villarreal; 9/2; ; 37/10; ; ; 19/5; 19/5; ; 7/2; 7/2; 7/2; 7/2; 15/4; ; 7/2; 4; 15/4; 18/5; 4; 15/4; 21/5; 33/10; 4; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-17 10:19:30 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; ; 8/11; ; ; 8/11; 4/6; ; 4/6; 7/10; 4/6; 7/10; 4/6; ; 8/11; 7/10; 4/6; 11/17; 4/6; 4/6; 7/10; 5/7; 7/10; ; ; ; ; 
Draw; 11/4; ; 29/10; ; ; 3; 3; ; 3; 3; 11/4; 14/5; 59/20; ; 3; 3; 14/5; 3; 11/4; 14/5; 13/4; 14/5; 11/4; ; ; ; ; 
Villarreal; 9/2; ; 37/10; ; ; 19/5; 19/5; ; 7/2; 7/2; 7/2; 7/2; 15/4; ; 7/2; 4; 15/4; 18/5; 4; 15/4; 21/5; 33/10; 4; ; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-17 18:20:16 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; ; 8/11; ; ; 8/11; 4/6; ; 4/6; 7/10; 4/6; 7/10; 4/6; ; 8/11; 4/6; 4/6; 11/17; 4/6; 4/6; 7/10; 5/7; 7/10; 4/6; ; ; ; 
Draw; 11/4; ; 29/10; ; ; 3; 3; ; 3; 3; 11/4; 14/5; 59/20; ; 3; 3; 14/5; 3; 11/4; 14/5; 13/4; 14/5; 11/4; 11/4; ; ; ; 
Villarreal; 9/2; ; 37/10; ; ; 19/5; 19/5; ; 7/2; 7/2; 7/2; 7/2; 15/4; ; 7/2; 4; 15/4; 18/5; 4; 15/4; 21/5; 33/10; 4; 4; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-17 22:19:46 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; ; 8/11; ; ; 8/11; 4/6; ; 4/6; 7/10; 4/6; 7/10; 4/6; ; 8/11; 4/6; 11/17; 11/17; 4/6; 4/6; 7/10; 5/7; 7/10; 4/6; ; ; ; 
Draw; 11/4; ; 29/10; ; ; 3; 3; ; 3; 14/5; 11/4; 14/5; 59/20; ; 3; 3; 37/13; 3; 11/4; 37/13; 13/4; 14/5; 11/4; 11/4; ; ; ; 
Villarreal; 9/2; ; 37/10; ; ; 19/5; 19/5; ; 7/2; 7/2; 7/2; 7/2; 15/4; ; 7/2; 4; 50/13; 18/5; 4; 15/4; 21/5; 33/10; 4; 4; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-18 02:19:42 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; ; 8/11; ; ; 8/11; 4/6; ; 4/6; 7/10; 4/6; 7/10; 4/6; ; 8/11; 4/6; 11/17; 11/17; 4/6; 11/17; 7/10; 5/7; 7/10; 4/6; ; ; ; 
Draw; 11/4; ; 29/10; ; ; 3; 3; ; 3; 14/5; 11/4; 14/5; 59/20; ; 3; 3; 14/5; 3; 11/4; 14/5; 13/4; 14/5; 11/4; 11/4; ; ; ; 
Villarreal; 9/2; ; 37/10; ; ; 19/5; 19/5; ; 7/2; 7/2; 7/2; 7/2; 15/4; ; 7/2; 4; 39/10; 18/5; 4; 39/10; 21/5; 33/10; 4; 4; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-18 06:19:41 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; ; 8/11; ; ; 8/11; 4/6; ; 4/6; 7/10; 4/6; 7/10; 4/6; ; 8/11; 4/6; 11/17; 11/17; 4/6; 11/17; 7/10; 5/7; 7/10; 4/6; ; ; ; 
Draw; 11/4; ; 29/10; ; ; 3; 3; ; 3; 14/5; 11/4; 14/5; 59/20; ; 3; 3; 14/5; 3; 11/4; 14/5; 13/4; 14/5; 11/4; 11/4; ; ; ; 
Villarreal; 9/2; ; 37/10; ; ; 19/5; 19/5; ; 7/2; 7/2; 7/2; 7/2; 15/4; ; 7/2; 4; 39/10; 18/5; 4; 39/10; 21/5; 33/10; 4; 4; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-18 10:20:40 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; ; 8/11; ; ; 8/11; 4/6; ; 4/6; 7/10; 4/6; 7/10; 4/6; ; 8/11; 4/6; 11/17; 11/17; 4/6; 11/17; 7/10; 5/7; 7/10; 4/6; ; ; ; 
Draw; 11/4; ; 29/10; ; ; 3; 3; ; 3; 14/5; 11/4; 14/5; 59/20; ; 3; 3; 14/5; 3; 11/4; 14/5; 13/4; 14/5; 11/4; 11/4; ; ; ; 
Villarreal; 9/2; ; 37/10; ; ; 19/5; 19/5; ; 7/2; 7/2; 7/2; 7/2; 15/4; ; 7/2; 4; 39/10; 18/5; 4; 39/10; 21/5; 33/10; 4; 4; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-18 14:22:36 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; ; 8/11; ; ; 8/11; 4/6; ; 4/6; 7/10; 4/6; 7/10; 4/6; ; 8/11; 4/6; 11/17; 11/17; 4/6; 11/17; 7/10; 5/7; 7/10; 4/6; ; ; ; 
Draw; 11/4; ; 29/10; ; ; 3; 3; ; 3; 14/5; 11/4; 14/5; 59/20; ; 3; 3; 14/5; 3; 11/4; 14/5; 13/4; 14/5; 11/4; 11/4; ; ; ; 
Villarreal; 9/2; ; 37/10; ; ; 19/5; 19/5; ; 7/2; 7/2; 7/2; 7/2; 15/4; ; 7/2; 4; 39/10; 18/5; 4; 39/10; 21/5; 33/10; 4; 4; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-18 18:18:54 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; ; 7/10; ; ; 7/10; 4/6; ; 4/6; 7/10; 4/6; 7/10; 4/6; ; 8/11; 4/6; 11/17; 11/17; 4/6; 11/17; 7/10; ; 7/10; 4/6; ; ; ; 
Draw; 11/4; ; 29/10; ; ; 3; 3; ; 3; 3; 11/4; 14/5; 59/20; ; 3; 3; 37/13; 3; 11/4; 37/13; 13/4; ; 11/4; 11/4; ; ; ; 
Villarreal; 9/2; ; 19/5; ; ; 4; 19/5; ; 7/2; 7/2; 18/5; 7/2; 15/4; ; 7/2; 4; 39/10; 18/5; 4; 39/10; 21/5; ; 4; 4; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-18 22:19:13 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; ; 7/10; ; 4/6; 7/10; 4/6; ; 4/6; 7/10; 4/6; 7/10; 4/6; ; 8/11; 4/6; 11/17; 11/17; 4/6; 11/17; 4/6; 5/7; 7/10; 4/6; ; ; ; 
Draw; 11/4; ; 29/10; ; 3; 3; 3; ; 3; 3; 11/4; 14/5; 59/20; ; 3; 3; 37/13; 3; 11/4; 37/13; 33/10; 14/5; 11/4; 11/4; ; ; ; 
Villarreal; 9/2; ; 19/5; ; 9/2; 4; 19/5; ; 7/2; 7/2; 18/5; 7/2; 15/4; ; 7/2; 4; 39/10; 18/5; 4; 39/10; 9/2; 33/10; 4; 4; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-19 02:20:53 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; 2/3; 7/10; ; 4/6; 7/10; 4/6; 8/13; 4/6; 7/10; 4/6; 7/10; 4/6; ; 8/11; 4/6; 11/17; 11/17; 4/6; 11/17; 4/6; 5/7; 7/10; 4/6; ; ; ; 
Draw; 11/4; 11/4; 29/10; ; 3; 3; 3; 3; 3; 3; 11/4; 14/5; 59/20; ; 3; 3; 37/13; 3; 11/4; 37/13; 33/10; 14/5; 11/4; 11/4; ; ; ; 
Villarreal; 9/2; 4; 19/5; ; 9/2; 4; 19/5; 4; 7/2; 7/2; 18/5; 7/2; 15/4; ; 7/2; 4; 39/10; 18/5; 4; 39/10; 9/2; 33/10; 4; 4; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-19 06:19:11 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; 2/3; 7/10; ; 4/6; 7/10; 4/6; 8/13; 4/6; 7/10; 4/6; 7/10; 4/6; ; 8/11; 4/6; 11/17; 11/17; 4/6; 11/17; 4/6; 5/7; 7/10; 4/6; ; ; ; 
Draw; 11/4; 11/4; 29/10; ; 3; 3; 3; 3; 3; 3; 11/4; 14/5; 59/20; ; 3; 3; 37/13; 3; 11/4; 37/13; 33/10; 14/5; 11/4; 11/4; ; ; ; 
Villarreal; 9/2; 4; 19/5; ; 9/2; 4; 19/5; 4; 7/2; 7/2; 18/5; 7/2; 15/4; ; 7/2; 4; 39/10; 18/5; 4; 39/10; 9/2; 33/10; 4; 4; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-19 10:19:45 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; 2/3; 7/10; ; 4/6; 7/10; 4/6; 8/13; 4/6; 7/10; 4/6; 7/10; 4/6; ; 8/11; 4/6; 11/17; 11/17; 4/6; 11/17; 4/6; 5/7; 7/10; 4/6; ; ; ; 
Draw; 11/4; 11/4; 29/10; ; 3; 3; 3; 3; 3; 3; 11/4; 14/5; 59/20; ; 3; 3; 37/13; 3; 11/4; 37/13; 33/10; 14/5; 11/4; 11/4; ; ; ; 
Villarreal; 9/2; 4; 19/5; ; 9/2; 4; 19/5; 4; 7/2; 7/2; 18/5; 7/2; 15/4; ; 7/2; 4; 39/10; 18/5; 4; 39/10; 9/2; 33/10; 4; 4; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-19 14:19:59 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; 2/3; 7/10; ; 4/6; 7/10; 4/6; 8/13; 4/6; 7/10; 4/6; 7/10; 4/6; ; 8/11; 4/6; 11/17; 11/17; 4/6; 11/17; 4/6; ; 7/10; 4/6; ; ; ; 
Draw; 11/4; 11/4; 29/10; ; 3; 3; 3; 3; 3; 3; 11/4; 14/5; 59/20; ; 3; 3; 37/13; 3; 11/4; 37/13; 33/10; ; 11/4; 11/4; ; ; ; 
Villarreal; 9/2; 4; 19/5; ; 9/2; 4; 19/5; 4; 7/2; 7/2; 18/5; 7/2; 15/4; ; 7/2; 4; 39/10; 18/5; 4; 39/10; 9/2; ; 4; 4; ; ; ; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-19 18:21:04 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; 7/10; 7/10; 4/6; 4/6; 7/10; 4/6; 8/13; 4/6; 7/10; 4/6; 7/10; 4/6; ; 8/11; 4/6; 11/17; 11/17; 4/6; 11/17; 17/25; 5/7; 7/10; 4/6; ; 8/13; ; 
Draw; 11/4; 3; 29/10; 3; 3; 3; 3; 3; 3; 3; 11/4; 14/5; 59/20; ; 3; 3; 37/13; 3; 11/4; 37/13; 16/5; 14/5; 11/4; 11/4; ; 14/5; ; 
Villarreal; 9/2; 18/5; 19/5; 15/4; 9/2; 4; 19/5; 4; 7/2; 7/2; 18/5; 7/2; 15/4; ; 7/2; 4; 39/10; 18/5; 4; 39/10; 9/2; 33/10; 4; 4; ; 7/2; ; 
META; spain/la-liga-primera/villarreal-v-real-madrid; 2017-02-19 22:19:26 GMT+2; 2017-02-26 19:45; Nothing; Xlenovo
Real Madrid; 8/13; 7/10; 7/10; 4/6; 4/6; 7/10; 4/6; 8/13; 4/6; 7/10; 4/6; 7/10; 4/6; ; 8/11; 4/6; 11/17; 11/17; 4/6; 11/17; 17/25; 5/7; 13/19; 4/6; ; 8/13; 4/6; 
