Eibar; ; ; ; ; ; ; ; 10/11; 10/11; ; ; ; ; ; ; 19/20; 13/15; 19/20; 9/10; 13/15; 101/100; ; 9/10; ; 9/10; ; 23/20; ; 
Draw; ; ; ; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; 5/2; 40/17; 5/2; 12/5; 40/17; 68/25; ; 12/5; ; 12/5; ; 21/10; ; 
Gijon; ; ; ; ; ; ; ; 5/2; 14/5; ; ; ; ; ; ; 31/10; 31/10; 11/4; 3; 31/10; 3; ; 16/5; ; 16/5; ; 13/5; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-07 22:18:12 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; ; ; ; ; ; ; 10/11; 21/20; ; ; 1; ; ; ; 1; 1; 21/20; 1; 1; 123/100; ; 1; ; 1; ; 23/20; ; 
Draw; ; ; ; ; ; ; ; 23/10; 12/5; ; ; 12/5; ; ; ; 5/2; 40/17; 9/4; 12/5; 40/17; 12/5; ; 12/5; ; 12/5; ; 21/10; ; 
Gijon; ; ; ; ; ; ; ; 5/2; 13/5; ; ; 13/5; ; ; ; 29/10; 27/10; 13/5; 11/4; 27/10; 12/5; ; 11/4; ; 11/4; ; 13/5; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-08 02:18:04 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; ; ; ; ; ; ; 19/20; 21/20; ; ; 21/20; ; ; ; 21/20; 21/20; 21/20; 11/10; 21/20; 6/5; ; 11/10; ; 11/10; ; 23/20; ; 
Draw; ; ; ; ; ; ; ; 23/10; 12/5; ; ; 5/2; ; ; ; 13/5; 12/5; 9/4; 12/5; 12/5; 47/20; ; 27/11; ; 5/2; ; 21/10; ; 
Gijon; ; ; ; ; ; ; ; 12/5; 13/5; ; ; 5/2; ; ; ; 13/5; 12/5; 13/5; 12/5; 12/5; 127/50; ; 27/11; ; 5/2; ; 5/2; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-08 10:17:59 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; ; ; ; ; ; 11/10; 19/20; 21/20; ; ; 21/20; ; ; ; 21/20; 21/20; 21/20; 11/10; 21/20; 6/5; ; 11/10; ; 11/10; ; 23/20; ; 
Draw; ; ; ; ; ; ; 12/5; 23/10; 12/5; ; ; 5/2; ; ; ; 13/5; 12/5; 9/4; 12/5; 12/5; 47/20; ; 27/11; ; 5/2; ; 21/10; ; 
Gijon; ; ; ; ; ; ; 13/5; 12/5; 13/5; ; ; 5/2; ; ; ; 13/5; 12/5; 13/5; 12/5; 12/5; 127/50; ; 27/11; ; 5/2; ; 5/2; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-08 14:18:09 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; 6/5; 23/20; 6/5; 6/4; 5/4; 5/4; 6/5; 11/8; 13/10; 23/20; 23/20; 6/5; 6/4; 5/4; 6/5; 11/8; 15/13; 5/4; ; 15/13; 13/10; ; 17/11; ; 17/11; ; 6/5; ; 
Gijon; 12/5; 19/10; 41/20; 9/5; 11/5; 9/4; 21/10; 9/5; 2; 19/10; 19/10; 2; 17/10; 11/5; 2; 2; 2; 11/5; ; 2; 52/25; ; 7/4; ; 7/4; ; 19/10; ; 
Draw; 11/5; 13/5; 27/10; 9/4; 5/2; 5/2; 13/5; 2; 5/2; 5/2; 5/2; 13/5; 5/2; 9/4; 14/5; 5/2; 5/2; 11/5; ; 5/2; 13/5; ; 12/5; ; 12/5; ; 9/4; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-08 18:18:01 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; 6/5; 6/5; 5/4; 5/4; 11/8; 6/5; 6/5; 6/5; 23/20; 23/20; 6/5; 23/20; 6/5; 6/5; 5/4; 15/13; 13/10; 6/5; 15/13; 63/50; 7/6; 6/5; 5/4; 6/5; ; 5/4; 5/4; 5/4
