META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-07 02:19:52 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/9; ; ; 13/100; 1/8; ; 1/9; 1/8; 1/9; 1/8; 1/10; ; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 3/20; 1/9; 1/8; ; ; 1/7; ; 
Barcelona; 1/10; ; 1/9; ; ; 13/100; 1/8; ; 1/9; 1/8; 1/9; 1/8; 1/10; ; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; 1/9; 1/8; ; ; 1/7; ; 
Draw; 9; ; 8; ; ; 9; 9; ; 17/2; 17/2; 8; 8; 17/2; ; 9; 9; 8; 6; 8; 8; 21/2; 79/10; 8; ; ; 1; ; 
Valencia; 18; ; 20; ; ; 20; 16; ; 18; 20; 22; 16; 22; ; 16; 20; 33/2; 14; 17; 33/2; 37/2; 14; 17; ; ; 21/20; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-07 18:19:50 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/9; ; ; 13/100; 1/8; ; 1/9; 1/8; 1/9; 1/8; 1/10; ; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; 1/9; 1/8; ; ; 2/13; ; 
Draw; 9; ; 8; ; ; 9; 9; ; 17/2; 17/2; 8; 8; 17/2; ; 9; 9; 8; 6; 8; 8; 21/2; 79/10; 8; ; ; 1; ; 
Valencia; 18; ; 20; ; ; 20; 16; ; 18; 20; 22; 16; 22; ; 16; 20; 33/2; 14; 17; 33/2; 37/2; 14; 17; ; ; 21/20; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-07 22:20:44 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/9; ; ; 13/100; 1/8; ; 1/9; 1/8; 1/9; 1/8; 1/10; ; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; 1/9; 1/8; ; ; 2/13; ; 
Draw; 9; ; 8; ; ; 9; 9; ; 17/2; 17/2; 8; 8; 17/2; ; 9; 9; 8; 6; 8; 8; 21/2; 79/10; 8; ; ; 1; ; 
Valencia; 18; ; 20; ; ; 20; 16; ; 18; 20; 22; 16; 22; ; 16; 20; 33/2; 14; 17; 33/2; 37/2; 14; 17; ; ; 21/20; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-08 02:19:28 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/9; ; ; 13/100; 1/8; ; 1/9; 1/8; 1/9; 1/8; 1/10; ; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; 1/9; 1/8; ; ; 1/7; ; 
Draw; 9; ; 8; ; ; 9; 9; ; 17/2; 17/2; 8; 8; 17/2; ; 9; 9; 8; 6; 8; 8; 21/2; 79/10; 8; ; ; 1; ; 
Valencia; 18; ; 20; ; ; 20; 16; ; 18; 20; 22; 16; 22; ; 16; 20; 67/4; 14; 17; 67/4; 37/2; 14; 17; ; ; 21/20; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-08 06:18:34 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/9; ; ; 13/100; 1/8; ; 1/9; 1/8; 1/9; 1/8; 1/10; ; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; 1/9; 1/8; ; ; 1/7; ; 
Draw; 9; ; 8; ; ; 9; 9; ; 17/2; 17/2; 8; 8; 17/2; ; 9; 9; 8; 6; 8; 8; 21/2; 79/10; 8; ; ; 1; ; 
Valencia; 18; ; 20; ; ; 20; 16; ; 18; 20; 22; 16; 22; ; 16; 20; 67/4; 14; 17; 67/4; 37/2; 14; 17; ; ; 21/20; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-08 10:21:10 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; ; ; ; 13/100; 1/8; ; 1/9; 1/8; 1/9; 1/8; 1/10; ; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; 1/9; 1/8; ; ; 1/7; ; 
Draw; 9; ; ; ; ; 9; 9; ; 17/2; 17/2; 8; 8; 17/2; ; 9; 9; 8; 6; 8; 8; 21/2; 79/10; 8; ; ; 1; ; 
Valencia; 18; ; ; ; ; 20; 16; ; 18; 20; 22; 16; 22; ; 16; 20; 33/2; 14; 17; 33/2; 37/2; 14; 17; ; ; 21/20; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-08 14:18:39 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/8; ; ; 13/100; 1/8; ; 1/9; 1/8; 1/9; 1/8; 1/10; ; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; 1/9; 1/8; ; ; 1/7; ; 
Draw; 9; ; 8; ; ; 9; 9; ; 17/2; 17/2; 8; 8; 17/2; ; 9; 9; 8; 6; 8; 8; 21/2; 79/10; 8; ; ; 1; ; 
Valencia; 18; ; 20; ; ; 20; 16; ; 18; 20; 22; 16; 22; ; 16; 20; 33/2; 14; 17; 33/2; 37/2; 14; 17; ; ; 21/20; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-08 18:18:40 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/8; ; ; 13/100; 1/8; ; 1/9; 1/8; 1/9; 1/8; 1/10; ; 1/8; 2/17; 1/10; 2/13; ; 1/10; 7/50; 1/9; ; ; ; 1/7; ; 
Draw; 9; ; 8; ; ; 9; 9; ; 17/2; 17/2; 8; 8; 17/2; ; 9; 9; 8; 6; ; 8; 21/2; 79/10; ; ; ; 1; ; 
Valencia; 18; ; 18; ; ; 20; 16; ; 18; 18; 22; 16; 22; ; 16; 20; 33/2; 14; ; 33/2; 37/2; 14; ; ; ; 21/20; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-08 22:19:04 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/8; ; ; 13/100; 1/8; ; 1/9; 1/8; 1/9; 1/8; 1/10; ; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; ; 1/8; ; ; 1/7; ; 
Draw; 9; ; 8; ; ; 9; 9; ; 17/2; 17/2; 8; 8; 17/2; ; 9; 9; 8; 6; 8; 8; 21/2; ; 8; ; ; 23/5; ; 
Valencia; 18; ; 18; ; ; 20; 16; ; 18; 18; 22; 16; 22; ; 16; 20; 33/2; 14; 17; 33/2; 37/2; ; 17; ; ; 23/5; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-09 02:18:34 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/8; ; ; 13/100; 1/8; ; 1/9; 1/8; 1/9; 1/8; 1/10; ; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; 1/9; 1/8; ; ; 1/7; ; 
Draw; 9; ; 8; ; ; 9; 9; ; 17/2; 17/2; 8; 8; 17/2; ; 9; 9; 8; 6; 8; 8; 21/2; 79/10; 8; ; ; 24/5; ; 
Valencia; 18; ; 18; ; ; 20; 16; ; 18; 18; 22; 16; 22; ; 16; 20; 33/2; 14; 17; 33/2; 37/2; 14; 17; ; ; 5; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-09 06:18:29 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/8; ; ; 13/100; 1/8; ; 1/9; 1/8; 1/9; 1/8; 1/10; ; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; 1/9; 1/8; ; ; 1/7; ; 
Draw; 9; ; 8; ; ; 9; 9; ; 17/2; 17/2; 8; 8; 17/2; ; 9; 9; 8; 6; 8; 8; 21/2; 79/10; 8; ; ; 24/5; ; 
Valencia; 18; ; 18; ; ; 20; 16; ; 18; 18; 22; 16; 22; ; 16; 20; 33/2; 14; 17; 33/2; 37/2; 14; 17; ; ; 5; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-09 10:18:59 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/8; ; ; 13/100; 1/8; ; 1/9; 1/8; 1/9; 1/8; 1/10; ; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; 1/9; 1/8; ; ; 1/7; ; 
Draw; 9; ; 8; ; ; 9; 9; ; 17/2; 17/2; 8; 15/2; 17/2; ; 9; 9; 8; 6; 8; 8; 21/2; 79/10; 8; ; ; 26/5; ; 
Valencia; 18; ; 18; ; ; 18; 16; ; 18; 18; 22; 18; 22; ; 16; 20; 33/2; 14; 17; 33/2; 37/2; 14; 17; ; ; 26/5; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-09 14:18:39 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/8; ; ; 13/100; 1/8; ; 1/9; 2/15; 1/9; 1/8; 1/10; ; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; 1/9; 1/8; ; ; 1/7; ; 
Draw; 9; ; 8; ; ; 9; 9; ; 17/2; 17/2; 8; 8; 17/2; ; 9; 9; 8; 6; 8; 8; 21/2; 79/10; 8; ; ; 29/5; ; 
Valencia; 18; ; 18; ; ; 18; 16; ; 18; 18; 22; 16; 22; ; 16; 20; 33/2; 14; 17; 33/2; 37/2; 14; 17; ; ; 6; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-09 18:19:10 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/8; ; ; 13/100; 1/8; ; 1/9; 1/8; 1/9; 1/8; 1/10; ; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; 1/9; 1/8; ; ; 1/7; ; 
Draw; 9; ; 8; ; ; 9; 9; ; 17/2; 17/2; 8; 8; 17/2; ; 9; 9; 8; 6; 8; 8; 21/2; 79/10; 8; ; ; 29/5; ; 
Valencia; 18; ; 18; ; ; 18; 16; ; 18; 18; 20; 16; 22; ; 16; 20; 33/2; 14; 17; 33/2; 37/2; 14; 17; ; ; 6; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-09 22:18:38 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/8; ; ; 13/100; 1/8; ; 1/9; 1/8; 1/9; 1/8; 1/10; ; 1/8; 2/17; 1/10; 2/13; 2/15; ; 7/50; 1/9; 1/8; ; ; 1/7; ; 
Draw; 9; ; 8; ; ; 9; 9; ; 17/2; 17/2; 8; 8; 17/2; ; 9; 9; 8; 6; 8; ; 21/2; 79/10; 8; ; ; 29/5; ; 
Valencia; 18; ; 18; ; ; 18; 16; ; 18; 18; 20; 16; 22; ; 16; 20; 33/2; 14; 17; ; 37/2; 14; 17; ; ; 6; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-10 02:18:17 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/8; ; ; 13/100; 1/8; ; 1/9; 1/8; 1/9; 1/8; 1/10; ; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; 1/9; 1/8; ; ; 1/7; ; 
Draw; 9; ; 8; ; ; 9; 9; ; 17/2; 17/2; 8; 8; 17/2; ; 9; 9; 8; 6; 8; 8; 21/2; 79/10; 8; ; ; 29/5; ; 
Valencia; 18; ; 18; ; ; 18; 16; ; 18; 18; 20; 16; 22; ; 16; 20; 33/2; 14; 17; 33/2; 37/2; 14; 17; ; ; 6; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-10 06:18:16 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/8; ; ; 13/100; 1/8; ; 1/9; 1/8; 1/9; 1/8; 1/10; ; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; 1/9; 1/8; ; ; 1/7; ; 
Draw; 9; ; 8; ; ; 9; 9; ; 17/2; 17/2; 8; 8; 17/2; ; 9; 9; 8; 6; 8; 8; 21/2; 79/10; 8; ; ; 29/5; ; 
Valencia; 18; ; 18; ; ; 18; 16; ; 18; 18; 20; 16; 22; ; 16; 20; 33/2; 14; 17; 33/2; 37/2; 14; 17; ; ; 6; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-10 10:18:16 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/8; ; ; 13/100; 1/8; ; 1/9; 1/8; 1/9; 1/8; 1/10; ; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; 1/9; 1/8; ; ; 1/7; ; 
Draw; 9; ; 8; ; ; 9; 9; ; 17/2; 17/2; 8; 8; 17/2; ; 9; 9; 8; 6; 8; 8; 21/2; 79/10; 8; ; ; 7; ; 
Valencia; 18; ; 18; ; ; 18; 16; ; 18; 18; 20; 16; 22; ; 16; 20; 33/2; 14; 17; 33/2; 37/2; 14; 17; ; ; 6; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-10 14:18:15 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/8; 1/8; ; 13/100; 1/8; ; 1/9; 1/8; 1/9; 1/8; ; ; 1/8; 2/17; 1/10; 2/13; 2/15; ; 7/50; 1/9; 1/8; 1/9; ; 1/7; ; 
Draw; 9; ; 8; 8; ; 9; 9; ; 17/2; 17/2; 8; 8; ; ; 9; 9; 8; 6; 8; ; 21/2; 79/10; 8; 15/2; ; 7; ; 
Valencia; 18; ; 18; 16; ; 18; 16; ; 18; 18; 20; 16; ; ; 16; 20; 33/2; 14; 17; ; 37/2; 14; 17; 18; ; 6; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-10 18:18:24 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/8; 1/8; ; 13/100; 1/8; ; 1/9; 1/8; 1/9; 1/8; 1/10; ; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; 1/9; 1/8; 1/9; ; 1/7; ; 
Draw; 9; ; 8; 8; ; 9; 9; ; 17/2; 17/2; 8; 8; 17/2; ; 9; 9; 8; 6; 8; 8; 21/2; 79/10; 8; 15/2; ; 7; ; 
Valencia; 18; ; 18; 16; ; 18; 16; ; 18; 18; 20; 16; 22; ; 16; 20; 33/2; 14; 17; 33/2; 37/2; 14; 17; 18; ; 6; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-10 22:18:51 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/8; 1/8; ; 13/100; 1/8; ; 1/9; 1/8; 1/9; 1/8; ; ; 1/8; 2/17; 1/10; 2/13; 2/15; 2/17; 7/50; 1/9; 1/8; 1/9; ; 1/7; ; 
Draw; 9; ; 8; 8; ; 9; 9; ; 17/2; 17/2; 8; 8; ; ; 9; 9; 8; 6; 8; 7; 21/2; 79/10; 8; 15/2; ; 7; ; 
Valencia; 18; ; 18; 16; ; 18; 16; ; 18; 18; 20; 16; ; ; 16; 20; 33/2; 14; 17; 65/4; 37/2; 14; 17; 18; ; 6; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-11 02:18:23 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/8; 1/8; ; 13/100; 1/8; ; 1/9; 1/8; 1/9; 1/8; 1/10; ; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; 1/9; 1/8; 1/9; ; 1/7; ; 
Draw; 9; ; 8; 8; ; 9; 9; ; 17/2; 17/2; 8; 8; 17/2; ; 9; 9; 8; 6; 8; 8; 21/2; 79/10; 8; 15/2; ; 7; ; 
Valencia; 18; ; 18; 16; ; 18; 16; ; 18; 18; 20; 16; 22; ; 16; 20; 33/2; 14; 17; 33/2; 37/2; 14; 17; 18; ; 6; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-11 06:18:50 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/8; 1/8; ; 13/100; 1/8; ; 1/9; 1/8; 1/9; 1/8; 1/10; ; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; 1/9; 1/8; 1/9; ; 1/7; ; 
Draw; 9; ; 8; 8; ; 9; 9; ; 17/2; 17/2; 8; 8; 17/2; ; 9; 9; 8; 6; 8; 8; 21/2; 79/10; 8; 15/2; ; 7; ; 
Valencia; 18; ; 18; 16; ; 18; 16; ; 18; 18; 20; 16; 22; ; 16; 20; 33/2; 14; 17; 33/2; 37/2; 14; 17; 18; ; 6; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-11 10:19:25 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/8; 1/8; ; 13/100; 1/8; ; 1/9; 1/8; 1/9; 1/8; 1/10; ; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; 1/9; 1/8; 1/9; ; 1/7; ; 
Draw; 9; ; 8; 8; ; 9; 9; ; 17/2; 17/2; 8; 8; 17/2; ; 9; 9; 8; 6; 8; 8; 21/2; 79/10; 8; 15/2; ; 7; ; 
Valencia; 18; ; 18; 16; ; 18; 16; ; 18; 18; 20; 16; 22; ; 16; 20; 33/2; 14; 17; 33/2; 37/2; 14; 17; 18; ; 31/5; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-11 14:18:28 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/8; 1/8; ; 13/100; 1/8; ; 1/9; 1/8; 1/9; 1/8; 1/10; ; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; ; 1/8; 1/9; ; 1/7; ; 
Draw; 9; ; 8; 8; ; 9; 9; ; 17/2; 17/2; 8; 8; 17/2; ; 9; 9; 8; 6; 8; 8; 21/2; ; 8; 15/2; ; 7; ; 
Valencia; 18; ; 18; 16; ; 18; 16; ; 18; 18; 20; 16; 22; ; 16; 20; 33/2; 14; 17; 33/2; 37/2; ; 17; 18; ; 31/5; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-11 18:18:27 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/8; 1/8; ; 13/100; 1/8; ; 1/9; 1/8; 1/9; 1/8; 1/10; ; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; 1/9; 1/8; 1/9; ; 1/7; ; 
Draw; 9; ; 8; 8; ; 9; 9; ; 17/2; 17/2; 8; 8; 17/2; ; 9; 9; 8; 6; 8; 8; 21/2; 79/10; 8; 15/2; ; 7; ; 
Valencia; 18; ; 18; 16; ; 18; 16; ; 18; 18; 20; 16; 22; ; 16; 20; 33/2; 14; 17; 33/2; 37/2; 14; 17; 18; ; 31/5; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-11 22:18:39 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/8; 1/8; 1/9; 13/100; 1/8; 1/10; 1/9; 1/8; 1/9; 1/8; 1/10; 1/9; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; 1/9; 1/8; 1/9; ; 1/7; ; 
Draw; 9; ; 8; 8; 9; 9; 9; 17/2; 17/2; 17/2; 8; 8; 17/2; 17/2; 9; 9; 8; 6; 8; 8; 21/2; 79/10; 8; 15/2; ; 38/5; ; 
Valencia; 18; ; 18; 16; 22; 18; 16; 16; 18; 18; 20; 16; 22; 28; 16; 20; 33/2; 14; 17; 33/2; 37/2; 14; 17; 18; ; 23; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-12 02:18:12 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/8; 1/8; 1/9; 13/100; 1/8; 1/10; 1/9; 1/8; 1/9; 1/8; 1/10; 1/9; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; 1/9; 1/8; 1/9; ; 1/7; ; 
Draw; 9; ; 8; 8; 9; 9; 9; 17/2; 17/2; 17/2; 8; 8; 17/2; 17/2; 9; 9; 8; 6; 8; 8; 21/2; 79/10; 8; 15/2; ; 38/5; ; 
Valencia; 18; ; 18; 16; 22; 18; 16; 16; 18; 18; 20; 16; 22; 28; 16; 20; 33/2; 14; 17; 33/2; 37/2; 14; 17; 18; ; 23; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-12 06:18:14 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/8; 1/8; 1/9; 13/100; 1/8; 1/10; 1/9; 1/8; 1/9; 1/8; 1/10; 1/9; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; 1/9; 1/8; 1/9; ; 1/7; ; 
Draw; 9; ; 8; 8; 9; 9; 9; 17/2; 17/2; 17/2; 8; 8; 17/2; 17/2; 9; 9; 8; 6; 8; 8; 21/2; 79/10; 8; 15/2; ; 38/5; ; 
Valencia; 18; ; 18; 16; 22; 18; 16; 16; 18; 18; 20; 16; 22; 28; 16; 20; 33/2; 14; 17; 33/2; 37/2; 14; 17; 18; ; 23; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-12 10:18:38 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/8; 1/8; 1/9; 13/100; 1/8; 1/10; 1/9; 1/8; 1/9; 1/8; 1/10; 1/9; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; 1/9; 1/8; 1/9; ; 1/7; ; 
Draw; 9; ; 8; 8; 9; 9; 9; 17/2; 17/2; 17/2; 8; 8; 17/2; 17/2; 9; 9; 8; 6; 8; 8; 21/2; 79/10; 8; 15/2; ; 38/5; ; 
Valencia; 18; ; 18; 16; 22; 18; 16; 16; 18; 18; 20; 16; 22; 28; 16; 20; 33/2; 14; 17; 33/2; 37/2; 14; 17; 18; ; 23; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-12 14:18:24 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; ; 1/8; 1/8; 1/9; 13/100; 1/8; 1/10; 1/9; 1/8; 1/9; 1/8; 1/10; 1/9; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; 1/9; 1/8; 1/9; ; 1/7; ; 
Draw; 9; ; 8; 8; 9; 9; 9; 17/2; 17/2; 17/2; 8; 8; 17/2; 17/2; 9; 9; 8; 6; 8; 8; 21/2; 79/10; 8; 15/2; ; 39/5; ; 
Valencia; 18; ; 18; 16; 22; 18; 16; 16; 18; 18; 20; 16; 22; 28; 16; 20; 33/2; 14; 17; 33/2; 37/2; 14; 17; 18; ; 23; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-12 18:18:19 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; 1/7; 1/8; 1/8; 1/9; 13/100; 1/8; 1/10; 1/9; 1/8; 1/9; 1/8; 1/10; 1/9; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 7/50; ; 1/8; 1/9; ; 1/7; ; 
Draw; 9; 15/2; 8; 8; 9; 9; 9; 17/2; 17/2; 17/2; 8; 8; 17/2; 17/2; 9; 9; 8; 6; 8; 8; 21/2; ; 8; 15/2; ; 38/5; ; 
Valencia; 18; 14; 18; 16; 22; 18; 16; 16; 18; 18; 20; 16; 22; 28; 16; 18; 33/2; 14; 17; 33/2; 37/2; ; 17; 18; ; 23; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-12 22:18:25 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/8; 1/10; 1/9; 1/8; 1/9; 1/8; 1/10; 1/9; 1/8; 2/17; 1/10; 2/13; 2/15; 1/10; 3/20; 1/9; 1/8; 1/9; ; 2/15; ; 
Draw; 9; 8; 8; 8; 9; 9; 9; 17/2; 17/2; 17/2; 8; 8; 17/2; 17/2; 9; 9; 8; 6; 8; 8; 19/2; 79/10; 8; 15/2; ; 17/2; ; 
Valencia; 18; 16; 18; 16; 22; 20; 16; 16; 18; 18; 20; 16; 22; 28; 16; 18; 33/2; 14; 17; 33/2; 37/2; 14; 17; 18; ; 22; ; 
META; spain/la-liga-primera/barcelona-v-valencia; 2017-03-13 02:18:52 GMT+2; 2017-03-19 19:45; Nothing; Xlenovo
Barcelona; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/8; 1/10; 1/9; 1/8; 1/9; 1/8; 1/10; 1/9; 2/15; 2/17; 1/11; 1/7; 2/15; 1/11; 3/20; 1/9; 1/8; 1/9; ; 2/15; ; 
Draw; 9; 15/2; 8; 8; 9; 9; 9; 17/2; 17/2; 17/2; 8; 8; 17/2; 8; 9; 9; 17/2; 13/2; 8; 17/2; 19/2; 79/10; 8; 15/2; ; 17/2; ; 
Valencia; 18; 16; 18; 16; 22; 18; 16; 16; 16; 18; 22; 16; 22; 25; 14; 20; 33/2; 14; 17; 33/2; 37/2; 14; 17; 16; ; 21; ; 
