META; english/league-2/portsmouth-v-grimsby; 2017-03-11 22:22:37 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Portsmouth; 8/15; 1/2; ; 1/2; 8/15; ; 1/2; 1/2; 8/15; ; 2/5; ; ; 1/2; ; 8/15; 8/15; ; ; 8/15; ; ; ; ; ; 4/9; ; 
Portsmouth; 4/9; 1/2; 4/9; 1/2; 9/20; 2/5; 9/20; 1/2; 4/9; 4/9; 2/5; 4/9; 4/9; 4/9; 9/20; 1/2; 5/11; ; 4/9; 5/11; 47/100; 7/17; 5/11; 4/9; ; 4/9; ; 
Draw; 7/2; 3; 31/10; 3; 18/5; 16/5; 18/5; 29/10; 7/2; 10/3; 3; 10/3; 10/3; 10/3; 10/3; 10/3; 38/11; ; 7/2; 38/11; 18/5; 57/17; 7/2; 7/2; ; 14/5; ; 
Grimsby; 11/2; 5; 6; 5; 13/2; 11/2; 6; 9/2; 6; 6; 11/2; 6; 6; 13/2; 6; 11/2; 60/11; ; 11/2; 60/11; 34/5; 51/10; 11/2; 11/2; ; 28/5; ; 
META; english/league-2/portsmouth-v-grimsby; 2017-03-12 22:22:09 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Portsmouth; 4/9; 1/2; 4/9; 1/2; 9/20; 2/5; 4/9; 1/2; 4/9; 4/9; 2/5; 4/9; 4/9; 4/9; 9/20; 1/2; 5/11; ; 4/9; 5/11; 47/100; 7/17; 5/11; 4/9; ; 4/9; 4/9; 
Draw; 7/2; 3; 31/10; 16/5; 7/2; 16/5; 7/2; 29/10; 7/2; 10/3; 3; 10/3; 10/3; 18/5; 10/3; 10/3; 57/17; ; 7/2; 57/17; 18/5; 57/17; 7/2; 10/3; ; 10/3; 10/3; 
Grimsby; 11/2; 5; 6; 11/2; 13/2; 11/2; 13/2; 9/2; 6; 13/2; 11/2; 13/2; 6; 7; 6; 11/2; 23/4; ; 11/2; 23/4; 34/5; 51/10; 11/2; 6; ; 33/5; 31/5; 
META; english/league-2/portsmouth-v-grimsby; 2017-03-13 02:22:28 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Portsmouth; 4/9; 1/2; 2/5; 1/2; 4/9; 2/5; 4/9; 1/2; 4/9; 2/5; 2/5; 4/9; 21/50; 4/9; 9/20; 1/2; 5/11; ; 4/9; 5/11; 47/100; 7/17; 5/11; 4/9; ; 4/9; 4/9; 
Draw; 7/2; 16/5; 31/10; 16/5; 7/2; 16/5; 7/2; 29/10; 7/2; 10/3; 3; 16/5; 10/3; 7/2; 10/3; 10/3; 57/17; ; 7/2; 57/17; 18/5; 57/17; 7/2; 10/3; ; 3; 3; 
Grimsby; 11/2; 11/2; 13/2; 11/2; 13/2; 11/2; 13/2; 9/2; 13/2; 13/2; 11/2; 7; 13/2; 8; 6; 11/2; 59/10; ; 11/2; 59/10; 34/5; 51/10; 11/2; 6; ; 33/5; 31/5; 
META; english/league-2/portsmouth-v-grimsby; 2017-03-13 06:24:15 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Portsmouth; 1/2; 1/2; 4/9; 1/2; 9/20; 2/5; 9/20; 1/2; 4/9; 4/9; 2/5; 4/9; 4/9; 4/9; 9/20; 1/2; 5/11; ; 4/9; 5/11; 47/100; 7/17; 5/11; 4/9; ; 4/9; 4/9; 
Draw; 15/4; 16/5; 3; 16/5; 7/2; 3; 18/5; 29/10; 7/2; 16/5; 3; 3; 10/3; 10/3; 10/3; 10/3; 57/17; ; 7/2; 57/17; 18/5; 57/17; 7/2; 16/5; ; 3; 3; 
Grimsby; 6; 11/2; 13/2; 11/2; 13/2; 11/2; 6; 9/2; 13/2; 13/2; 11/2; 13/2; 6; 15/2; 6; 11/2; 76/13; ; 11/2; 76/13; 34/5; 51/10; 11/2; 6; ; 32/5; 32/5; 
META; english/league-2/portsmouth-v-grimsby; 2017-03-13 10:20:55 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Portsmouth; 1/2; 1/2; 4/9; 1/2; 9/20; 2/5; 9/20; 1/2; 4/9; 4/9; 2/5; 4/9; 4/9; 4/9; 9/20; 1/2; 3/7; 4/9; 4/9; 3/7; 47/100; 3/7; 5/11; 4/9; ; 4/9; 4/9; 
Draw; 15/4; 16/5; 3; 3; 7/2; 3; 18/5; 29/10; 7/2; 16/5; 3; 3; 10/3; 10/3; 10/3; 10/3; 57/17; 13/4; 7/2; 57/17; 18/5; 38/11; 7/2; 16/5; ; 3; 3; 
Grimsby; 6; 11/2; 13/2; 6; 13/2; 11/2; 6; 9/2; 13/2; 13/2; 11/2; 13/2; 13/2; 15/2; 6; 11/2; 25/4; 25/4; 11/2; 25/4; 34/5; 29/5; 11/2; 6; ; 32/5; 33/5; 
META; english/league-2/portsmouth-v-grimsby; 2017-03-13 14:23:05 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Portsmouth; 1/2; 1/2; 4/9; 1/2; 1/2; 17/40; 1/2; 1/2; 1/2; 4/9; 2/5; 4/9; 4/9; 1/2; 9/20; 1/2; 4/9; 4/9; 4/9; 4/9; 47/100; 3/7; 17/35; 1/2; ; 4/9; 4/9; 4/9
Draw; 7/2; 16/5; 29/10; 3; 16/5; 3; 10/3; 29/10; 10/3; 16/5; 3; 3; 10/3; 10/3; 16/5; 16/5; 16/5; 13/4; 3; 16/5; 18/5; 17/5; 16/5; 16/5; ; 3; 3; 10/3
Grimsby; 13/2; 11/2; 6; 6; 13/2; 11/2; 6; 9/2; 6; 13/2; 11/2; 13/2; 13/2; 15/2; 13/2; 6; 25/4; 25/4; 11/2; 25/4; 34/5; 59/10; 11/2; 13/2; ; 33/5; 33/5; 7
META; english/league-2/portsmouth-v-grimsby; 2017-03-13 18:24:25 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Portsmouth; 1/2; 1/2; 1/2; 1/2; 1/2; 17/40; 1/2; 1/2; 1/2; 4/9; 2/5; 4/9; 4/9; 1/2; 9/20; 1/2; 4/9; 4/9; 4/9; 4/9; 47/100; 3/7; 17/35; 1/2; 17/35; ; 4/9; 4/9; 4/9
Draw; 7/2; 3; 16/5; 3; 16/5; 3; 17/5; 3; 10/3; 16/5; 3; 3; 10/3; 10/3; 16/5; 16/5; 16/5; 13/4; 3; 16/5; 18/5; 17/5; 16/5; 16/5; 16/5; ; 3; 3; 10/3
Grimsby; 13/2; 6; 7; 6; 13/2; 11/2; 6; 11/2; 6; 13/2; 11/2; 13/2; 7; 15/2; 13/2; 6; 25/4; 25/4; 11/2; 25/4; 34/5; 59/10; 11/2; 13/2; 11/2; ; 34/5; 33/5; 7
META; english/league-2/portsmouth-v-grimsby; 2017-03-13 22:21:51 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Portsmouth; 1/2; 1/2; 1/2; 1/2; 1/2; 17/40; 1/2; 1/2; 1/2; 4/9; 2/5; 4/9; 4/9; 1/2; 9/20; 1/2; 4/9; 4/9; 4/9; 4/9; 47/100; 3/7; 5/11; 1/2; 5/11; ; 4/9; 4/9; 4/9
Draw; 7/2; 3; 16/5; 3; 16/5; 3; 17/5; 3; 10/3; 16/5; 3; 3; 10/3; 10/3; 16/5; 16/5; 16/5; 13/4; 3; 16/5; 18/5; 57/17; 13/4; 16/5; 13/4; ; 3; 3; 10/3
Grimsby; 13/2; 6; 7; 6; 13/2; 11/2; 6; 11/2; 6; 13/2; 11/2; 13/2; 7; 8; 13/2; 6; 13/2; 25/4; 6; 13/2; 34/5; 59/10; 6; 13/2; 6; ; 32/5; 33/5; 7
META; english/league-2/portsmouth-v-grimsby; 2017-03-14 02:23:30 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Portsmouth; 1/2; 1/2; 1/2; 1/2; 1/2; 17/40; 1/2; 1/2; 1/2; 4/9; 2/5; 4/9; 4/9; 1/2; 9/20; 1/2; 4/9; 4/9; 4/9; 4/9; 47/100; 4/9; 5/11; 1/2; 5/11; ; 4/9; 4/9; 1/2
Draw; 7/2; 3; 16/5; 3; 16/5; 3; 17/5; 3; 10/3; 16/5; 3; 3; 10/3; 10/3; 16/5; 16/5; 16/5; 13/4; 3; 16/5; 71/20; 13/4; 13/4; 16/5; 13/4; ; 3; 3; 10/3
Grimsby; 13/2; 6; 7; 6; 13/2; 11/2; 6; 11/2; 6; 13/2; 11/2; 13/2; 7; 8; 13/2; 6; 13/2; 25/4; 6; 13/2; 34/5; 6; 6; 13/2; 6; ; 33/5; 33/5; 34/5
META; english/league-2/portsmouth-v-grimsby; 2017-03-14 06:21:05 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Portsmouth; 1/2; 1/2; 40/85; 1/2; 9/20; 2/5; 9/20; 1/2; 4/9; 4/9; 2/5; 4/9; 4/9; 4/9; 9/20; 1/2; 3/7; 4/9; 4/9; 3/7; 47/100; 4/9; 5/11; 4/9; 5/11; ; 4/9; 4/9; 1/2
Draw; 7/2; 3; 10/3; 3; 10/3; 3; 7/2; 3; 10/3; 16/5; 3; 3; 10/3; 10/3; 16/5; 16/5; 13/4; 13/4; 3; 13/4; 71/20; 13/4; 13/4; 16/5; 13/4; ; 3; 3; 10/3
Grimsby; 13/2; 6; 15/2; 6; 7; 6; 7; 11/2; 13/2; 13/2; 11/2; 7; 7; 17/2; 13/2; 6; 13/2; 25/4; 6; 13/2; 34/5; 6; 6; 13/2; 6; ; 33/5; 33/5; 34/5
META; english/league-2/portsmouth-v-grimsby; 2017-03-14 10:21:44 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Portsmouth; 1/2; 4/9; 40/85; 1/2; 9/20; 2/5; 9/20; 1/2; 4/9; 4/9; 2/5; 4/9; 4/9; 4/9; 9/20; 4/9; 3/7; 4/9; 4/9; 3/7; 47/100; 4/9; 4/9; 4/9; 4/9; ; 4/9; 4/9; 4/9
Draw; 7/2; 16/5; 10/3; 3; 10/3; 3; 7/2; 3; 10/3; 16/5; 3; 3; 10/3; 10/3; 16/5; 16/5; 13/4; 13/4; 3; 13/4; 71/20; 13/4; 13/4; 16/5; 13/4; ; 3; 3; 10/3
Grimsby; 13/2; 7; 15/2; 6; 7; 6; 7; 11/2; 13/2; 13/2; 11/2; 7; 7; 17/2; 13/2; 13/2; 27/4; 25/4; 13/2; 27/4; 34/5; 6; 13/2; 13/2; 13/2; ; 7; 34/5; 36/5
META; english/league-2/portsmouth-v-grimsby; 2017-03-14 14:24:17 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Portsmouth; 9/20; 4/9; 4/9; 4/9; 4/9; 4/11; 4/9; 4/9; 4/9; 2/5; 2/5; 2/5; 21/50; 4/9; 4/9; 4/9; 2/5; 5/12; 4/9; 2/5; 23/50; 5/11; 4/9; 4/9; 4/9; ; 4/9; 4/9; 4/9
Draw; 10/3; 16/5; 10/3; 16/5; 16/5; 14/5; 10/3; 3; 10/3; 16/5; 3; 16/5; 10/3; 17/5; 10/3; 10/3; 33/10; 16/5; 3; 33/10; 7/2; 3; 13/4; 16/5; 13/4; ; 3; 3; 10/3
Grimsby; 17/2; 7; 8; 13/2; 8; 13/2; 8; 7; 7; 15/2; 11/2; 8; 15/2; 9; 13/2; 15/2; 15/2; 7; 13/2; 15/2; 37/5; 33/5; 13/2; 8; 13/2; ; 39/5; 38/5; 42/5
META; english/league-2/portsmouth-v-grimsby; 2017-03-14 18:21:11 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Portsmouth; 8/15; 8/15; 11/20; 8/15; 8/15; 12/25; 11/20; 11/20; 8/15; 8/15; 2/5; 8/15; 8/15; 11/20; 11/20; 1/2; 1/2; 10/21; 4/9; 1/2; 8/15; 1/2; 17/35; 8/15; 17/35; ; 8/15; 8/15; 8/15
Draw; 31/10; 14/5; 3; 14/5; 3; 11/4; 31/10; 12/5; 3; 14/5; 3; 14/5; 59/20; 16/5; 3; 31/10; 56/19; 3; 3; 56/19; 33/10; 58/19; 3; 3; 3; ; 14/5; 14/5; 3
Grimsby; 13/2; 11/2; 13/2; 6; 6; 5; 6; 6; 6; 11/2; 11/2; 6; 6; 13/2; 5; 13/2; 113/19; 6; 6; 113/19; 61/10; 26/5; 6; 6; 6; ; 32/5; 31/5; 33/5
META; english/league-2/portsmouth-v-grimsby; 2017-03-14 22:21:17 GMT+2; 2017-03-14 19:45; In Play; Xlenovo
Portsmouth; 1/6; 1/6; ; ; 8/15; 3/20; 2/11; 1/10; ; 2/11; ; 1/2; ; ; ; ; ; 1/9; ; ; ; ; ; ; ; ; ; 2/11; 2/11
Draw; 11/2; 11/2; ; ; 3; 19/4; 21/4; 6; ; 5; ; 13/5; ; ; ; ; ; 23/4; ; ; ; ; ; ; ; ; ; 31/5; 
Grimsby; 20; 22; ; ; 11/2; 16; 16; 25; ; 18; ; 9/2; ; ; ; ; ; 20; ; ; ; ; ; ; ; ; ; 21; 
