META; english/league-2/cambridge-utd-v-exeter; 2017-04-14 18:22:14 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge Utd; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Exeter; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/cambridge-utd-v-exeter; 2017-04-14 22:21:53 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge Utd; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; 29/20; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Cambridge United; ; ; ; ; 29/20; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; ; 7/5; ; ; ; ; ; ; ; ; 
Exeter; 17/10; ; 7/4; ; 9/5; ; 7/4; ; ; ; ; ; ; 9/5; ; 7/4; 17/10; ; ; 17/10; ; ; ; ; ; ; 21/20; ; 
Draw; 13/5; ; 11/5; ; 12/5; ; 5/2; 12/5; 12/5; 23/10; 11/5; 9/4; 5/2; 5/2; 12/5; 5/2; 12/5; 5/2; 13/5; 12/5; 13/5; 12/5; 13/5; ; 13/5; ; 23/10; ; 
META; english/league-2/cambridge-utd-v-exeter; 2017-04-16 10:20:19 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge United; ; ; 7/5; ; 29/20; ; 7/5; 11/8; ; 11/8; ; 29/20; 11/8; ; ; 16/11; 23/17; 16/11; 13/10; 23/17; 139/100; 14/11; 4/3; ; 4/3; ; ; ; 
Cambridge Utd; 6/4; ; ; ; ; ; ; ; 7/5; ; 11/8; ; ; 29/20; 11/8; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
Exeter; 15/8; ; 37/20; ; 19/10; ; 15/8; 6/4; 15/8; 19/10; 9/5; 15/8; 19/10; 19/10; 19/10; 15/8; 19/10; 28/17; 19/10; 19/10; 51/25; 31/18; 37/19; ; 37/19; ; 9/5; ; 
Draw; 13/5; ; 11/5; ; 12/5; ; 5/2; 12/5; 12/5; 23/10; 11/5; 9/4; 49/20; 5/2; 12/5; 12/5; 40/17; 5/2; 23/10; 40/17; 13/5; 12/5; 40/17; ; 40/17; ; 23/10; ; 
META; english/league-2/cambridge-utd-v-exeter; 2017-04-16 14:20:52 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge United; ; ; 27/20; ; 7/5; ; 7/5; 11/8; ; 13/10; ; 13/10; 27/20; ; ; 7/5; 23/17; 16/11; 13/10; 23/17; 11/8; 7/5; 4/3; ; 4/3; ; ; ; 
Cambridge Utd; 6/4; ; ; ; ; ; ; ; 7/5; ; 27/20; ; ; 29/20; 11/8; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; 
Exeter; 15/8; ; 15/8; ; 19/10; ; 19/10; 6/4; 15/8; 2; 15/8; 19/10; 2; 2; 19/10; 15/8; 37/19; 28/17; 19/10; 37/19; 21/10; 9/5; 37/19; ; 37/19; ; 19/10; ; 
Draw; 13/5; ; 11/5; ; 5/2; ; 13/5; 12/5; 12/5; 9/4; 11/5; 5/2; 49/20; 5/2; 12/5; 5/2; 40/17; 5/2; 23/10; 40/17; 5/2; 12/5; 40/17; ; 40/17; ; 23/10; ; 
META; english/league-2/cambridge-utd-v-exeter; 2017-04-16 18:20:48 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge United; ; ; 27/20; ; 7/5; ; 7/5; 11/8; ; 13/10; ; 11/8; 27/20; ; ; 7/5; 13/10; 13/10; 13/10; 13/10; 11/8; 7/5; 4/3; ; 4/3; ; ; ; 
Cambridge Utd; 6/4; ; ; ; ; ; ; ; 7/5; ; 13/10; ; ; 29/20; 11/8; ; ; ; ; ; ; ; ; ; ; ; 27/20; ; 
Exeter; 15/8; ; 19/10; ; 19/10; ; 19/10; 6/4; 2; 2; 19/10; 21/10; 2; 2; 19/10; 15/8; 2; 24/13; 19/10; 2; 21/10; 9/5; 37/19; ; 37/19; ; 19/10; ; 
Draw; 13/5; ; 11/5; ; 5/2; ; 13/5; 12/5; 12/5; 9/4; 11/5; 11/5; 49/20; 13/5; 12/5; 5/2; 40/17; 5/2; 23/10; 40/17; 5/2; 12/5; 40/17; ; 40/17; ; 12/5; ; 
META; english/league-2/cambridge-utd-v-exeter; 2017-04-16 22:20:48 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge United; ; ; 27/20; ; 7/5; ; 7/5; 11/8; ; 13/10; ; 11/8; 27/20; ; ; 7/5; 23/17; 13/10; 13/10; ; 11/8; 7/5; 4/3; ; 4/3; ; ; ; 
Cambridge Utd; 6/4; ; ; ; ; ; ; ; 7/5; ; 13/10; ; ; 29/20; 11/8; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; 
Exeter; 15/8; ; 19/10; ; 19/10; ; 19/10; 15/8; 2; 2; 19/10; 21/10; 2; 2; 19/10; 2; 37/19; 24/13; 19/10; ; 21/10; 9/5; 37/19; ; 37/19; ; 19/10; ; 
Draw; 13/5; ; 11/5; ; 5/2; ; 13/5; 23/10; 12/5; 9/4; 11/5; 11/5; 49/20; 13/5; 12/5; 12/5; 40/17; 5/2; 23/10; ; 5/2; 12/5; 40/17; ; 40/17; ; 12/5; ; 
META; english/league-2/cambridge-utd-v-exeter; 2017-04-17 02:20:47 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge United; ; ; 27/20; ; 11/8; ; 7/5; 11/8; ; 13/10; ; 13/10; 27/20; ; ; 7/5; 13/10; 13/10; 13/10; 13/10; 11/8; 7/5; 4/3; ; 4/3; ; ; ; 
Cambridge Utd; 6/4; ; ; ; ; ; ; ; 7/5; ; 7/5; ; ; 29/20; 11/8; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; 
Exeter; 15/8; ; 19/10; ; 19/10; ; 19/10; 15/8; 2; 2; 15/8; 19/10; 2; 2; 19/10; 2; 37/19; 24/13; 19/10; 37/19; 21/10; 9/5; 37/19; ; 37/19; ; 19/10; ; 
Draw; 13/5; ; 11/5; ; 5/2; ; 13/5; 23/10; 12/5; 23/10; 12/5; 5/2; 49/20; 13/5; 12/5; 12/5; 40/17; 5/2; 23/10; 40/17; 5/2; 12/5; 40/17; ; 40/17; ; 12/5; ; 
META; english/league-2/cambridge-utd-v-exeter; 2017-04-17 06:20:44 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge United; ; ; 27/20; ; 7/5; ; 7/5; 11/8; ; 13/10; ; 13/10; 27/20; ; ; 7/5; 13/10; 13/10; 13/10; 23/17; 7/5; 7/5; 4/3; ; 4/3; ; ; ; 
Cambridge Utd; 6/4; ; ; ; ; ; ; ; 7/5; ; 7/5; ; ; 29/20; 11/8; ; ; ; ; ; ; ; ; ; ; ; 11/8; ; 
Exeter; 15/8; ; 19/10; ; 19/10; ; 19/10; 15/8; 2; 2; 15/8; 2; 2; 2; 19/10; 2; 37/19; 24/13; 19/10; 37/19; 52/25; 9/5; 37/19; ; 37/19; ; 19/10; ; 
Draw; 13/5; ; 11/5; ; 5/2; ; 13/5; 23/10; 12/5; 23/10; 12/5; 12/5; 49/20; 13/5; 12/5; 12/5; 40/17; 5/2; 23/10; 40/17; 63/25; 12/5; 40/17; ; 40/17; ; 23/10; ; 
META; english/league-2/cambridge-utd-v-exeter; 2017-04-17 10:20:41 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge United; ; ; 11/8; ; 29/20; ; 29/20; 11/8; ; 7/5; ; 7/5; 7/5; ; ; 16/11; 7/5; 13/10; 13/10; 7/5; 143/100; 7/5; 4/3; ; 4/3; ; ; ; 
Cambridge Utd; 6/4; ; ; ; ; ; ; ; 7/5; ; 7/5; ; ; 6/4; 6/4; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
Exeter; 15/8; ; 15/8; ; 19/10; ; 15/8; 15/8; 2; 9/5; 15/8; 19/10; 19/10; 2; 9/5; 15/8; 24/13; 24/13; 19/10; 24/13; 101/50; 9/5; 37/19; ; 37/19; ; 19/10; ; 
Draw; 13/5; ; 11/5; ; 12/5; ; 13/5; 23/10; 12/5; 23/10; 12/5; 23/10; 49/20; 5/2; 23/10; 12/5; 40/17; 5/2; 23/10; 40/17; 63/25; 12/5; 40/17; ; 40/17; ; 12/5; ; 
META; english/league-2/cambridge-utd-v-exeter; 2017-04-17 14:20:49 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Cambridge United; ; ; 31/20; ; 6/4; ; 6/4; 7/5; ; 6/4; ; 31/20; 6/4; ; ; 16/11; 16/11; 13/10; 7/5; 16/11; 77/50; 19/13; 31/21; ; 31/21; ; ; ; 
Cambridge Utd; 31/20; ; ; ; ; ; ; ; 7/5; ; 7/5; ; ; 8/5; 6/4; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; 
Exeter; 19/10; ; 39/20; ; 19/10; ; 19/10; 15/8; 15/8; 9/5; 19/10; 15/8; 37/20; 2; 9/5; 2; 9/5; 24/13; 9/5; 9/5; 193/100; 12/7; 9/5; ; 9/5; ; 15/8; ; 
Draw; 5/2; ; 47/20; ; 23/10; ; 12/5; 9/4; 12/5; 9/4; 23/10; 21/10; 47/20; 5/2; 23/10; 23/10; 9/4; 5/2; 9/4; 23/10; 61/25; 12/5; 9/4; ; 9/4; ; 23/10; ; 
META; english/league-2/cambridge-utd-v-exeter; 2017-04-17 18:20:49 GMT+3; 2017-04-17 15:00; In Play; Xlenovo
Cambridge Utd; 3/10; ; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Cambridge United; ; ; ; ; 13/8; ; 3/10; 3/10; ; 3/10; ; 3/10; ; ; ; ; ; 5/19; ; ; ; ; ; ; 10/7; ; ; ; 
Draw; 10/3; ; ; ; 12/5; ; 7/2; 3; ; 10/3; ; 3; ; 12/5; ; ; ; 13/4; ; ; ; ; ; ; 2; ; ; ; 
Exeter; 14; ; ; ; 7/4; ; 12; 12; ; 14; ; 12; ; 15/8; ; ; ; 25/2; ; ; ; ; ; ; 37/19; ; ; ; 
