Cambridge United; ; ; 16/5; ; 10/3; ; 16/5; 10/3; ; 10/3; ; 10/3; 10/3; ; ; 10/3; 17/5; 10/3; 7/2; 17/5; 18/5; 3; 7/2; ; 7/2; ; ; ; 7/2
META; english/league-2/portsmouth-v-cambridge-united; 2017-04-21 02:20:39 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; ; 4/5; ; 4/5; ; 5/6; 4/5; ; 4/5; ; 20/23; 4/5; ; ; 5/6; 4/5; 4/5; 8/11; 4/5; 17/20; 9/11; 11/14; ; 11/14; ; ; ; 5/6
Draw; ; ; 12/5; ; 13/5; ; 11/4; 5/2; ; 5/2; ; 5/2; 51/20; ; ; 27/10; 28/11; 5/2; 5/2; 28/11; 27/10; 13/5; 28/11; ; 28/11; ; ; ; 13/5
Cambridge United; ; ; 16/5; ; 10/3; ; 16/5; 10/3; ; 10/3; ; 10/3; 10/3; ; ; 10/3; 17/5; 10/3; 7/2; 17/5; 18/5; 31/10; 7/2; ; 7/2; ; ; ; 7/2
META; english/league-2/portsmouth-v-cambridge-united; 2017-04-21 06:20:49 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; ; 4/5; ; 4/5; ; 5/6; 4/5; ; 4/5; ; 20/23; 4/5; ; ; 5/6; 4/5; 4/5; 8/11; 4/5; 17/20; 9/11; 11/14; ; 11/14; ; ; ; 5/6
Draw; ; ; 12/5; ; 13/5; ; 11/4; 5/2; ; 5/2; ; 5/2; 51/20; ; ; 13/5; 28/11; 5/2; 5/2; 28/11; 27/10; 13/5; 28/11; ; 28/11; ; ; ; 13/5
Cambridge United; ; ; 16/5; ; 10/3; ; 16/5; 10/3; ; 10/3; ; 10/3; 10/3; ; ; 10/3; 17/5; 10/3; 7/2; 17/5; 18/5; 31/10; 7/2; ; 7/2; ; ; ; 7/2
META; english/league-2/portsmouth-v-cambridge-united; 2017-04-21 10:20:39 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; ; 4/5; ; 4/5; ; 5/6; 4/5; ; 4/5; ; 20/23; 4/5; ; ; 5/6; 4/5; 4/5; 8/11; 4/5; 17/20; 9/11; 11/14; ; 11/14; ; ; ; 5/6
Draw; ; ; 12/5; ; 13/5; ; 11/4; 5/2; ; 5/2; ; 5/2; 51/20; ; ; 13/5; 28/11; 5/2; 5/2; 28/11; 27/10; 13/5; 28/11; ; 28/11; ; ; ; 13/5
Cambridge United; ; ; 16/5; ; 10/3; ; 16/5; 10/3; ; 10/3; ; 10/3; 10/3; ; ; 10/3; 17/5; 10/3; 7/2; 17/5; 18/5; 31/10; 7/2; ; 7/2; ; ; ; 7/2
META; english/league-2/portsmouth-v-cambridge-united; 2017-04-21 14:20:47 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; ; 4/5; ; 4/5; ; 17/20; 4/5; ; 4/5; ; 20/23; 4/5; ; ; 11/13; 4/5; 4/5; 8/11; 5/6; 17/20; 9/11; 11/14; ; 11/14; ; ; ; 5/6
Draw; ; ; 12/5; ; 13/5; ; 11/4; 5/2; ; 5/2; ; 5/2; 51/20; ; ; 13/5; 28/11; 5/2; 5/2; 5/2; 27/10; 13/5; 28/11; ; 28/11; ; ; ; 13/5
Cambridge United; ; ; 16/5; ; 10/3; ; 17/5; 10/3; ; 10/3; ; 10/3; 10/3; ; ; 10/3; 17/5; 10/3; 7/2; 57/17; 18/5; 31/10; 7/2; ; 7/2; ; ; ; 7/2
META; english/league-2/portsmouth-v-cambridge-united; 2017-04-21 18:25:27 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; ; 4/5; ; 5/6; ; ; 4/5; ; 4/5; ; 20/23; 4/5; ; ; 11/13; 4/5; 4/5; 8/11; 4/5; 17/20; 9/11; 11/14; ; 11/14; ; ; ; 5/6
Draw; ; ; 12/5; ; 5/2; ; ; 5/2; ; 5/2; ; 5/2; 51/20; ; ; 5/2; 28/11; 5/2; 5/2; 28/11; 27/10; 13/5; 28/11; ; 28/11; ; ; ; 13/5
Cambridge United; ; ; 16/5; ; 10/3; ; ; 10/3; ; 10/3; ; 10/3; 10/3; ; ; 7/2; 17/5; 10/3; 7/2; 17/5; 18/5; 31/10; 7/2; ; 7/2; ; ; ; 7/2
META; english/league-2/portsmouth-v-cambridge-united; 2017-04-21 22:20:55 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; ; 4/5; ; 5/6; ; ; 4/5; ; 4/5; ; 5/6; ; ; ; 5/6; 4/5; 4/5; 8/11; 4/5; 17/20; 9/11; 11/14; ; 11/14; ; ; ; 5/6
Draw; ; ; 12/5; ; 5/2; ; ; 5/2; ; 5/2; ; 23/10; ; ; ; 13/5; 28/11; 5/2; 5/2; 28/11; 27/10; 13/5; 28/11; ; 28/11; ; ; ; 13/5
Cambridge United; ; ; 10/3; ; 10/3; ; ; 10/3; ; 10/3; ; 7/2; ; ; ; 10/3; 17/5; 10/3; 7/2; 17/5; 18/5; 31/10; 7/2; ; 7/2; ; ; ; 7/2
META; english/league-2/portsmouth-v-cambridge-united; 2017-04-22 02:20:49 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; ; 4/5; ; 5/6; ; ; 4/5; ; 4/5; ; 5/6; 4/5; ; ; 5/6; 4/5; 4/5; 8/11; 4/5; 17/20; 9/11; 11/14; ; 11/14; ; ; ; 5/6
Draw; ; ; 12/5; ; 5/2; ; ; 5/2; ; 5/2; ; 23/10; 51/20; ; ; 13/5; 28/11; 5/2; 5/2; 28/11; 27/10; 13/5; 28/11; ; 28/11; ; ; ; 13/5
Cambridge United; ; ; 10/3; ; 10/3; ; ; 10/3; ; 10/3; ; 7/2; 10/3; ; ; 10/3; 17/5; 10/3; 7/2; 17/5; 18/5; 31/10; 7/2; ; 7/2; ; ; ; 7/2
