META; english/league-2/grimsby-v-cambridge-utd; 2017-04-09 18:24:34 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 
Grimsby; 9/4; ; ; ; ; ; ; ; 23/10; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; 
Draw; 13/5; ; ; ; ; ; ; ; 13/5; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-10 10:21:09 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 11/10; ; ; ; ; ; ; ; 11/10; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 
Grimsby; 9/4; ; ; ; ; ; ; ; 23/10; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; 
Draw; 13/5; ; ; ; ; ; ; ; 13/5; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-10 14:22:23 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 11/10; ; ; ; ; ; ; ; 11/10; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Grimsby; 9/4; ; ; ; ; ; ; ; 23/10; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
Draw; 13/5; ; ; ; ; ; ; ; 13/5; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-10 18:24:50 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 11/10; ; ; ; ; ; ; ; 11/10; ; 23/20; ; ; 23/20; 23/20; ; ; ; ; ; ; ; ; ; ; ; 21/20; ; 
Grimsby; 9/4; ; ; ; ; ; ; ; 12/5; ; 9/4; ; ; 12/5; 12/5; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Draw; 13/5; ; ; ; ; ; ; ; 12/5; ; 21/10; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-10 22:22:30 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 6/5; ; ; ; ; ; ; ; 5/4; ; 6/5; ; ; 6/5; 5/4; ; ; ; ; ; ; ; ; ; ; ; 23/20; ; 
Grimsby; 21/10; ; ; ; ; ; ; ; 23/10; ; 11/5; ; ; 23/10; 9/4; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
Draw; 13/5; ; ; ; ; ; ; ; 23/10; ; 21/10; ; ; 23/10; 11/5; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-11 10:22:35 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 6/5; ; ; ; ; ; ; ; 5/4; ; 6/5; ; ; 6/5; 5/4; ; ; ; ; ; ; ; ; ; ; ; 10/9; ; 
Grimsby; 2; ; ; ; ; ; ; ; 23/10; ; 11/5; ; ; 23/10; 9/4; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Draw; 13/5; ; ; ; ; ; ; ; 23/10; ; 21/10; ; ; 23/10; 11/5; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-11 14:21:18 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 6/5; ; ; ; ; ; ; ; 5/4; ; 6/5; ; ; 5/4; 5/4; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; 
Grimsby; 2; ; ; ; ; ; ; ; 23/10; ; 11/5; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Draw; 13/5; ; ; ; ; ; ; ; 23/10; ; 21/10; ; ; 9/4; 21/10; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-11 18:24:20 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 6/5; ; ; ; ; ; ; ; 5/4; ; 6/5; ; ; 5/4; 5/4; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; 
Grimsby; 21/10; ; ; ; ; ; ; ; 23/10; ; 11/5; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
Draw; 5/2; ; ; ; ; ; ; ; 23/10; ; 21/10; ; ; 9/4; 21/10; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-11 22:21:57 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 6/5; ; ; ; ; ; ; ; 5/4; ; 5/4; ; ; 5/4; 5/4; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; 
Grimsby; 21/10; ; ; ; ; ; ; ; 23/10; ; 11/5; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
Draw; 5/2; ; ; ; ; ; ; ; 23/10; ; 21/10; ; ; 9/4; 21/10; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-12 02:21:15 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 6/5; ; ; ; ; ; ; ; 5/4; ; 5/4; ; ; 5/4; 5/4; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; 
Grimsby; 21/10; ; ; ; ; ; ; ; 23/10; ; 11/5; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
Draw; 5/2; ; ; ; ; ; ; ; 23/10; ; 21/10; ; ; 9/4; 21/10; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-12 06:21:44 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 6/5; ; ; ; ; ; ; ; 5/4; ; 5/4; ; ; 5/4; 5/4; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; 
Grimsby; 21/10; ; ; ; ; ; ; ; 23/10; ; 11/5; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
Draw; 5/2; ; ; ; ; ; ; ; 23/10; ; 21/10; ; ; 9/4; 21/10; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-12 10:21:21 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 6/5; ; ; ; ; ; ; ; 5/4; ; 5/4; ; ; 5/4; 5/4; ; ; ; ; ; ; ; ; ; ; ; 10/9; ; 
Grimsby; 21/10; ; ; ; ; ; ; ; 23/10; ; 11/5; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
Draw; 5/2; ; ; ; ; ; ; ; 23/10; ; 21/10; ; ; 9/4; 21/10; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-12 14:20:51 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 6/5; ; ; ; ; ; ; ; 5/4; ; 5/4; ; ; 5/4; 5/4; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; 
Grimsby; 21/10; ; ; ; ; ; ; ; 23/10; ; 11/5; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
Draw; 5/2; ; ; ; ; ; ; ; 23/10; ; 21/10; ; ; 9/4; 21/10; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-12 18:21:08 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 23/20; ; ; ; ; ; ; ; 5/4; ; 23/20; ; ; 5/4; 5/4; ; ; ; ; ; ; ; ; ; ; ; 23/20; ; 
Draw; 12/5; ; ; ; ; ; ; ; 9/4; ; 2; ; ; 9/4; 21/10; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Grimsby; 23/10; ; ; ; ; ; ; ; 5/2; ; 12/5; ; ; 13/5; 12/5; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-12 22:21:02 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 23/20; ; ; ; ; ; ; ; 5/4; ; 23/20; ; ; 5/4; 5/4; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; 
Draw; 12/5; ; ; ; ; ; ; ; 9/4; ; 2; ; ; 9/4; 21/10; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Grimsby; 23/10; ; ; ; ; ; ; ; 5/2; ; 12/5; ; ; 13/5; 12/5; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-13 02:21:00 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 23/20; ; ; ; ; ; ; ; 5/4; ; 23/20; ; ; 5/4; 5/4; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; 
Draw; 12/5; ; ; ; ; ; ; ; 9/4; ; 2; ; ; 23/10; 21/10; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Grimsby; 23/10; ; ; ; ; ; ; ; 5/2; ; 12/5; ; ; 13/5; 12/5; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-13 06:20:59 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 23/20; ; ; ; ; ; ; ; 5/4; ; 23/20; ; ; 5/4; 5/4; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; 
Draw; 12/5; ; ; ; ; ; ; ; 9/4; ; 2; ; ; 23/10; 21/10; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Grimsby; 23/10; ; ; ; ; ; ; ; 5/2; ; 12/5; ; ; 13/5; 12/5; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-13 10:21:00 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 5/4; ; ; ; ; ; ; ; 5/4; ; 23/20; ; ; 5/4; 5/4; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; 
Draw; 11/5; ; ; ; ; ; ; ; 9/4; ; 2; ; ; 23/10; 21/10; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Grimsby; 11/4; ; ; ; ; ; ; ; 5/2; ; 12/5; ; ; 13/5; 12/5; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-13 14:21:18 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 5/4; ; ; ; ; ; ; ; 5/4; ; 23/20; ; ; 5/4; 5/4; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; 
Draw; 11/5; ; ; ; ; ; ; ; 9/4; ; 2; ; ; 23/10; 21/10; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Grimsby; 11/4; ; ; ; ; ; ; ; 5/2; ; 12/5; ; ; 13/5; 12/5; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-13 18:20:57 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 5/4; ; ; ; ; ; ; ; 5/4; ; 6/5; ; ; 5/4; 23/20; ; ; ; ; ; ; ; ; ; ; ; 23/20; ; 
Draw; 11/5; ; ; ; ; ; ; ; 11/5; ; 21/10; ; ; 9/4; 2; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Grimsby; 11/4; ; ; ; ; ; ; ; 13/5; ; 5/2; ; ; 27/10; 11/4; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-13 22:20:58 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 5/4; ; ; ; ; ; ; ; 5/4; ; 6/5; ; ; 5/4; 23/20; ; ; ; ; ; ; ; ; ; ; ; 23/20; ; 
Draw; 11/5; ; ; ; ; ; ; ; 11/5; ; 21/10; ; ; 9/4; 2; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Grimsby; 11/4; ; ; ; ; ; ; ; 13/5; ; 5/2; ; ; 27/10; 11/4; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-14 02:20:59 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 5/4; ; ; ; ; ; ; ; 5/4; ; 6/5; ; ; 5/4; 23/20; ; ; ; ; ; ; ; ; ; ; ; 23/20; ; 
Draw; 11/5; ; ; ; ; ; ; ; 11/5; ; 21/10; ; ; 9/4; 2; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Grimsby; 11/4; ; ; ; ; ; ; ; 13/5; ; 5/2; ; ; 27/10; 11/4; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-14 06:20:49 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 5/4; ; ; ; ; ; ; ; 5/4; ; 6/5; ; ; 5/4; 23/20; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; 
Draw; 11/5; ; ; ; ; ; ; ; 11/5; ; 21/10; ; ; 9/4; 2; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Grimsby; 11/4; ; ; ; ; ; ; ; 13/5; ; 5/2; ; ; 27/10; 11/4; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-14 10:20:49 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 5/4; ; ; ; ; ; ; ; 5/4; ; 6/5; ; ; 5/4; 6/5; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; 
Draw; 11/5; ; ; ; ; ; ; ; 11/5; ; 21/10; ; ; 23/10; 11/5; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Grimsby; 11/4; ; ; ; ; ; ; ; 13/5; ; 5/2; ; ; 13/5; 12/5; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-14 14:21:53 GMT+3; 2017-04-14 15:00; Nothing; Xlenovo
Cambridge Utd; 5/4; ; ; ; ; ; ; ; 5/4; ; 6/5; ; ; 5/4; 6/5; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; 
Draw; 23/10; ; ; ; ; ; ; ; 11/5; ; 21/10; ; ; 12/5; 11/5; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Grimsby; 13/5; ; ; ; ; ; ; ; 13/5; ; 5/2; ; ; 13/5; 12/5; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; 
META; english/league-2/grimsby-v-cambridge-utd; 2017-04-14 18:21:52 GMT+3; 2017-04-14 15:00; In Play; Xlenovo
Grimsby; 4/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Cambridge Utd; 12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
