META; english/league-2/cheltenham-v-grimsby; 2017-04-14 18:22:07 GMT+3; 2017-04-17 13:00; Nothing; Xlenovo
Cheltenham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Grimsby; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/cheltenham-v-grimsby; 2017-04-14 22:21:45 GMT+3; 2017-04-17 13:00; Nothing; Xlenovo
Cheltenham; 21/20; 1; 21/20; ; 11/10; ; 21/20; ; ; ; ; ; ; 21/20; ; 21/20; 21/20; ; ; 21/20; ; ; ; ; ; ; 4/6; ; 
Grimsby; 13/5; 13/5; 13/5; 13/5; 13/5; 23/10; 13/5; 12/5; 5/2; 13/5; 5/2; 13/5; 13/5; 27/10; 12/5; 13/5; 28/11; 5/2; 12/5; 28/11; 67/25; 28/13; 27/11; 5/2; 27/11; ; 23/10; 23/10; 
META; english/league-2/cheltenham-v-grimsby; 2017-04-16 14:20:45 GMT+3; 2017-04-17 13:00; Nothing; Xlenovo
Cheltenham; 21/20; 11/10; 1; 1; 21/20; 19/20; 21/20; 10/11; 21/20; 1; 1; 21/20; 1; 11/10; 1; 21/20; 1; 21/20; 21/20; 1; 51/50; 24/23; 13/12; 1; 13/12; ; 10/11; 20/21; 
Draw; 13/5; 23/10; 11/5; 5/2; 12/5; 9/4; 5/2; 12/5; 12/5; 23/10; 21/10; 11/5; 49/20; 12/5; 12/5; 12/5; 40/17; 12/5; 23/10; 40/17; 5/2; 27/11; 40/17; 9/4; 40/17; ; 11/5; 19/10; 
Grimsby; 14/5; 13/5; 27/10; 13/5; 11/4; 5/2; 14/5; 12/5; 11/4; 14/5; 27/10; 14/5; 14/5; 29/10; 14/5; 11/4; 14/5; 5/2; 12/5; 14/5; 3; 27/11; 27/11; 11/4; 27/11; ; 27/10; 5/2; 
META; english/league-2/cheltenham-v-grimsby; 2017-04-16 18:20:40 GMT+3; 2017-04-17 13:00; Nothing; Xlenovo
Cheltenham; 21/20; 1; 1; 1; 21/20; 19/20; 21/20; 10/11; 21/20; 1; 1; 21/20; 1; 11/10; 1; 1; 1; 21/20; 21/20; 1; 51/50; 11/10; 13/12; 21/20; 13/12; ; 1; 20/21; 
Draw; 13/5; 23/10; 11/5; 5/2; 12/5; 9/4; 13/5; 12/5; 12/5; 23/10; 11/5; 11/5; 49/20; 5/2; 12/5; 5/2; 40/17; 12/5; 23/10; 40/17; 5/2; 27/11; 40/17; 12/5; 40/17; ; 23/10; 2; 
Grimsby; 14/5; 29/10; 27/10; 13/5; 11/4; 5/2; 11/4; 12/5; 11/4; 14/5; 27/10; 14/5; 14/5; 3; 14/5; 11/4; 14/5; 5/2; 12/5; 14/5; 3; 9/4; 27/11; 14/5; 27/11; ; 14/5; 5/2; 
META; english/league-2/cheltenham-v-grimsby; 2017-04-16 22:20:40 GMT+3; 2017-04-17 13:00; Nothing; Xlenovo
Cheltenham; 21/20; 1; 1; 1; 21/20; 19/20; 21/20; 1; 21/20; 1; 1; 21/20; 1; 11/10; 1; 21/20; 1; 21/20; 21/20; ; 51/50; 24/23; 13/12; 21/20; 13/12; ; 1; 1; 
Draw; 13/5; 23/10; 11/5; 5/2; 12/5; 9/4; 13/5; 23/10; 12/5; 23/10; 12/5; 11/5; 49/20; 5/2; 12/5; 12/5; 40/17; 12/5; 23/10; ; 5/2; 27/11; 40/17; 12/5; 40/17; ; 12/5; 11/5; 
Grimsby; 14/5; 14/5; 27/10; 13/5; 11/4; 5/2; 11/4; 11/4; 11/4; 14/5; 11/4; 14/5; 14/5; 3; 14/5; 14/5; 14/5; 5/2; 12/5; ; 3; 27/11; 27/11; 14/5; 27/11; ; 14/5; 27/10; 
META; english/league-2/cheltenham-v-grimsby; 2017-04-17 02:20:39 GMT+3; 2017-04-17 13:00; Nothing; Xlenovo
Cheltenham; 21/20; 1; 1; 1; 21/20; 19/20; 21/20; 1; 21/20; 1; 1; 21/20; 1; 21/20; 1; 21/20; 1; 21/20; 21/20; 1; 51/50; 24/23; 13/12; 21/20; 13/12; ; 21/20; 1; 
Draw; 13/5; 23/10; 11/5; 5/2; 12/5; 9/4; 13/5; 23/10; 12/5; 23/10; 12/5; 11/5; 49/20; 5/2; 12/5; 12/5; 40/17; 12/5; 23/10; 40/17; 5/2; 27/11; 40/17; 12/5; 40/17; ; 23/10; 11/5; 
Grimsby; 14/5; 14/5; 11/4; 13/5; 11/4; 5/2; 11/4; 11/4; 14/5; 14/5; 14/5; 14/5; 14/5; 3; 14/5; 14/5; 14/5; 5/2; 12/5; 14/5; 3; 27/11; 27/11; 14/5; 27/11; ; 14/5; 27/10; 
META; english/league-2/cheltenham-v-grimsby; 2017-04-17 06:20:37 GMT+3; 2017-04-17 13:00; Nothing; Xlenovo
Cheltenham; 21/20; 1; 1; 1; 21/20; 19/20; 21/20; 1; 21/20; 1; 1; 1; 1; 21/20; 1; 21/20; 1; 21/20; 21/20; 1; 103/100; 24/23; 13/12; 21/20; 13/12; ; 1; 21/20; 
Draw; 13/5; 23/10; 11/5; 5/2; 12/5; 9/4; 13/5; 23/10; 12/5; 23/10; 12/5; 12/5; 49/20; 5/2; 12/5; 12/5; 40/17; 12/5; 23/10; 23/10; 63/25; 27/11; 40/17; 12/5; 40/17; ; 23/10; 23/10; 
Grimsby; 14/5; 14/5; 11/4; 13/5; 11/4; 5/2; 11/4; 11/4; 14/5; 14/5; 14/5; 14/5; 14/5; 3; 14/5; 14/5; 14/5; 5/2; 12/5; 37/13; 149/50; 27/11; 27/11; 14/5; 27/11; ; 11/4; 14/5; 
META; english/league-2/cheltenham-v-grimsby; 2017-04-17 10:20:34 GMT+3; 2017-04-17 13:00; Nothing; Xlenovo
Cheltenham; 21/20; 21/20; 21/20; 23/20; 11/10; 1; 21/20; 1; 11/10; 11/10; 21/20; 11/10; 21/20; 11/10; 11/10; 21/20; 21/20; 21/20; 1; 21/20; 103/100; 19/17; 1; 11/10; 1; ; 11/10; 21/20; 
Draw; 13/5; 23/10; 43/20; 9/4; 12/5; 11/5; 13/5; 23/10; 12/5; 23/10; 12/5; 11/5; 49/20; 5/2; 9/4; 12/5; 23/10; 12/5; 12/5; 23/10; 63/25; 12/5; 12/5; 23/10; 12/5; ; 23/10; 23/10; 
Grimsby; 14/5; 13/5; 13/5; 5/2; 13/5; 12/5; 27/10; 11/4; 11/4; 13/5; 13/5; 13/5; 53/20; 14/5; 13/5; 27/10; 13/5; 5/2; 11/4; 13/5; 149/50; 23/10; 11/4; 13/5; 11/4; ; 27/10; 13/5; 
META; english/league-2/cheltenham-v-grimsby; 2017-04-17 14:20:41 GMT+3; 2017-04-17 13:00; Nothing; Xlenovo
Cheltenham; 23/20; 11/10; 23/20; 11/10; 11/10; 1; 11/10; 11/10; 11/10; ; 21/20; 11/10; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 1; 21/20; 57/50; 13/12; 24/23; 11/10; 24/23; ; 11/10; 10/9; 
Draw; 12/5; 23/10; 47/20; 11/5; 23/10; 11/5; 5/2; 11/5; 23/10; ; 23/10; 11/5; 23/10; 12/5; 9/4; 23/10; 9/4; 12/5; 23/10; 9/4; 5/2; 12/5; 23/10; 23/10; 23/10; ; 23/10; 23/10; 
Grimsby; 14/5; 13/5; 11/4; 11/4; 11/4; 12/5; 27/10; 13/5; 13/5; ; 27/10; 13/5; 53/20; 14/5; 13/5; 27/10; 13/5; 5/2; 11/4; 45/17; 53/20; 12/5; 11/4; 13/5; 11/4; ; 27/10; 27/10; 
