META; english/league-2/portsmouth-v-cambridge-utd; 2017-04-18 14:21:02 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; 10/11; ; ; ; ; ; ; ; 1; ; 19/20; ; ; 19/20; 1; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Cambridge Utd; 10/3; ; ; ; ; ; ; ; 3; ; 16/5; ; ; 10/3; 7/2; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; english/league-2/portsmouth-v-cambridge-utd; 2017-04-20 14:20:58 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; 3/4; ; ; ; ; ; ; ; 9/10; ; 5/6; ; ; 4/5; 4/5; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 11/4; ; ; ; ; ; ; ; 5/2; ; 13/5; ; ; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
Cambridge Utd; 10/3; ; ; ; ; ; ; ; 3; ; 16/5; ; ; 10/3; 7/2; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; english/league-2/portsmouth-v-cambridge-utd; 2017-04-20 18:20:53 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; 3/4; ; ; ; ; ; ; ; 9/10; ; 5/6; ; ; 17/20; 4/5; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 11/4; ; ; ; ; ; ; ; 5/2; ; 13/5; ; ; 27/10; 5/2; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
Cambridge Utd; 10/3; ; ; ; ; ; ; ; 3; ; 16/5; ; ; 7/2; 7/2; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; english/league-2/portsmouth-v-cambridge-utd; 2017-04-20 22:20:56 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; 3/4; ; ; ; ; ; ; ; 9/10; ; 5/6; ; ; 5/6; 4/5; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 11/4; ; ; ; ; ; ; ; 5/2; ; 13/5; ; ; 11/4; 5/2; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
Cambridge Utd; 10/3; ; ; ; ; ; ; ; 3; ; 16/5; ; ; 18/5; 7/2; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; english/league-2/portsmouth-v-cambridge-utd; 2017-04-21 02:20:41 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; 17/20; ; ; ; ; ; ; ; 9/10; ; 17/20; ; ; 17/20; 4/5; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 11/4; ; ; ; ; ; ; ; 5/2; ; 5/2; ; ; 27/10; 5/2; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
Cambridge Utd; 7/2; ; ; ; ; ; ; ; 3; ; 16/5; ; ; 7/2; 7/2; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; english/league-2/portsmouth-v-cambridge-utd; 2017-04-21 06:20:51 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; 17/20; ; ; ; ; ; ; ; ; ; 17/20; ; ; 17/20; 4/5; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 11/4; ; ; ; ; ; ; ; ; ; 5/2; ; ; 27/10; 5/2; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
Cambridge Utd; 7/2; ; ; ; ; ; ; ; ; ; 16/5; ; ; 7/2; 7/2; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; english/league-2/portsmouth-v-cambridge-utd; 2017-04-21 10:20:42 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; 17/20; ; ; ; ; ; ; ; 9/10; ; 17/20; ; ; 17/20; 4/5; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 11/4; ; ; ; ; ; ; ; 5/2; ; 5/2; ; ; 27/10; 5/2; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
Cambridge Utd; 7/2; ; ; ; ; ; ; ; 3; ; 16/5; ; ; 7/2; 7/2; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; english/league-2/portsmouth-v-cambridge-utd; 2017-04-22 18:20:58 GMT+3; 2017-04-22 15:00; In Play; Xlenovo
Portsmouth; 1/40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 16; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Cambridge Utd; 66; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
