META; english/league-2/wycombe-v-cambridge-utd; 2017-05-02 10:59:01 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; 6/4; ; ; ; ; ; ; ; 6/4; 31/20; 31/20; ; ; 6/4; 6/4; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
Cambridge Utd; 9/5; ; ; ; ; ; ; ; 9/5; 7/4; 9/5; ; ; 19/10; 9/5; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; 
Draw; 12/5; ; ; ; ; ; ; ; 12/5; 23/10; 12/5; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
META; english/league-2/wycombe-v-cambridge-utd; 2017-05-05 10:20:24 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; 6/4; ; ; ; ; ; ; ; 6/4; 11/8; 7/5; ; ; 6/4; 6/4; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
Cambridge Utd; 2; ; ; ; ; ; ; ; 15/8; 2; 19/10; ; ; 19/10; 9/5; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; 
Draw; 12/5; ; ; ; ; ; ; ; 23/10; 12/5; 23/10; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
META; english/league-2/wycombe-v-cambridge-utd; 2017-05-05 14:20:26 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; 6/4; ; ; ; ; ; ; ; 6/4; 11/8; 7/5; ; ; 6/4; 6/4; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
Cambridge Utd; 2; ; ; ; ; ; ; ; 15/8; 2; 19/10; ; ; 19/10; 9/5; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; 
Draw; 12/5; ; ; ; ; ; ; ; 23/10; 12/5; 23/10; ; ; 5/2; 23/10; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
META; english/league-2/wycombe-v-cambridge-utd; 2017-05-05 18:20:27 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; 6/4; ; ; ; ; ; ; ; 6/4; 11/8; 7/5; ; ; 6/4; 6/4; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
Cambridge Utd; 2; ; ; ; ; ; ; ; 15/8; 2; 19/10; ; ; 19/10; 9/5; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; 
Draw; 12/5; ; ; ; ; ; ; ; 23/10; 12/5; 23/10; ; ; 5/2; 23/10; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 
META; english/league-2/wycombe-v-cambridge-utd; 2017-05-05 22:20:27 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; 6/4; ; ; ; ; ; ; ; 6/4; 11/8; 7/5; ; ; 6/4; 11/8; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
Cambridge Utd; 2; ; ; ; ; ; ; ; 15/8; 2; 19/10; ; ; 19/10; 19/10; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
Draw; 12/5; ; ; ; ; ; ; ; 23/10; 12/5; 23/10; ; ; 5/2; 12/5; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 
META; english/league-2/wycombe-v-cambridge-utd; 2017-05-06 02:20:18 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; 6/4; ; ; ; ; ; ; ; 6/4; 11/8; 7/5; ; ; 6/4; 11/8; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
Cambridge Utd; 2; ; ; ; ; ; ; ; 15/8; 2; 19/10; ; ; 2; 19/10; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
Draw; 12/5; ; ; ; ; ; ; ; 23/10; 12/5; 23/10; ; ; 13/5; 12/5; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 
META; english/league-2/wycombe-v-cambridge-utd; 2017-05-06 10:20:22 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; 6/4; ; ; ; ; ; ; ; 7/5; 27/20; 11/8; ; ; 6/4; 11/8; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
Cambridge Utd; 2; ; ; ; ; ; ; ; 2; 19/10; 2; ; ; 2; 19/10; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
Draw; 12/5; ; ; ; ; ; ; ; 12/5; 12/5; 23/10; ; ; 13/5; 12/5; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 
META; english/league-2/wycombe-v-cambridge-utd; 2017-05-06 14:20:31 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; 29/20; ; ; ; ; ; ; ; 7/5; 27/20; 11/8; ; ; 29/20; 11/8; ; ; ; ; ; ; ; ; ; ; ; 11/8; ; 
Cambridge Utd; 2; ; ; ; ; ; ; ; 15/8; 21/10; 2; ; ; 2; 15/8; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
Draw; 5/2; ; ; ; ; ; ; ; 12/5; 9/4; 23/10; ; ; 13/5; 12/5; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; 
META; english/league-2/wycombe-v-cambridge-utd; 2017-05-06 18:20:27 GMT+3; 2017-05-06 17:30; Nothing; Xlenovo
Wycombe; 29/20; ; ; ; ; ; ; ; 7/5; 27/20; 11/8; ; ; 29/20; 11/8; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
Cambridge Utd; 2; ; ; ; ; ; ; ; 15/8; 21/10; 2; ; ; 2; 15/8; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
Draw; 5/2; ; ; ; ; ; ; ; 12/5; 9/4; 23/10; ; ; 13/5; 12/5; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; 
