META; english/league-2/notts-county-v-exeter; 2017-02-11 18:22:30 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Exeter; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Notts County; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-2/notts-county-v-exeter; 2017-02-11 22:26:27 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Exeter; 6/5; 11/10; ; 13/10; 5/4; ; 6/5; ; ; ; 6/5; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; 4/6; ; 
Notts County; 12/5; 12/5; 11/5; 23/10; 23/10; 21/10; 23/10; 23/10; ; 23/10; 11/5; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; ; 9/4; 23/10; 5/2; 2; 9/4; 9/4; ; 23/10; 23/10; 
META; english/league-2/notts-county-v-exeter; 2017-02-12 22:22:30 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Exeter; 23/20; 6/5; 6/5; 6/5; 5/4; 11/10; 6/5; 1; 5/4; 6/5; 6/5; 6/5; 23/20; 5/4; 6/5; 6/5; 6/5; 15/13; 6/5; 6/5; 6/5; 22/19; 16/13; 6/5; ; 23/20; 10/9; 
Draw; 9/4; 23/10; 43/20; 23/10; 12/5; 11/5; 12/5; 9/4; 23/10; 23/10; 21/10; 11/5; 47/20; 12/5; 23/10; 23/10; 23/10; 11/5; 23/10; 23/10; 5/2; 9/4; 23/10; 9/4; ; 9/4; 11/5; 
Notts County; 12/5; 23/10; 11/5; 23/10; 23/10; 21/10; 23/10; 9/4; 23/10; 23/10; 11/5; 12/5; 23/10; 12/5; 23/10; 23/10; 9/4; 12/5; 9/4; 9/4; 5/2; 2; 9/4; 9/4; ; 12/5; 23/10; 
META; english/league-2/notts-county-v-exeter; 2017-02-13 02:22:06 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Exeter; 23/20; 6/5; 23/20; 6/5; 5/4; 11/10; 6/5; 1; 5/4; 23/20; 6/5; 6/5; 23/20; 5/4; 6/5; 6/5; 6/5; 15/13; 6/5; 6/5; 6/5; 22/19; 16/13; 6/5; ; 23/20; 10/9; 
Draw; 9/4; 23/10; 9/4; 23/10; 12/5; 11/5; 12/5; 9/4; 23/10; 12/5; 11/5; 23/10; 47/20; 5/2; 12/5; 23/10; 23/10; 11/5; 23/10; 23/10; 5/2; 9/4; 23/10; 23/10; ; 9/4; 11/5; 
Notts County; 12/5; 23/10; 11/5; 23/10; 23/10; 43/20; 23/10; 9/4; 23/10; 23/10; 21/10; 9/4; 23/10; 12/5; 11/5; 23/10; 9/4; 12/5; 9/4; 9/4; 5/2; 2; 9/4; 9/4; ; 12/5; 23/10; 
META; english/league-2/notts-county-v-exeter; 2017-02-13 06:21:13 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Exeter; 6/5; 6/5; 23/20; 6/5; 5/4; 11/10; 6/5; 1; 5/4; 23/20; 6/5; 6/5; 23/20; 5/4; 6/5; 15/13; 6/5; 15/13; 6/5; 6/5; 6/5; 22/19; 16/13; 6/5; ; 23/20; 10/11; 
Notts County; 5/2; 23/10; 11/5; 23/10; 23/10; 43/20; 9/4; 9/4; 23/10; 23/10; 21/10; 9/4; 23/10; 12/5; 11/5; 23/10; 9/4; 12/5; 9/4; 9/4; 5/2; 2; 9/4; 11/5; ; 19/10; 1/50; 
Draw; 5/2; 23/10; 9/4; 23/10; 12/5; 11/5; 5/2; 9/4; 23/10; 12/5; 11/5; 23/10; 47/20; 5/2; 12/5; 12/5; 23/10; 11/5; 23/10; 23/10; 5/2; 9/4; 23/10; 23/10; ; 9/4; 19/10; 
META; english/league-2/notts-county-v-exeter; 2017-02-13 10:21:48 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Exeter; 6/5; 6/5; 23/20; 6/5; 6/5; 11/10; 6/5; 1; 5/4; 23/20; 6/5; 6/5; ; 5/4; 6/5; 15/13; 15/13; 15/13; 23/20; 15/13; 6/5; 22/19; 13/11; 23/20; ; 23/20; 10/9; 
Draw; 5/2; 23/10; 9/4; 23/10; 5/2; 9/4; 5/2; 9/4; 23/10; 23/10; 11/5; 23/10; ; 5/2; 12/5; 12/5; 40/17; 11/5; 23/10; 40/17; 5/2; 9/4; 40/17; 23/10; ; 23/10; 11/5; 
Notts County; 5/2; 23/10; 11/5; 23/10; 23/10; 43/20; 9/4; 9/4; 23/10; 23/10; 21/10; 9/4; ; 12/5; 11/5; 23/10; 23/10; 12/5; 9/4; 23/10; 5/2; 2; 9/4; 9/4; ; 12/5; 23/10; 
META; english/league-2/notts-county-v-exeter; 2017-02-13 14:21:58 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Exeter; 6/5; 23/20; 23/20; 6/5; 6/5; 11/10; 6/5; 6/5; 5/4; 23/20; 6/5; 6/5; 23/20; 6/5; 6/5; 15/13; 15/13; 15/13; 23/20; 15/13; 6/5; 22/19; 13/11; 6/5; ; 6/5; 10/9; 
