META; spain/la-liga-primera/sevilla-v-getafe; 2018-01-17 12:26:29 GMT+2; 2018-01-28 17:30; e70300-dr003
Sevilla; 3/5; 8/13; 11/18; 4/6; 33/50; 8/13; 8/13; 4/7; 5/8; 8/13; ; 8/13; ; 13/20; 8/13; 4/7; 8/13; 10/17; 8/13; 4/6; 5/8; 8/13; 8/13; 8/13; 11/18; 4/9; ; 
Sevilla; 4/7; 3/5; 4/7; 6/10; 59/ 100; 4/7; 5/9; 8/15; 7/12; 4/7; 4/7; 4/7; ; 6/10; 4/7; 8/15; 6/11; 8/15; 6/11; 10/17; 7/12; 4/7; 4/7; 11/20; 5/9; 1/2; ; 4/7
Draw; 3; 3; 3; 3; 33/10; 16/5; 3; 16/5; 13/4; 29/10; 3; 14/5; ; 3; 16/5; 14/5; 31/10; 3; 31/10; 13/4; 16/5; 3; 16/5; 16/5; 58/19; 5/2; ; 3
Getafe; 9/2; 9/2; 19/4; 9/2; 11/2; 5; 19/4; 9/2; 22/5; 19/4; 5; 5; ; 19/4; 19/4; 9/2; 9/2; 94/19; 9/2; 23/5; 22/5; 19/4; 19/4; 19/4; 5; 7/2; ; 27/5
META; spain/la-liga-primera/sevilla-v-getafe; 2018-01-23 02:14:28 GMT+2; 2018-01-28 17:30; e70300-dr003
Sevilla; 8/15; 4/7; 4/7; 6/10; 29/50; 4/7; 5/9; 8/15; 7/12; 8/15; 8/15; 4/7; ; 4/7; 4/7; 8/15; 6/11; 8/15; 6/11; 10/17; 7/12; 8/15; 11/20; 8/15; 8/15; 1/2; 8/15; 8/15
Draw; 16/5; 3; 3; 3; 33/10; 16/5; 3; 16/5; 13/4; 3; 16/5; 3; ; 3; 16/5; 14/5; 31/10; 58/19; 31/10; 13/4; 16/5; 3; 16/5; 16/5; 31/10; 14/5; 13/5; 3
Getafe; 19/4; 19/4; 24/5; 9/2; 57/10; 5; 19/4; 9/2; 22/5; 24/5; 5; 9/2; ; 19/4; 19/4; 9/2; 9/2; 5; 9/2; 23/5; 22/5; 19/4; 5; 5; 96/19; 4; 24/5; 28/5
META; spain/la-liga-primera/sevilla-v-getafe; 2018-01-23 17:20:36 GMT+2; 2018-01-28 17:30; e70300-dr003
Sevilla; 8/15; 4/7; 8/15; 11/20; 11/20; 11/20; 8/15; 1/2; 1/2; 8/15; 8/15; 11/20; ; 4/7; 4/7; 1/2; 6/11; 18/35; 6/11; 6/11; 1/2; 8/15; 8/15; 1/2; 18/35; 4/9; 1/2; 4/7
Draw; 16/5; 3; 3; 3; 17/5; 16/5; 3; 16/5; 13/4; 3; 16/5; 3; ; 31/10; 3; 14/5; 31/10; 31/10; 31/10; 33/10; 16/5; 3; 33/10; 16/5; 41/13; 5/2; 5/2; 3
Getafe; 19/4; 19/4; 5; 5; 6; 5; 5; 5; 23/4; 5; 5; 5; ; 5; 5; 9/2; 9/2; 21/4; 9/2; 5; 11/2; 21/4; 5; 21/4; 91/17; 4; 24/5; 29/5
META; spain/la-liga-primera/sevilla-v-getafe; 2018-01-24 12:16:02 GMT+2; 2018-01-28 17:30; e70300-dr003
Sevilla; 8/15; 4/7; 8/15; 11/20; 14/25; 11/20; 8/15; ; 11/21; 8/15; 8/15; 11/20; ; 11/20; 4/7; 1/2; 6/11; 8/15; 6/11; 6/11; 11/21; 8/15; 8/15; 1/2; 8/15; ; 8/15; 1/2; 4/7
Draw; 16/5; 3; 3; 3; 67/20; 16/5; 3; ; 16/5; 3; 16/5; 3; ; 31/10; 3; 14/5; 31/10; 41/13; 31/10; 33/10; 16/5; 3; 33/10; 16/5; 41/13; ; 14/5; 5/2; 3
Getafe; 19/4; 19/4; 5; 5; 59/10; 5; 5; ; 11/2; 5; 5; 5; ; 5; 5; 9/2; 9/2; 27/5; 9/2; 5; 27/5; 5; 5; 21/4; 60/11; ; 24/5; 24/5; 29/5
