META; spain/la-liga-primera/eibar-v-real-madrid; 2018-03-01 15:58:29 GMT+2; ; e70300-dr003
Real Madrid; 2/5; 1/2; 1/2; 12/25; 4/9; 2/5; 5/11; 1/2; 4/9; 4/9; 9/20; 4/9; 7/15; 5/12; 7/15; 5/11; 9/20; 12/25; 7/15; 2/5
Draw; 15/4; 7/2; 10/3; 21/5; 18/5; 7/2; 10/3; 37/10; 10/3; 19/5; 10/3; 15/4; 7/2; 7/2; 15/4; 18/5; 37/10; 15/4; 7/2; 7/2
Eibar; 6; 11/2; 29/5; 6; 5; 27/5; 5; 11/2; 6; 11/2; 11/2; 49/10; 11/2; 9/2; 21/4; 21/4; 21/4; 94/19; ; 
META; spain/la-liga-primera/eibar-v-real-madrid; 2018-03-05 20:16:16 GMT+2; 2018-03-10 12:00; e70300-dr003
Real Madrid; 8/15; 4/7; 4/7; 1/2; 29/50; 11/20; 7/15; 1/2; 4/7; 8/15; 8/15; 11/20; 4/7; 4/7; 11/20; 1/2; 4/7; 10/21; 7/12; 4/7; 11/20; 11/20; 4/7; 8/15; 1/2; 8/15
Draw; 7/2; 10/3; 16/5; 17/5; 71/20; 7/2; 7/2; 10/3; 7/2; 16/5; 7/2; 16/5; 10/3; 16/5; 100/30; 33/10; 13/4; 17/5; 39/11; 17/5; 7/2; 10/3; 33/10; 3; 14/5; 10/3
Eibar; 17/4; 17/4; 9/2; 5; 26/5; 9/2; 5; 9/2; 43/10; 9/2; 9/2; 9/2; 9/2; 9/2; 19/4; 4; 50/11; 5; 43/10; 17/4; 9/2; 9/2; 23/5; 9/2; 22/5; 24/5
META; spain/la-liga-primera/eibar-v-real-madrid; 2018-03-06 15:02:07 GMT+2; 2018-03-10 12:00; e70300-dr003
Real Madrid; 8/15; 4/7; 8/15; 1/2; 59/00; 4/7; 8/15; 8/15; 4/7; 8/15; 8/15; 4/7; 4/7; 11/20; 4/7; 1/2; 4/7; 1/2; 4/7; 4/7; 11/20; 4/7; 4/7; 1/2; 8/15
Draw; 7/2; 10/3; 13/4; 17/5; 18/5; 10/3; 10/3; 16/5; 7/2; 16/5; 10/3; 16/5; 10/3; 10/3; 100/0; 33/10; 33/10; 7/2; 39/11; 17/5; 10/3; 57/17; 3; 14/5; 10/3
Eibar; 17/4; 17/4; 9/2; 5; 49/10; 9/2; 9/2; 9/2; 43/10; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 4; 50/11; 9/2; 22/5; 17/4; 9/2; 23/5; 21/5; 22/5; 24/5
META; spain/la-liga-primera/eibar-v-real-madrid; 2018-03-08 10:14:00 GMT+2; 2018-03-10 12:00; e70300-dr003
Real Madrid; 1/2; 1/2; 1/2; 1/2; 53/100; 1/2; 7/15; 4/9; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 8/15; 4/9; 18/35; 1/2; 1/2; 1/2; 1/2; 1/2; 18/35; 1/2; 4/9; 1/2; 8/15
Draw; 15/4; 7/2; 17/5; 17/5; 15/4; 18/5; 7/2; 10/3; 7/2; 17/5; 18/5; 16/5; 7/2; 100/30; 33/10; 38/11; 18/5; 39/11; 17/5; 15/4; 7/2; 7/2; 10/3; 3; 7/2; 10/3; 
Eibar; 19/4; 19/4; 5; 28/5; 5; 5; 21/4; 5; 9/2; 5; 5; 9/2; 96/19; 17/4; 27/5; 51/10; 5; 19/4; 51/10; 26/5; 23/5; 11/2; 27/5; ; ; ; 
META; spain/la-liga-primera/eibar-v-real-madrid; 2018-03-08 12:17:26 GMT+2; 2018-03-10 12:00; e70300-dr003
Real Madrid; 1/2; 1/2; 1/2; 1/2; 53/00; 1/2; 7/15; 4/9; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 8/15; 1/2; 18/35; 1/2; 1/2; 1/2; 1/2; 1/2; 18/35; 1/2; 4/9; 1/2; 8/15
Draw; 15/4; 7/2; 17/5; 17/5; 15/4; 18/5; 7/2; 10/3; 7/2; 7/2; 18/5; 16/5; 7/2; 100/0; 7/2; 38/11; 18/5; 39/11; 17/5; 15/4; 7/2; 38/11; 10/3; 3; 7/2; 7/2; 
Eibar; 19/4; 19/4; 5; 28/5; 5; 5; 21/4; 5; 5; 5; 5; 17/4; 27/5; 51/10; 5; 19/4; 96/19; 26/5; 24/5; 11/2; 26/5; ; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-real-madrid; 2018-03-09 12:16:41 GMT+2; 2018-03-10 12:00; e70300-dr003
Real Madrid; 1/2; 1/2; 1/2; 1/2; 13/25; 1/2; 1/2; 4/9; 1/2; 1/2; 1/2; 1/2; 4/9; 1/2; 8/15; 1/2; 18/35; 1/2; 1/2; 1/2; 1/2; 1/2; 8/15; 1/2; 8/15
Draw; 15/4; 7/2; 17/5; 10/3; 19/5; 18/5; 7/2; 7/2; 18/5; 7/2; 18/5; 16/5; 4; 18/5; 100/30; 7/2; 38/11; 15/4; 39/11; 7/2; 15/4; 7/2; 7/2; 7/2; 7/2
Eibar; 19/4; 19/4; 5; 57/10; 5; 5; 51/10; 5; 5; 11/2; 5; 5; 19/4; 27/5; 51/10; 5; 26/5; 27/5; 11/2; 26/5; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-real-madrid; 2018-03-10 12:17:09 GMT+2; 2018-03-10 12:00; e70300-dr003
Real Madrid; 1/2; 1/2; 1/2; 1/2; 8/15; 1/2; 1/2; 4/9; 1/2; 1/2; 1/2; 1/2; 1/2; 8/15; 1/2; 1/2; 18/35; 1/2; 18/35; 1/2; 1/2; 1/2; 18/35; 1/2; 8/15; 8/15; 8/15
Draw; 15/4; 18/5; 7/2; 7/2; 39/10; 15/4; 7/2; 7/2; 19/5; 7/2; 7/2; 7/2; 7/2; 18/5; 100/0; 7/2; 38/11; 15/4; 15/4; 15/4; 19/5; 15/4; 38/11; 7/2; 7/2; 7/2; 7/2
Eibar; 5; 19/4; 5; 53/10; 5; 19/4; 5; 24/5; 5; 9/2; 5; 19/4; 5; 19/4; 5; 19/4; 21/4; 19/4; 96/19; 5; 26/5; 26/5; 26/5; ; ; ; 
