META; spain/la-liga-primera/betis-v-eibar; 2018-03-18 14:17:24 GMT+2; 2018-04-08 15:00; e70300-dr003
META; spain/la-liga-primera/betis-v-eibar; 2018-04-04 08:16:47 GMT+3; 2018-04-07 17:30; e70300-dr003
Betis; 6/5; 6/5; 6/5; 5/4; 31/25; 5/4; 6/5; 6/5; 5/4; 23/20; 6/5; 6/5; 5/4; 6/5; 5/4; 6/5; 6/5; 5/4; 17/14; 5/4; 6/5; 6/5; 6/5; 23/20; 6/5; 6/5; 6/5
Draw; 12/5; 23/10; 23/10; 23/10; 5/2; 12/5; 23/10; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 47/20; 23/10; 12/5; 40/17; 9/4; 27/11; 23/10; 12/5; 47/20; 40/17; 9/4; 21/10; 12/5; 12/5
Eibar; 11/5; 23/10; 23/10; 11/5; 127/50; 9/4; 9/4; 21/10; 23/10; 9/4; 9/4; 9/4; 23/10; 47/20; 23/10; 23/10; 40/17; 21/10; 40/17; 23/10; 23/10; 23/10; 40/17; 21/10; 21/10; 12/5; 5/2
META; spain/la-liga-primera/betis-v-eibar; 2018-04-04 18:18:03 GMT+3; 2018-04-07 17:30; e70300-dr003
Betis; 6/5; 23/20; 5/4; 6/5; 67/50; 5/4; 5/4; 6/5; 5/4; 6/5; 6/5; 5/4; 6/5; 13/10; 13/10; 6/5; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 23/20; 23/20; 13/10; 13/10
Eibar; 11/5; 23/10; 11/5; 23/10; 23/10; 9/4; 21/10; 21/10; 23/10; 11/5; 11/5; 21/10; 23/10; 11/5; 11/5; 9/4; 11/5; 21/10; 9/4; 23/10; 11/5; 11/5; 9/4; 21/10; 21/10; 9/4; 9/4
Draw; 12/5; 23/10; 23/10; 23/10; 5/2; 12/5; 23/10; 23/10; 23/10; 9/4; 12/5; 23/10; 12/5; 47/20; 23/10; 12/5; 40/17; 9/4; 27/11; 23/10; 12/5; 47/20; 40/17; 9/4; 21/10; 12/5; 12/5
META; spain/la-liga-primera/betis-v-eibar; 2018-04-05 13:11:44 GMT+3; 2018-04-07 17:30; e70300-dr003
Betis; 13/10; 5/4; 5/4; 6/5; 32/25; 5/4; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; 13/10; 13/10; 13/10; 5/4; 5/4; 5/4; 24/19; 5/4; 5/4; 5/4; 6/5; 6/5; 5/4; 5/4
Eibar; 21/10; 21/10; 11/5; 23/10; 123/50; 9/4; 21/10; 21/10; 23/10; 11/5; 11/5; 11/5; 11/5; 43/20; 11/5; 11/5; 11/5; 21/10; 11/5; 23/10; 11/5; 9/4; 21/10; 2; 23/10; 23/10
Draw; 12/5; 23/10; 23/10; 23/10; 62/25; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 9/4; 12/5; 47/20; 23/10; 12/5; 40/17; 9/4; 27/11; 23/10; 12/5; 40/17; 23/10; 12/5; 12/5; 12/5
META; spain/la-liga-primera/betis-v-eibar; 2018-04-06 08:17:05 GMT+3; 2018-04-07 17:30; e70300-dr003
Betis; 5/4; 6/5; 6/5; 6/5; 127/100; 5/4; 5/4; 6/5; 5/4; 6/5; 5/4; 6/5; 5/4; 5/4; 13/10; 5/4; 6/5; 5/4; 16/13; 5/4; 13/10; 5/4; 6/5; 6/5; 5/4; 23/20
Eibar; 9/4; 11/5; 11/5; 23/10; 62/25; 9/4; 11/5; 21/10; 23/10; 9/4; 9/4; 23/10; 9/4; 9/4; 11/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 9/4; 21/10; 12/5; 
Draw; 12/5; 12/5; 23/10; 23/10; 62/25; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 9/4; 12/5; 12/5; 23/10; 23/10; 40/17; 23/10; 27/11; 23/10; 12/5; 40/17; 12/5; 23/10; 12/5; 
META; spain/la-liga-primera/betis-v-eibar; 2018-04-07 12:18:02 GMT+3; 2018-04-07 17:30; e70300-dr003
Betis; 11/10; 5/4; 23/20; 6/5; 121/100; 6/5; 6/5; 11/10; 6/5; 23/20; 23/20; 6/5; 6/5; 6/5; 6/5; 6/5; 15/13; 5/4; 19/16; 6/5; 6/5; 6/5; 6/5; 6/5; 5/4; 6/5
Eibar; 12/5; 21/10; 9/4; 23/10; 61/25; 23/10; 9/4; 9/4; 9/4; 9/4; 23/10; 23/10; 9/4; 47/20; 23/10; 23/10; 23/10; 23/10; 40/17; 11/5; 12/5; 40/17; 23/10; 12/5; 12/5; 12/5
Draw; 5/2; 12/5; 12/5; 23/10; 67/25; 5/2; 12/5; 12/5; 5/2; 23/10; 12/5; 23/10; 12/5; 49/20; 12/5; 12/5; 27/11; 23/10; 5/2; 27/11; 5/2; 27/11; 5/2; 13/5; 13/5; 13/5
