META; spain/la-liga-primera/getafe-v-athletic-bilbao; 2018-01-07 12:14:50 GMT+2; 2018-01-19 20:00; e70300-dr003
Getafe; ; ; ; ; 31/20; 31/20; 7/5; 6/4; ; ; ; 29/20; ; ; ; 7/5; 16/11; ; 16/11; ; ; 6/4; ; 29/20; ; ; ; ; 
META; spain/la-liga-primera/getafe-v-athletic-bilbao; 2018-01-18 18:18:57 GMT+2; 2018-01-19 20:00; e70300-dr003
Getafe; 17/10; 13/8; 17/10; 17/10; 181/ 100; 17/10; 17/10; 17/10; 7/4; 17/10; 17/10; 17/10; 33/20; 17/10; 17/10; 17/10; 17/10; 17/10; 17/10; 48/29; 17/10; 7/4; 7/4; 17/10; 7/4; 7/4; 7/4; 9/5
Athletic Bilbao; 7/4; 9/5; 7/4; 7/4; 93/50; 9/5; 7/4; 9/5; 9/5; 7/4; 7/4; 9/5; 17/10; 9/5; 9/5; 9/5; 9/5; 9/5; 9/5; 24/13; 7/4; 9/5; 9/5; 9/5; 9/5; 7/4; 7/4; 19/10
Draw; 11/5; 21/10; 2; 21/10; 111/ 50; 21/10; 2; 21/10; 28/13; 2; 21/10; 2; 11/5; 21/10; 21/10; 21/10; 37/19; 39/19; 37/19; 11/5; 21/10; 2; 11/5; 2; 21/10; 21/10; 21/10; 21/10
META; spain/la-liga-primera/getafe-v-athletic-bilbao; 2018-01-19 12:15:08 GMT+2; 2018-01-19 20:00; e70300-dr003
Getafe; 7/4; 13/8; 17/10; 17/10; 181/100; 7/4; 17/10; 17/10; 7/4; 17/10; 17/10; 17/10; 7/4; 7/4; 17/10; 17/10; 17/10; 17/10; 17/10; 22/13; 17/10; 7/4; 9/5; 7/4; 17/10; ; 7/4; 7/4; 9/5
Athletic Bilbao; 7/4; 9/5; 17/10; 7/4; 37/20; 9/5; 7/4; 9/5; 9/5; 17/10; 7/4; 7/4; 7/4; 7/4; 9/5; 9/5; 9/5; 7/4; 9/5; 7/4; 7/4; 7/4; 7/4; 9/5; 9/5; ; 7/4; 7/4; 9/5
Draw; 21/10; 21/10; 2; 21/10; 56/25; 21/10; 21/10; 21/10; 28/13; 2; 21/10; 2; 21/10; 41/20; 21/10; 2; 21/10; 21/10; 21/10; 9/4; 21/10; 2; 9/4; 21/10; 21/10; ; 21/10; 21/10; 11/5
META; spain/la-liga-primera/getafe-v-athletic-bilbao; 2018-01-19 12:43:59 GMT+2; 2018-01-19 20:00; e70300-dr003
Getafe; 7/4; 13/8; 17/10; 17/10; 181/100; 7/4; 17/10; 17/10; 7/4; 33/20; 17/10; 17/10; 17/10; 17/10; 17/10; 17/10; 17/10; 17/10; 17/10; 22/13; 17/10; 7/4; 7/4; 7/4; 17/10; ; 7/4; 7/4; 9/5
Athletic Bilbao; 7/4; 9/5; 7/4; 7/4; 37/20; 9/5; 7/4; 9/5; 9/5; 17/10; 7/4; 7/4; 9/5; 9/5; 9/5; 9/5; 9/5; 7/4; 9/5; 7/4; 7/4; 7/4; 9/5; 9/5; 9/5; ; 9/5; 9/5; 15/8
Draw; 21/10; 21/10; 2; 21/10; 56/25; 21/10; 21/10; 21/10; 28/13; 2; 21/10; 2; 21/10; 41/20; 21/10; 2; 21/10; 21/10; 21/10; 9/4; 21/10; 2; 9/4; 21/10; 21/10; ; 21/10; 21/10; 11/5
META; spain/la-liga-primera/getafe-v-athletic-bilbao; 2018-01-19 14:01:54 GMT+2; 2018-01-19 20:00; e70300-dr003
Getafe; 7/4; 13/8; 17/10; 17/10; 91/50; 7/4; 17/10; 17/10; 7/4; 17/10; 7/4; 17/10; 7/4; 7/4; 17/10; 17/10; 17/10; 17/10; 17/10; 16/9; 17/10; 7/4; 9/5; 7/4; 17/10; ; 7/4; 7/4; 9/5
Athletic Bilbao; 7/4; 9/5; 7/4; 7/4; 189/100; 9/5; 7/4; 9/5; 9/5; 17/10; 7/4; 9/5; 9/5; 7/4; 9/5; 9/5; 9/5; 7/4; 9/5; 16/9; 7/4; 9/5; 9/5; 9/5; 9/5; ; 9/5; 9/5; 15/8
Draw; 21/10; 21/10; 2; 21/10; 109/50; 21/10; 2; 21/10; 28/13; 2; 2; 2; 21/10; 21/10; 21/10; 2; 21/10; 39/19; 21/10; 28/13; 21/10; 2; 85/40; 21/10; 21/10; ; 2; 2; 11/5
