META; spain/la-liga-primera/celta-vigo-v-barcelona; 2018-04-07 12:19:02 GMT+3; 2018-04-17 20:00; e70300-dr003
Barcelona; 13/25
Draw; 71/20
Celta Vigo; 63/10
META; spain/la-liga-primera/celta-vigo-v-barcelona; 2018-04-10 08:16:37 GMT+3; 2018-04-17 20:00; e70300-dr003
Barcelona; 11/20; 29/50; 8/15; 8/15; 4/9; 8/15; 8/15; 4/7; 4/7; 11/20; 4/7; 8/15; 18/35; 8/15; 8/15; 8/15; 4/11
Draw; 10/3; 18/5; 7/2; 10/3; 16/5; 7/2; 10/3; 3; 16/5; 100/30; 10/3; 13/4; 7/2; 17/5; 7/2; 33/10; 1/50
Celta Vigo; 9/2; 51/10; 5; 9/2; 9/2; 23/5; 9/2; 9/2; 19/4; 19/4; 9/2; 22/5; 41/10; 23/5; 19/4; 49/11; 7/2
META; spain/la-liga-primera/celta-vigo-v-barcelona; 2018-04-11 12:54:17 GMT+3; 2018-04-17 20:00; e70300-dr003
Barcelona; 7/10; 43/50; 4/5; 4/5; 8/11; 3/4; 4/5; 4/5; 5/6; 17/20; 4/5; 4/5; 5/6; 14/19; 5/6; 4/5; 4/7; 5/6
Celta Vigo; 14/5; 61/20; 3; 29/10; 3; 33/10; 3; 14/5; 31/10; 3; 14/5; 56/19; 13/5; 13/4; 29/10; 3; 5/6; 14/5
META; spain/la-liga-primera/celta-vigo-v-barcelona; 2018-04-13 16:16:51 GMT+3; 2018-04-17 20:00; e70300-dr003
Barcelona; 4/5; 17/20; 4/5; 10/11; 5/6; 4/5; 8/11; 3/4; 5/6; 5/6; 20/23; 5/6; 17/20; 17/20; 13/15; 5/6; 14/19; 5/6; 13/15; 8/11; 5/6
Draw; 3; 11/4; 3; 3; 14/5; 11/4; 16/5; 27/10; 11/4; 13/5; 14/5; 14/5; 14/5; 37/13; 29/10; 31/10; 3; 29/10; 14/5; 11/4; 
Celta Vigo; 14/5; 29/10; 14/5; 63/20; 3; 29/10; 3; 33/10; 29/10; 3; 14/5; 31/10; 3; 14/5; 29/10; 13/5; 13/4; 29/10; 29/10; 14/5; 3
META; spain/la-liga-primera/celta-vigo-v-barcelona; 2018-04-14 12:19:12 GMT+3; 2018-04-17 20:00; e70300-dr003
Barcelona; 3/4; 4/5; 4/5; 4/5; 23/25; 4/5; 3/4; 8/11; 7/9; 4/5; 4/5; 3/4; 5/6; 5/6; 4/5; 13/15; 11/13; 5/6; 13/17; 4/5; 13/15; 8/11; 5/6
Draw; 11/4; 29/10; 14/5; 3; 29/10; 14/5; 11/4; 56/19; 14/5; 3; 14/5; 29/10; 14/5; 14/5; 37/13; 11/4; 29/10; 29/10; 3; 37/13; 14/5; 27/10; 
Celta Vigo; 10/3; 3; 14/5; 31/10; 16/5; 16/5; 3; 57/17; 3; 10/3; 3; 16/5; 3; 14/5; 13/5; 33/10; 31/10; 3; 2/15; 3; ; ; 
META; spain/la-liga-primera/celta-vigo-v-barcelona; 2018-04-16 20:38:11 GMT+3; 2018-04-17 20:00; e70300-dr003
Barcelona; 8/11; 8/11; 4/5; 7/10; 21/25; 4/5; 3/4; 8/11; 4/5; 4/5; 4/5; 4/5; 3/4; 3/4; 8/11; 4/5; 13/18; 7/9; 11/14; 4/5; 4/5; 4/5; 5/6; 5/6; 4/5; 5/6
Draw; 3; 29/10; 3; 16/5; 3; 29/10; 11/4; 3; 29/10; 11/4; 3; 16/5; 3; 29/10; 29/10; 3; 3; 56/19; 3; 14/5; 14/5; 3; 14/5; ; ; 
Celta Vigo; 18/5; 10/3; 3; 7/2; 33/10; 17/5; 16/5; 16/5; 16/5; 16/5; 16/5; 3; 17/5; 16/5; 10/3; 41/13; 13/4; 33/10; 31/10; 7/2; 41/13; 3; 10/3; 3; ; 
META; spain/la-liga-primera/celta-vigo-v-barcelona; 2018-04-17 20:40:25 GMT+3; 2018-04-17 20:00; e70300-dr003
Barcelona; 3/5; 8/13; 8/13; 8/13; 69/00; 13/20; 13/20; 8/13; 13/19; 8/13; 8/13; 8/13; 4/6; 13/20; 4/6; 8/13; 8/13; 11/17; 11/17; 13/19; 13/20; 11/17; 4/6; 8/13; 4/6; 4/6; 4/6
Draw; 7/2; 7/2; 16/5; 16/5; 10/3; 16/5; 16/5; 3; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 10/3; 13/4; 16/5; 33/10; 16/5; 7/2; 13/4; 10/3; 3; 10/3; 10/3; 10/3
Celta Vigo; 4; 19/5; 4; 21/5; 15/4; 4; 37/10; 19/5; 19/5; 15/4; 4; 17/4; 15/4; 4; 39/10; 15/4; 75/19; 18/5; 4; 75/19; 4; 21/5; 21/5; 21/5; ; ; 
