META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-03 18:18:06 GMT+3; 2018-04-15 15:15; e70300-dr003
Draw; 5; 9/2; 19/4; 5; 28/5; 11/2; 5; 5; 19/4; 5; 9/2; 5; 11/2; 9/2; 49/10; 5; 53/10; 24/5; 21/4; 94/19; 23/5; 7/2; 11/2; 27/5; 
Levante; 14; 12; 16; 12; 37/2; 18; 16; 16; 18; 16; 16; 14; 15; 12; 14; 69/4; 27/2; 15; 18; 16; 35/2; 78/5; 78/5; 61/5; 18
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-12 10:45:19 GMT+3; 2018-04-15 15:15; e70300-dr003
Atletico Madrid; 2/9; 1/4; 2/9; 2/9; 23/00; 1/5; 2/11; 1/6; 1/5; 2/9; 1/5; 2/9; 1/5; 2/9; 3/14; 1/5; 2/9; 1/5; 1/5; 2/9; 2/9; 2/9; 2/9; ; 
Draw; 5; 9/2; 19/4; 5; 28/5; 11/2; 5; 5; 19/4; 5; 9/2; 5; 11/2; 9/2; 49/10; 5; 53/10; 24/5; 21/4; 94/19; 23/5; 7/2; 11/2; 27/5; 
Levante; 14; 12; 16; 12; 37/2; 18; 16; 16; 18; 16; 16; 14; 15; 12; 14; 17; 27/2; 15; 18; 16; 69/4; 78/5; 81/5; 61/5; 18
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-13 08:16:16 GMT+3; 2018-04-15 15:15; e70300-dr003
Atletico Madrid; 2/9; 1/4; 1/4; 2/9; 13/50; 2/9; 1/5; 1/6; 2/9; 1/4; 2/9; 1/4; 1/5; 1/5; 1/4; 2/9; 3/13; 2/9; 4/17; 3/14; 2/9; 3/13; 2/9; 1/4
Draw; 5; 9/2; 9/2; 5; 51/10; 5; 19/4; 9/2; 5; 9/2; 9/2; 9/2; 5; 19/4; 19/4; 9/2; 23/5; 21/4; 5; 24/5; 5; 79/17; 23/5; 24/5
Levante; 14; 12; 14; 12; 33/2; 17; 16; 14; 17; 14; 14; 14; 16; 14; 12; 14; 31/2; 14; 13; 17; 14; 63/4; 76/5; 71/5
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-13 16:16:38 GMT+3; 2018-04-15 15:15; e70300-dr003
Atletico Madrid; 2/9; 1/4; 2/9; 1/4; 1/4; 2/9; 1/5; 1/6; 2/9; 1/4; 2/9; 1/4; 1/5; 1/4; 1/4; 1/4; 1/4; 2/9; 4/17; 3/14; 2/9; 1/4; 2/9; 2/9; 2/9; 1/4; 
Draw; 5; 9/2; 9/2; 9/2; 26/5; 5; 19/4; 9/2; 5; 19/4; 9/2; 9/2; 5; 9/2; 19/4; 9/2; 43/10; 21/4; 5; 24/5; 5; 74/17; 5; 24/5; 5; 24/5; 
Levante; 14; 12; 16; 11; 35/2; 17; 16; 14; 17; 16; 14; 14; 16; 14; 12; 14; 15; 14; 13; 17; 14; 15; 14; 83/5; 83/5; 83/5; 17
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-14 12:18:34 GMT+3; 2018-04-15 15:15; e70300-dr003
Atletico Madrid; 2/9; 1/4; 2/9; 1/4; 13/50; 2/9; 1/5; 1/5; 3/13; 1/4; 2/9; 1/4; 1/4; 1/4; 1/4; 4/17; 1/4; 1/4; 3/13; 1/4; 1/4; 1/4; 2/9; 1/4; 1/4; 1/4
Draw; 5; 9/2; 9/2; 5; 19/4; 5; 24/5; 9/2; 9/2; 9/2; 9/2; 19/4; 9/2; 74/17; 5; 19/4; 5; 74/17; 9/2; 24/5; 5; 24/5; 5; ; ; 
Levante; 14; 12; 11; 17; 17; 16; 14; 15; 16; 14; 14; 14; 14; 12; 14; 61/4; 11; 12; 15; 17; 31/2; 14; 88/5; 88/5; 83/5; 18
