Middlesbrough; 9/20; 8/15; 8/15; 8/15; 1/2; 1/2; 1/2; 2/5; 8/15; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 10/21; 5/11; 4/9; 10/21; 8/15; 1/2; 7/15; 1/2; ; 4/9; 4/9; 
Draw; 10/3; 3; 3; 3; 10/3; 10/3; 16/5; 10/3; 3; 3; 29/10; 3; 16/5; 3; 10/3; 10/3; 16/5; 16/5; 3; 16/5; 69/20; 16/5; 13/4; 16/5; ; 3; 27/10; 
Oxford; 6; 11/2; 11/2; 9/2; 6; 11/2; 11/2; 6; 11/2; 11/2; 5; 11/2; 11/2; 11/2; 11/2; 6; 57/10; 6; 28/5; 57/10; 6; 24/5; 23/4; 11/2; ; 5; 23/5; 
META; english/fa-cup/middlesbrough-v-oxford; 2017-02-13 22:25:03 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Middlesbrough; 9/20; 8/15; 8/15; 8/15; 1/2; 1/2; 1/2; 2/5; 8/15; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 10/21; 5/11; 4/9; 10/21; 8/15; 1/2; 7/15; 1/2; ; 4/9; 4/9; 
Draw; 10/3; 3; 3; 3; 10/3; 10/3; 16/5; 10/3; 3; 3; 29/10; 3; 16/5; 3; 10/3; 10/3; 16/5; 16/5; 3; 16/5; 69/20; 16/5; 13/4; 16/5; ; 3; 27/10; 
Oxford; 6; 5; 11/2; 9/2; 6; 11/2; 11/2; 6; 11/2; 11/2; 5; 11/2; 11/2; 11/2; 11/2; 6; 57/10; 6; 28/5; 57/10; 6; 24/5; 23/4; 11/2; ; 24/5; 23/5; 
META; english/fa-cup/middlesbrough-v-oxford; 2017-02-14 02:24:26 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Middlesbrough; 9/20; 8/15; 8/15; 8/15; 8/15; 1/2; 1/2; 2/5; 8/15; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 10/21; 5/11; 4/9; 10/21; 8/15; 1/2; 7/15; 1/2; ; 1/2; 4/9; 
Draw; 10/3; 3; 3; 3; 16/5; 10/3; 16/5; 10/3; 3; 3; 29/10; 3; 16/5; 3; 10/3; 10/3; 16/5; 16/5; 3; 16/5; 69/20; 16/5; 13/4; 16/5; ; 3; 27/10; 
Oxford; 6; 5; 11/2; 9/2; 6; 11/2; 11/2; 6; 11/2; 11/2; 5; 11/2; 11/2; 11/2; 11/2; 6; 57/10; 6; 28/5; 57/10; 6; 24/5; 23/4; 11/2; ; 24/5; 23/5; 
META; english/fa-cup/middlesbrough-v-oxford; 2017-02-14 06:23:28 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Middlesbrough; 9/20; 8/15; 8/15; 8/15; 8/15; 1/2; 1/2; 2/5; 8/15; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 10/21; 5/11; 4/9; 10/21; 8/15; 1/2; 7/15; 1/2; ; 1/2; 4/9; 
Draw; 10/3; 3; 3; 3; 16/5; 10/3; 16/5; 10/3; 3; 3; 29/10; 3; 16/5; 3; 10/3; 10/3; 16/5; 16/5; 3; 16/5; 69/20; 16/5; 13/4; 16/5; ; 3; 27/10; 
Oxford; 6; 5; 11/2; 9/2; 6; 11/2; 11/2; 6; 11/2; 11/2; 5; 11/2; 11/2; 11/2; 11/2; 6; 57/10; 6; 28/5; 57/10; 6; 24/5; 23/4; 11/2; ; 24/5; 23/5; 
META; english/fa-cup/middlesbrough-v-oxford; 2017-02-14 10:23:38 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Middlesbrough; 9/20; 8/15; 8/15; 8/15; 1/2; 1/2; 1/2; 2/5; 8/15; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 10/21; 5/11; 4/9; 10/21; 8/15; 1/2; 7/15; 1/2; ; 1/2; 4/9; 
Draw; 10/3; 3; 3; 3; 10/3; 10/3; 16/5; 10/3; 3; 3; 29/10; 3; 16/5; 3; 10/3; 10/3; 16/5; 16/5; 3; 16/5; 69/20; 16/5; 13/4; 16/5; ; 3; 27/10; 
Oxford; 6; 5; 11/2; 9/2; 6; 11/2; 11/2; 6; 11/2; 11/2; 5; 11/2; 11/2; 11/2; 11/2; 6; 57/10; 6; 28/5; 57/10; 6; 24/5; 23/4; 11/2; ; 24/5; 23/5; 
META; english/fa-cup/middlesbrough-v-oxford; 2017-02-14 14:24:25 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Middlesbrough; 9/20; 8/15; 8/15; 8/15; 1/2; 1/2; 1/2; 2/5; 8/15; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 10/21; 5/11; 4/9; 10/21; 8/15; 1/2; ; 1/2; ; 1/2; 1/2; 
Draw; 10/3; 3; 3; 3; 10/3; 10/3; 16/5; 10/3; 3; 3; 29/10; 3; 16/5; 3; 10/3; 10/3; 16/5; 16/5; 3; 16/5; 69/20; 16/5; ; 16/5; ; 3; 3; 
Oxford; 6; 11/2; 11/2; 9/2; 6; 11/2; 11/2; 6; 11/2; 11/2; 5; 11/2; 11/2; 11/2; 11/2; 6; 57/10; 6; 28/5; 57/10; 6; 24/5; ; 11/2; ; 6; 26/5; 
META; english/fa-cup/middlesbrough-v-oxford; 2017-02-14 18:26:01 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Middlesbrough; 9/20; 8/15; 8/15; 8/15; 1/2; 1/2; 1/2; 4/9; 8/15; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 8/15; 17/35; 5/11; 4/9; 17/35; 8/15; 1/2; ; 1/2; ; 1/2; 1/2; 
Draw; 10/3; 3; 3; 3; 10/3; 10/3; 16/5; 16/5; 3; 3; 29/10; 3; 16/5; 3; 10/3; 16/5; 13/4; 16/5; 3; 13/4; 69/20; 16/5; ; 10/3; ; 3; 3; 
Oxford; 6; 5; 11/2; 9/2; 6; 11/2; 11/2; 6; 11/2; 11/2; 5; 11/2; 11/2; 11/2; 11/2; 11/2; 76/13; 6; 28/5; 76/13; 6; 24/5; ; 11/2; ; 11/2; 26/5; 
META; english/fa-cup/middlesbrough-v-oxford; 2017-02-14 22:25:45 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Middlesbrough; 9/20; 1/2; 1/2; 8/15; 1/2; 1/2; 1/2; 2/5; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 17/35; 5/11; 4/9; 17/35; 8/15; 1/2; ; 1/2; ; 1/2; 1/2; 1/2
Draw; 10/3; 16/5; 31/10; 3; 10/3; 10/3; 16/5; 10/3; 3; 3; 3; 3; 16/5; 3; 10/3; 10/3; 13/4; 16/5; 3; 13/4; 69/20; 16/5; ; 10/3; ; 3; 3; 10/3
