META; english/fa-cup/arsenal-v-lincoln; 2017-02-21 02:23:07 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; ; ; ; 1/12; ; 1/18; ; ; ; ; ; ; 1/20; ; 1/12; ; ; ; ; ; ; ; ; ; 1/14; ; 
Draw; 9; ; ; ; 12; ; 12; ; ; ; ; ; ; 10; ; 12; ; ; ; ; ; ; ; ; ; 17/2; ; 
Lincoln; 25; ; ; ; 33; ; 28; ; ; ; ; ; ; 25; ; 33; ; ; ; ; ; ; ; ; ; 21; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-21 06:22:35 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; ; ; ; 1/12; ; 1/18; ; ; ; ; ; ; 1/20; ; 1/12; ; ; ; ; ; ; ; ; ; 1/12; ; 
Draw; 9; ; ; ; 12; ; 12; ; ; ; ; ; ; 10; ; 12; ; ; ; ; ; ; ; ; ; 19/2; ; 
Lincoln; 25; ; ; ; 33; ; 28; ; ; ; ; ; ; 25; ; 33; ; ; ; ; ; ; ; ; ; 27; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-21 10:23:11 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; ; ; ; 1/12; ; 1/18; ; ; ; ; ; 1/12; 1/20; 1/10; 1/12; 1/12; ; 1/14; 1/12; 9/100; ; 1/14; ; ; 1/12; ; 
Draw; 9; 9; ; 9; 12; ; 11; 9; 10; ; 10; 9; 9; 10; 9; 11; 17/2; 9; 9; 17/2; 12; ; 9; ; ; 52/5; ; 
Lincoln; 25; 28; ; 25; 40; ; 28; 50; 33; ; 40; 25; 22; 28; 18; 40; 105/4; 22; 35; 105/4; 33; ; 35; ; ; 28; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-22 10:22:53 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/12; ; 1/12; 1/12; ; 1/16; 1/20; 1/12; ; 1/14; 1/12; 1/14; 1/14; 1/9; 1/12; 1/14; 1/12; 1/14; 1/14; 9/100; ; 1/14; ; ; 1/12; ; 
Draw; 9; 9; ; 9; 12; ; 11; 9; 10; ; 10; 9; 9; 10; 9; 11; 17/2; 9; 9; 17/2; 12; ; 9; ; ; 52/5; ; 
Lincoln; 25; 28; ; 25; 40; ; 28; 50; 28; ; 40; 25; 22; 28; 18; 40; 105/4; 22; 35; 105/4; 33; ; 35; ; ; 28; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-22 14:24:33 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/12; ; 1/12; 1/12; ; 1/16; 1/20; 1/12; 1/10; 1/14; 1/12; 1/14; 1/14; 1/10; 1/12; 1/16; 1/12; 1/14; 1/16; 9/100; ; 1/14; ; ; 1/12; ; 
Draw; 9; 9; ; 9; 12; ; 11; 9; 10; 7; 10; 9; 9; 10; 10; 11; 9; 9; 9; 9; 12; ; 9; ; ; 57/5; ; 
Lincoln; 25; 28; ; 25; 40; ; 28; 50; 28; 17; 40; 25; 22; 28; 18; 40; 109/4; 22; 35; 109/4; 33; ; 35; ; ; 28; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-22 18:21:44 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/12; ; 1/12; 1/12; ; 1/16; 1/20; 1/14; 1/10; 1/14; 1/12; 1/16; 1/14; 1/10; 1/12; 1/16; 1/12; 1/14; 1/16; 9/100; ; 1/14; ; ; 1/12; ; 
Draw; 9; 9; ; 9; 12; ; 11; 9; 10; 7; 10; 9; 9; 10; 10; 11; 9; 9; 9; 9; 12; ; 9; ; ; 57/5; ; 
Lincoln; 25; 28; ; 25; 40; ; 28; 50; 33; 17; 40; 25; 22; 28; 18; 40; 109/4; 22; 35; 109/4; 33; ; 35; ; ; 29; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-22 22:22:56 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/12; ; 1/12; 1/12; ; 1/16; 1/20; 1/14; 1/10; 1/14; 1/12; 1/16; 1/14; 1/10; 1/12; 1/16; 1/12; 1/14; ; 9/100; ; 1/14; ; ; 1/12; ; 
Draw; 9; 9; ; 9; 12; ; 11; 9; 10; 7; 10; 9; 9; 10; 10; 11; 9; 9; 9; ; 12; ; 9; ; ; 57/5; ; 
Lincoln; 25; 28; ; 25; 40; ; 28; 50; 33; 17; 40; 25; 22; 28; 18; 40; 109/4; 22; 35; ; 33; ; 35; ; ; 29; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-23 02:21:37 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/12; ; 1/12; 1/12; ; 1/18; 1/20; 1/14; 1/10; 1/14; 1/12; 1/16; 1/14; 1/10; 1/12; 1/16; 1/12; 1/14; 1/16; 9/100; ; 1/14; ; ; 1/12; ; 
Draw; 9; 9; ; 9; 12; ; 12; 9; 10; 7; 10; 9; 9; 10; 10; 11; 9; 9; 9; 9; 12; ; 9; ; ; 57/5; ; 
Lincoln; 25; 28; ; 25; 33; ; 28; 50; 33; 17; 40; 25; 22; 28; 18; 40; 109/4; 22; 35; 109/4; 33; ; 35; ; ; 29; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-23 06:21:36 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/12; ; 1/12; 1/12; ; 1/18; 1/20; 1/14; 1/10; 1/14; 1/12; 1/16; 1/14; 1/10; 1/12; 1/16; 1/12; 1/14; 1/16; 9/100; ; 1/14; ; ; 1/12; ; 
Draw; 9; 9; ; 9; 12; ; 12; 9; 10; 7; 10; 9; 9; 10; 10; 11; 9; 9; 9; 9; 12; ; 9; ; ; 57/5; ; 
Lincoln; 25; 28; ; 25; 40; ; 30; 50; 33; 17; 40; 25; 22; 28; 18; 40; 109/4; 22; 35; 109/4; 33; ; 35; ; ; 29; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-23 10:21:50 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/12; ; 1/12; 1/12; ; 1/18; 1/20; 1/14; 1/10; 1/14; 1/12; 1/16; 1/14; 1/10; 1/12; 1/16; 1/12; 1/14; 1/16; 9/100; ; 1/14; ; ; 1/10; ; 
Draw; 9; 9; ; 9; 12; ; 12; 9; 10; 7; 10; 9; 9; 10; 10; 11; 9; 9; 9; 9; 12; ; 9; ; ; 57/5; ; 
Lincoln; 25; 28; ; 25; 33; ; 28; 50; 33; 17; 40; 25; 22; 28; 18; 40; 26; 22; 35; 26; 33; ; 35; ; ; 29; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-23 14:23:24 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/12; ; 1/12; 1/12; ; 1/16; 1/18; 1/12; 1/10; 1/14; 1/12; 1/14; 1/14; 1/10; 1/12; 1/16; 1/12; 1/14; 1/16; 9/100; ; 1/14; ; ; 1/10; ; 
Draw; 9; 9; ; 9; 12; ; 11; 9; 10; 7; 10; 9; 9; 10; 10; 11; 9; 9; 9; 9; 12; ; 9; ; ; 62/5; ; 
Lincoln; 25; 28; ; 25; 40; ; 28; 40; 28; 17; 40; 28; 22; 28; 18; 40; 51/2; 22; 35; 51/2; 33; ; 35; ; ; 29; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-23 18:23:06 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/12; ; 1/12; 1/11; ; 1/14; 1/18; 1/12; 1/10; 1/10; 1/12; 1/14; 1/14; 1/10; 1/11; 1/16; 1/12; 1/14; ; 9/100; ; 1/14; ; ; 1/10; ; 
Draw; 9; 9; ; 9; 9; ; 21/2; 9; 10; 7; 11; 9; 9; 10; 10; 11; 9; 9; 9; ; 12; ; 9; ; ; 62/5; ; 
Lincoln; 25; 28; ; 25; 28; ; 25; 40; 28; 17; 22; 28; 22; 28; 18; 33; 51/2; 22; 35; ; 33; ; 35; ; ; 29; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-23 22:24:36 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/12; ; 1/12; 1/11; ; 1/16; 1/18; 1/12; 1/10; 1/10; 1/12; 1/14; 1/14; 1/10; 1/11; 1/14; 1/12; 1/14; 1/14; 9/100; ; 1/14; ; ; 1/10; ; 
Draw; 9; 9; ; 9; 9; ; 11; 9; 10; 7; 11; 9; 9; 10; 10; 11; 37/4; 9; 9; 37/4; 12; ; 9; ; ; 62/5; ; 
Lincoln; 25; 28; ; 25; 28; ; 28; 40; 28; 17; 22; 28; 22; 28; 18; 33; 24; 22; 35; 24; 33; ; 35; ; ; 29; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-24 02:23:12 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/12; ; 1/12; 1/11; ; 1/16; 1/18; 1/12; 1/10; 1/10; 1/12; 1/14; 1/14; 1/10; 1/11; 1/14; 1/12; 1/14; 1/14; 9/100; ; 1/14; ; ; 1/10; ; 
Draw; 9; 9; ; 9; 10; ; 10; 9; 10; 7; 11; 9; 9; 10; 10; 11; 37/4; 9; 9; 37/4; 12; ; 9; ; ; 62/5; ; 
Lincoln; 25; 28; ; 25; 33; ; 35; 40; 28; 17; 22; 28; 22; 28; 18; 33; 24; 22; 35; 24; 33; ; 35; ; ; 28; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-24 06:21:28 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/12; ; 1/12; 1/11; ; 1/14; 1/18; 1/12; 1/10; 1/10; 1/12; 1/14; 1/14; 1/10; 1/11; 1/14; 1/12; 1/14; 1/14; 9/100; ; 1/14; ; ; 1/10; ; 
Draw; 9; 9; ; 9; 11; ; 21/2; 9; 10; 7; 11; 9; 9; 10; 10; 11; 37/4; 9; 9; 37/4; 12; ; 9; ; ; 62/5; ; 
Lincoln; 25; 28; ; 25; 28; ; 25; 40; 28; 17; 22; 28; 22; 28; 18; 33; 24; 22; 35; 24; 33; ; 35; ; ; 28; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-24 10:21:43 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/12; ; 1/12; 1/11; ; 1/16; 1/18; 1/12; 1/10; 1/10; 1/12; 1/14; 1/14; 1/10; 1/11; 1/16; 1/12; 1/14; 1/16; 9/100; ; 1/14; ; ; 1/10; ; 
Draw; 9; 9; ; 9; 11; ; 11; 9; 10; 7; 11; 9; 9; 10; 10; 11; 9; 9; 9; 9; 12; ; 9; ; ; 62/5; ; 
Lincoln; 25; 28; ; 25; 28; ; 28; 40; 28; 17; 22; 28; 22; 28; 18; 33; 51/2; 22; 35; 51/2; 33; ; 35; ; ; 28; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-24 14:22:23 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/12; ; 1/12; 1/11; ; 1/18; 1/18; 1/12; 1/12; 1/12; 1/11; 1/14; 1/12; 1/12; 1/12; 1/16; 1/12; 1/14; 1/16; 9/100; ; 1/14; ; ; 1/10; ; 
Draw; 9; 9; ; 9; 11; ; 11; 9; 10; 11; 11; 9; 9; 17/2; 10; 11; 19/2; 9; 9; 19/2; 12; ; 9; ; ; 62/5; ; 
Lincoln; 25; 28; ; 25; 28; ; 33; 40; 28; 33; 25; 22; 22; 35; 28; 40; 57/2; 22; 35; 57/2; 33; ; 35; ; ; 28; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-24 18:23:55 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/11; ; 1/12; 1/11; ; 1/16; 1/18; 1/12; 1/11; 1/12; 1/12; 1/14; 1/10; 1/12; 1/11; 1/14; 1/12; 1/14; 1/14; 9/100; 1/12; 1/14; ; ; 1/10; ; 
Draw; 9; 9; ; 9; 11; ; 11; 9; 9; 10; 11; 9; 9; 8; 10; 11; 8; 9; 9; 8; 12; 11; 9; ; ; 62/5; ; 
Lincoln; 25; 25; ; 25; 28; ; 28; 40; 28; 28; 25; 25; 22; 28; 28; 33; 26; 22; 35; 26; 33; 25; 35; ; ; 28; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-24 22:27:05 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/11; ; 1/12; 1/11; ; 1/16; 1/18; 1/12; 1/11; 1/12; 1/12; 1/14; 1/10; 1/12; 1/11; 1/12; 1/12; 1/14; 1/12; 9/100; 1/12; 1/14; ; ; 1/10; 1/14; 
Draw; 9; 9; ; 9; 11; ; 11; 9; 9; 10; 11; 9; 9; 8; 10; 11; 31/4; 9; 9; 31/4; 12; 11; 9; ; ; 62/5; ; 
Lincoln; 25; 25; ; 25; 28; ; 28; 40; 28; 28; 25; 25; 22; 28; 28; 33; 107/4; 22; 35; 107/4; 33; 25; 35; ; ; 28; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-25 02:23:48 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/11; ; 1/12; 1/11; ; 1/16; 1/18; 1/12; 1/11; 1/12; 1/12; 1/14; 1/10; 1/12; 1/11; 1/12; 1/12; 1/14; 1/12; 9/100; 1/12; 1/14; ; ; 1/10; 1/14; 
Draw; 9; 9; ; 9; 11; ; 11; 9; 9; 10; 11; 9; 9; 8; 10; 11; 31/4; 9; 9; 31/4; 12; 11; 9; ; ; 62/5; ; 
Lincoln; 25; 25; ; 25; 28; ; 28; 40; 28; 28; 25; 25; 22; 28; 28; 33; 107/4; 22; 35; 107/4; 33; 25; 35; ; ; 28; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-25 06:23:43 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/11; ; 1/12; 1/11; ; 1/16; 1/18; 1/12; 1/11; 1/12; 1/12; 1/14; 1/10; 1/12; 1/11; 1/12; 1/12; 1/14; 1/12; 9/100; 1/12; 1/14; ; ; 1/10; 1/14; 
Draw; 9; 9; ; 9; 11; ; 11; 9; 9; 10; 11; 9; 9; 8; 10; 11; 31/4; 9; 9; 31/4; 12; 11; 9; ; ; 62/5; ; 
Lincoln; 25; 25; ; 25; 28; ; 28; 40; 28; 28; 25; 25; 22; 28; 28; 33; 107/4; 22; 35; 107/4; 33; 25; 35; ; ; 28; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-25 10:23:20 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/11; ; 1/12; 1/11; ; 1/16; 1/18; 1/12; 1/11; 1/12; 1/12; 1/14; 1/10; 1/12; 1/11; 1/12; 1/12; 1/14; 1/12; 9/100; 1/12; 1/14; ; ; 1/10; ; 
Draw; 9; 9; ; 9; 11; ; 11; 9; 9; 10; 11; 9; 9; 8; 10; 11; 31/4; 9; 9; 31/4; 12; 11; 9; ; ; 62/5; ; 
Lincoln; 25; 25; ; 25; 28; ; 28; 40; 28; 28; 25; 25; 22; 28; 28; 33; 107/4; 22; 35; 107/4; 33; 25; 35; ; ; 28; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-25 14:24:01 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/11; ; 1/12; 1/11; ; 1/16; 1/18; 1/12; 1/11; 1/12; 1/12; 1/14; 1/10; 1/12; 1/11; 1/12; 1/12; 1/14; 1/12; 9/100; 1/12; 1/14; ; ; 1/10; 1/14; 
Draw; 9; 9; ; 9; 11; ; 11; 9; 9; 10; 11; 9; 9; 8; 10; 11; 31/4; 9; 9; 31/4; 12; 11; 9; ; ; 62/5; ; 
Lincoln; 25; 25; ; 25; 28; ; 28; 40; 28; 28; 25; 25; 22; 28; 28; 33; 107/4; 22; 35; 107/4; 33; 25; 35; ; ; 28; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-25 18:26:14 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/11; ; 1/12; 1/11; ; 1/16; 1/18; 1/12; 1/11; 1/12; 1/12; 1/14; 1/10; 1/12; 1/11; 1/12; 1/12; 1/14; 1/12; 9/100; 1/12; 1/14; ; ; 1/10; 1/14; 
Draw; 9; 9; ; 9; 11; ; 11; 9; 9; 10; 11; 9; 9; 8; 10; 11; 31/4; 9; 9; 31/4; 12; 11; 9; ; ; 62/5; ; 
Lincoln; 25; 25; ; 25; 28; ; 28; 40; 28; 28; 25; 25; 22; 28; 28; 33; 107/4; 22; 35; 107/4; 33; 25; 35; ; ; 28; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-25 22:25:33 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/11; ; 1/12; 1/11; ; 1/16; 1/18; 1/12; 1/11; 1/10; 1/12; 1/14; 1/10; 1/12; 1/11; 1/14; 1/12; 1/14; 1/14; 9/100; 1/12; 1/14; ; ; 1/10; 1/14; 
Draw; 9; 9; ; 10; 11; ; 11; 9; 9; 10; 11; 9; 9; 8; 10; 11; 8; 9; 9; 8; 12; 11; 9; ; ; 62/5; ; 
Lincoln; 25; 25; ; 22; 28; ; 28; 40; 28; 28; 22; 25; 22; 25; 28; 33; 57/2; 22; 35; 57/2; 33; 25; 35; ; ; 28; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-26 02:26:01 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/11; ; 1/12; 1/11; ; 1/16; 1/18; 1/12; 1/11; 1/10; 1/12; 1/14; 1/10; 1/12; 1/11; 1/14; 1/12; 1/14; ; 9/100; 1/12; 1/14; ; ; 1/10; 1/14; 
Draw; 9; 9; ; 10; 11; ; 11; 9; 9; 10; 11; 9; 9; 8; 10; 11; 8; 9; 9; ; 12; 11; 9; ; ; 62/5; ; 
Lincoln; 25; 25; ; 22; 28; ; 28; 40; 28; 28; 22; 25; 22; 25; 28; 33; 28; 22; 35; ; 33; 25; 35; ; ; 28; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-26 06:24:33 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/11; ; 1/12; 1/11; ; 1/16; 1/18; 1/12; 1/11; 1/10; 1/12; 1/14; 1/10; 1/12; 1/11; 1/14; 1/12; 1/14; 1/14; 9/100; 1/12; 1/14; ; ; 1/10; 1/14; 
Draw; 9; 9; ; 10; 11; ; 11; 9; 9; 10; 11; 9; 9; 8; 10; 11; 8; 9; 9; 8; 12; 11; 9; ; ; 62/5; ; 
Lincoln; 25; 25; ; 22; 28; ; 28; 40; 28; 28; 22; 25; 22; 25; 28; 33; 28; 22; 35; 28; 33; 25; 35; ; ; 28; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-26 10:26:59 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/11; ; 1/12; 1/11; ; 1/16; 1/18; 1/12; 1/11; 1/10; 1/12; 1/14; 1/10; 1/11; 1/11; 1/14; 1/12; 1/14; 1/14; 9/100; 1/12; 1/14; ; ; 1/10; 1/12; 
Draw; 9; 9; ; 10; 11; ; 11; 9; 9; 10; 11; 9; 9; 8; 10; 11; 8; 9; 9; 8; 12; 11; 9; ; ; 62/5; ; 
Lincoln; 25; 25; ; 22; 28; ; 28; 40; 28; 28; 22; 25; 22; 25; 22; 33; 111/4; 22; 35; 111/4; 33; 25; 35; ; ; 28; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-26 14:25:56 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/11; 1/12; 1/12; 1/11; 1/12; 1/16; 1/18; 1/12; 1/11; 1/10; 1/11; 1/14; 1/10; 1/11; 1/11; 1/12; 1/12; 1/14; 1/12; 9/100; 1/12; 1/14; ; ; 1/10; 1/12; 
Draw; 9; 9; 9; 10; 11; 10; 11; 9; 9; 10; 11; 17/2; 9; 8; 10; 11; 8; 9; 9; 8; 12; 11; 9; ; ; 62/5; ; 
Lincoln; 25; 25; 25; 22; 28; 33; 28; 40; 28; 28; 22; 25; 22; 28; 22; 33; 103/4; 22; 35; 103/4; 33; 25; 35; ; ; 28; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-26 18:23:32 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/12; 1/12; 1/12; 1/11; 1/12; 1/18; 1/18; 1/12; 1/12; 1/10; 1/14; 1/14; 1/12; 1/12; 1/11; 1/14; 1/12; 1/14; 1/14; 9/100; 1/12; 1/14; ; ; 1/10; 1/14; 
Draw; 9; 9; 9; 10; 11; 10; 11; 9; 9; 11; 11; 10; 9; 17/2; 10; 11; 8; 9; 9; 8; 12; 11; 9; ; ; 54/5; ; 
Lincoln; 25; 25; 28; 22; 28; 33; 33; 40; 28; 33; 22; 25; 22; 28; 28; 33; 27; 22; 35; 27; 33; 25; 35; ; ; 23; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-26 22:25:09 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/12; 1/12; 1/12; 1/11; 1/12; 1/18; 1/18; 1/12; 1/12; 1/10; 1/14; 1/14; 1/12; 1/12; 1/11; 1/14; 1/12; 1/14; 1/14; 9/100; 1/12; 1/14; ; ; 1/10; 1/14; 
Draw; 9; 9; 9; 10; 11; 10; 11; 9; 9; 11; 11; 10; 9; 17/2; 10; 11; 8; 9; 9; 8; 12; 11; 9; ; ; 62/5; ; 
Lincoln; 25; 25; 28; 22; 28; 33; 33; 40; 28; 33; 22; 25; 22; 28; 28; 33; 53/2; 22; 35; 53/2; 33; 25; 35; ; ; 25; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-27 02:22:26 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/12; 1/12; 1/12; 1/11; 1/12; 1/18; 1/18; 1/12; 1/12; 1/10; 1/14; 1/14; 1/12; 1/12; 1/11; 1/14; 1/12; 1/14; 1/14; 9/100; 1/12; 1/14; ; ; 1/10; 1/14; 
Draw; 9; 9; 9; 10; 11; 10; 11; 9; 10; 11; 11; 10; 9; 17/2; 10; 11; 8; 9; 9; 8; 12; 11; 9; ; ; 62/5; 39/5; 
