META; spain/la-liga-segunda/rayo-vallecano-v-reus-deportiu; 2018-03-12 10:30:54 GMT+2; 2018-03-17 18:00; e70300-dr003
Draw; 16/5; 3; 29/10; 3; 33/10; 3; 3; 14/5; 29/10; 3; 29/10; 3; 58/19; 16/5; 3; 11/4; 10/3; 10/3; 58/19; 14/5; 14/5; 3; ; ; 
Reus Deportiu; 13/2; 6; 6; 61/10; 11/2; 6; 11/2; 6; 6; 11/2; 6; 11/2; 6; 6; 26/5; 6; 6; 24/5; 5; 29/5; ; ; ; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-reus-deportiu; 2018-03-16 10:23:10 GMT+2; 2018-03-18 15:00; e70300-dr003
Rayo Vallecano; 4/9; 4/9; 4/9; 4/9; 8/15; 2/5; 4/9; 2/5; 7/15; 4/9; 4/9; 4/9; 40/85; 1/2; 4/9; 10/21; 5/11; 5/11; 7/15; 9/20; 12/25; 10/21; 4/9; 4/9; 1/2
Draw; 16/5; 3; 29/10; 3; 33/10; 3; 3; 37/13; 29/10; 3; 29/10; 3; 58/19; 13/4; 3; 14/5; 10/3; 10/3; 31/10; 14/5; 14/5; 3; ; ; 
Reus Deportiu; 13/2; 6; 6; 61/10; 11/2; 6; 11/2; 13/2; 6; 6; 11/2; 6; 11/2; 6; 25/4; 26/5; 13/2; 7; 25/4; 24/5; 5; ; ; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-reus-deportiu; 2018-03-16 16:26:31 GMT+2; 2018-03-18 15:00; e70300-dr003
Rayo Vallecano; 4/9; 4/9; 4/9; 4/9; 23/50; 4/11; 4/9; 4/11; 7/15; 4/9; 4/9; 4/9; 40/85; 1/2; 4/9; 10/21; 5/11; 5/11; 7/15; 9/20; 9/20; 10/21; 2/5; 4/9; 4/9
Draw; 16/5; 3; 3; 13/4; 3; 3; 37/13; 3; 3; 29/10; 3; 58/19; 13/4; 3; 14/5; 33/10; 10/3; 31/10; 14/5; 3; ; ; ; ; 
Reus Deportiu; 13/2; 6; 6; 43/5; 6; 6; 13/2; 6; 13/2; 6; 11/2; 6; 11/2; 13/2; 6; 25/4; 26/5; 13/2; 7; 13/2; 25/4; 5; 27/5; 38/5; 
META; spain/la-liga-segunda/rayo-vallecano-v-reus-deportiu; 2018-03-17 12:22:17 GMT+2; 2018-03-18 15:00; e70300-dr003
Rayo Vallecano; 4/9; 4/9; 4/9; 4/9; 47/100; 4/11; 4/9; 4/11; 5/11; 4/9; 4/9; 4/9; 40/85; 1/2; 4/9; 3/7; 5/11; 5/11; 9/20; 4/9; 4/9; 4/9; ; 
Draw; 16/5; 3; 29/10; 3; 13/4; 3; 56/19; 29/10; 3; 3; 29/10; 3; 41/13; 13/4; 31/10; 56/19; 33/10; 10/3; 41/13; 3; ; ; ; 
Reus Deportiu; 13/2; 6; 6; 41/5; 6; 6; 13/2; 6; 13/2; 11/2; 11/2; 6; 11/2; 13/2; 27/4; 25/4; 49/10; 13/2; 13/2; 13/2; 7; 33/5; 33/5; 37/5
META; spain/la-liga-segunda/rayo-vallecano-v-reus-deportiu; 2018-03-18 14:20:56 GMT+2; 2018-03-18 15:00; e70300-dr003
Rayo Vallecano; 4/9; 4/9; 4/9; 12/25; 4/9; 4/9; 2/5; 6/13; 4/9; 4/9; 4/9; 40/85; 1/2; 4/9; 3/7; 1/2; 6/13; 6/13; 9/20; 12/25; 4/9; 1/2; 4/9; 1/2
Draw; 16/5; 3; 13/4; 3; 11/4; 3; 3; 29/10; 3; 16/5; 16/5; 16/5; 3; 16/5; 16/5; 16/5; 3; 3; ; ; ; ; ; 
Reus Deportiu; 13/2; 6; 77/10; 6; 6; 13/2; 6; 11/2; 6; 11/2; 13/2; 13/2; 11/2; 53/10; 6; 6; 27/4; 7; 34/5; 34/5; ; ; ; 
