META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-16 22:22:07 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Draw; 12/5; 23/10; 9/4; 23/10; 23/10; 9/4; 23/10; ; 9/4; 9/4; 23/10; 9/4; ; 11/5; 23/10; 9/4; 23/10; 23/10; 62/25; 40/17; 9/4; 12/5; 12/5; 47/20; 40/17; ; 11/5; 2; 
Solihull Moors; 5/2; 5/2; 12/5; 5/2; 13/5; 13/5; 5/2; ; 13/5; 12/5; 5/2; 9/4; ; 12/5; 12/5; 12/5; 13/5; 5/2; 67/25; 21/10; 13/5; 13/5; 5/2; 13/5; 5/2; ; 12/5; 23/10; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-21 02:24:17 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 21/20; 21/20; 21/20; 1; 9/10; 19/20; 21/20; ; 1; 21/20; 21/20; 1; ; 21/20; 11/10; 1; 9/10; 21/20; 57/50; 13/12; 1; 21/20; 11/10; 21/20; 21/20; ; 1; 1; 
Draw; 12/5; 23/10; 9/4; 23/10; 23/10; 9/4; 23/10; ; 9/4; 9/4; 23/10; 9/4; ; 11/5; 23/10; 9/4; 23/10; 23/10; 62/25; 40/17; 9/4; 12/5; 12/5; 47/20; 40/17; ; 11/5; 2; 
Solihull Moors; 5/2; 5/2; 12/5; 5/2; 13/5; 13/5; 5/2; ; 13/5; 12/5; 5/2; 9/4; ; 12/5; 12/5; 12/5; 13/5; 5/2; 67/25; 21/10; 13/5; 13/5; 5/2; 13/5; 5/2; ; 12/5; 23/10; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-21 10:24:25 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 21/20; 21/20; 21/20; 1; 9/10; 19/20; 21/20; ; 1; 21/20; 21/20; 1; ; 21/20; 11/10; 1; 9/10; 21/20; 57/50; 13/12; 1; 21/20; 11/10; 21/20; 21/20; ; 1; ; 
Draw; 12/5; 23/10; 9/4; 23/10; 23/10; 9/4; 23/10; ; 9/4; 9/4; 23/10; 9/4; ; 11/5; 23/10; 9/4; 23/10; 23/10; 62/25; 40/17; 9/4; 12/5; 12/5; 47/20; 40/17; ; 23/10; ; 
Solihull Moors; 5/2; 5/2; 12/5; 5/2; 13/5; 13/5; 5/2; ; 13/5; 12/5; 5/2; 9/4; ; 12/5; 12/5; 12/5; 13/5; 5/2; 67/25; 21/10; 13/5; 13/5; 5/2; 13/5; 5/2; ; 12/5; ; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-21 14:24:40 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 21/20; 21/20; 21/20; 1; 9/10; 19/20; 21/20; ; 1; 21/20; 21/20; 1; ; 21/20; 11/10; 1; 9/10; 21/20; 57/50; 13/12; 1; 21/20; 11/10; 21/20; 21/20; ; 1; 1; 
Draw; 12/5; 23/10; 9/4; 23/10; 23/10; 9/4; 23/10; ; 9/4; 9/4; 23/10; 9/4; ; 11/5; 23/10; 9/4; 23/10; 23/10; 62/25; 40/17; 9/4; 12/5; 12/5; 47/20; 40/17; ; 23/10; 2; 
Solihull Moors; 5/2; 5/2; 12/5; 5/2; 13/5; 13/5; 5/2; ; 13/5; 12/5; 5/2; 9/4; ; 12/5; 12/5; 12/5; 13/5; 5/2; 67/25; 21/10; 13/5; 13/5; 5/2; 13/5; 5/2; ; 12/5; 23/10; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-21 18:24:29 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 21/20; 21/20; 21/20; 1; 9/10; 21/20; ; 1; 21/20; 21/20; 1; ; 21/20; 11/10; 1; 9/10; 21/20; 113/ 100; 10/9; 1; 21/20; 11/10; 21/20; 21/20; ; 1; 
Draw; 12/5; 23/10; 9/4; 23/10; 23/10; 23/10; ; 9/4; 9/4; 23/10; 9/4; ; 11/5; 23/10; 9/4; 23/10; 23/10; 5/2; 12/5; 9/4; 12/5; 12/5; 47/20; 40/17; ; 2; 
Solihull Moors; 5/2; 5/2; 12/5; 5/2; 13/5; 5/2; ; 13/5; 12/5; 5/2; 9/4; ; 12/5; 12/5; 12/5; 13/5; 5/2; 27/10; 23/10; 13/5; 13/5; 5/2; 13/5; 5/2; ; 23/10; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-21 22:24:24 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 21/20; 21/20; 21/20; 1; 9/10; ; 21/20; ; 1; 21/20; 21/20; 1; ; 21/20; 11/10; 1; 9/10; 21/20; 113/ 100; 10/9; 1; 21/20; 11/10; 21/20; 21/20; ; 1; 21/20; 
Draw; 12/5; 23/10; 9/4; 23/10; 23/10; ; 23/10; ; 9/4; 9/4; 23/10; 9/4; ; 11/5; 23/10; 9/4; 23/10; 23/10; 5/2; 12/5; 9/4; 12/5; 12/5; 47/20; 40/17; ; 21/10; 21/10; 
Solihull Moors; 5/2; 5/2; 12/5; 5/2; 13/5; ; 5/2; ; 13/5; 12/5; 5/2; 9/4; ; 12/5; 12/5; 12/5; 13/5; 5/2; 27/10; 23/10; 13/5; 13/5; 5/2; 13/5; 5/2; ; 23/10; 12/5; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-22 02:24:23 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
