META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-10 18:24:49 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Draw; 12/5; ; ; ; 5/2; ; 5/2; ; 23/10; ; ; 23/10; 49/20; ; ; 12/5; ; 23/10; 23/10; ; ; 23/10; ; ; ; ; ; ; 
AFC Fylde; 3; ; ; ; 14/5; ; 3; ; 37/13; ; ; 11/4; 3; ; ; 14/5; ; 37/13; 37/13; ; ; 37/13; ; ; ; ; ; ; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-11 22:24:51 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 10/11; ; ; ; 10/11; ; 9/10; ; 9/10; ; ; 20/23; 10/11; ; ; 11/13; ; 9/10; 13/15; ; ; 9/10; ; ; 10/11; ; ; ; 
Draw; 12/5; ; ; ; 5/2; ; 5/2; ; 23/10; ; ; 23/10; 49/20; ; ; 12/5; ; 23/10; 40/17; ; ; 23/10; ; ; 12/5; ; ; ; 
AFC Fylde; 3; ; ; ; 14/5; ; 3; ; 37/13; ; ; 11/4; 3; ; ; 14/5; ; 37/13; 29/10; ; ; 37/13; ; ; 3; ; ; ; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-12 02:24:43 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 10/11; ; ; ; 10/11; ; 9/10; ; 9/10; ; ; 20/23; 10/11; ; ; 11/13; ; 9/10; 13/15; ; ; 9/10; ; ; 10/11; ; 4/7; ; 
Draw; 12/5; ; ; ; 5/2; ; 5/2; ; 23/10; ; ; 23/10; 49/20; ; ; 12/5; ; 23/10; 40/17; ; ; 23/10; ; ; 12/5; ; 8/5; ; 
AFC Fylde; 3; ; ; ; 14/5; ; 3; ; 37/13; ; ; 11/4; 3; ; ; 14/5; ; 37/13; 29/10; ; ; 37/13; ; ; 3; ; 6/4; ; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-12 10:24:43 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 10/11; ; ; ; 10/11; 7/8; 9/10; 5/6; 9/10; ; ; 20/23; 10/11; ; ; 11/13; 13/15; 9/10; 13/15; ; ; 9/10; ; ; 10/11; ; 4/7; ; 
Draw; 12/5; ; ; ; 5/2; 9/4; 5/2; 5/2; 23/10; ; ; 23/10; 49/20; ; ; 12/5; 9/4; 23/10; 40/17; ; ; 23/10; ; ; 12/5; ; 21/10; ; 
AFC Fylde; 3; ; ; ; 14/5; 27/10; 3; 11/4; 37/13; ; ; 11/4; 3; ; ; 14/5; 27/10; 37/13; 29/10; ; ; 37/13; ; ; 3; ; 21/10; ; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-12 14:24:57 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 10/11; ; ; ; 10/11; 7/8; 9/10; 5/6; 9/10; ; ; 20/23; 10/11; ; ; 11/13; 13/15; 9/10; 13/15; ; ; 9/10; ; ; 10/11; ; 4/7; ; 
Draw; 12/5; ; ; ; 5/2; 9/4; 5/2; 5/2; 23/10; ; ; 23/10; 49/20; ; ; 12/5; 9/4; 23/10; 40/17; ; ; 23/10; ; ; 12/5; ; 21/10; ; 
AFC Fylde; 3; ; ; ; 14/5; 27/10; 3; 11/4; 37/13; ; ; 11/4; 3; ; ; 14/5; 27/10; 37/13; 29/10; ; ; 37/13; ; ; 3; ; 21/10; ; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-12 18:25:04 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 10/11; ; 17/20; ; 10/11; 7/8; 9/10; 5/6; 9/10; ; ; 20/23; 10/11; ; ; 11/13; 13/15; 9/10; 13/15; ; ; 9/10; ; ; 10/11; ; 4/7; ; 
Draw; 12/5; ; 5/2; ; 5/2; 9/4; 5/2; 5/2; 23/10; ; ; 23/10; 49/20; ; ; 12/5; 9/4; 23/10; 40/17; ; ; 23/10; ; ; 12/5; ; 21/10; ; 
AFC Fylde; 3; ; 14/5; ; 14/5; 27/10; 3; 11/4; 37/13; ; ; 11/4; 3; ; ; 14/5; 27/10; 37/13; 29/10; ; ; 37/13; ; ; 3; ; 21/10; ; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-12 22:24:56 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 10/11; ; 17/20; ; 10/11; 7/8; 9/10; 5/6; 9/10; ; ; 20/23; 10/11; ; ; 11/13; 13/15; 9/10; 13/15; ; ; 9/10; ; ; 10/11; ; 4/7; ; 
Draw; 12/5; ; 5/2; ; 5/2; 9/4; 5/2; 5/2; 23/10; ; ; 23/10; 49/20; ; ; 12/5; 9/4; 23/10; 40/17; ; ; 23/10; ; ; 12/5; ; 21/10; ; 
AFC Fylde; 3; ; 14/5; ; 14/5; 27/10; 3; 11/4; 37/13; ; ; 11/4; 3; ; ; 14/5; 27/10; 37/13; 29/10; ; ; 37/13; ; ; 3; ; 21/10; ; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-13 02:22:36 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 10/11; 1; 9/10; ; 10/11; 7/8; 10/11; 5/6; 9/10; ; ; 20/23; 10/11; ; ; 10/11; 13/15; 9/10; 13/15; ; ; 9/10; ; ; 10/11; ; 8/13; ; 
Draw; 12/5; 12/5; 5/2; ; 5/2; 9/4; 5/2; 5/2; 23/10; ; ; 23/10; 49/20; ; ; 23/10; 9/4; 23/10; 40/17; ; ; 23/10; ; ; 5/2; ; 21/10; ; 
AFC Fylde; 3; 5/2; 14/5; ; 14/5; 27/10; 3; 11/4; 37/13; ; ; 13/5; 3; ; ; 11/4; 27/10; 37/13; 29/10; ; ; 37/13; ; ; 11/4; ; 21/10; ; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-13 10:23:01 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 10/11; 1; 17/20; ; 10/11; 7/8; 10/11; 5/6; 9/10; ; ; 20/23; 10/11; ; ; 10/11; 13/15; 9/10; 13/15; ; ; 9/10; ; ; 10/11; ; 4/6; ; 
Draw; 12/5; 12/5; 5/2; ; 5/2; 9/4; 5/2; 5/2; 23/10; ; ; 23/10; 49/20; ; ; 23/10; 9/4; 23/10; 40/17; ; ; 23/10; ; ; 5/2; ; 21/10; ; 
AFC Fylde; 3; 5/2; 14/5; ; 14/5; 27/10; 3; 11/4; 37/13; ; ; 13/5; 3; ; ; 11/4; 27/10; 37/13; 29/10; ; ; 37/13; ; ; 11/4; ; 11/5; ; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-13 14:23:49 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 10/11; 1; 17/20; ; 10/11; 7/8; 10/11; 5/6; 9/10; ; ; 20/23; 10/11; ; ; 10/11; 13/15; 9/10; 13/15; 51/50; ; 9/10; ; ; 10/11; ; 8/11; ; 
Draw; 12/5; 12/5; 5/2; ; 5/2; 9/4; 5/2; 5/2; 23/10; ; ; 23/10; 49/20; ; ; 23/10; 9/4; 23/10; 40/17; 63/25; ; 23/10; ; ; 12/5; ; 21/10; ; 
AFC Fylde; 3; 5/2; 14/5; ; 14/5; 27/10; 3; 11/4; 37/13; ; ; 13/5; 3; ; ; 11/4; 27/10; 37/13; 29/10; 61/20; ; 37/13; ; ; 3; ; 11/5; ; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-13 18:23:11 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 10/11; 1; 17/20; 17/20; 10/11; 7/8; 9/10; 5/6; 9/10; ; ; 20/23; 10/11; ; ; 10/11; 13/15; 9/10; 13/15; 51/50; ; 9/10; ; ; 10/11; ; 8/11; ; 
Draw; 12/5; 13/5; 5/2; 23/10; 5/2; 9/4; 5/2; 5/2; 23/10; ; ; 23/10; 49/20; ; ; 23/10; 9/4; 23/10; 40/17; 63/25; ; 23/10; ; ; 5/2; ; 21/10; ; 
AFC Fylde; 3; 13/5; 14/5; 3; 14/5; 27/10; 3; 11/4; 37/13; ; ; 13/5; 3; ; ; 14/5; 27/10; 37/13; 29/10; 61/20; ; 37/13; ; ; 11/4; ; 11/5; ; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-13 22:23:11 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 10/11; 1; 17/20; 17/20; 10/11; 7/8; 9/10; 5/6; 9/10; ; ; 20/23; 10/11; ; 17/20; 10/11; 13/15; 9/10; 10/11; 51/50; ; 9/10; ; ; 10/11; ; 8/11; ; 
Draw; 12/5; 13/5; 5/2; 23/10; 12/5; 9/4; 13/5; 5/2; 23/10; ; ; 23/10; 49/20; ; 13/5; 23/10; 9/4; 23/10; 12/5; 63/25; ; 23/10; ; ; 12/5; ; 21/10; ; 
AFC Fylde; 3; 13/5; 14/5; 3; 29/10; 27/10; 29/10; 11/4; 37/13; ; ; 13/5; 3; ; 3; 14/5; 27/10; 37/13; 56/19; 61/20; ; 37/13; ; ; 3; ; 11/5; ; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-14 02:22:50 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 10/11; 1; 17/20; 17/20; 10/11; 7/8; 9/10; 5/6; 9/10; ; ; 20/23; 10/11; ; 17/20; 10/11; 13/15; 9/10; 10/11; 51/50; ; 9/10; ; ; 10/11; ; 8/11; ; 
Draw; 12/5; 13/5; 5/2; 23/10; 12/5; 9/4; 5/2; 5/2; 23/10; ; ; 23/10; 49/20; ; 13/5; 23/10; 9/4; 23/10; 12/5; 63/25; ; 23/10; ; ; 12/5; ; 9/4; ; 
AFC Fylde; 3; 13/5; 14/5; 3; 29/10; 27/10; 3; 11/4; 37/13; ; ; 13/5; 3; ; 3; 14/5; 27/10; 37/13; 56/19; 61/20; ; 37/13; ; ; 3; ; 5/2; ; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-14 10:23:06 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 10/11; 1; 17/20; 17/20; 10/11; 7/8; 9/10; 5/6; 9/10; ; ; 20/23; 10/11; ; 17/20; 10/11; 13/15; 9/10; 10/11; 51/50; ; 9/10; ; ; 10/11; ; 5/6; ; 
Draw; 12/5; 13/5; 5/2; 23/10; 12/5; 9/4; 13/5; 5/2; 23/10; ; ; 23/10; 49/20; ; 13/5; 23/10; 9/4; 23/10; 12/5; 63/25; ; 23/10; ; ; 12/5; ; 11/5; ; 
AFC Fylde; 3; 13/5; 14/5; 3; 29/10; 27/10; 29/10; 11/4; 37/13; ; ; 13/5; 3; ; 3; 14/5; 27/10; 37/13; 56/19; 61/20; ; 37/13; ; ; 3; ; 5/2; ; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-14 14:23:16 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 10/11; 1; 17/20; 17/20; 10/11; 7/8; 9/10; 5/6; 9/10; ; ; 20/23; 10/11; ; 17/20; 10/11; 13/15; 9/10; 10/11; 51/50; ; 9/10; ; ; 10/11; ; 5/6; ; 
Draw; 12/5; 13/5; 5/2; 23/10; 12/5; 9/4; 13/5; 5/2; 23/10; ; ; 23/10; 49/20; ; 13/5; 23/10; 9/4; 23/10; 12/5; 63/25; ; 23/10; ; ; 12/5; ; 9/4; ; 
AFC Fylde; 3; 13/5; 14/5; 3; 29/10; 27/10; 29/10; 11/4; 37/13; ; ; 13/5; 3; ; 3; 14/5; 27/10; 37/13; 56/19; 61/20; ; 37/13; ; ; 3; ; 5/2; ; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-14 18:23:07 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 10/11; 1; 17/20; 17/20; 10/11; 7/8; 9/10; 5/6; 9/10; ; ; 20/23; 10/11; ; 17/20; 10/11; 13/15; 9/10; 10/11; 99/100; ; 9/10; ; ; 10/11; ; 5/6; ; 
Draw; 12/5; 13/5; 5/2; 23/10; 12/5; 9/4; 13/5; 5/2; 23/10; ; ; 23/10; 49/20; ; 13/5; 23/10; 9/4; 23/10; 12/5; 127/50; ; 23/10; ; ; 5/2; ; 23/10; ; 
AFC Fylde; 3; 13/5; 29/10; 3; 29/10; 27/10; 29/10; 11/4; 37/13; ; ; 13/5; 3; ; 3; 14/5; 27/10; 37/13; 56/19; 63/20; ; 37/13; ; ; 11/4; ; 5/2; ; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-14 22:23:20 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 10/11; 1; 17/20; 17/20; 10/11; 7/8; 20/23; 5/6; 9/10; ; ; 20/23; 10/11; 4/5; 17/20; 10/11; 13/15; 9/10; 10/11; 99/100; ; 9/10; ; ; 10/11; ; 5/6; ; 
Draw; 12/5; 13/5; 5/2; 23/10; 12/5; 9/4; 13/5; 5/2; 23/10; ; ; 23/10; 49/20; 12/5; 13/5; 23/10; 9/4; 23/10; 40/17; 127/50; ; 23/10; ; ; 12/5; ; 23/10; ; 
AFC Fylde; 3; 13/5; 29/10; 3; 29/10; 27/10; 3; 11/4; 37/13; ; ; 13/5; 3; 11/4; 3; 14/5; 27/10; 37/13; 56/19; 63/20; ; 37/13; ; ; 3; ; 13/5; ; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-15 02:22:30 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 10/11; 1; 17/20; 17/20; 10/11; 7/8; 20/23; 5/6; 9/10; ; ; 20/23; 10/11; 4/5; 17/20; 10/11; 13/15; 9/10; 10/11; 99/100; ; 9/10; ; ; 10/11; ; 5/6; ; 
Draw; 12/5; 13/5; 5/2; 23/10; 12/5; 9/4; 13/5; 5/2; 23/10; ; ; 23/10; 49/20; 12/5; 13/5; 23/10; 9/4; 23/10; 40/17; 127/50; ; 23/10; ; ; 12/5; ; 12/5; ; 
AFC Fylde; 3; 13/5; 29/10; 3; 29/10; 27/10; 3; 11/4; 37/13; ; ; 13/5; 3; 11/4; 3; 14/5; 27/10; 37/13; 56/19; 63/20; ; 37/13; ; ; 3; ; 12/5; ; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-15 10:22:06 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 10/11; 1; 17/20; 17/20; 10/11; 7/8; 9/10; 5/6; 9/10; ; ; 20/23; 10/11; 5/6; 17/20; 10/11; 13/15; 9/10; 10/11; 99/100; ; 9/10; ; ; 10/11; ; 5/6; ; 
Draw; 12/5; 13/5; 5/2; 23/10; 12/5; 9/4; 13/5; 5/2; 23/10; ; ; 23/10; 49/20; 12/5; 13/5; 23/10; 9/4; 23/10; 40/17; 127/50; ; 23/10; ; ; 5/2; ; 5/2; ; 
AFC Fylde; 3; 13/5; 14/5; 3; 14/5; 27/10; 29/10; 11/4; 37/13; ; ; 13/5; 3; 27/10; 3; 14/5; 27/10; 37/13; 56/19; 63/20; ; 37/13; ; ; 11/4; ; 9/4; ; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-15 14:22:22 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 10/11; 1; 17/20; 17/20; 10/11; 7/8; 20/23; 5/6; 9/10; ; ; 20/23; 10/11; 4/5; 17/20; 10/11; 13/15; 9/10; 10/11; 99/100; ; 9/10; ; ; 10/11; ; 5/6; ; 
Draw; 12/5; 13/5; 5/2; 23/10; 12/5; 9/4; 13/5; 5/2; 23/10; ; ; 23/10; 49/20; 12/5; 13/5; 23/10; 9/4; 23/10; 12/5; 127/50; ; 23/10; ; ; 12/5; ; 13/5; ; 
AFC Fylde; 3; 13/5; 29/10; 3; 29/10; 27/10; 3; 11/4; 37/13; ; ; 13/5; 3; 11/4; 3; 14/5; 27/10; 37/13; 56/19; 63/20; ; 37/13; ; ; 3; ; 1/100; ; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-15 18:22:34 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 1; 1; 21/20; 10/11; 19/20; 7/8; 1; 5/6; 9/10; 1; 1; 20/21; 19/20; 21/20; 1; 19/20; 13/15; 9/10; 19/20; 27/25; 30/29; 9/10; ; ; 10/11; ; 20/21; 8/11; 
Draw; 12/5; 13/5; 12/5; 5/2; 12/5; 9/4; 13/5; 5/2; 23/10; 12/5; 5/2; 9/4; 5/2; 27/10; 5/2; 23/10; 9/4; 23/10; 40/17; 127/50; 5/2; 23/10; ; ; 5/2; ; 12/5; 19/10; 
AFC Fylde; 11/4; 13/5; 12/5; 3; 13/5; 27/10; 5/2; 11/4; 37/13; 12/5; 12/5; 5/2; 59/20; 9/4; 5/2; 13/5; 27/10; 37/13; 11/4; 141/50; 21/10; 37/13; ; ; 11/4; ; 12/5; 1/33; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-15 22:23:36 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 1; 1; 1; 19/20; 20/21; 7/8; 21/20; 5/6; 9/10; 21/20; 19/20; 20/21; 1; 1; 1; 19/20; 13/15; 9/10; 1; 107/100; 30/29; 9/10; ; ; 1; ; 1; 8/11; 
Draw; 12/5; 13/5; 49/20; 5/2; 12/5; 9/4; 13/5; 5/2; 23/10; 12/5; 5/2; 9/4; 13/5; 13/5; 13/5; 12/5; 9/4; 23/10; 5/2; 127/50; 5/2; 23/10; ; ; 5/2; ; 12/5; 19/10; 
AFC Fylde; 11/4; 13/5; 12/5; 14/5; 13/5; 27/10; 5/2; 11/4; 37/13; 9/4; 12/5; 5/2; 27/10; 23/10; 12/5; 5/2; 27/10; 37/13; 5/2; 71/25; 21/10; 37/13; ; ; 5/2; ; 12/5; 1/33; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-16 02:24:20 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 1; 1; 1; 19/20; 1; 7/8; 21/20; 5/6; 15/16; 1; 1; 1; 1; 1; 1; 1; 13/15; 15/16; 1; 111/100; 30/29; 15/16; ; ; 1; ; 1; 20/21; 
Draw; 12/5; 13/5; 49/20; 5/2; 12/5; 9/4; 13/5; 5/2; 23/10; 12/5; 12/5; 9/4; 13/5; 13/5; 13/5; 12/5; 9/4; 23/10; 27/11; 27/10; 11/4; 23/10; ; ; 5/2; ; 5/2; 23/10; 
AFC Fylde; 11/4; 13/5; 12/5; 14/5; 5/2; 27/10; 5/2; 11/4; 27/10; 23/10; 23/10; 23/10; 13/5; 23/10; 12/5; 12/5; 27/10; 27/10; 27/11; 51/20; 9/4; 27/10; ; ; 5/2; ; 12/5; 12/5; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-16 10:23:04 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 1; 21/20; 1; 21/20; 1; 1; 21/20; 5/6; 15/16; 1; 1; 1; 1; 1; 1; 1; 1; 15/16; 1; 111/100; 30/29; 15/16; ; ; 1; ; 21/20; 1; 
Draw; 12/5; 13/5; 49/20; 13/5; 12/5; 11/5; 13/5; 5/2; 23/10; 12/5; 12/5; 9/4; 13/5; 13/5; 13/5; 12/5; 11/5; 23/10; 27/11; 27/10; 13/5; 23/10; ; ; 5/2; ; 5/2; 9/4; 
AFC Fylde; 11/4; 12/5; 12/5; 12/5; 5/2; 12/5; 5/2; 11/4; 27/10; 23/10; 23/10; 23/10; 13/5; 12/5; 12/5; 12/5; 12/5; 27/10; 27/11; 51/20; 23/10; 27/10; ; ; 5/2; ; 12/5; 23/10; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-16 14:24:25 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Eastleigh; 23/20; 23/20; 21/20; 23/20; 11/10; ; 23/20; 5/6; 8/7; 11/10; 11/10; 11/10; 23/20; 11/10; 11/10; 11/10; 1; 8/7; 11/10; 117/100; 8/7; 8/7; ; ; 11/10; ; 10/9; 1; 
Draw; 12/5; 13/5; 49/20; 12/5; 12/5; ; 13/5; 5/2; 28/11; 5/2; 5/2; 23/10; 51/20; 13/5; 5/2; 12/5; 11/5; 28/11; 5/2; 27/10; 13/5; 28/11; ; ; 5/2; ; 13/5; 9/4; 
AFC Fylde; 23/10; 11/5; 11/5; 2; 11/5; ; 85/40; 11/4; 37/19; 21/10; 21/10; 2; 9/4; 11/5; 11/5; 28/13; 12/5; 37/19; 28/13; 12/5; 21/10; 37/19; ; ; 9/4; ; 9/4; 23/10; 
META; english/non-league/national-league/eastleigh-v-afc-fylde; 2017-09-16 18:24:26 GMT+3; 2017-09-16 15:00; In Play; Xlenovo
Eastleigh; 6/4; 11/8; ; 29/20; 11/10; ; 6/4; ; ; ; 11/10; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
AFC Fylde; 12/5; 12/5; ; 23/10; 11/5; ; 12/5; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 7/4; 7/4; ; 8/5; 11/4; ; 8/5; ; ; ; 9/4; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 
