META; english/non-league/national-league/torquay-v-maidenhead-utd; 2017-09-30 22:22:11 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Maidenhead Utd; 13/10; ; ; ; 5/4; ; 13/10; ; ; ; ; ; ; ; ; 13/10; ; ; 5/4; ; ; ; ; 13/10; 13/10; ; 4/6; ; 
Torquay; 11/5; 7/4; ; 8/5; 2; 7/4; 2; 9/5; 24/13; ; 2; ; ; 15/8; ; 19/10; 7/4; ; 39/19; 57/25; ; 24/13; 85/40; 2; 21/10; ; 17/10; ; 
Draw; 5/2; 12/5; ; 12/5; 23/10; 23/10; 5/2; 23/10; 40/17; ; 21/10; ; ; 23/10; ; 23/10; 23/10; ; 27/11; 5/2; ; 40/17; 12/5; 12/5; 49/20; ; 21/10; ; 
META; english/non-league/national-league/torquay-v-maidenhead-utd; 2017-10-01 18:22:30 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Maidenhead Utd; 23/20; 5/4; 15/13; 5/4; 6/5; 43/40; 6/5; 6/5; 23/18; 23/20; 11/10; 23/20; ; 23/20; 6/5; 6/5; 6/5; ; 15/13; 127/100; 8/7; 23/18; 6/5; 6/5; 6/5; ; 1; ; 
Torquay; 11/5; 21/10; 21/10; 8/5; 21/10; 21/10; 9/4; 15/8; 24/13; 21/10; 21/10; 21/10; ; 2; 21/10; 2; 24/13; ; 28/13; 59/25; 21/11; 24/13; 85/40; 21/10; 21/10; ; 9/5; ; 
Draw; 5/2; 12/5; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; 40/17; 23/10; 11/5; 23/10; ; 23/10; 12/5; 23/10; 23/10; ; 40/17; 62/25; 27/11; 40/17; 12/5; 23/10; 49/20; ; 21/10; ; 
META; english/non-league/national-league/torquay-v-maidenhead-utd; 2017-10-01 22:22:20 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Maidenhead Utd; 23/20; 5/4; 5/4; 5/4; 6/5; 43/40; 6/5; 11/10; 23/18; 5/4; 23/20; 5/4; ; 23/20; 6/5; 6/5; 21/20; ; 5/4; 34/25; 19/16; 23/18; 5/4; 5/4; 6/5; ; 6/5; ; 
Torquay; 11/5; 21/10; 2; 8/5; 21/10; 21/10; 21/10; 2; 24/13; 2; 21/10; 2; ; 2; 21/10; 2; 21/10; ; 39/19; 111/50; 11/6; 24/13; 2; 21/10; 21/10; ; 19/10; ; 
Draw; 5/2; 12/5; 9/4; 12/5; 23/10; 23/10; 5/2; 23/10; 40/17; 9/4; 21/10; 23/10; ; 23/10; 12/5; 23/10; 23/10; ; 23/10; 61/25; 27/11; 40/17; 12/5; 23/10; 12/5; ; 11/5; ; 
META; english/non-league/national-league/torquay-v-maidenhead-utd; 2017-10-02 02:22:09 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Maidenhead Utd; 23/20; 5/4; 5/4; 5/4; 5/4; 43/40; 5/4; 11/10; 23/18; 5/4; 6/5; 5/4; ; 23/20; 6/5; 6/5; 21/20; ; 5/4; 133/100; 17/14; 23/18; 5/4; 5/4; 6/5; ; 5/4; ; 
Torquay; 11/5; 21/10; 2; 8/5; 2; 21/10; 21/10; 2; 24/13; 2; 19/10; 39/20; ; 2; 21/10; 2; 21/10; ; 39/19; 57/25; 25/14; 24/13; 2; 2; 21/10; ; 19/10; ; 
Draw; 5/2; 12/5; 9/4; 12/5; 23/10; 23/10; 12/5; 23/10; 40/17; 9/4; 11/5; 9/4; ; 23/10; 12/5; 23/10; 23/10; ; 23/10; 61/25; 27/11; 40/17; 12/5; 23/10; 12/5; ; 9/4; ; 
META; english/non-league/national-league/torquay-v-maidenhead-utd; 2017-10-02 10:22:38 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Maidenhead Utd; 23/20; 5/4; 5/4; 6/5; 5/4; 43/40; 5/4; 11/10; 23/18; 5/4; 6/5; 5/4; ; 23/20; 6/5; 6/5; 21/20; ; 6/5; 33/25; 17/14; 23/18; 5/4; 5/4; 6/5; ; 5/4; ; 
Torquay; 11/5; 21/10; 2; 2; 2; 21/10; 2; 2; 24/13; 2; 19/10; 39/20; ; 2; 21/10; 2; 21/10; ; 39/19; 11/5; 25/14; 24/13; 2; 2; 21/10; ; 2; ; 
Draw; 5/2; 12/5; 9/4; 23/10; 23/10; 23/10; 5/2; 23/10; 40/17; 9/4; 11/5; 9/4; ; 23/10; 12/5; 23/10; 23/10; ; 40/17; 51/20; 27/11; 40/17; 12/5; 23/10; 12/5; ; 9/4; ; 
META; english/non-league/national-league/torquay-v-maidenhead-utd; 2017-10-02 14:34:47 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Maidenhead Utd; 11/8; 5/4; 23/17; 13/10; 13/10; 43/40; 11/8; 6/5; 23/18; 27/20; 13/10; 27/20; ; 5/4; 11/8; 13/10; 21/20; 23/17; 37/25; 9/7; 23/18; 13/10; 11/8; 11/8; ; 27/20; 11/8; 
Torquay; 9/5; 21/10; 9/5; 2; 19/10; 21/10; 15/8; 15/8; 24/13; 9/5; 7/4; 9/5; ; 15/8; 9/5; 15/8; 21/10; 9/5; 197/100; 28/17; 24/13; 15/8; 15/8; 39/20; ; 9/5; 15/8; 
Draw; 5/2; 12/5; 9/4; 12/5; 23/10; 23/10; 23/10; 11/5; 40/17; 9/4; 9/4; 9/4; ; 9/4; 12/5; 23/10; 23/10; 40/17; 5/2; 5/2; 40/17; 12/5; 12/5; 12/5; ; 23/10; 2; 
META; english/non-league/national-league/torquay-v-maidenhead-utd; 2017-10-02 18:22:56 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Maidenhead Utd; 11/8; 7/5; 23/17; 13/10; 13/10; 43/40; 11/8; 6/5; 23/18; 27/20; 13/10; 27/20; ; 5/4; 11/8; 13/10; 21/20; 23/17; 73/50; 23/17; 23/18; 7/5; 11/8; 29/20; ; 11/8; 11/8; 
Torquay; 9/5; 19/10; 9/5; 2; 15/8; 21/10; 15/8; 9/5; 24/13; 9/5; 7/4; 9/5; ; 15/8; 9/5; 9/5; 21/10; 24/13; 2; 8/5; 24/13; 9/5; 15/8; 15/8; ; 9/5; 9/5; 
Draw; 5/2; 12/5; 9/4; 12/5; 23/10; 23/10; 23/10; 11/5; 40/17; 9/4; 9/4; 9/4; ; 9/4; 12/5; 23/10; 23/10; 40/17; 5/2; 5/2; 40/17; 12/5; 12/5; 12/5; ; 11/5; 2; 
META; english/non-league/national-league/torquay-v-maidenhead-utd; 2017-10-02 22:23:18 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Maidenhead Utd; 11/8; 7/5; 23/17; 13/10; 13/10; 11/10; 7/5; 6/5; 23/18; 27/20; 13/10; 27/20; ; 5/4; 11/8; 13/10; 11/10; 23/17; 73/50; 39/29; 23/18; 7/5; 11/8; 29/20; ; 11/8; 11/8; 
Torquay; 9/5; 19/10; 9/5; 2; 15/8; 39/20; 15/8; 9/5; 24/13; 9/5; 9/5; 9/5; ; 15/8; 9/5; 9/5; 37/19; 24/13; 2; 9/5; 24/13; 9/5; 15/8; 15/8; ; 19/10; 9/5; 
Draw; 5/2; 12/5; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 40/17; 9/4; 11/5; 9/4; ; 9/4; 12/5; 23/10; 12/5; 40/17; 5/2; 5/2; 40/17; 12/5; 12/5; 12/5; ; 9/4; 2; 
META; english/non-league/national-league/torquay-v-maidenhead-utd; 2017-10-03 02:23:01 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Maidenhead Utd; 11/8; 7/5; 23/17; 13/10; 13/10; 11/10; 7/5; 13/10; 23/18; 27/20; 13/10; 27/20; ; 11/8; 11/8; 13/10; 11/10; 23/17; 73/50; 39/29; 23/18; 7/5; 11/8; 29/20; ; 7/5; 11/8; 
Torquay; 9/5; 19/10; 9/5; 2; 15/8; 39/20; 15/8; 7/4; 24/13; 9/5; 9/5; 9/5; ; 9/5; 9/5; 9/5; 37/19; 24/13; 2; 9/5; 24/13; 9/5; 15/8; 15/8; ; 19/10; 9/5; 
Draw; 5/2; 12/5; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 40/17; 9/4; 11/5; 9/4; ; 9/4; 12/5; 23/10; 12/5; 40/17; 5/2; 5/2; 40/17; 12/5; 12/5; 12/5; ; 9/4; 2; 
META; english/non-league/national-league/torquay-v-maidenhead-utd; 2017-10-03 10:23:24 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Maidenhead Utd; 11/8; 7/5; 26/19; 13/10; 7/5; 11/10; 7/5; 13/10; 4/3; 11/8; 13/10; 27/20; ; 11/8; 11/8; 13/10; 11/10; 23/17; 147/100; 39/29; ; 7/5; 7/5; 29/20; ; 7/5; 7/5; 
Torquay; 15/8; 9/5; 7/4; 2; 9/5; 39/20; 15/8; 7/4; 37/19; 7/4; 7/4; 9/5; ; 9/5; 9/5; 9/5; 37/19; 24/13; 99/50; 9/5; ; 9/5; 9/5; 15/8; ; 19/10; 9/5; 
Draw; 12/5; 5/2; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 28/13; 9/4; 11/5; 9/4; ; 9/4; 12/5; 23/10; 12/5; 23/10; 5/2; 5/2; ; 12/5; 5/2; 12/5; ; 23/10; 9/4; 
META; english/non-league/national-league/torquay-v-maidenhead-utd; 2017-10-03 14:23:35 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Maidenhead Utd; 11/8; 7/5; 23/17; 13/10; 13/10; 61/50; 11/8; 13/10; 4/3; 27/20; 5/4; 13/10; ; 11/8; 11/8; 13/10; 6/5; 23/17; 29/20; 25/19; 4/3; 13/10; 7/5; 11/8; ; 11/8; 7/5; 
Torquay; 15/8; 9/5; 9/5; 2; 15/8; 9/5; 15/8; 7/4; 37/19; 9/5; 9/5; 37/20; ; 9/5; 9/5; 15/8; 9/5; 24/13; 2; 20/11; 37/19; 15/8; 15/8; 39/20; ; 19/10; 19/10; 
Draw; 12/5; 5/2; 23/10; 12/5; 23/10; 23/10; 23/10; 11/5; 28/13; 23/10; 11/5; 23/10; ; 9/4; 12/5; 23/10; 23/10; 23/10; 63/25; 5/2; 28/13; 12/5; 5/2; 12/5; ; 12/5; 23/10; 
META; english/non-league/national-league/torquay-v-maidenhead-utd; 2017-10-03 18:23:18 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Maidenhead Utd; 13/10; 13/10; 13/10; 11/8; 13/10; 61/50; 11/8; 6/5; 4/3; 13/10; 5/4; 5/4; ; 13/10; 11/8; 5/4; 6/5; 13/10; 11/8; 23/18; 4/3; 13/10; 13/10; 11/8; ; 27/20; 27/20; 
Torquay; 2; 19/10; 9/5; 19/10; 15/8; 9/5; 15/8; 9/5; 37/19; 9/5; 9/5; 15/8; ; 9/5; 9/5; 15/8; 9/5; 24/13; 2; 28/15; 37/19; 15/8; 15/8; 39/20; ; 19/10; 19/10; 
Draw; 12/5; 13/5; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 28/13; 12/5; 11/5; 47/20; ; 9/4; 12/5; 12/5; 23/10; 12/5; 67/25; 28/11; 28/13; 12/5; 13/5; 12/5; ; 12/5; 5/2; 
META; english/non-league/national-league/torquay-v-maidenhead-utd; 2017-10-03 22:23:16 GMT+3; 2017-10-03 19:45; In Play; Xlenovo
Torquay; 7/4; 8/13; 28/17; 19/10; ; 8/15; ; 8/13; 7/4; ; ; ; ; 17/10; 17/10; 7/4; 8/15; ; ; ; ; ; 8/13; 13/20; ; ; ; 
Draw; 12/5; 3; 9/4; 12/5; ; 3; ; 13/5; 11/5; ; ; ; ; 9/4; 11/5; 12/5; 31/10; ; ; ; ; ; 3; 3; ; ; ; 
Maidenhead Utd; 6/4; 7/2; 16/11; 11/8; ; 15/4; ; 7/2; 6/4; ; ; ; ; 29/20; 7/5; 11/8; 15/4; ; ; ; ; ; 15/4; 4; ; ; ; 
