META; english/non-league/national-league/guiseley-v-chester; 2017-12-27 18:24:29 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
META; english/non-league/national-league/guiseley-v-chester; 2017-12-29 18:24:42 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Guiseley; 1; ; ; ; ; 10/11; 20/21; ; 19/20; ; 20/21; 10/11; ; 19/20; ; ; 19/20; 19/20; 19/20; ; 19/20; 1; 1; 19/20; 1; ; 10/11; ; 
Draw; 12/5; ; ; ; ; 23/10; 23/10; ; 23/10; ; 23/10; 23/10; ; 23/10; ; ; 23/10; 40/17; 23/10; ; 23/10; 12/5; 23/10; 12/5; 40/17; ; 11/5; ; 
Chester; 11/4; ; ; ; ; 11/4; 11/4; ; 45/17; ; 11/4; 5/2; ; 13/5; ; ; 12/5; 27/10; 12/5; ; 45/17; 11/4; 29/10; 11/4; 11/4; ; 12/5; ; 
META; english/non-league/national-league/guiseley-v-chester; 2017-12-29 22:24:42 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Guiseley; 1; ; ; ; ; 10/11; 20/21; ; 19/20; ; 20/21; 10/11; ; 19/20; ; ; 19/20; 19/20; 19/20; ; 19/20; 1; 20/21; 19/20; 1; ; 10/11; ; 
Draw; 12/5; ; ; ; ; 23/10; 23/10; ; 23/10; ; 23/10; 23/10; ; 23/10; ; ; 23/10; 40/17; 23/10; ; 23/10; 12/5; 12/5; 12/5; 40/17; ; 11/5; ; 
Chester; 11/4; ; ; ; ; 11/4; 11/4; ; 45/17; ; 11/4; 5/2; ; 13/5; ; ; 12/5; 27/10; 12/5; ; 45/17; 11/4; 29/10; 11/4; 11/4; ; 12/5; ; 
META; english/non-league/national-league/guiseley-v-chester; 2017-12-30 02:24:35 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Guiseley; 1; ; ; ; ; 10/11; 20/21; ; 19/20; ; 20/21; 10/11; ; 19/20; ; ; 19/20; 19/20; 19/20; ; 19/20; 1; 20/21; 19/20; 1; ; 10/11; ; 
Draw; 12/5; ; ; ; ; 23/10; 23/10; ; 23/10; ; 23/10; 23/10; ; 23/10; ; ; 23/10; 40/17; 23/10; ; 23/10; 12/5; 12/5; 12/5; 40/17; ; 11/5; ; 
Chester; 11/4; ; ; ; ; 11/4; 11/4; ; 45/17; ; 11/4; 5/2; ; 13/5; ; ; 12/5; 27/10; 12/5; ; 45/17; 11/4; 29/10; 11/4; 11/4; ; 12/5; ; 
META; english/non-league/national-league/guiseley-v-chester; 2017-12-30 10:24:33 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Guiseley; 1; ; ; ; ; 10/11; 20/21; ; 19/20; ; 20/21; 10/11; ; 19/20; ; ; 19/20; 19/20; 19/20; ; 19/20; 1; 20/21; 19/20; 1; ; 5/6; ; 
Draw; 12/5; ; ; ; ; 23/10; 23/10; ; 23/10; ; 23/10; 23/10; ; 23/10; ; ; 23/10; 40/17; 23/10; ; 23/10; 12/5; 12/5; 12/5; 40/17; ; 11/5; ; 
Chester; 11/4; ; ; ; ; 11/4; 11/4; ; 45/17; ; 11/4; 5/2; ; 13/5; ; ; 12/5; 27/10; 12/5; ; 45/17; 11/4; 29/10; 11/4; 11/4; ; 12/5; ; 
META; english/non-league/national-league/guiseley-v-chester; 2017-12-30 14:25:15 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Guiseley; 1; ; ; 19/20; ; 10/11; 20/21; ; 19/20; ; 20/21; 10/11; ; 19/20; ; ; 19/20; 19/20; 19/20; ; 19/20; 1; 20/21; 19/20; 1; ; 5/6; ; 
Draw; 12/5; ; ; 23/10; ; 23/10; 23/10; ; 23/10; ; 23/10; 23/10; ; 23/10; ; ; 23/10; 40/17; 23/10; ; 23/10; 12/5; 12/5; 12/5; 40/17; ; 11/5; ; 
Chester; 11/4; ; ; 13/5; ; 11/4; 11/4; ; 45/17; ; 11/4; 5/2; ; 13/5; ; ; 12/5; 27/10; 12/5; ; 45/17; 11/4; 29/10; 11/4; 11/4; ; 12/5; ; 
META; english/non-league/national-league/guiseley-v-chester; 2017-12-30 18:24:31 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Guiseley; 21/20; ; 21/20; 19/20; 11/10; 10/11; 1; ; 19/20; ; 1; 1; ; 21/20; 11/10; 1; 21/20; 1; 21/20; 21/20; 19/20; 21/20; 21/20; 1; 21/20; ; 1; ; 
Draw; 12/5; ; 11/5; 23/10; 49/20; 23/10; 23/10; ; 23/10; ; 9/4; 21/10; ; 11/5; 23/10; 11/5; 11/5; 40/17; 11/5; 23/10; 23/10; 12/5; 12/5; 12/5; 12/5; ; 11/5; ; 
Chester; 5/2; ; 12/5; 13/5; 57/20; 27/10; 13/5; ; 45/17; ; 13/5; 12/5; ; 49/20; 12/5; 5/2; 11/5; 5/2; 11/5; 11/5; 45/17; 13/5; 13/5; 13/5; 28/11; ; 11/5; ; 
META; english/non-league/national-league/guiseley-v-chester; 2017-12-30 22:22:47 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Guiseley; 21/20; 23/20; 21/20; 19/20; 113/ 100; 10/11; 21/20; ; 19/20; ; 21/20; 1; ; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 13/12; 19/20; 21/20; 21/20; 1; 21/20; ; 1; ; 
Draw; 12/5; 9/4; 11/5; 23/10; 49/20; 23/10; 23/10; ; 23/10; ; 9/4; 21/10; ; 11/5; 23/10; 11/5; 11/5; 40/17; 11/5; 12/5; 23/10; 12/5; 12/5; 12/5; 40/17; ; 11/5; ; 
Chester; 5/2; 9/4; 5/2; 13/5; 11/4; 27/10; 5/2; ; 45/17; ; 5/2; 12/5; ; 5/2; 12/5; 12/5; 11/5; 5/2; 11/5; 12/5; 45/17; 13/5; 13/5; 13/5; 5/2; ; 11/5; ; 
META; english/non-league/national-league/guiseley-v-chester; 2017-12-31 02:22:48 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Guiseley; 21/20; 23/20; 21/20; 19/20; 113/ 100; 10/11; 21/20; ; 19/20; 21/20; 21/20; 1; ; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 13/12; 19/20; 21/20; 21/20; 1; 21/20; ; 1; ; 
Draw; 12/5; 9/4; 11/5; 23/10; 49/20; 23/10; 23/10; ; 23/10; 11/5; 9/4; 21/10; ; 11/5; 23/10; 11/5; 11/5; 40/17; 11/5; 12/5; 23/10; 12/5; 12/5; 12/5; 40/17; ; 9/4; ; 
Chester; 5/2; 9/4; 5/2; 13/5; 11/4; 27/10; 5/2; ; 45/17; 5/2; 5/2; 12/5; ; 5/2; 12/5; 12/5; 11/5; 27/11; 11/5; 12/5; 45/17; 13/5; 13/5; 13/5; 5/2; ; 11/5; ; 
META; english/non-league/national-league/guiseley-v-chester; 2017-12-31 10:22:51 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Guiseley; 21/20; 23/20; 21/20; 19/20; 11/10; 10/11; 21/20; ; 1; 21/20; 21/20; 1; ; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 13/12; 1; 21/20; 21/20; 1; 21/20; ; 1; 20/21; 
Draw; 12/5; 9/4; 11/5; 23/10; 123/ 50; 23/10; 23/10; ; 23/10; 11/5; 9/4; 21/10; ; 11/5; 23/10; 11/5; 11/5; 40/17; 11/5; 12/5; 23/10; 12/5; 12/5; 12/5; 40/17; ; 9/4; 21/10; 
Chester; 5/2; 9/4; 5/2; 13/5; 71/25; 27/10; 5/2; ; 28/11; 5/2; 5/2; 5/2; ; 5/2; 12/5; 12/5; 11/5; 27/11; 11/5; 12/5; 28/11; 13/5; 13/5; 13/5; 27/11; ; 11/5; 5/2; 
META; english/non-league/national-league/guiseley-v-chester; 2017-12-31 14:23:24 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Guiseley; 21/20; 21/20; 21/20; 11/10; 109/ 100; 10/11; 1; ; 1; 21/20; 21/20; 1; ; 21/20; 11/10; 1; 21/20; 1; 21/20; 13/12; 1; 21/20; 1; 1; 1; ; 1; 20/21; 
Draw; 12/5; 12/5; 11/5; 12/5; 62/25; 23/10; 23/10; ; 23/10; 11/5; 23/10; 21/10; ; 11/5; 23/10; 11/5; 11/5; 40/17; 11/5; 12/5; 23/10; 23/10; 12/5; 12/5; 40/17; ; 9/4; 21/10; 
Chester; 5/2; 13/5; 5/2; 5/2; 143/ 50; 27/10; 13/5; ; 28/11; 5/2; 5/2; 5/2; ; 5/2; 12/5; 5/2; 11/5; 13/5; 11/5; 12/5; 28/11; 13/5; 11/4; 53/20; 13/5; ; 5/2; 5/2; 
META; english/non-league/national-league/guiseley-v-chester; 2017-12-31 18:23:03 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Guiseley; 21/20; 21/20; 21/20; 11/10; 109/ 100; 10/11; 21/20; ; 1; 21/20; 21/20; 1; ; 21/20; 11/10; 1; 21/20; 1; 21/20; 13/12; 1; 21/20; 1; 1; 1; ; 21/20; 20/21; 
Draw; 12/5; 12/5; 11/5; 12/5; 62/25; 23/10; 23/10; ; 23/10; 11/5; 23/10; 21/10; ; 11/5; 23/10; 11/5; 11/5; 40/17; 11/5; 12/5; 23/10; 23/10; 12/5; 12/5; 40/17; ; 23/10; 21/10; 
Chester; 5/2; 13/5; 5/2; 5/2; 143/ 50; 27/10; 13/5; ; 28/11; 5/2; 5/2; 5/2; ; 5/2; 12/5; 5/2; 11/5; 13/5; 11/5; 12/5; 28/11; 13/5; 11/4; 53/20; 13/5; ; 13/5; 5/2; 
META; english/non-league/national-league/guiseley-v-chester; 2017-12-31 22:23:00 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Guiseley; 21/20; 1; 21/20; 11/10; 109/ 100; 10/11; 21/20; ; 1; 21/20; 1; 1; ; 21/20; 11/10; 1; 21/20; 1; 21/20; 13/12; 1; 21/20; 1; 1; 1; ; 21/20; 20/21; 
Draw; 12/5; 12/5; 11/5; 12/5; 62/25; 23/10; 23/10; ; 23/10; 11/5; 12/5; 21/10; ; 11/5; 23/10; 11/5; 11/5; 40/17; 11/5; 12/5; 23/10; 23/10; 12/5; 12/5; 40/17; ; 12/5; 21/10; 
Chester; 5/2; 11/4; 5/2; 5/2; 143/ 50; 27/10; 13/5; ; 28/11; 5/2; 5/2; 12/5; ; 5/2; 12/5; 5/2; 11/5; 13/5; 11/5; 12/5; 28/11; 13/5; 11/4; 53/20; 13/5; ; 5/2; 5/2; 
META; english/non-league/national-league/guiseley-v-chester; 2018-01-01 02:22:58 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Guiseley; 21/20; 1; 21/20; 11/10; 109/ 100; 10/11; 21/20; ; 1; 21/20; 21/20; 1; ; 21/20; 11/10; 1; 21/20; 1; 21/20; 13/12; 1; 21/20; 21/20; 1; 1; ; 21/20; 20/21; 
Draw; 12/5; 12/5; 11/5; 12/5; 62/25; 23/10; 23/10; ; 23/10; 11/5; 23/10; 21/10; ; 11/5; 23/10; 11/5; 11/5; 40/17; 11/5; 12/5; 23/10; 23/10; 12/5; 12/5; 40/17; ; 12/5; 21/10; 
Chester; 5/2; 11/4; 5/2; 5/2; 143/ 50; 27/10; 13/5; ; 28/11; 5/2; 5/2; 5/2; ; 5/2; 12/5; 5/2; 11/5; 13/5; 11/5; 12/5; 28/11; 13/5; 13/5; 53/20; 13/5; ; 13/5; 5/2; 
META; english/non-league/national-league/guiseley-v-chester; 2018-01-01 10:23:08 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Guiseley; 21/20; 1; 21/20; 11/10; 109/ 100; 10/11; 21/20; ; 1; 21/20; 1; 1; ; 21/20; 11/10; 1; 21/20; 1; 21/20; 13/12; 1; 21/20; 21/20; 1; 1; ; 21/20; 1; 
Draw; 12/5; 12/5; 11/5; 12/5; 62/25; 23/10; 23/10; ; 23/10; 11/5; 23/10; 21/10; ; 11/5; 23/10; 11/5; 11/5; 40/17; 11/5; 12/5; 23/10; 23/10; 12/5; 12/5; 40/17; ; 12/5; 9/4; 
Chester; 5/2; 11/4; 5/2; 5/2; 71/25; 27/10; 13/5; ; 28/11; 5/2; 13/5; 5/2; ; 5/2; 12/5; 5/2; 11/5; 13/5; 11/5; 12/5; 28/11; 13/5; 27/10; 53/20; 13/5; ; 27/10; 11/4; 
META; english/non-league/national-league/guiseley-v-chester; 2018-01-01 14:24:06 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Guiseley; 5/4; 13/10; 5/4; 23/20; 67/50; 23/20; 5/4; ; 6/5; 5/4; 6/5; 5/4; ; 5/4; 5/4; 1; 21/20; 5/4; 21/20; 24/19; 6/5; 5/4; 13/10; 5/4; 5/4; ; 5/4; 5/4; 
Draw; 23/10; 23/10; 11/5; 11/5; 49/20; 21/10; 9/4; ; 11/5; 11/5; 11/5; 2; ; 11/5; 23/10; 11/5; 11/5; 9/4; 11/5; 40/17; 11/5; 23/10; 23/10; 47/20; 23/10; ; 9/4; 9/4; 
Chester; 11/5; 21/10; 2; 11/5; 56/25; 11/5; 21/10; ; 28/13; 2; 11/5; 2; ; 2; 21/10; 5/2; 11/5; 21/10; 11/5; 39/19; 28/13; 85/40; 21/10; 21/10; 21/10; ; 11/5; 9/4; 
