META; english/non-league/national-league/tranmere-v-dagenham-redbridge; 2017-11-05 02:23:33 GMT+2; 2017-11-11 15:00; Nothing; Xlenovo
Draw; 23/10; 5/2; 9/4; 5/2; ; ; 23/10; 23/10; 9/4; 9/4; 23/10; 21/10; ; 9/4; 9/4; 23/10; 11/5; 40/17; 129/ 50; 12/5; 9/4; 12/5; 5/2; 47/20; 40/17; ; 23/10; ; 
Dagenham & Redbridge; 11/4; 5/2; 12/5; 5/2; ; ; 5/2; 5/2; 45/17; 12/5; 5/2; 12/5; ; 49/20; 13/5; 5/2; 5/2; 28/11; 27/10; 5/2; 45/17; 13/5; 13/5; 53/20; 13/5; ; 5/2; ; 
META; english/non-league/national-league/tranmere-v-dagenham-redbridge; 2017-11-09 10:23:01 GMT+2; 2017-11-11 15:00; Nothing; Xlenovo
Tranmere; 1; 21/20; 21/20; 21/20; 39/40; ; 21/20; 10/11; 1; 21/20; 21/20; 1; ; ; 21/20; 1; 19/20; 1; 11/10; 42/41; 1; 21/20; 21/20; 1; 1; ; 1; ; 
Draw; 23/10; 12/5; 9/4; 5/2; 11/5; ; 23/10; 23/10; 9/4; 9/4; 23/10; 11/5; ; ; 9/4; 23/10; 11/5; 40/17; 129/ 50; 12/5; 9/4; 12/5; 12/5; 47/20; 40/17; ; 23/10; ; 
Dagenham & Redbridge; 11/4; 13/5; 12/5; 5/2; 5/2; ; 5/2; 5/2; 45/17; 12/5; 5/2; 12/5; ; ; 13/5; 5/2; 5/2; 28/11; 27/10; 5/2; 45/17; 13/5; 13/5; 53/20; 13/5; ; 5/2; ; 
META; english/non-league/national-league/tranmere-v-dagenham-redbridge; 2017-11-09 14:22:58 GMT+2; 2017-11-11 15:00; Nothing; Xlenovo
Tranmere; 1; 21/20; 21/20; 21/20; 39/40; ; 21/20; 10/11; 1; 21/20; 21/20; 1; ; 21/20; 21/20; 1; 19/20; 1; 11/10; 42/41; 1; 21/20; 21/20; 1; 1; ; 1; ; 
Draw; 23/10; 12/5; 9/4; 5/2; 11/5; ; 23/10; 23/10; 9/4; 9/4; 23/10; 21/10; ; 9/4; 9/4; 23/10; 11/5; 40/17; 129/ 50; 12/5; 9/4; 12/5; 12/5; 47/20; 40/17; ; 23/10; ; 
Dagenham & Redbridge; 11/4; 13/5; 12/5; 5/2; 5/2; ; 5/2; 5/2; 45/17; 12/5; 5/2; 12/5; ; 49/20; 13/5; 5/2; 5/2; 28/11; 27/10; 5/2; 45/17; 13/5; 13/5; 53/20; 13/5; ; 5/2; ; 
META; english/non-league/national-league/tranmere-v-dagenham-redbridge; 2017-11-09 18:22:51 GMT+2; 2017-11-11 15:00; Nothing; Xlenovo
Tranmere; 1; 21/20; 21/20; 21/20; 39/40; ; 21/20; 10/11; 1; 21/20; 21/20; 1; ; 21/20; 21/20; 1; 19/20; 1; 11/10; 42/41; 1; 21/20; 21/20; 1; 1; ; 1; ; 
Draw; 23/10; 12/5; 9/4; 5/2; 11/5; ; 23/10; 23/10; 9/4; 9/4; 23/10; 11/5; ; 9/4; 9/4; 23/10; 11/5; 40/17; 129/ 50; 12/5; 9/4; 12/5; 12/5; 47/20; 40/17; ; 11/5; ; 
Dagenham & Redbridge; 11/4; 13/5; 12/5; 5/2; 5/2; ; 5/2; 5/2; 45/17; 12/5; 5/2; 12/5; ; 12/5; 13/5; 5/2; 5/2; 28/11; 27/10; 5/2; 45/17; 13/5; 13/5; 53/20; 13/5; ; 5/2; ; 
META; english/non-league/national-league/tranmere-v-dagenham-redbridge; 2017-11-09 22:22:51 GMT+2; 2017-11-11 15:00; Nothing; Xlenovo
Tranmere; 1; 21/20; 21/20; 21/20; 39/40; ; 21/20; 10/11; 1; 21/20; 21/20; 1; ; 21/20; 21/20; 1; 19/20; 1; 11/10; 42/41; 1; 21/20; 21/20; 1; 1; ; 21/20; 1; 
Draw; 23/10; 12/5; 9/4; 5/2; 11/5; ; 23/10; 23/10; 9/4; 9/4; 23/10; 11/5; ; 9/4; 9/4; 23/10; 11/5; 40/17; 129/ 50; 12/5; 9/4; 12/5; 12/5; 47/20; 40/17; ; 23/10; 21/10; 
Dagenham & Redbridge; 11/4; 13/5; 12/5; 5/2; 5/2; ; 5/2; 5/2; 45/17; 12/5; 5/2; 12/5; ; 12/5; 13/5; 5/2; 5/2; 28/11; 27/10; 5/2; 45/17; 13/5; 13/5; 53/20; 13/5; ; 5/2; 12/5; 
META; english/non-league/national-league/tranmere-v-dagenham-redbridge; 2017-11-10 02:22:45 GMT+2; 2017-11-11 15:00; Nothing; Xlenovo
Tranmere; 1; 21/20; 21/20; 21/20; 39/40; ; 21/20; 10/11; 1; 21/20; 21/20; 1; ; 21/20; 21/20; 1; 19/20; 1; 111/ 100; 42/41; 1; 21/20; 21/20; 1; 1; ; 1; 1; 
Draw; 23/10; 12/5; 9/4; 5/2; 11/5; ; 23/10; 23/10; 9/4; 9/4; 23/10; 11/5; ; 9/4; 9/4; 23/10; 11/5; 40/17; 51/20; 12/5; 9/4; 12/5; 12/5; 47/20; 40/17; ; 23/10; 21/10; 
Dagenham & Redbridge; 11/4; 13/5; 12/5; 5/2; 5/2; ; 5/2; 5/2; 45/17; 12/5; 5/2; 12/5; ; 49/20; 13/5; 5/2; 5/2; 28/11; 27/10; 5/2; 45/17; 13/5; 27/10; 53/20; 13/5; ; 12/5; 12/5; 
META; english/non-league/national-league/tranmere-v-dagenham-redbridge; 2017-11-10 10:22:46 GMT+2; 2017-11-11 15:00; Nothing; Xlenovo
Tranmere; 1; 21/20; 21/20; 21/20; 39/40; ; 21/20; 10/11; 1; 21/20; 21/20; 1; ; 21/20; 21/20; 1; 19/20; 1; 11/10; 42/41; 1; 21/20; 21/20; 1; 1; ; 1; 1; 
Draw; 23/10; 12/5; 9/4; 5/2; 11/5; ; 23/10; 23/10; 9/4; 9/4; 23/10; 11/5; ; 9/4; 9/4; 23/10; 11/5; 40/17; 129/ 50; 12/5; 9/4; 12/5; 12/5; 47/20; 40/17; ; 23/10; 21/10; 
Dagenham & Redbridge; 11/4; 13/5; 12/5; 5/2; 5/2; ; 5/2; 5/2; 45/17; 12/5; 5/2; 12/5; ; 49/20; 13/5; 5/2; 5/2; 28/11; 27/10; 5/2; 45/17; 13/5; 27/10; 53/20; 13/5; ; 12/5; 12/5; 
META; english/non-league/national-league/tranmere-v-dagenham-redbridge; 2017-11-10 14:22:56 GMT+2; 2017-11-11 15:00; Nothing; Xlenovo
Tranmere; 1; 21/20; 21/20; 21/20; 39/40; ; 21/20; 10/11; 1; 21/20; 21/20; 1; ; 21/20; 21/20; 1; 19/20; 1; 111/ 100; 42/41; 1; 21/20; 21/20; 1; 1; ; 21/20; 1; 
Draw; 23/10; 12/5; 9/4; 5/2; 11/5; ; 23/10; 23/10; 9/4; 9/4; 23/10; 11/5; ; 9/4; 9/4; 23/10; 11/5; 40/17; 51/20; 12/5; 9/4; 12/5; 12/5; 47/20; 40/17; ; 23/10; 21/10; 
Dagenham & Redbridge; 11/4; 13/5; 12/5; 5/2; 5/2; ; 5/2; 5/2; 45/17; 12/5; 5/2; 12/5; ; 49/20; 13/5; 5/2; 5/2; 28/11; 27/10; 5/2; 45/17; 13/5; 27/10; 53/20; 13/5; ; 5/2; 12/5; 
META; english/non-league/national-league/tranmere-v-dagenham-redbridge; 2017-11-10 19:35:32 GMT+2; 2017-11-11 15:00; Nothing; Xlenovo
Tranmere; 1; 21/20; 21/20; 11/10; 39/40; ; 21/20; 10/11; 1; 21/20; 21/20; 1; ; 21/20; 21/20; 1; 19/20; 1; 11/10; 42/41; 1; 21/20; 21/20; 1; 1; ; 21/20; 1; 
Draw; 23/10; 12/5; 9/4; 23/10; 11/5; ; 23/10; 23/10; 9/4; 9/4; 23/10; 11/5; ; 9/4; 9/4; 9/4; 11/5; 40/17; 129/50; 27/11; 9/4; 12/5; 12/5; 47/20; 40/17; ; 23/10; 2; 
Dagenham & Redbridge; 11/4; 13/5; 12/5; 5/2; 5/2; ; 5/2; 5/2; 45/17; 12/5; 5/2; 12/5; ; 12/5; 13/5; 5/2; 5/2; 28/11; 27/10; 5/2; 45/17; 13/5; 27/10; 53/20; 13/5; ; 5/2; 11/5; 
META; english/non-league/national-league/tranmere-v-dagenham-redbridge; 2017-11-10 22:22:57 GMT+2; 2017-11-11 15:00; Nothing; Xlenovo
Tranmere; 1; 21/20; 21/20; 11/10; 39/40; ; 21/20; 10/11; 1; 21/20; 21/20; 1; ; 21/20; 21/20; 1; 19/20; 1; 109/100; 42/41; 1; 21/20; 21/20; 1; 21/20; ; 11/10; 1; 
Draw; 23/10; 12/5; 9/4; 23/10; 11/5; ; 23/10; 23/10; 9/4; 9/4; 23/10; 11/5; ; 9/4; 9/4; 9/4; 11/5; 40/17; 13/5; 27/11; 9/4; 12/5; 12/5; 47/20; 12/5; ; 23/10; 21/10; 
Dagenham & Redbridge; 11/4; 13/5; 12/5; 5/2; 5/2; ; 5/2; 5/2; 45/17; 12/5; 5/2; 12/5; ; 12/5; 13/5; 5/2; 5/2; 5/2; 68/25; 5/2; 45/17; 13/5; 13/5; 53/20; 28/11; ; 5/2; 12/5; 
META; english/non-league/national-league/tranmere-v-dagenham-redbridge; 2017-11-11 02:22:58 GMT+2; 2017-11-11 15:00; Nothing; Xlenovo
Tranmere; 1; 21/20; 21/20; 11/10; 39/40; ; 21/20; 10/11; 1; 21/20; 21/20; 1; ; 21/20; 21/20; 1; 19/20; 1; 109/100; 42/41; 1; 21/20; 21/20; 1; 1; ; 11/10; 1; 
